成交编号,合约,买卖,开平,成交价格,成交手数,成交时间,报单编号,成交类型,投保,交易所,手续费
10709861,m2005-C-3100,　卖,开仓,11.0,11,14:59:38,    13022386,普通成交,投机,大商所,11.55
10709279,m2005-C-3100,买　,平仓,11.0,1,14:59:31,    13022379,普通成交,投机,大商所,0.00
10709278,m2005-C-3100,买　,平仓,11.0,19,14:59:31,    13022379,普通成交,投机,大商所,0.00
10709277,m2005-C-3100,买　,平仓,11.0,20,14:59:31,    13022379,普通成交,投机,大商所,0.00
10709267,m2005-C-3100,　卖,开仓,11.0,40,14:59:31,    12790158,普通成交,投机,大商所,42.00
10705615,m2005-P-2450,　卖,平仓,4.0,1,14:58:49,    10458344,普通成交,投机,大商所,1.05
30563957,v2005,　卖,开仓,6490,15,14:58:19,    32026431,普通成交,投机,大商所,30.29
30563907,l2005,买　,平仓,7350,2,14:58:18,    32057280,普通成交,投机,大商所,4.04
30562804,l2005,买　,平仓,7350,6,14:58:04,    32053918,普通成交,投机,大商所,12.13
10701207,c2005,　卖,平仓,1907,1,14:57:53,    12966867,普通成交,投机,大商所,1.21
2019122501898127,TA005,买　,开仓,4964,10,14:57:14,2019122509488974,普通成交,投机,郑商所,30.15
2019122501895694,MA005,买　,开仓,2165,20,14:57:00,2019122509504386,普通成交,投机,郑商所,40.26
10692144,m2005-P-2450,　卖,平仓,4.0,1,14:55:06,    10458344,普通成交,投机,大商所,1.05
10691493,m2005-P-2450,　卖,平仓,4.0,1,14:55:02,    10458344,普通成交,投机,大商所,1.05
30549236,i2005-P-640,买　,开仓,32.2,2,14:54:07,    31993707,普通成交,投机,大商所,4.10
30548143,i2005-P-640,买　,开仓,32.2,1,14:53:17,    31993707,普通成交,投机,大商所,2.05
1889514,rb2005,　卖,开仓,3490,5,14:52:57,    16443491,普通成交,投机,上期所,17.55
10683974,m2005-P-2450,　卖,平仓,4.0,1,14:52:42,    10458344,普通成交,投机,大商所,1.05
