                                                结算单

账户：0009
日期：20190411
                                               资金状况                            币种：人民币
-----------------------------------------------------------------------------------------------
上次结算金：       10869491.72                                   交割手续费：              0.00
出 入 金：                0.00                                   期末结存：         10849864.29
平仓盈亏：            -8770.00                                   保证金占用：         822286.00
持仓盈亏：           -10650.00                                   可用资金：         10027578.29
手续费：                207.43                                   风险度：                 7.58%

-----------------------------------------------------------------------------------------------

                                               持仓明细
-----------------------------------------------------------------------------------------------
|交易所  | 合约  | 开仓日期 |投/保|买/卖| 持仓量|  开仓价 |  结算价 |  盯市盈亏 |    保证金   |
-----------------------------------------------------------------------------------------------

|大商所  |a1909  |20190402  |投机 |买   |      2|  3428.00|  3414.00|    -220.00|      3414.00|
|大商所  |c1909  |20190404  |投机 |买   |     10|  1883.00|  1880.00|     500.00|      9400.00|
|大商所  |c1909  |20190404  |投机 |买   |     10|  1884.00|  1880.00|     500.00|      9400.00|
|大商所  |c1909  |20190404  |投机 |买   |     10|  1884.00|  1880.00|     500.00|      9400.00|
|大商所  |c1909  |20190404  |投机 |买   |      6|  1886.00|  1880.00|     300.00|      5640.00|
|大商所  |c1909  |20190404  |投机 |买   |      4|  1886.00|  1880.00|     200.00|      3760.00|
|大商所  |c1909  |20190410  |投机 |买   |      5|  1878.00|  1880.00|     250.00|      4700.00|
|大商所  |c1909  |20190410  |投机 |买   |      2|  1879.00|  1880.00|     100.00|      1880.00|
|大商所  |c1909  |20190410  |投机 |买   |      1|  1879.00|  1880.00|      50.00|       940.00|
|大商所  |c1909  |20190410  |投机 |买   |      1|  1879.00|  1880.00|      50.00|       940.00|
|大商所  |c1909  |20190410  |投机 |买   |      1|  1879.00|  1880.00|      50.00|       940.00|
|大商所  |c1909  |20190411  |投机 |买   |      5|  1880.00|  1880.00|       0.00|      4700.00|
|大商所  |c1909  |20190410  |投机 |买   |      5|  1879.00|  1880.00|     250.00|      4700.00|
|大商所  |c1909  |20190404  |投机 |买   |      7|  1888.00|  1880.00|     350.00|      6580.00|
|大商所  |c1909  |20190404  |投机 |买   |      3|  1888.00|  1880.00|     150.00|      2820.00|
|大商所  |c1909  |20190404  |投机 |买   |     10|  1889.00|  1880.00|     500.00|      9400.00|
|大商所  |c1909  |20190411  |投机 |买   |      5|  1883.00|  1880.00|    -150.00|      4700.00|
|大商所  |c1909  |20190411  |投机 |买   |      5|  1883.00|  1880.00|    -150.00|      4700.00|
|大商所  |c1909  |20190404  |投机 |买   |     10|  1888.00|  1880.00|     500.00|      9400.00|
|大商所  |c1909  |20190404  |投机 |买   |     10|  1888.00|  1880.00|     500.00|      9400.00|
|大商所  |c1909  |20190404  |投机 |买   |     10|  1889.00|  1880.00|     500.00|      9400.00|
|大商所  |c1909  |20190403  |投机 |买   |      5|  1859.00|  1880.00|     250.00|      4700.00|
|大商所  |c1909  |20190404  |投机 |买   |     10|  1888.00|  1880.00|     500.00|      9400.00|
|大商所  |c1909  |20190404  |投机 |买   |     10|  1888.00|  1880.00|     500.00|      9400.00|
|大商所  |c1909  |20190404  |投机 |买   |     10|  1887.00|  1880.00|     500.00|      9400.00|
