                                                结算单

账户：0009
日期：20190426
                                               资金状况                            币种：人民币
-----------------------------------------------------------------------------------------------
上次结算金：       10945084.51                                   交割手续费：              0.00
出 入 金：                0.00                                   期末结存：         10904562.28
平仓盈亏：             3100.00                                   保证金占用：         569128.60
持仓盈亏：           -43360.00                                   可用资金：         10335433.68
手续费：                262.23                                   风险度：                 5.22%

-----------------------------------------------------------------------------------------------

                                               持仓明细
-----------------------------------------------------------------------------------------------
|交易所  | 合约  | 开仓日期 |投/保|买/卖| 持仓量|  开仓价 |  结算价 |  盯市盈亏 |    保证金   |
-----------------------------------------------------------------------------------------------

|大商所  |c1909  |20190423  |投机 |买   |      1|  1919.00|  1905.00|     -90.00|       952.50|
|大商所  |c1909  |20190423  |投机 |买   |      4|  1919.00|  1905.00|    -360.00|      3810.00|
|大商所  |c1909  |20190426  |投机 |买   |      1|  1907.00|  1905.00|     -20.00|       952.50|
|大商所  |c1909  |20190426  |投机 |买   |      5|  1907.00|  1905.00|    -100.00|      4762.50|
|大商所  |c1909  |20190426  |投机 |买   |      5|  1907.00|  1905.00|    -100.00|      4762.50|
|大商所  |c1909  |20190426  |投机 |买   |      5|  1907.00|  1905.00|    -100.00|      4762.50|
|大商所  |c1909  |20190426  |投机 |买   |      4|  1907.00|  1905.00|     -80.00|      3810.00|
|大商所  |c1909  |20190426  |投机 |买   |      5|  1906.00|  1905.00|     -50.00|      4762.50|
|大商所  |c1909  |20190404  |投机 |买   |     10|  1883.00|  1905.00|    -900.00|      9525.00|
|大商所  |c1909  |20190404  |投机 |买   |     10|  1884.00|  1905.00|    -900.00|      9525.00|
|大商所  |c1909  |20190404  |投机 |买   |     10|  1884.00|  1905.00|    -900.00|      9525.00|
|大商所  |c1909  |20190404  |投机 |买   |      6|  1886.00|  1905.00|    -540.00|      5715.00|
|大商所  |c1909  |20190404  |投机 |买   |      4|  1886.00|  1905.00|    -360.00|      3810.00|
|大商所  |c1909  |20190410  |投机 |买   |      5|  1878.00|  1905.00|    -450.00|      4762.50|
|大商所  |c1909  |20190410  |投机 |买   |      2|  1879.00|  1905.00|    -180.00|      1905.00|
|大商所  |c1909  |20190410  |投机 |买   |      1|  1879.00|  1905.00|     -90.00|       952.50|
|大商所  |c1909  |20190410  |投机 |买   |      1|  1879.00|  1905.00|     -90.00|       952.50|
|大商所  |c1909  |20190410  |投机 |买   |      1|  1879.00|  1905.00|     -90.00|       952.50|
|大商所  |c1909  |20190411  |投机 |买   |      5|  1880.00|  1905.00|    -450.00|      4762.50|
|大商所  |c1909  |20190410  |投机 |买   |      5|  1879.00|  1905.00|    -450.00|      4762.50|
|大商所  |c1909  |20190404  |投机 |买   |      7|  1888.00|  1905.00|    -630.00|      6667.50|
|大商所  |c1909  |20190404  |投机 |买   |      3|  1888.00|  1905.00|    -270.00|      2857.50|
|大商所  |c1909  |20190404  |投机 |买   |     10|  1889.00|  1905.00|    -900.00|      9525.00|
|大商所  |c1909  |20190411  |投机 |买   |      5|  1883.00|  1905.00|    -450.00|      4762.50|
|大商所  |c1909  |20190411  |投机 |买   |      5|  1883.00|  1905.00|    -450.00|      4762.50|
