                                                结算单

账户：0019
日期：20190410
                                               资金状况                            币种：人民币
-----------------------------------------------------------------------------------------------
上次结算金：       12651628.69                                   交割手续费：              0.00
出 入 金：                0.00                                   期末结存：         12641051.90
平仓盈亏：            -1950.00                                   保证金占用：        2126336.00
持仓盈亏：            -8150.00                                   可用资金：         10514715.90
手续费：                476.79                                   风险度：                16.82%

-----------------------------------------------------------------------------------------------

                                               持仓明细
-----------------------------------------------------------------------------------------------
|交易所  | 合约  | 开仓日期 |投/保|买/卖| 持仓量|  开仓价 |  结算价 |  盯市盈亏 |    保证金   |
-----------------------------------------------------------------------------------------------

|上期所  |cu1905 |20190408  |投机 |买   |      4| 49260.00| 49550.00|     600.00|     99100.00|
|上期所  |cu1905 |20190408  |投机 |买   |      4| 49260.00| 49550.00|     600.00|     99100.00|
|上期所  |cu1905 |20190408  |投机 |买   |      1| 49250.00| 49550.00|     150.00|     24775.00|
|上期所  |cu1905 |20190408  |投机 |买   |      1| 49230.00| 49550.00|     150.00|     24775.00|
|上期所  |cu1905 |20190408  |投机 |买   |      1| 49200.00| 49550.00|     150.00|     24775.00|
|上期所  |cu1905 |20190408  |投机 |买   |      3| 49240.00| 49550.00|     450.00|     74325.00|
|上期所  |cu1905 |20190408  |投机 |买   |      2| 49240.00| 49550.00|     300.00|     49550.00|
|上期所  |cu1905 |20190410  |投机 |买   |      1| 49550.00| 49550.00|       0.00|     24775.00|
|上期所  |cu1905 |20190410  |投机 |买   |      6| 49550.00| 49550.00|       0.00|    148650.00|
|上期所  |cu1905 |20190404  |投机 |买   |      2| 49580.00| 49550.00|     300.00|     49550.00|
|上期所  |cu1905 |20190404  |投机 |买   |      1| 49550.00| 49550.00|     150.00|     24775.00|
|上期所  |cu1905 |20190404  |投机 |买   |      1| 49500.00| 49550.00|     150.00|     24775.00|
|上期所  |cu1905 |20190404  |投机 |买   |      1| 49500.00| 49550.00|     150.00|     24775.00|
|上期所  |cu1905 |20190410  |投机 |买   |      1| 49450.00| 49550.00|     500.00|     24775.00|
|上期所  |cu1905 |20190404  |投机 |买   |      1| 49450.00| 49550.00|     150.00|     24775.00|
|上期所  |cu1905 |20190402  |投机 |买   |      1| 49230.00| 49550.00|     150.00|     24775.00|
|上期所  |cu1905 |20190408  |投机 |买   |      1| 49250.00| 49550.00|     150.00|     24775.00|
|上期所  |cu1905 |20190401  |投机 |买   |      1| 49360.00| 49550.00|     150.00|     24775.00|
|上期所  |cu1905 |20190401  |投机 |买   |      1| 49360.00| 49550.00|     150.00|     24775.00|
|上期所  |cu1905 |20190401  |投机 |买   |      1| 49330.00| 49550.00|     150.00|     24775.00|
|上期所  |cu1905 |20190401  |投机 |买   |      5| 49370.00| 49550.00|     750.00|    123875.00|
|上期所  |cu1905 |20190401  |投机 |买   |     10| 49410.00| 49550.00|    1500.00|    247750.00|
|上期所  |cu1905 |20190401  |投机 |买   |      5| 49410.00| 49550.00|     750.00|    123875.00|
|上期所  |cu1905 |20190404  |投机 |买   |      1| 49520.00| 49550.00|     150.00|     24775.00|
|上期所  |cu1905 |20190404  |投机 |买   |      1| 49520.00| 49550.00|     150.00|     24775.00|
