                                                结算单

账户：0019
日期：20190523
                                               资金状况                            币种：人民币
-----------------------------------------------------------------------------------------------
上次结算金：       12984330.36                                   交割手续费：              0.00
出 入 金：                0.00                                   期末结存：         12506802.31
平仓盈亏：           -12700.00                                   保证金占用：        4277376.00
持仓盈亏：          -463435.00                                   可用资金：          8229426.31
手续费：               1393.05                                   风险度：                34.20%

-----------------------------------------------------------------------------------------------

                                               持仓明细
-----------------------------------------------------------------------------------------------
|交易所  | 合约  | 开仓日期 |投/保|买/卖| 持仓量|  开仓价 |  结算价 |  盯市盈亏 |    保证金   |
-----------------------------------------------------------------------------------------------

|上期所  |ag1912 |20190508  |投机 |买   |      1|  3596.00|  3565.00|     105.00|      3208.50|
|上期所  |ag1912 |20190508  |投机 |买   |      1|  3596.00|  3565.00|     105.00|      3208.50|
|上期所  |ag1912 |20190508  |投机 |买   |      5|  3596.00|  3565.00|     525.00|     16042.50|
|上期所  |cu1907 |20190523  |投机 |买   |      2| 46840.00| 46800.00|    -400.00|     32760.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46840.00| 46800.00|    -200.00|     16380.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46840.00| 46800.00|    -200.00|     16380.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46840.00| 46800.00|    -200.00|     16380.00|
|上期所  |cu1907 |20190523  |投机 |买   |      2| 46840.00| 46800.00|    -400.00|     32760.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46840.00| 46800.00|    -200.00|     16380.00|
|上期所  |cu1907 |20190523  |投机 |买   |      2| 46840.00| 46800.00|    -400.00|     32760.00|
|上期所  |cu1907 |20190522  |投机 |买   |      1| 47260.00| 46800.00|   -3000.00|     16380.00|
|上期所  |cu1907 |20190522  |投机 |买   |      1| 47260.00| 46800.00|   -3000.00|     16380.00|
|上期所  |cu1907 |20190522  |投机 |买   |     20| 47300.00| 46800.00|  -60000.00|    327600.00|
|上期所  |cu1907 |20190513  |投机 |买   |      3| 47770.00| 46800.00|   -9000.00|     49140.00|
|上期所  |cu1907 |20190513  |投机 |买   |      2| 47770.00| 46800.00|   -6000.00|     32760.00|
|上期所  |cu1907 |20190513  |投机 |买   |      5| 47760.00| 46800.00|  -15000.00|     81900.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 46800.00|     -50.00|     16380.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 46800.00|     -50.00|     16380.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 46800.00|     -50.00|     16380.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 46800.00|     -50.00|     16380.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 46800.00|     -50.00|     16380.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 46800.00|     -50.00|     16380.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 46800.00|     -50.00|     16380.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 46800.00|     -50.00|     16380.00|
