                                                结算单

账户：0019
日期：20190524
                                               资金状况                            币种：人民币
-----------------------------------------------------------------------------------------------
上次结算金：       12506802.31                                   交割手续费：              0.00
出 入 金：                0.00                                   期末结存：         12720745.88
平仓盈亏：           110400.00                                   保证金占用：        3111283.20
持仓盈亏：           104740.00                                   可用资金：          9609462.68
手续费：               1196.43                                   风险度：                24.46%

-----------------------------------------------------------------------------------------------

                                               持仓明细
-----------------------------------------------------------------------------------------------
|交易所  | 合约  | 开仓日期 |投/保|买/卖| 持仓量|  开仓价 |  结算价 |  盯市盈亏 |    保证金   |
-----------------------------------------------------------------------------------------------

|上期所  |ag1912 |20190508  |投机 |买   |      1|  3596.00|  3586.00|     315.00|      3227.40|
|上期所  |ag1912 |20190508  |投机 |买   |      1|  3596.00|  3586.00|     315.00|      3227.40|
|上期所  |ag1912 |20190508  |投机 |买   |      5|  3596.00|  3586.00|    1575.00|     16137.00|
|上期所  |cu1907 |20190523  |投机 |买   |      2| 46840.00| 46900.00|    1000.00|     32830.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46840.00| 46900.00|     500.00|     16415.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46840.00| 46900.00|     500.00|     16415.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46840.00| 46900.00|     500.00|     16415.00|
|上期所  |cu1907 |20190523  |投机 |买   |      2| 46840.00| 46900.00|    1000.00|     32830.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46840.00| 46900.00|     500.00|     16415.00|
|上期所  |cu1907 |20190523  |投机 |买   |      2| 46840.00| 46900.00|    1000.00|     32830.00|
|上期所  |cu1907 |20190522  |投机 |买   |      1| 47260.00| 46900.00|     500.00|     16415.00|
|上期所  |cu1907 |20190522  |投机 |买   |      1| 47260.00| 46900.00|     500.00|     16415.00|
|上期所  |cu1907 |20190522  |投机 |买   |     20| 47300.00| 46900.00|   10000.00|    328300.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 46900.00|     500.00|     16415.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 46900.00|     500.00|     16415.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 46900.00|     500.00|     16415.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 46900.00|     500.00|     16415.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 46900.00|     500.00|     16415.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 46900.00|     500.00|     16415.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 46900.00|     500.00|     16415.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 46900.00|     500.00|     16415.00|
|上期所  |cu1907 |20190523  |投机 |买   |      2| 46810.00| 46900.00|    1000.00|     32830.00|
|上期所  |ag1912 |20190508  |投机 |买   |      1|  3606.00|  3586.00|     315.00|      3227.40|
|上期所  |cu1907 |20190523  |投机 |买   |      2| 46790.00| 46900.00|    1000.00|     32830.00|
|上期所  |cu1907 |20190523  |投机 |买   |      2| 46780.00| 46900.00|    1000.00|     32830.00|
