                                                结算单

账户：0019
日期：20190527
                                               资金状况                            币种：人民币
-----------------------------------------------------------------------------------------------
上次结算金：       12720745.88                                   交割手续费：              0.00
出 入 金：                0.00                                   期末结存：         12923310.51
平仓盈亏：            30550.00                                   保证金占用：        2913804.30
持仓盈亏：           172245.00                                   可用资金：         10009506.21
手续费：                230.37                                   风险度：                22.55%

-----------------------------------------------------------------------------------------------

                                               持仓明细
-----------------------------------------------------------------------------------------------
|交易所  | 合约  | 开仓日期 |投/保|买/卖| 持仓量|  开仓价 |  结算价 |  盯市盈亏 |    保证金   |
-----------------------------------------------------------------------------------------------

|上期所  |ag1912 |20190508  |投机 |买   |      1|  3596.00|  3583.00|     -45.00|      3224.70|
|上期所  |ag1912 |20190508  |投机 |买   |      1|  3596.00|  3583.00|     -45.00|      3224.70|
|上期所  |ag1912 |20190508  |投机 |买   |      5|  3596.00|  3583.00|    -225.00|     16123.50|
|上期所  |cu1907 |20190523  |投机 |买   |      2| 46840.00| 47150.00|    2500.00|     33005.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46840.00| 47150.00|    1250.00|     16502.50|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46840.00| 47150.00|    1250.00|     16502.50|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46840.00| 47150.00|    1250.00|     16502.50|
|上期所  |cu1907 |20190523  |投机 |买   |      2| 46840.00| 47150.00|    2500.00|     33005.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46840.00| 47150.00|    1250.00|     16502.50|
|上期所  |cu1907 |20190523  |投机 |买   |      2| 46840.00| 47150.00|    2500.00|     33005.00|
|上期所  |cu1907 |20190522  |投机 |买   |      1| 47260.00| 47150.00|    1250.00|     16502.50|
|上期所  |cu1907 |20190522  |投机 |买   |      1| 47260.00| 47150.00|    1250.00|     16502.50|
|上期所  |cu1907 |20190522  |投机 |买   |     20| 47300.00| 47150.00|   25000.00|    330050.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 47150.00|    1250.00|     16502.50|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 47150.00|    1250.00|     16502.50|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 47150.00|    1250.00|     16502.50|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 47150.00|    1250.00|     16502.50|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 47150.00|    1250.00|     16502.50|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 47150.00|    1250.00|     16502.50|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 47150.00|    1250.00|     16502.50|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 47150.00|    1250.00|     16502.50|
|上期所  |cu1907 |20190523  |投机 |买   |      2| 46810.00| 47150.00|    2500.00|     33005.00|
|上期所  |ag1912 |20190508  |投机 |买   |      1|  3606.00|  3583.00|     -45.00|      3224.70|
|上期所  |cu1907 |20190523  |投机 |买   |      2| 46790.00| 47150.00|    2500.00|     33005.00|
|上期所  |cu1907 |20190523  |投机 |买   |      2| 46780.00| 47150.00|    2500.00|     33005.00|
