                                                结算单

账户：0019
日期：20190528
                                               资金状况                            币种：人民币
-----------------------------------------------------------------------------------------------
上次结算金：       12923310.51                                   交割手续费：              0.00
出 入 金：                0.00                                   期末结存：         12968755.37
平仓盈亏：             -655.00                                   保证金占用：        2388747.90
持仓盈亏：            46580.00                                   可用资金：         10580007.47
手续费：                480.14                                   风险度：                18.42%

-----------------------------------------------------------------------------------------------

                                               持仓明细
-----------------------------------------------------------------------------------------------
|交易所  | 合约  | 开仓日期 |投/保|买/卖| 持仓量|  开仓价 |  结算价 |  盯市盈亏 |    保证金   |
-----------------------------------------------------------------------------------------------

|上期所  |ag1912 |20190508  |投机 |买   |      1|  3596.00|  3577.00|     -90.00|      3219.30|
|上期所  |ag1912 |20190508  |投机 |买   |      5|  3596.00|  3577.00|    -450.00|     16096.50|
|上期所  |cu1907 |20190523  |投机 |买   |      2| 46840.00| 47230.00|     800.00|     33061.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46840.00| 47230.00|     400.00|     16530.50|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46840.00| 47230.00|     400.00|     16530.50|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46840.00| 47230.00|     400.00|     16530.50|
|上期所  |cu1907 |20190523  |投机 |买   |      2| 46840.00| 47230.00|     800.00|     33061.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46840.00| 47230.00|     400.00|     16530.50|
|上期所  |cu1907 |20190523  |投机 |买   |      2| 46840.00| 47230.00|     800.00|     33061.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 47230.00|     400.00|     16530.50|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 47230.00|     400.00|     16530.50|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 47230.00|     400.00|     16530.50|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 47230.00|     400.00|     16530.50|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 47230.00|     400.00|     16530.50|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 47230.00|     400.00|     16530.50|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 47230.00|     400.00|     16530.50|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46810.00| 47230.00|     400.00|     16530.50|
|上期所  |cu1907 |20190523  |投机 |买   |      2| 46810.00| 47230.00|     800.00|     33061.00|
|上期所  |ag1912 |20190508  |投机 |买   |      1|  3606.00|  3577.00|     -90.00|      3219.30|
|上期所  |cu1907 |20190523  |投机 |买   |      2| 46790.00| 47230.00|     800.00|     33061.00|
|上期所  |cu1907 |20190523  |投机 |买   |      2| 46780.00| 47230.00|     800.00|     33061.00|
|上期所  |cu1907 |20190523  |投机 |买   |      2| 46780.00| 47230.00|     800.00|     33061.00|
|上期所  |cu1907 |20190523  |投机 |买   |      2| 46780.00| 47230.00|     800.00|     33061.00|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46770.00| 47230.00|     400.00|     16530.50|
|上期所  |cu1907 |20190523  |投机 |买   |      1| 46770.00| 47230.00|     400.00|     16530.50|
