                                            结算单 Settlement Statement                                                

账户：0019
日期：20190719
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        12874202.59                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            12565963.87
平仓盈亏 Realized P/L：                600.00                  保证金占用 Margin Occupied：       7087917.50
持仓盈亏  MTM P/L：                -300820.00                  可用资金 Fund Avail.：             5478046.37
手续费 Commission：                   8018.72                  风险度 Risk Degree：                   56.41%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     上期所|           cu1909|  20190717|  投机|  买  |        1|    46950.000|        47510.000|      3600.00|     16628.50|
|     上期所|           cu1909|  20190716|  投机|    卖|        1|    46930.000|        47510.000|     -3600.00|     16628.50|
|     上期所|           cu1909|  20190716|  投机|    卖|        1|    46940.000|        47510.000|     -3600.00|     16628.50|
|     上期所|           cu1909|  20190716|  投机|    卖|        1|    46960.000|        47510.000|     -3600.00|     16628.50|
|     上期所|           cu1909|  20190716|  投机|    卖|        1|    46970.000|        47510.000|     -3600.00|     16628.50|
|     上期所|           cu1909|  20190716|  投机|    卖|        1|    46980.000|        47510.000|     -3600.00|     16628.50|
|     上期所|           cu1909|  20190716|  投机|    卖|        1|    46990.000|        47510.000|     -3600.00|     16628.50|
|     上期所|           cu1909|  20190712|  投机|    卖|        1|    46670.000|        47510.000|     -3600.00|     16628.50|
|     上期所|           cu1909|  20190704|  投机|  买  |        1|    46480.000|        47510.000|      3600.00|     16628.50|
|     上期所|           cu1909|  20190704|  投机|  买  |        1|    46420.000|        47510.000|      3600.00|     16628.50|
|     上期所|           cu1909|  20190715|  投机|    卖|        1|    46880.000|        47510.000|     -3600.00|     16628.50|
|     上期所|           cu1909|  20190715|  投机|    卖|        1|    46880.000|        47510.000|     -3600.00|     16628.50|
|     上期所|           cu1909|  20190715|  投机|    卖|        1|    46890.000|        47510.000|     -3600.00|     16628.50|
|     上期所|           cu1909|  20190715|  投机|    卖|        1|    46890.000|        47510.000|     -3600.00|     16628.50|
|     上期所|           cu1909|  20190715|  投机|    卖|        1|    46890.000|        47510.000|     -3600.00|     16628.50|
|     上期所|           cu1909|  20190715|  投机|    卖|        1|    46900.000|        47510.000|     -3600.00|     16628.50|
|     上期所|           cu1909|  20190715|  投机|    卖|        1|    46900.000|        47510.000|     -3600.00|     16628.50|
|     上期所|           cu1909|  20190715|  投机|    卖|        1|    46900.000|        47510.000|     -3600.00|     16628.50|
|     上期所|           cu1909|  20190715|  投机|    卖|        1|    46930.000|        47510.000|     -3600.00|     16628.50|
|     上期所|           cu1909|  20190703|  投机|  买  |        1|    46300.000|        47510.000|      3600.00|     16628.50|
|     上期所|           cu1909|  20190703|  投机|  买  |        1|    46300.000|        47510.000|      3600.00|     16628.50|
|     上期所|           cu1909|  20190703|  投机|  买  |        2|    46280.000|        47510.000|      7200.00|     33257.00|
|     上期所|           cu1909|  20190624|  投机|  买  |        1|    46790.000|        47510.000|      3600.00|     16628.50|
|     上期所|           cu1909|  20190703|  投机|  买  |        2|    46260.000|        47510.000|      7200.00|     33257.00|
|     上期所|           cu1909|  20190624|  投机|  买  |        1|    46780.000|        47510.000|      3600.00|     16628.50|
|     上期所|           cu1909|  20190703|  投机|  买  |        1|    46280.000|        47510.000|      3600.00|     16628.50|
|     上期所|           cu1909|  20190717|  投机|  买  |        1|    46830.000|        47510.000|      3600.00|     16628.50|
|     大商所|            c2001|  20190719|  投机|    卖|       47|     1990.000|         1985.000|      2350.00|     46647.50|
|     大商所|            c2001|  20190719|  投机|    卖|       47|     1991.000|         1985.000|      2820.00|     46647.50|
|     大商所|            c2001|  20190719|  投机|    卖|       38|     1992.000|         1985.000|      2660.00|     37715.00|
|     大商所|            c2001|  20190719|  投机|    卖|        9|     1992.000|         1985.000|       630.00|      8932.50|
|     大商所|            c2001|  20190719|  投机|    卖|        9|     1993.000|         1985.000|       720.00|      8932.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1993.000|         1985.000|        80.00|       992.50|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1993.000|         1985.000|       800.00|      9925.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1993.000|         1985.000|        80.00|       992.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1993.000|         1985.000|        80.00|       992.50|
|     大商所|            c2001|  20190719|  投机|    卖|        3|     1993.000|         1985.000|       240.00|      2977.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1993.000|         1985.000|        80.00|       992.50|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1993.000|         1985.000|       400.00|      4962.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1993.000|         1985.000|       160.00|      1985.00|
|     大商所|            c2001|  20190719|  投机|    卖|       15|     1993.000|         1985.000|      1200.00|     14887.50|
|     大商所|            c2001|  20190719|  投机|    卖|       48|     1994.000|         1985.000|      4320.00|     47640.00|
|     大商所|            c2001|  20190719|  投机|    卖|       81|     1983.000|         1985.000|     -1620.00|     80392.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1983.000|         1985.000|       -20.00|       992.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1983.000|         1985.000|       -20.00|       992.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1983.000|         1985.000|       -40.00|      1985.00|
|     大商所|            c2001|  20190719|  投机|    卖|       15|     1983.000|         1985.000|      -300.00|     14887.50|
|     大商所|            c2001|  20190719|  投机|    卖|       14|     1983.000|         1985.000|      -280.00|     13895.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1983.000|         1985.000|       -20.00|       992.50|
|     大商所|            c2001|  20190719|  投机|    卖|       29|     1983.000|         1985.000|      -580.00|     28782.50|
|     大商所|            c2001|  20190719|  投机|    卖|       29|     1983.000|         1985.000|      -580.00|     28782.50|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1983.000|         1985.000|      -200.00|      9925.00|
|     大商所|            c2001|  20190719|  投机|    卖|       17|     1983.000|         1985.000|      -340.00|     16872.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1983.000|         1985.000|       -20.00|       992.50|
|     大商所|            c2001|  20190719|  投机|    卖|       12|     1983.000|         1985.000|      -240.00|     11910.00|
|     大商所|            c2001|  20190719|  投机|    卖|      100|     1984.000|         1985.000|     -1000.00|     99250.00|
|     大商所|            c2001|  20190719|  投机|    卖|      100|     1983.000|         1985.000|     -2000.00|     99250.00|
|     大商所|            c2001|  20190719|  投机|    卖|      100|     1983.000|         1985.000|     -2000.00|     99250.00|
|     大商所|            c2001|  20190719|  投机|    卖|      284|     1983.000|         1985.000|     -5680.00|    281870.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1983.000|         1985.000|       -20.00|       992.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1983.000|         1985.000|       -40.00|      1985.00|
|     大商所|            c2001|  20190719|  投机|    卖|       13|     1983.000|         1985.000|      -260.00|     12902.50|
|     大商所|            c2001|  20190719|  投机|    卖|       98|     1983.000|         1985.000|     -1960.00|     97265.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1983.000|         1985.000|       -40.00|      1985.00|
|     大商所|            c2001|  20190719|  投机|    卖|       11|     1983.000|         1985.000|      -220.00|     10917.50|
|     大商所|            c2001|  20190719|  投机|    卖|       50|     1983.000|         1985.000|     -1000.00|     49625.00|
|     大商所|            c2001|  20190719|  投机|    卖|        6|     1983.000|         1985.000|      -120.00|      5955.00|
|     大商所|            c2001|  20190719|  投机|    卖|       15|     1983.000|         1985.000|      -300.00|     14887.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1983.000|         1985.000|       -20.00|       992.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1983.000|         1985.000|       -20.00|       992.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1983.000|         1985.000|       -20.00|       992.50|
|     大商所|            c2001|  20190719|  投机|    卖|       15|     1983.000|         1985.000|      -300.00|     14887.50|
|     大商所|            c2001|  20190719|  投机|    卖|       58|     1983.000|         1985.000|     -1160.00|     57565.00|
|     大商所|            c2001|  20190719|  投机|    卖|       42|     1983.000|         1985.000|      -840.00|     41685.00|
|     大商所|            c2001|  20190719|  投机|    卖|      100|     1983.000|         1985.000|     -2000.00|     99250.00|
|     大商所|            c2001|  20190719|  投机|    卖|       43|     1983.000|         1985.000|      -860.00|     42677.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1983.000|         1985.000|       -20.00|       992.50|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1983.000|         1985.000|       -80.00|      3970.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1980.000|         1985.000|      -500.00|      9925.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1980.000|         1985.000|       -50.00|       992.50|
|     大商所|            c2001|  20190719|  投机|    卖|       89|     1980.000|         1985.000|     -4450.00|     88332.50|
