                                            结算单 Settlement Statement                                                

账户：0019
日期：20190722
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        12565963.87                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            13497594.51
平仓盈亏 Realized P/L：              -1400.00                  保证金占用 Margin Occupied：       7801818.00
持仓盈亏  MTM P/L：                 934330.00                  可用资金 Fund Avail.：             5695776.51
手续费 Commission：                   1299.36                  风险度 Risk Degree：                   57.80%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            c2001|  20190719|  投机|    卖|       47|     1990.000|         1969.000|      7520.00|     46271.50|
|     大商所|            c2001|  20190719|  投机|    卖|       47|     1991.000|         1969.000|      7520.00|     46271.50|
|     大商所|            c2001|  20190719|  投机|    卖|       38|     1992.000|         1969.000|      6080.00|     37411.00|
|     大商所|            c2001|  20190719|  投机|    卖|        9|     1992.000|         1969.000|      1440.00|      8860.50|
|     大商所|            c2001|  20190719|  投机|    卖|        9|     1993.000|         1969.000|      1440.00|      8860.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1993.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1993.000|         1969.000|      1600.00|      9845.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1993.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1993.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|        3|     1993.000|         1969.000|       480.00|      2953.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1993.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1993.000|         1969.000|       800.00|      4922.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1993.000|         1969.000|       320.00|      1969.00|
|     大商所|            c2001|  20190719|  投机|    卖|       15|     1993.000|         1969.000|      2400.00|     14767.50|
|     大商所|            c2001|  20190719|  投机|    卖|       48|     1994.000|         1969.000|      7680.00|     47256.00|
|     大商所|            c2001|  20190719|  投机|    卖|       81|     1983.000|         1969.000|     12960.00|     79744.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1983.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1983.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1983.000|         1969.000|       320.00|      1969.00|
|     大商所|            c2001|  20190719|  投机|    卖|       15|     1983.000|         1969.000|      2400.00|     14767.50|
|     大商所|            c2001|  20190719|  投机|    卖|       14|     1983.000|         1969.000|      2240.00|     13783.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1983.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|       29|     1983.000|         1969.000|      4640.00|     28550.50|
|     大商所|            c2001|  20190719|  投机|    卖|       29|     1983.000|         1969.000|      4640.00|     28550.50|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1983.000|         1969.000|      1600.00|      9845.00|
|     大商所|            c2001|  20190719|  投机|    卖|       17|     1983.000|         1969.000|      2720.00|     16736.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1983.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|       12|     1983.000|         1969.000|      1920.00|     11814.00|
|     大商所|            c2001|  20190719|  投机|    卖|      100|     1984.000|         1969.000|     16000.00|     98450.00|
|     大商所|            c2001|  20190719|  投机|    卖|      100|     1983.000|         1969.000|     16000.00|     98450.00|
|     大商所|            c2001|  20190719|  投机|    卖|      100|     1983.000|         1969.000|     16000.00|     98450.00|
|     大商所|            c2001|  20190719|  投机|    卖|      284|     1983.000|         1969.000|     45440.00|    279598.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1983.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1983.000|         1969.000|       320.00|      1969.00|
|     大商所|            c2001|  20190719|  投机|    卖|       13|     1983.000|         1969.000|      2080.00|     12798.50|
|     大商所|            c2001|  20190719|  投机|    卖|       98|     1983.000|         1969.000|     15680.00|     96481.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1983.000|         1969.000|       320.00|      1969.00|
|     大商所|            c2001|  20190719|  投机|    卖|       11|     1983.000|         1969.000|      1760.00|     10829.50|
|     大商所|            c2001|  20190719|  投机|    卖|       50|     1983.000|         1969.000|      8000.00|     49225.00|
|     大商所|            c2001|  20190719|  投机|    卖|        6|     1983.000|         1969.000|       960.00|      5907.00|
|     大商所|            c2001|  20190719|  投机|    卖|       15|     1983.000|         1969.000|      2400.00|     14767.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1983.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1983.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1983.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|       15|     1983.000|         1969.000|      2400.00|     14767.50|
|     大商所|            c2001|  20190719|  投机|    卖|       58|     1983.000|         1969.000|      9280.00|     57101.00|
|     大商所|            c2001|  20190719|  投机|    卖|       42|     1983.000|         1969.000|      6720.00|     41349.00|
|     大商所|            c2001|  20190719|  投机|    卖|      100|     1983.000|         1969.000|     16000.00|     98450.00|
|     大商所|            c2001|  20190719|  投机|    卖|       43|     1983.000|         1969.000|      6880.00|     42333.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1983.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1983.000|         1969.000|       640.00|      3938.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1980.000|         1969.000|      1600.00|      9845.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1980.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|       89|     1980.000|         1969.000|     14240.00|     87620.50|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1981.000|         1969.000|       800.00|      4922.50|
|     大商所|            c2001|  20190719|  投机|    卖|       95|     1981.000|         1969.000|     15200.00|     93527.50|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1981.000|         1969.000|      3200.00|     19690.00|
|     大商所|            c2001|  20190719|  投机|    卖|       16|     1981.000|         1969.000|      2560.00|     15752.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1981.000|         1969.000|      3200.00|     19690.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1981.000|         1969.000|       320.00|      1969.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1969.000|       160.00|       984.50|
|     大商所|            c2001|  20190719|  投机|    卖|       24|     1981.000|         1969.000|      3840.00|     23628.00|
|     大商所|            c2001|  20190719|  投机|    卖|      100|     1981.000|         1969.000|     16000.00|     98450.00|
|     大商所|            c2001|  20190719|  投机|    卖|       13|     1981.000|         1969.000|      2080.00|     12798.50|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1981.000|         1969.000|      4800.00|     29535.00|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1981.000|         1969.000|      4800.00|     29535.00|
