                                            结算单 Settlement Statement                                                

账户：0019
日期：20190723
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        13497594.51                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            13577646.97
平仓盈亏 Realized P/L：             -20500.00                  保证金占用 Margin Occupied：       7199373.00
持仓盈亏  MTM P/L：                 101340.00                  可用资金 Fund Avail.：             6378273.97
手续费 Commission：                    787.54                  风险度 Risk Degree：                   53.02%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            c2001|  20190719|  投机|    卖|       50|     1983.000|         1968.000|       500.00|     49200.00|
|     大商所|            c2001|  20190719|  投机|    卖|      100|     1983.000|         1968.000|      1000.00|     98400.00|
|     大商所|            c2001|  20190719|  投机|    卖|      284|     1983.000|         1968.000|      2840.00|    279456.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1983.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1983.000|         1968.000|        20.00|      1968.00|
|     大商所|            c2001|  20190719|  投机|    卖|       13|     1983.000|         1968.000|       130.00|     12792.00|
|     大商所|            c2001|  20190719|  投机|    卖|       98|     1983.000|         1968.000|       980.00|     96432.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1983.000|         1968.000|        20.00|      1968.00|
|     大商所|            c2001|  20190719|  投机|    卖|       11|     1983.000|         1968.000|       110.00|     10824.00|
|     大商所|            c2001|  20190719|  投机|    卖|       50|     1983.000|         1968.000|       500.00|     49200.00|
|     大商所|            c2001|  20190719|  投机|    卖|        6|     1983.000|         1968.000|        60.00|      5904.00|
|     大商所|            c2001|  20190719|  投机|    卖|       15|     1983.000|         1968.000|       150.00|     14760.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1983.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1983.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1983.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|       15|     1983.000|         1968.000|       150.00|     14760.00|
|     大商所|            c2001|  20190719|  投机|    卖|       58|     1983.000|         1968.000|       580.00|     57072.00|
|     大商所|            c2001|  20190719|  投机|    卖|       42|     1983.000|         1968.000|       420.00|     41328.00|
|     大商所|            c2001|  20190719|  投机|    卖|      100|     1983.000|         1968.000|      1000.00|     98400.00|
|     大商所|            c2001|  20190719|  投机|    卖|       43|     1983.000|         1968.000|       430.00|     42312.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1983.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1983.000|         1968.000|        40.00|      3936.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1980.000|         1968.000|       100.00|      9840.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1980.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|       89|     1980.000|         1968.000|       890.00|     87576.00|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1981.000|         1968.000|        50.00|      4920.00|
|     大商所|            c2001|  20190719|  投机|    卖|       95|     1981.000|         1968.000|       950.00|     93480.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1981.000|         1968.000|       200.00|     19680.00|
|     大商所|            c2001|  20190719|  投机|    卖|       16|     1981.000|         1968.000|       160.00|     15744.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1981.000|         1968.000|       200.00|     19680.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1981.000|         1968.000|        20.00|      1968.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|       24|     1981.000|         1968.000|       240.00|     23616.00|
|     大商所|            c2001|  20190719|  投机|    卖|      100|     1981.000|         1968.000|      1000.00|     98400.00|
|     大商所|            c2001|  20190719|  投机|    卖|       13|     1981.000|         1968.000|       130.00|     12792.00|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1981.000|         1968.000|       300.00|     29520.00|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1981.000|         1968.000|       300.00|     29520.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|       26|     1981.000|         1968.000|       260.00|     25584.00|
|     大商所|            c2001|  20190719|  投机|    卖|        9|     1981.000|         1968.000|        90.00|      8856.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1981.000|         1968.000|       200.00|     19680.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1981.000|         1968.000|       200.00|     19680.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1981.000|         1968.000|       200.00|     19680.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1981.000|         1968.000|       200.00|     19680.00|
|     大商所|            c2001|  20190719|  投机|    卖|       11|     1981.000|         1968.000|       110.00|     10824.00|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1981.000|         1968.000|        40.00|      3936.00|
|     大商所|            c2001|  20190719|  投机|    卖|       17|     1981.000|         1968.000|       170.00|     16728.00|
|     大商所|            c2001|  20190719|  投机|    卖|       17|     1981.000|         1968.000|       170.00|     16728.00|
|     大商所|            c2001|  20190719|  投机|    卖|       17|     1981.000|         1968.000|       170.00|     16728.00|
|     大商所|            c2001|  20190719|  投机|    卖|       17|     1981.000|         1968.000|       170.00|     16728.00|
|     大商所|            c2001|  20190719|  投机|    卖|       17|     1981.000|         1968.000|       170.00|     16728.00|
|     大商所|            c2001|  20190719|  投机|    卖|       11|     1981.000|         1968.000|       110.00|     10824.00|
|     大商所|            c2001|  20190719|  投机|    卖|        9|     1981.000|         1968.000|        90.00|      8856.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|       13|     1981.000|         1968.000|       130.00|     12792.00|
|     大商所|            c2001|  20190719|  投机|    卖|       77|     1981.000|         1968.000|       770.00|     75768.00|
|     大商所|            c2001|  20190719|  投机|    卖|       23|     1981.000|         1968.000|       230.00|     22632.00|
|     大商所|            c2001|  20190719|  投机|    卖|        3|     1981.000|         1968.000|        30.00|      2952.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|       50|     1981.000|         1968.000|       500.00|     49200.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1968.000|        10.00|       984.00|
|     大商所|            c2001|  20190719|  投机|    卖|       17|     1981.000|         1968.000|       170.00|     16728.00|
