                                            结算单 Settlement Statement                                                

账户：0019
日期：20190725
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        13336034.42                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            13028550.02
平仓盈亏 Realized P/L：             -38700.00                  保证金占用 Margin Occupied：       6083037.00
持仓盈亏  MTM P/L：                -267900.00                  可用资金 Fund Avail.：             6945513.02
手续费 Commission：                    884.40                  风险度 Risk Degree：                   46.69%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            c2001|  20190719|  投机|    卖|       28|     1981.000|         1977.000|     -1400.00|     27678.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1981.000|         1977.000|     -1000.00|     19770.00|
|     大商所|            c2001|  20190719|  投机|    卖|       16|     1981.000|         1977.000|      -800.00|     15816.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1981.000|         1977.000|     -1000.00|     19770.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1981.000|         1977.000|      -100.00|      1977.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|       24|     1981.000|         1977.000|     -1200.00|     23724.00|
|     大商所|            c2001|  20190719|  投机|    卖|      100|     1981.000|         1977.000|     -5000.00|     98850.00|
|     大商所|            c2001|  20190719|  投机|    卖|       13|     1981.000|         1977.000|      -650.00|     12850.50|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1981.000|         1977.000|     -1500.00|     29655.00|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1981.000|         1977.000|     -1500.00|     29655.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|       26|     1981.000|         1977.000|     -1300.00|     25701.00|
|     大商所|            c2001|  20190719|  投机|    卖|        9|     1981.000|         1977.000|      -450.00|      8896.50|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1981.000|         1977.000|     -1000.00|     19770.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1981.000|         1977.000|     -1000.00|     19770.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1981.000|         1977.000|     -1000.00|     19770.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1981.000|         1977.000|     -1000.00|     19770.00|
|     大商所|            c2001|  20190719|  投机|    卖|       11|     1981.000|         1977.000|      -550.00|     10873.50|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1981.000|         1977.000|      -200.00|      3954.00|
|     大商所|            c2001|  20190719|  投机|    卖|       17|     1981.000|         1977.000|      -850.00|     16804.50|
|     大商所|            c2001|  20190719|  投机|    卖|       17|     1981.000|         1977.000|      -850.00|     16804.50|
|     大商所|            c2001|  20190719|  投机|    卖|       17|     1981.000|         1977.000|      -850.00|     16804.50|
|     大商所|            c2001|  20190719|  投机|    卖|       17|     1981.000|         1977.000|      -850.00|     16804.50|
|     大商所|            c2001|  20190719|  投机|    卖|       17|     1981.000|         1977.000|      -850.00|     16804.50|
|     大商所|            c2001|  20190719|  投机|    卖|       11|     1981.000|         1977.000|      -550.00|     10873.50|
|     大商所|            c2001|  20190719|  投机|    卖|        9|     1981.000|         1977.000|      -450.00|      8896.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|       13|     1981.000|         1977.000|      -650.00|     12850.50|
|     大商所|            c2001|  20190719|  投机|    卖|       77|     1981.000|         1977.000|     -3850.00|     76114.50|
|     大商所|            c2001|  20190719|  投机|    卖|       23|     1981.000|         1977.000|     -1150.00|     22735.50|
|     大商所|            c2001|  20190719|  投机|    卖|        3|     1981.000|         1977.000|      -150.00|      2965.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|       50|     1981.000|         1977.000|     -2500.00|     49425.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|       17|     1981.000|         1977.000|      -850.00|     16804.50|
|     大商所|            c2001|  20190719|  投机|    卖|       42|     1980.000|         1977.000|     -2100.00|     41517.00|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1980.000|         1977.000|      -200.00|      3954.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1980.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1980.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1980.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|       51|     1980.000|         1977.000|     -2550.00|     50413.50|
|     大商所|            c2001|  20190719|  投机|    卖|      100|     1979.000|         1977.000|     -5000.00|     98850.00|
|     大商所|            c2001|  20190719|  投机|    卖|      189|     1979.000|         1977.000|     -9450.00|    186826.50|
|     大商所|            c2001|  20190719|  投机|    卖|        6|     1979.000|         1977.000|      -300.00|      5931.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1979.000|         1977.000|      -200.00|      3954.00|
|     大商所|            c2001|  20190719|  投机|    卖|      184|     1979.000|         1977.000|     -9200.00|    181884.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1977.000|       -50.00|       988.50|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1979.000|         1977.000|      -250.00|      4942.50|
|     大商所|            c2001|  20190719|  投机|    卖|      307|     1979.000|         1977.000|    -15350.00|    303469.50|
|     大商所|            c2001|  20190719|  投机|    卖|      100|     1979.000|         1977.000|     -5000.00|     98850.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1966.000|         1977.000|      -150.00|      2965.50|
|     大商所|            c2001|  20190722|  投机|    卖|       97|     1966.000|         1977.000|     -4850.00|     95884.50|
|     大商所|            c2001|  20190719|  投机|    卖|      200|     1978.000|         1977.000|    -10000.00|    197700.00|
|     大商所|            c2001|  20190719|  投机|    卖|      500|     1979.000|         1977.000|    -25000.00|    494250.00|
|     大商所|            c2001|  20190722|  投机|    卖|      100|     1966.000|         1977.000|     -5000.00|     98850.00|
