                                            结算单 Settlement Statement                                                

账户：0019
日期：20190726
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        13028550.02                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            13133821.33
平仓盈亏 Realized P/L：               -300.00                  保证金占用 Margin Occupied：       6008558.00
持仓盈亏  MTM P/L：                 105680.00                  可用资金 Fund Avail.：             7125263.33
手续费 Commission：                    108.69                  风险度 Risk Degree：                   45.75%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            c2001|  20190719|  投机|    卖|       17|     1981.000|         1975.000|       340.00|     16787.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1981.000|         1975.000|        40.00|      1975.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|       24|     1981.000|         1975.000|       480.00|     23700.00|
|     大商所|            c2001|  20190719|  投机|    卖|      100|     1981.000|         1975.000|      2000.00|     98750.00|
|     大商所|            c2001|  20190719|  投机|    卖|       13|     1981.000|         1975.000|       260.00|     12837.50|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1981.000|         1975.000|       600.00|     29625.00|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1981.000|         1975.000|       600.00|     29625.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|       26|     1981.000|         1975.000|       520.00|     25675.00|
|     大商所|            c2001|  20190719|  投机|    卖|        9|     1981.000|         1975.000|       180.00|      8887.50|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1981.000|         1975.000|       400.00|     19750.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1981.000|         1975.000|       400.00|     19750.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1981.000|         1975.000|       400.00|     19750.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1981.000|         1975.000|       400.00|     19750.00|
|     大商所|            c2001|  20190719|  投机|    卖|       11|     1981.000|         1975.000|       220.00|     10862.50|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1981.000|         1975.000|        80.00|      3950.00|
|     大商所|            c2001|  20190719|  投机|    卖|       17|     1981.000|         1975.000|       340.00|     16787.50|
|     大商所|            c2001|  20190719|  投机|    卖|       17|     1981.000|         1975.000|       340.00|     16787.50|
|     大商所|            c2001|  20190719|  投机|    卖|       17|     1981.000|         1975.000|       340.00|     16787.50|
|     大商所|            c2001|  20190719|  投机|    卖|       17|     1981.000|         1975.000|       340.00|     16787.50|
|     大商所|            c2001|  20190719|  投机|    卖|       17|     1981.000|         1975.000|       340.00|     16787.50|
|     大商所|            c2001|  20190719|  投机|    卖|       11|     1981.000|         1975.000|       220.00|     10862.50|
|     大商所|            c2001|  20190719|  投机|    卖|        9|     1981.000|         1975.000|       180.00|      8887.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|       13|     1981.000|         1975.000|       260.00|     12837.50|
|     大商所|            c2001|  20190719|  投机|    卖|       77|     1981.000|         1975.000|      1540.00|     76037.50|
|     大商所|            c2001|  20190719|  投机|    卖|       23|     1981.000|         1975.000|       460.00|     22712.50|
|     大商所|            c2001|  20190719|  投机|    卖|        3|     1981.000|         1975.000|        60.00|      2962.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|       50|     1981.000|         1975.000|      1000.00|     49375.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1981.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|       17|     1981.000|         1975.000|       340.00|     16787.50|
|     大商所|            c2001|  20190719|  投机|    卖|       42|     1980.000|         1975.000|       840.00|     41475.00|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1980.000|         1975.000|        80.00|      3950.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1980.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1980.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1980.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|       51|     1980.000|         1975.000|      1020.00|     50362.50|
|     大商所|            c2001|  20190719|  投机|    卖|      100|     1979.000|         1975.000|      2000.00|     98750.00|
|     大商所|            c2001|  20190719|  投机|    卖|      189|     1979.000|         1975.000|      3780.00|    186637.50|
|     大商所|            c2001|  20190719|  投机|    卖|        6|     1979.000|         1975.000|       120.00|      5925.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1979.000|         1975.000|        80.00|      3950.00|
|     大商所|            c2001|  20190719|  投机|    卖|      184|     1979.000|         1975.000|      3680.00|    181700.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1979.000|         1975.000|       100.00|      4937.50|
|     大商所|            c2001|  20190719|  投机|    卖|      307|     1979.000|         1975.000|      6140.00|    303162.50|
|     大商所|            c2001|  20190719|  投机|    卖|      100|     1979.000|         1975.000|      2000.00|     98750.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1966.000|         1975.000|        60.00|      2962.50|
|     大商所|            c2001|  20190722|  投机|    卖|       97|     1966.000|         1975.000|      1940.00|     95787.50|
|     大商所|            c2001|  20190719|  投机|    卖|      200|     1978.000|         1975.000|      4000.00|    197500.00|
|     大商所|            c2001|  20190719|  投机|    卖|      500|     1979.000|         1975.000|     10000.00|    493750.00|
|     大商所|            c2001|  20190722|  投机|    卖|      100|     1966.000|         1975.000|      2000.00|     98750.00|
|     大商所|            c2001|  20190719|  投机|    卖|        7|     1979.000|         1975.000|       140.00|      6912.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1979.000|         1975.000|       100.00|      4937.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        9|     1979.000|         1975.000|       180.00|      8887.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1975.000|        20.00|       987.50|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1979.000|         1975.000|       600.00|     29625.00|
|     大商所|            c2001|  20190719|  投机|    卖|      146|     1979.000|         1975.000|      2920.00|    144175.00|
