                                            结算单 Settlement Statement                                                

账户：0019
日期：20190731
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        12846052.76                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            13026756.11
平仓盈亏 Realized P/L：              11500.00                  保证金占用 Margin Occupied：       5325810.00
持仓盈亏  MTM P/L：                 169560.00                  可用资金 Fund Avail.：             7700946.11
手续费 Commission：                    356.65                  风险度 Risk Degree：                   40.88%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            c2001|  20190719|  投机|    卖|       68|     1979.000|         1976.000|      2720.00|     67184.00|
|     大商所|            c2001|  20190719|  投机|    卖|      189|     1979.000|         1976.000|      7560.00|    186732.00|
|     大商所|            c2001|  20190719|  投机|    卖|        6|     1979.000|         1976.000|       240.00|      5928.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1979.000|         1976.000|       160.00|      3952.00|
|     大商所|            c2001|  20190719|  投机|    卖|      184|     1979.000|         1976.000|      7360.00|    181792.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1979.000|         1976.000|       200.00|      4940.00|
|     大商所|            c2001|  20190719|  投机|    卖|      307|     1979.000|         1976.000|     12280.00|    303316.00|
|     大商所|            c2001|  20190719|  投机|    卖|      100|     1979.000|         1976.000|      4000.00|     98800.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1966.000|         1976.000|       120.00|      2964.00|
|     大商所|            c2001|  20190722|  投机|    卖|       97|     1966.000|         1976.000|      3880.00|     95836.00|
|     大商所|            c2001|  20190719|  投机|    卖|      200|     1978.000|         1976.000|      8000.00|    197600.00|
|     大商所|            c2001|  20190719|  投机|    卖|      500|     1979.000|         1976.000|     20000.00|    494000.00|
|     大商所|            c2001|  20190722|  投机|    卖|      100|     1966.000|         1976.000|      4000.00|     98800.00|
|     大商所|            c2001|  20190719|  投机|    卖|        7|     1979.000|         1976.000|       280.00|      6916.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1979.000|         1976.000|       200.00|      4940.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|        9|     1979.000|         1976.000|       360.00|      8892.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1979.000|         1976.000|      1200.00|     29640.00|
|     大商所|            c2001|  20190719|  投机|    卖|      146|     1979.000|         1976.000|      5840.00|    144248.00|
|     大商所|            c2001|  20190719|  投机|    卖|       25|     1979.000|         1976.000|      1000.00|     24700.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1979.000|         1976.000|       200.00|      4940.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1979.000|         1976.000|        80.00|      1976.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|       40|     1979.000|         1976.000|      1600.00|     39520.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1979.000|         1976.000|        80.00|      1976.00|
|     大商所|            c2001|  20190719|  投机|    卖|      123|     1979.000|         1976.000|      4920.00|    121524.00|
|     大商所|            c2001|  20190719|  投机|    卖|       11|     1979.000|         1976.000|       440.00|     10868.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|      188|     1979.000|         1976.000|      7520.00|    185744.00|
|     大商所|            c2001|  20190719|  投机|    卖|       94|     1979.000|         1976.000|      3760.00|     92872.00|
|     大商所|            c2001|  20190719|  投机|    卖|      196|     1979.000|         1976.000|      7840.00|    193648.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1979.000|         1976.000|        80.00|      1976.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1979.000|         1976.000|       800.00|     19760.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1979.000|         1976.000|       800.00|     19760.00|
|     大商所|            c2001|  20190719|  投机|    卖|       40|     1979.000|         1976.000|      1600.00|     39520.00|
|     大商所|            c2001|  20190719|  投机|    卖|       15|     1979.000|         1976.000|       600.00|     14820.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1979.000|         1976.000|       400.00|      9880.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1979.000|         1976.000|       160.00|      3952.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1979.000|         1976.000|       200.00|      4940.00|
|     大商所|            c2001|  20190719|  投机|    卖|        3|     1979.000|         1976.000|       120.00|      2964.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|        8|     1979.000|         1976.000|       320.00|      7904.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1979.000|         1976.000|       400.00|      9880.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|       27|     1979.000|         1976.000|      1080.00|     26676.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|       31|     1979.000|         1976.000|      1240.00|     30628.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1979.000|         1976.000|        80.00|      1976.00|
|     大商所|            c2001|  20190719|  投机|    卖|       57|     1978.000|         1976.000|      2280.00|     56316.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1978.000|         1976.000|        80.00|      1976.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1978.000|         1976.000|       800.00|     19760.00|
|     大商所|            c2001|  20190719|  投机|    卖|       14|     1978.000|         1976.000|       560.00|     13832.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|       50|     1978.000|         1976.000|      2000.00|     49400.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1978.000|         1976.000|      1200.00|     29640.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1978.000|         1976.000|       800.00|     19760.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1976.000|        40.00|       988.00|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1977.000|         1976.000|       160.00|      3952.00|
