                                            结算单 Settlement Statement                                                

账户：0019
日期：20190807
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        12967714.85                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            13038811.74
平仓盈亏 Realized P/L：               6700.00                  保证金占用 Margin Occupied：       4420691.50
持仓盈亏  MTM P/L：                  64780.00                  可用资金 Fund Avail.：             8618120.24
手续费 Commission：                    383.11                  风险度 Risk Degree：                   33.90%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            c2001|  20190719|  投机|    卖|      188|     1978.000|         1972.000|      3760.00|    185368.00|
|     大商所|            c2001|  20190719|  投机|    卖|      500|     1979.000|         1972.000|     10000.00|    493000.00|
|     大商所|            c2001|  20190722|  投机|    卖|      100|     1966.000|         1972.000|      2000.00|     98600.00|
|     大商所|            c2001|  20190719|  投机|    卖|        7|     1979.000|         1972.000|       140.00|      6902.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1979.000|         1972.000|       100.00|      4930.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|        9|     1979.000|         1972.000|       180.00|      8874.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1979.000|         1972.000|       600.00|     29580.00|
|     大商所|            c2001|  20190719|  投机|    卖|      146|     1979.000|         1972.000|      2920.00|    143956.00|
|     大商所|            c2001|  20190719|  投机|    卖|       25|     1979.000|         1972.000|       500.00|     24650.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1979.000|         1972.000|       100.00|      4930.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1979.000|         1972.000|        40.00|      1972.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|       40|     1979.000|         1972.000|       800.00|     39440.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1979.000|         1972.000|        40.00|      1972.00|
|     大商所|            c2001|  20190719|  投机|    卖|      123|     1979.000|         1972.000|      2460.00|    121278.00|
|     大商所|            c2001|  20190719|  投机|    卖|       11|     1979.000|         1972.000|       220.00|     10846.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|      188|     1979.000|         1972.000|      3760.00|    185368.00|
|     大商所|            c2001|  20190719|  投机|    卖|       94|     1979.000|         1972.000|      1880.00|     92684.00|
|     大商所|            c2001|  20190719|  投机|    卖|      196|     1979.000|         1972.000|      3920.00|    193256.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1979.000|         1972.000|        40.00|      1972.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1979.000|         1972.000|       400.00|     19720.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1979.000|         1972.000|       400.00|     19720.00|
|     大商所|            c2001|  20190719|  投机|    卖|       40|     1979.000|         1972.000|       800.00|     39440.00|
|     大商所|            c2001|  20190719|  投机|    卖|       15|     1979.000|         1972.000|       300.00|     14790.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1979.000|         1972.000|       200.00|      9860.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1979.000|         1972.000|        80.00|      3944.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1979.000|         1972.000|       100.00|      4930.00|
|     大商所|            c2001|  20190719|  投机|    卖|        3|     1979.000|         1972.000|        60.00|      2958.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|        8|     1979.000|         1972.000|       160.00|      7888.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1979.000|         1972.000|       200.00|      9860.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|       27|     1979.000|         1972.000|       540.00|     26622.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|       31|     1979.000|         1972.000|       620.00|     30566.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1979.000|         1972.000|        40.00|      1972.00|
|     大商所|            c2001|  20190719|  投机|    卖|       57|     1978.000|         1972.000|      1140.00|     56202.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1978.000|         1972.000|        40.00|      1972.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1978.000|         1972.000|       400.00|     19720.00|
|     大商所|            c2001|  20190719|  投机|    卖|       14|     1978.000|         1972.000|       280.00|     13804.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|       50|     1978.000|         1972.000|      1000.00|     49300.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1978.000|         1972.000|       600.00|     29580.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1978.000|         1972.000|       400.00|     19720.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1977.000|         1972.000|        80.00|      3944.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1977.000|         1972.000|       200.00|      9860.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1977.000|         1972.000|       200.00|      9860.00|
|     大商所|            c2001|  20190719|  投机|    卖|       11|     1977.000|         1972.000|       220.00|     10846.00|
|     大商所|            c2001|  20190719|  投机|    卖|       64|     1977.000|         1972.000|      1280.00|     63104.00|
|     大商所|            c2001|  20190722|  投机|    卖|      104|     1965.000|         1972.000|      2080.00|    102544.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190722|  投机|    卖|       16|     1965.000|         1972.000|       320.00|     15776.00|
|     大商所|            c2001|  20190722|  投机|    卖|       13|     1965.000|         1972.000|       260.00|     12818.00|
|     大商所|            c2001|  20190722|  投机|    卖|       10|     1965.000|         1972.000|       200.00|      9860.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1972.000|        60.00|      2958.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1972.000|        60.00|      2958.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1972.000|        20.00|       986.00|
|     大商所|            c2001|  20190722|  投机|    卖|       48|     1965.000|         1972.000|       960.00|     47328.00|
