                                            结算单 Settlement Statement                                                

账户：0019
日期：20190809
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        13850252.20                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            14945462.08
平仓盈亏 Realized P/L：              86100.00                  保证金占用 Margin Occupied：       4275382.00
持仓盈亏  MTM P/L：                1010010.00                  可用资金 Fund Avail.：            10670080.08
手续费 Commission：                    900.12                  风险度 Risk Degree：                   28.61%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            c2001|  20190719|  投机|    卖|      328|     1979.000|         1923.000|     78720.00|    315372.00|
|     大商所|            c2001|  20190722|  投机|    卖|      100|     1966.000|         1923.000|     24000.00|     96150.00|
|     大商所|            c2001|  20190719|  投机|    卖|        7|     1979.000|         1923.000|      1680.00|      6730.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1979.000|         1923.000|      1200.00|      4807.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|        9|     1979.000|         1923.000|      2160.00|      8653.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1979.000|         1923.000|      7200.00|     28845.00|
|     大商所|            c2001|  20190719|  投机|    卖|      146|     1979.000|         1923.000|     35040.00|    140379.00|
|     大商所|            c2001|  20190719|  投机|    卖|       25|     1979.000|         1923.000|      6000.00|     24037.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1979.000|         1923.000|      1200.00|      4807.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1979.000|         1923.000|       480.00|      1923.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|       40|     1979.000|         1923.000|      9600.00|     38460.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1979.000|         1923.000|       480.00|      1923.00|
|     大商所|            c2001|  20190719|  投机|    卖|      123|     1979.000|         1923.000|     29520.00|    118264.50|
|     大商所|            c2001|  20190719|  投机|    卖|       11|     1979.000|         1923.000|      2640.00|     10576.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|      188|     1979.000|         1923.000|     45120.00|    180762.00|
|     大商所|            c2001|  20190719|  投机|    卖|       94|     1979.000|         1923.000|     22560.00|     90381.00|
|     大商所|            c2001|  20190719|  投机|    卖|      196|     1979.000|         1923.000|     47040.00|    188454.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1979.000|         1923.000|       480.00|      1923.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1979.000|         1923.000|      4800.00|     19230.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1979.000|         1923.000|      4800.00|     19230.00|
|     大商所|            c2001|  20190719|  投机|    卖|       40|     1979.000|         1923.000|      9600.00|     38460.00|
|     大商所|            c2001|  20190719|  投机|    卖|       15|     1979.000|         1923.000|      3600.00|     14422.50|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1979.000|         1923.000|      2400.00|      9615.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1979.000|         1923.000|       960.00|      3846.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1979.000|         1923.000|      1200.00|      4807.50|
|     大商所|            c2001|  20190719|  投机|    卖|        3|     1979.000|         1923.000|       720.00|      2884.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|        8|     1979.000|         1923.000|      1920.00|      7692.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1979.000|         1923.000|      2400.00|      9615.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|       27|     1979.000|         1923.000|      6480.00|     25960.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|       31|     1979.000|         1923.000|      7440.00|     29806.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1979.000|         1923.000|       480.00|      1923.00|
|     大商所|            c2001|  20190719|  投机|    卖|       57|     1978.000|         1923.000|     13680.00|     54805.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1978.000|         1923.000|       480.00|      1923.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1978.000|         1923.000|      4800.00|     19230.00|
|     大商所|            c2001|  20190719|  投机|    卖|       14|     1978.000|         1923.000|      3360.00|     13461.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|       50|     1978.000|         1923.000|     12000.00|     48075.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1978.000|         1923.000|      7200.00|     28845.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1978.000|         1923.000|      4800.00|     19230.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1977.000|         1923.000|       960.00|      3846.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1977.000|         1923.000|      2400.00|      9615.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1977.000|         1923.000|      2400.00|      9615.00|
|     大商所|            c2001|  20190719|  投机|    卖|       11|     1977.000|         1923.000|      2640.00|     10576.50|
|     大商所|            c2001|  20190719|  投机|    卖|       64|     1977.000|         1923.000|     15360.00|     61536.00|
|     大商所|            c2001|  20190722|  投机|    卖|      104|     1965.000|         1923.000|     24960.00|     99996.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190722|  投机|    卖|       16|     1965.000|         1923.000|      3840.00|     15384.00|
|     大商所|            c2001|  20190722|  投机|    卖|       13|     1965.000|         1923.000|      3120.00|     12499.50|
|     大商所|            c2001|  20190722|  投机|    卖|       10|     1965.000|         1923.000|      2400.00|      9615.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1923.000|       720.00|      2884.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1923.000|       720.00|      2884.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1923.000|       240.00|       961.50|
|     大商所|            c2001|  20190722|  投机|    卖|       48|     1965.000|         1923.000|     11520.00|     46152.00|
