                                            结算单 Settlement Statement                                                

账户：0019
日期：20190812
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        14945462.08                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            14877156.71
平仓盈亏 Realized P/L：               6600.00                  保证金占用 Margin Occupied：       4022025.00
持仓盈亏  MTM P/L：                 -74580.00                  可用资金 Fund Avail.：            10855131.71
手续费 Commission：                    325.37                  风险度 Risk Degree：                   27.03%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            c2001|  20190719|  投机|    卖|      128|     1979.000|         1925.000|     -2560.00|    123200.00|
|     大商所|            c2001|  20190722|  投机|    卖|      100|     1966.000|         1925.000|     -2000.00|     96250.00|
|     大商所|            c2001|  20190719|  投机|    卖|        7|     1979.000|         1925.000|      -140.00|      6737.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1979.000|         1925.000|      -100.00|      4812.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|        9|     1979.000|         1925.000|      -180.00|      8662.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1979.000|         1925.000|      -600.00|     28875.00|
|     大商所|            c2001|  20190719|  投机|    卖|      146|     1979.000|         1925.000|     -2920.00|    140525.00|
|     大商所|            c2001|  20190719|  投机|    卖|       25|     1979.000|         1925.000|      -500.00|     24062.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1979.000|         1925.000|      -100.00|      4812.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1979.000|         1925.000|       -40.00|      1925.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|       40|     1979.000|         1925.000|      -800.00|     38500.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1979.000|         1925.000|       -40.00|      1925.00|
|     大商所|            c2001|  20190719|  投机|    卖|      123|     1979.000|         1925.000|     -2460.00|    118387.50|
|     大商所|            c2001|  20190719|  投机|    卖|       11|     1979.000|         1925.000|      -220.00|     10587.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|      188|     1979.000|         1925.000|     -3760.00|    180950.00|
|     大商所|            c2001|  20190719|  投机|    卖|       94|     1979.000|         1925.000|     -1880.00|     90475.00|
|     大商所|            c2001|  20190719|  投机|    卖|      196|     1979.000|         1925.000|     -3920.00|    188650.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1979.000|         1925.000|       -40.00|      1925.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1979.000|         1925.000|      -400.00|     19250.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1979.000|         1925.000|      -400.00|     19250.00|
|     大商所|            c2001|  20190719|  投机|    卖|       40|     1979.000|         1925.000|      -800.00|     38500.00|
|     大商所|            c2001|  20190719|  投机|    卖|       15|     1979.000|         1925.000|      -300.00|     14437.50|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1979.000|         1925.000|      -200.00|      9625.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1979.000|         1925.000|       -80.00|      3850.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1979.000|         1925.000|      -100.00|      4812.50|
|     大商所|            c2001|  20190719|  投机|    卖|        3|     1979.000|         1925.000|       -60.00|      2887.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|        8|     1979.000|         1925.000|      -160.00|      7700.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1979.000|         1925.000|      -200.00|      9625.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|       27|     1979.000|         1925.000|      -540.00|     25987.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|       31|     1979.000|         1925.000|      -620.00|     29837.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1979.000|         1925.000|       -40.00|      1925.00|
|     大商所|            c2001|  20190719|  投机|    卖|       57|     1978.000|         1925.000|     -1140.00|     54862.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1978.000|         1925.000|       -40.00|      1925.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1978.000|         1925.000|      -400.00|     19250.00|
|     大商所|            c2001|  20190719|  投机|    卖|       14|     1978.000|         1925.000|      -280.00|     13475.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|       50|     1978.000|         1925.000|     -1000.00|     48125.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1978.000|         1925.000|      -600.00|     28875.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1978.000|         1925.000|      -400.00|     19250.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1977.000|         1925.000|       -80.00|      3850.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1977.000|         1925.000|      -200.00|      9625.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1977.000|         1925.000|      -200.00|      9625.00|
|     大商所|            c2001|  20190719|  投机|    卖|       11|     1977.000|         1925.000|      -220.00|     10587.50|
|     大商所|            c2001|  20190719|  投机|    卖|       64|     1977.000|         1925.000|     -1280.00|     61600.00|
|     大商所|            c2001|  20190722|  投机|    卖|      104|     1965.000|         1925.000|     -2080.00|    100100.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190722|  投机|    卖|       16|     1965.000|         1925.000|      -320.00|     15400.00|
|     大商所|            c2001|  20190722|  投机|    卖|       13|     1965.000|         1925.000|      -260.00|     12512.50|
|     大商所|            c2001|  20190722|  投机|    卖|       10|     1965.000|         1925.000|      -200.00|      9625.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1925.000|       -20.00|       962.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1925.000|       -60.00|      2887.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1925.000|       -60.00|      2887.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1925.000|       -20.00|       962.50|
