                                            结算单 Settlement Statement                                                

账户：0019
日期：20190815
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        15418722.15                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            15274184.93
平仓盈亏 Realized P/L：              -9450.00                  保证金占用 Margin Occupied：       2949417.00
持仓盈亏  MTM P/L：                -134460.00                  可用资金 Fund Avail.：            12324767.93
手续费 Commission：                    627.22                  风险度 Risk Degree：                   19.31%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            c2001|  20190719|  投机|    卖|        3|     1979.000|         1915.000|      -120.00|      2872.50|
|     大商所|            c2001|  20190719|  投机|    卖|       15|     1979.000|         1915.000|      -600.00|     14362.50|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1979.000|         1915.000|      -400.00|      9575.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1979.000|         1915.000|      -160.00|      3830.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1979.000|         1915.000|      -200.00|      4787.50|
|     大商所|            c2001|  20190719|  投机|    卖|        3|     1979.000|         1915.000|      -120.00|      2872.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|        8|     1979.000|         1915.000|      -320.00|      7660.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1979.000|         1915.000|      -400.00|      9575.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|       27|     1979.000|         1915.000|     -1080.00|     25852.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1979.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|       31|     1979.000|         1915.000|     -1240.00|     29682.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1979.000|         1915.000|       -80.00|      1915.00|
|     大商所|            c2001|  20190719|  投机|    卖|       57|     1978.000|         1915.000|     -2280.00|     54577.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1978.000|         1915.000|       -80.00|      1915.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1978.000|         1915.000|      -800.00|     19150.00|
|     大商所|            c2001|  20190719|  投机|    卖|       14|     1978.000|         1915.000|      -560.00|     13405.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|       50|     1978.000|         1915.000|     -2000.00|     47875.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1978.000|         1915.000|     -1200.00|     28725.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1978.000|         1915.000|      -800.00|     19150.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1978.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1977.000|         1915.000|      -160.00|      3830.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1977.000|         1915.000|      -400.00|      9575.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1977.000|         1915.000|      -400.00|      9575.00|
|     大商所|            c2001|  20190719|  投机|    卖|       11|     1977.000|         1915.000|      -440.00|     10532.50|
|     大商所|            c2001|  20190719|  投机|    卖|       64|     1977.000|         1915.000|     -2560.00|     61280.00|
|     大商所|            c2001|  20190722|  投机|    卖|      104|     1965.000|         1915.000|     -4160.00|     99580.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190722|  投机|    卖|       16|     1965.000|         1915.000|      -640.00|     15320.00|
|     大商所|            c2001|  20190722|  投机|    卖|       13|     1965.000|         1915.000|      -520.00|     12447.50|
|     大商所|            c2001|  20190722|  投机|    卖|       10|     1965.000|         1915.000|      -400.00|      9575.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1915.000|      -120.00|      2872.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1915.000|      -120.00|      2872.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190722|  投机|    卖|       48|     1965.000|         1915.000|     -1920.00|     45960.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1977.000|         1915.000|      -160.00|      3830.00|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1977.000|         1915.000|      -200.00|      4787.50|
|     大商所|            c2001|  20190719|  投机|    卖|       16|     1977.000|         1915.000|      -640.00|     15320.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1915.000|       -80.00|      1915.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|        7|     1977.000|         1915.000|      -280.00|      6702.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1915.000|       -80.00|      1915.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1915.000|       -80.00|      1915.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|        8|     1977.000|         1915.000|      -320.00|      7660.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1977.000|         1915.000|      -800.00|     19150.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1915.000|       -80.00|      1915.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|       19|     1977.000|         1915.000|      -760.00|     18192.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1915.000|       -80.00|      1915.00|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1977.000|         1915.000|      -160.00|      3830.00|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1977.000|         1915.000|      -160.00|      3830.00|
|     大商所|            c2001|  20190719|  投机|    卖|        6|     1977.000|         1915.000|      -240.00|      5745.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1915.000|       -80.00|      1915.00|
|     大商所|            c2001|  20190719|  投机|    卖|       50|     1977.000|         1915.000|     -2000.00|     47875.00|
|     大商所|            c2001|  20190719|  投机|    卖|       29|     1977.000|         1915.000|     -1160.00|     27767.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1915.000|       -40.00|       957.50|
|     大商所|            c2001|  20190719|  投机|    卖|        8|     1977.000|         1915.000|      -320.00|      7660.00|
|     大商所|            c2001|  20190719|  投机|    卖|       66|     1977.000|         1915.000|     -2640.00|     63195.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1915.000|       -40.00|       957.50|
