                                            结算单 Settlement Statement                                                

账户：0019
日期：20190819
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        15433485.44                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            15834015.83
平仓盈亏 Realized P/L：              17350.00                  保证金占用 Margin Occupied：       2212350.00
持仓盈亏  MTM P/L：                 383600.00                  可用资金 Fund Avail.：            13621665.83
手续费 Commission：                    419.61                  风险度 Risk Degree：                   13.97%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            c2001|  20190719|  投机|    卖|       37|     1977.000|         1890.000|      7400.00|     34965.00|
|     大商所|            c2001|  20190719|  投机|    卖|       29|     1977.000|         1890.000|      5800.00|     27405.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190719|  投机|    卖|        8|     1977.000|         1890.000|      1600.00|      7560.00|
|     大商所|            c2001|  20190719|  投机|    卖|       66|     1977.000|         1890.000|     13200.00|     62370.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1890.000|       400.00|      1890.00|
|     大商所|            c2001|  20190719|  投机|    卖|       31|     1977.000|         1890.000|      6200.00|     29295.00|
|     大商所|            c2001|  20190719|  投机|    卖|        3|     1977.000|         1890.000|       600.00|      2835.00|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1890.000|       400.00|      1890.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1977.000|         1890.000|       800.00|      3780.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1977.000|         1890.000|      2000.00|      9450.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1977.000|         1890.000|      1000.00|      4725.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190719|  投机|    卖|      173|     1977.000|         1890.000|     34600.00|    163485.00|
|     大商所|            c2001|  20190722|  投机|    卖|      100|     1964.000|         1890.000|     20000.00|     94500.00|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1890.000|       400.00|      1890.00|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1890.000|       800.00|      3780.00|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1890.000|      1000.00|      4725.00|
|     大商所|            c2001|  20190722|  投机|    卖|       31|     1965.000|         1890.000|      6200.00|     29295.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1890.000|       600.00|      2835.00|
|     大商所|            c2001|  20190722|  投机|    卖|        6|     1965.000|         1890.000|      1200.00|      5670.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1890.000|       600.00|      2835.00|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1890.000|       800.00|      3780.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1977.000|         1890.000|      6000.00|     28350.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1977.000|         1890.000|      2000.00|      9450.00|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1977.000|         1890.000|      1000.00|      4725.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190719|  投机|    卖|      100|     1977.000|         1890.000|     20000.00|     94500.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1890.000|       600.00|      2835.00|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1890.000|      1000.00|      4725.00|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1890.000|       800.00|      3780.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1890.000|       600.00|      2835.00|
|     大商所|            c2001|  20190722|  投机|    卖|        7|     1965.000|         1890.000|      1400.00|      6615.00|
|     大商所|            c2001|  20190722|  投机|    卖|       13|     1965.000|         1890.000|      2600.00|     12285.00|
|     大商所|            c2001|  20190722|  投机|    卖|        7|     1965.000|         1890.000|      1400.00|      6615.00|
|     大商所|            c2001|  20190722|  投机|    卖|        8|     1965.000|         1890.000|      1600.00|      7560.00|
|     大商所|            c2001|  20190722|  投机|    卖|        6|     1965.000|         1890.000|      1200.00|      5670.00|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1890.000|      1000.00|      4725.00|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1890.000|       800.00|      3780.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1890.000|       600.00|      2835.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1890.000|       600.00|      2835.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1890.000|       600.00|      2835.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1890.000|       600.00|      2835.00|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1890.000|       400.00|      1890.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1890.000|       400.00|      1890.00|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1890.000|       800.00|      3780.00|
|     大商所|            c2001|  20190722|  投机|    卖|       11|     1965.000|         1890.000|      2200.00|     10395.00|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1890.000|      1000.00|      4725.00|
|     大商所|            c2001|  20190722|  投机|    卖|       28|     1965.000|         1890.000|      5600.00|     26460.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190722|  投机|    卖|       21|     1965.000|         1890.000|      4200.00|     19845.00|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1890.000|       400.00|      1890.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1890.000|       600.00|      2835.00|
|     大商所|            c2001|  20190722|  投机|    卖|       15|     1965.000|         1890.000|      3000.00|     14175.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190722|  投机|    卖|        6|     1965.000|         1890.000|      1200.00|      5670.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1977.000|         1890.000|      1000.00|      4725.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1890.000|       200.00|       945.00|
|     大商所|            c2001|  20190719|  投机|    卖|       42|     1977.000|         1890.000|      8400.00|     39690.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1977.000|         1890.000|      4000.00|     18900.00|
