                                            结算单 Settlement Statement                                                

账户：0019
日期：20190820
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        15834015.83                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            15944671.59
平仓盈亏 Realized P/L：               3850.00                  保证金占用 Margin Occupied：       2141561.50
持仓盈亏  MTM P/L：                 106950.00                  可用资金 Fund Avail.：            13803110.09
手续费 Commission：                    144.24                  风险度 Risk Degree：                   13.43%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            c2001|  20190819|  投机|  买  |       19|     1891.000|         1885.000|      -950.00|     17907.50|
|     大商所|            c2001|  20190819|  投机|  买  |        6|     1891.000|         1885.000|      -300.00|      5655.00|
|     大商所|            c2001|  20190819|  投机|  买  |        5|     1891.000|         1885.000|      -250.00|      4712.50|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1885.000|       -50.00|       942.50|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1885.000|       -50.00|       942.50|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1885.000|       -50.00|       942.50|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1885.000|       -50.00|       942.50|
|     大商所|            c2001|  20190819|  投机|  买  |        2|     1891.000|         1885.000|      -100.00|      1885.00|
|     大商所|            c2001|  20190819|  投机|  买  |        2|     1891.000|         1885.000|      -100.00|      1885.00|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1885.000|       -50.00|       942.50|
|     大商所|            c2001|  20190819|  投机|  买  |        2|     1891.000|         1885.000|      -100.00|      1885.00|
|     大商所|            c2001|  20190819|  投机|  买  |        2|     1891.000|         1885.000|      -100.00|      1885.00|
|     大商所|            c2001|  20190819|  投机|  买  |        4|     1891.000|         1885.000|      -200.00|      3770.00|
|     大商所|            c2001|  20190819|  投机|  买  |        2|     1891.000|         1885.000|      -100.00|      1885.00|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1885.000|       -50.00|       942.50|
|     大商所|            c2001|  20190819|  投机|    卖|       30|     1883.000|         1885.000|      1500.00|     28275.00|
|     大商所|            c2001|  20190819|  投机|    卖|       50|     1880.000|         1885.000|      2500.00|     47125.00|
|     大商所|            c2001|  20190719|  投机|    卖|       37|     1977.000|         1885.000|      1850.00|     34872.50|
|     大商所|            c2001|  20190719|  投机|    卖|       29|     1977.000|         1885.000|      1450.00|     27332.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1885.000|        50.00|       942.50|
|     大商所|            c2001|  20190719|  投机|    卖|        8|     1977.000|         1885.000|       400.00|      7540.00|
|     大商所|            c2001|  20190719|  投机|    卖|       66|     1977.000|         1885.000|      3300.00|     62205.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1885.000|        50.00|       942.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1885.000|       100.00|      1885.00|
|     大商所|            c2001|  20190719|  投机|    卖|       31|     1977.000|         1885.000|      1550.00|     29217.50|
|     大商所|            c2001|  20190719|  投机|    卖|        3|     1977.000|         1885.000|       150.00|      2827.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1885.000|       100.00|      1885.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1885.000|        50.00|       942.50|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1977.000|         1885.000|       200.00|      3770.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1977.000|         1885.000|       500.00|      9425.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1885.000|        50.00|       942.50|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1977.000|         1885.000|       250.00|      4712.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1885.000|        50.00|       942.50|
|     大商所|            c2001|  20190719|  投机|    卖|      173|     1977.000|         1885.000|      8650.00|    163052.50|
|     大商所|            c2001|  20190722|  投机|    卖|      100|     1964.000|         1885.000|      5000.00|     94250.00|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1885.000|       100.00|      1885.00|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1885.000|       200.00|      3770.00|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1885.000|       250.00|      4712.50|
|     大商所|            c2001|  20190722|  投机|    卖|       31|     1965.000|         1885.000|      1550.00|     29217.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1885.000|        50.00|       942.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1885.000|        50.00|       942.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1885.000|       150.00|      2827.50|
|     大商所|            c2001|  20190722|  投机|    卖|        6|     1965.000|         1885.000|       300.00|      5655.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1885.000|       150.00|      2827.50|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1885.000|       200.00|      3770.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1885.000|        50.00|       942.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1885.000|        50.00|       942.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1885.000|        50.00|       942.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1885.000|        50.00|       942.50|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1977.000|         1885.000|      1500.00|     28275.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1977.000|         1885.000|       500.00|      9425.00|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1977.000|         1885.000|       250.00|      4712.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1885.000|        50.00|       942.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1885.000|        50.00|       942.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1885.000|        50.00|       942.50|
|     大商所|            c2001|  20190719|  投机|    卖|      100|     1977.000|         1885.000|      5000.00|     94250.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1885.000|       150.00|      2827.50|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1885.000|       250.00|      4712.50|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1885.000|       200.00|      3770.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1885.000|       150.00|      2827.50|
|     大商所|            c2001|  20190722|  投机|    卖|        7|     1965.000|         1885.000|       350.00|      6597.50|
|     大商所|            c2001|  20190722|  投机|    卖|       13|     1965.000|         1885.000|       650.00|     12252.50|
|     大商所|            c2001|  20190722|  投机|    卖|        7|     1965.000|         1885.000|       350.00|      6597.50|
|     大商所|            c2001|  20190722|  投机|    卖|        8|     1965.000|         1885.000|       400.00|      7540.00|
|     大商所|            c2001|  20190722|  投机|    卖|        6|     1965.000|         1885.000|       300.00|      5655.00|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1885.000|       250.00|      4712.50|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1885.000|       200.00|      3770.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1885.000|       150.00|      2827.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1885.000|       150.00|      2827.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1885.000|       150.00|      2827.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1885.000|        50.00|       942.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1885.000|        50.00|       942.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1885.000|       150.00|      2827.50|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1885.000|       100.00|      1885.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1885.000|        50.00|       942.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1885.000|        50.00|       942.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1885.000|        50.00|       942.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1885.000|        50.00|       942.50|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1885.000|       100.00|      1885.00|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1885.000|       200.00|      3770.00|
|     大商所|            c2001|  20190722|  投机|    卖|       11|     1965.000|         1885.000|       550.00|     10367.50|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1885.000|       250.00|      4712.50|
|     大商所|            c2001|  20190722|  投机|    卖|       28|     1965.000|         1885.000|      1400.00|     26390.00|
