                                            结算单 Settlement Statement                                                

账户：0019
日期：20190821
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        15944671.59                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            15642881.07
平仓盈亏 Realized P/L：             -36900.00                  保证金占用 Margin Occupied：       2092635.50
持仓盈亏  MTM P/L：                -264410.00                  可用资金 Fund Avail.：            13550245.57
手续费 Commission：                    480.52                  风险度 Risk Degree：                   13.38%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            c2001|  20190819|  投机|  买  |        5|     1891.000|         1899.000|       700.00|      4747.50|
|     大商所|            c2001|  20190819|  投机|  买  |        5|     1891.000|         1899.000|       700.00|      4747.50|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1899.000|       140.00|       949.50|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1899.000|       140.00|       949.50|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1899.000|       140.00|       949.50|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1899.000|       140.00|       949.50|
|     大商所|            c2001|  20190819|  投机|  买  |        2|     1891.000|         1899.000|       280.00|      1899.00|
|     大商所|            c2001|  20190819|  投机|  买  |        2|     1891.000|         1899.000|       280.00|      1899.00|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1899.000|       140.00|       949.50|
|     大商所|            c2001|  20190819|  投机|  买  |        2|     1891.000|         1899.000|       280.00|      1899.00|
|     大商所|            c2001|  20190819|  投机|  买  |        2|     1891.000|         1899.000|       280.00|      1899.00|
|     大商所|            c2001|  20190819|  投机|  买  |        4|     1891.000|         1899.000|       560.00|      3798.00|
|     大商所|            c2001|  20190819|  投机|  买  |        2|     1891.000|         1899.000|       280.00|      1899.00|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1899.000|       140.00|       949.50|
|     大商所|            c2001|  20190719|  投机|    卖|       15|     1977.000|         1899.000|     -2100.00|     14242.50|
|     大商所|            c2001|  20190719|  投机|    卖|        3|     1977.000|         1899.000|      -420.00|      2848.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1899.000|      -280.00|      1899.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1899.000|      -140.00|       949.50|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1977.000|         1899.000|      -560.00|      3798.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1977.000|         1899.000|     -1400.00|      9495.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1899.000|      -140.00|       949.50|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1977.000|         1899.000|      -700.00|      4747.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1899.000|      -140.00|       949.50|
|     大商所|            c2001|  20190719|  投机|    卖|      173|     1977.000|         1899.000|    -24220.00|    164263.50|
|     大商所|            c2001|  20190722|  投机|    卖|      100|     1964.000|         1899.000|    -14000.00|     94950.00|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1899.000|      -280.00|      1899.00|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1899.000|      -560.00|      3798.00|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1899.000|      -700.00|      4747.50|
|     大商所|            c2001|  20190722|  投机|    卖|       31|     1965.000|         1899.000|     -4340.00|     29434.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1899.000|      -140.00|       949.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1899.000|      -140.00|       949.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1899.000|      -420.00|      2848.50|
|     大商所|            c2001|  20190722|  投机|    卖|        6|     1965.000|         1899.000|      -840.00|      5697.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1899.000|      -420.00|      2848.50|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1899.000|      -560.00|      3798.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1899.000|      -140.00|       949.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1899.000|      -140.00|       949.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1899.000|      -140.00|       949.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1899.000|      -140.00|       949.50|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1977.000|         1899.000|     -4200.00|     28485.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1977.000|         1899.000|     -1400.00|      9495.00|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1977.000|         1899.000|      -700.00|      4747.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1899.000|      -140.00|       949.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1899.000|      -140.00|       949.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1899.000|      -140.00|       949.50|
|     大商所|            c2001|  20190719|  投机|    卖|      100|     1977.000|         1899.000|    -14000.00|     94950.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1899.000|      -420.00|      2848.50|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1899.000|      -700.00|      4747.50|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1899.000|      -560.00|      3798.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1899.000|      -420.00|      2848.50|
|     大商所|            c2001|  20190722|  投机|    卖|        7|     1965.000|         1899.000|      -980.00|      6646.50|
|     大商所|            c2001|  20190722|  投机|    卖|       13|     1965.000|         1899.000|     -1820.00|     12343.50|
|     大商所|            c2001|  20190722|  投机|    卖|        7|     1965.000|         1899.000|      -980.00|      6646.50|
|     大商所|            c2001|  20190722|  投机|    卖|        8|     1965.000|         1899.000|     -1120.00|      7596.00|
|     大商所|            c2001|  20190722|  投机|    卖|        6|     1965.000|         1899.000|      -840.00|      5697.00|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1899.000|      -700.00|      4747.50|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1899.000|      -560.00|      3798.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1899.000|      -420.00|      2848.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1899.000|      -420.00|      2848.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1899.000|      -420.00|      2848.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1899.000|      -140.00|       949.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1899.000|      -140.00|       949.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1899.000|      -420.00|      2848.50|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1899.000|      -280.00|      1899.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1899.000|      -140.00|       949.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1899.000|      -140.00|       949.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1899.000|      -140.00|       949.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1899.000|      -140.00|       949.50|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1899.000|      -280.00|      1899.00|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1899.000|      -560.00|      3798.00|
|     大商所|            c2001|  20190722|  投机|    卖|       11|     1965.000|         1899.000|     -1540.00|     10444.50|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1899.000|      -700.00|      4747.50|
|     大商所|            c2001|  20190722|  投机|    卖|       28|     1965.000|         1899.000|     -3920.00|     26586.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1899.000|      -140.00|       949.50|
|     大商所|            c2001|  20190722|  投机|    卖|       21|     1965.000|         1899.000|     -2940.00|     19939.50|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1899.000|      -280.00|      1899.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1899.000|      -420.00|      2848.50|
|     大商所|            c2001|  20190722|  投机|    卖|       15|     1965.000|         1899.000|     -2100.00|     14242.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1899.000|      -140.00|       949.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1899.000|      -140.00|       949.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1899.000|      -140.00|       949.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1899.000|      -140.00|       949.50|
