                                            结算单 Settlement Statement                                                

账户：0019
日期：20190822
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        15642881.07                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            15499381.75
平仓盈亏 Realized P/L：                550.00                  保证金占用 Margin Occupied：       2257498.50
持仓盈亏  MTM P/L：                -143870.00                  可用资金 Fund Avail.：            13241883.25
手续费 Commission：                    179.32                  风险度 Risk Degree：                   14.57%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            c2001|  20190819|  投机|  买  |        5|     1891.000|         1907.000|       400.00|      4767.50|
|     大商所|            c2001|  20190819|  投机|  买  |        5|     1891.000|         1907.000|       400.00|      4767.50|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1907.000|        80.00|       953.50|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1907.000|        80.00|       953.50|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1907.000|        80.00|       953.50|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1907.000|        80.00|       953.50|
|     大商所|            c2001|  20190819|  投机|  买  |        2|     1891.000|         1907.000|       160.00|      1907.00|
|     大商所|            c2001|  20190819|  投机|  买  |        2|     1891.000|         1907.000|       160.00|      1907.00|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1907.000|        80.00|       953.50|
|     大商所|            c2001|  20190819|  投机|  买  |        2|     1891.000|         1907.000|       160.00|      1907.00|
|     大商所|            c2001|  20190819|  投机|  买  |        2|     1891.000|         1907.000|       160.00|      1907.00|
|     大商所|            c2001|  20190819|  投机|  买  |        4|     1891.000|         1907.000|       320.00|      3814.00|
|     大商所|            c2001|  20190819|  投机|  买  |        2|     1891.000|         1907.000|       160.00|      1907.00|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1907.000|        80.00|       953.50|
|     大商所|            c2001|  20190821|  投机|    卖|       20|     1892.000|         1907.000|     -1600.00|     19070.00|
|     大商所|            c2001|  20190719|  投机|    卖|       15|     1977.000|         1907.000|     -1200.00|     14302.50|
|     大商所|            c2001|  20190719|  投机|    卖|        3|     1977.000|         1907.000|      -240.00|      2860.50|
|     大商所|            c2001|  20190719|  投机|    卖|        2|     1977.000|         1907.000|      -160.00|      1907.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1907.000|       -80.00|       953.50|
|     大商所|            c2001|  20190719|  投机|    卖|        4|     1977.000|         1907.000|      -320.00|      3814.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1977.000|         1907.000|      -800.00|      9535.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1907.000|       -80.00|       953.50|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1977.000|         1907.000|      -400.00|      4767.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1907.000|       -80.00|       953.50|
|     大商所|            c2001|  20190719|  投机|    卖|      173|     1977.000|         1907.000|    -13840.00|    164955.50|
|     大商所|            c2001|  20190722|  投机|    卖|      100|     1964.000|         1907.000|     -8000.00|     95350.00|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1907.000|      -160.00|      1907.00|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1907.000|      -320.00|      3814.00|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1907.000|      -400.00|      4767.50|
|     大商所|            c2001|  20190722|  投机|    卖|       31|     1965.000|         1907.000|     -2480.00|     29558.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1907.000|       -80.00|       953.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1907.000|       -80.00|       953.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1907.000|      -240.00|      2860.50|
|     大商所|            c2001|  20190722|  投机|    卖|        6|     1965.000|         1907.000|      -480.00|      5721.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1907.000|      -240.00|      2860.50|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1907.000|      -320.00|      3814.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1907.000|       -80.00|       953.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1907.000|       -80.00|       953.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1907.000|       -80.00|       953.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1907.000|       -80.00|       953.50|
|     大商所|            c2001|  20190719|  投机|    卖|       30|     1977.000|         1907.000|     -2400.00|     28605.00|
|     大商所|            c2001|  20190719|  投机|    卖|       10|     1977.000|         1907.000|      -800.00|      9535.00|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1977.000|         1907.000|      -400.00|      4767.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1907.000|       -80.00|       953.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1907.000|       -80.00|       953.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1907.000|       -80.00|       953.50|
|     大商所|            c2001|  20190719|  投机|    卖|      100|     1977.000|         1907.000|     -8000.00|     95350.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1907.000|      -240.00|      2860.50|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1907.000|      -400.00|      4767.50|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1907.000|      -320.00|      3814.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1907.000|      -240.00|      2860.50|
|     大商所|            c2001|  20190722|  投机|    卖|        7|     1965.000|         1907.000|      -560.00|      6674.50|
|     大商所|            c2001|  20190722|  投机|    卖|       13|     1965.000|         1907.000|     -1040.00|     12395.50|
|     大商所|            c2001|  20190722|  投机|    卖|        7|     1965.000|         1907.000|      -560.00|      6674.50|
|     大商所|            c2001|  20190722|  投机|    卖|        8|     1965.000|         1907.000|      -640.00|      7628.00|
|     大商所|            c2001|  20190722|  投机|    卖|        6|     1965.000|         1907.000|      -480.00|      5721.00|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1907.000|      -400.00|      4767.50|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1907.000|      -320.00|      3814.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1907.000|      -240.00|      2860.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1907.000|      -240.00|      2860.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1907.000|      -240.00|      2860.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1907.000|       -80.00|       953.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1907.000|       -80.00|       953.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1907.000|      -240.00|      2860.50|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1907.000|      -160.00|      1907.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1907.000|       -80.00|       953.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1907.000|       -80.00|       953.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1907.000|       -80.00|       953.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1907.000|       -80.00|       953.50|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1907.000|      -160.00|      1907.00|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1907.000|      -320.00|      3814.00|
|     大商所|            c2001|  20190722|  投机|    卖|       11|     1965.000|         1907.000|      -880.00|     10488.50|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1907.000|      -400.00|      4767.50|
|     大商所|            c2001|  20190722|  投机|    卖|       28|     1965.000|         1907.000|     -2240.00|     26698.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1907.000|       -80.00|       953.50|
|     大商所|            c2001|  20190722|  投机|    卖|       21|     1965.000|         1907.000|     -1680.00|     20023.50|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1907.000|      -160.00|      1907.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1907.000|      -240.00|      2860.50|
|     大商所|            c2001|  20190722|  投机|    卖|       15|     1965.000|         1907.000|     -1200.00|     14302.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1907.000|       -80.00|       953.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1907.000|       -80.00|       953.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1907.000|       -80.00|       953.50|
