                                            结算单 Settlement Statement                                                

账户：0019
日期：20190829
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        15721926.95                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            15742133.55
平仓盈亏 Realized P/L：               8400.00                  保证金占用 Margin Occupied：       1694400.00
持仓盈亏  MTM P/L：                  12000.00                  可用资金 Fund Avail.：            14047733.55
手续费 Commission：                    193.40                  风险度 Risk Degree：                   10.76%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1893.000|       -10.00|       946.50|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1893.000|       -10.00|       946.50|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1893.000|       -10.00|       946.50|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1893.000|       -10.00|       946.50|
|     大商所|            c2001|  20190819|  投机|  买  |        2|     1891.000|         1893.000|       -20.00|      1893.00|
|     大商所|            c2001|  20190819|  投机|  买  |        2|     1891.000|         1893.000|       -20.00|      1893.00|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1893.000|       -10.00|       946.50|
|     大商所|            c2001|  20190819|  投机|  买  |        2|     1891.000|         1893.000|       -20.00|      1893.00|
|     大商所|            c2001|  20190819|  投机|  买  |        2|     1891.000|         1893.000|       -20.00|      1893.00|
|     大商所|            c2001|  20190819|  投机|  买  |        4|     1891.000|         1893.000|       -40.00|      3786.00|
|     大商所|            c2001|  20190819|  投机|  买  |        2|     1891.000|         1893.000|       -20.00|      1893.00|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1893.000|       -10.00|       946.50|
|     大商所|            c2001|  20190827|  投机|  买  |       10|     1906.000|         1893.000|      -100.00|      9465.00|
|     大商所|            c2001|  20190823|  投机|  买  |        5|     1913.000|         1893.000|       -50.00|      4732.50|
|     大商所|            c2001|  20190823|  投机|  买  |       10|     1912.000|         1893.000|      -100.00|      9465.00|
|     大商所|            c2001|  20190823|  投机|  买  |        5|     1910.000|         1893.000|       -50.00|      4732.50|
|     大商所|            c2001|  20190822|  投机|  买  |       20|     1905.000|         1893.000|      -200.00|     18930.00|
|     大商所|            c2001|  20190822|  投机|  买  |       20|     1905.000|         1893.000|      -200.00|     18930.00|
|     大商所|            c2001|  20190823|  投机|  买  |       20|     1912.000|         1893.000|      -200.00|     18930.00|
|     大商所|            c2001|  20190719|  投机|    卖|       58|     1977.000|         1893.000|       580.00|     54897.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1893.000|        30.00|      2839.50|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1893.000|        50.00|      4732.50|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1893.000|        40.00|      3786.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1893.000|        30.00|      2839.50|
|     大商所|            c2001|  20190722|  投机|    卖|        7|     1965.000|         1893.000|        70.00|      6625.50|
|     大商所|            c2001|  20190722|  投机|    卖|       13|     1965.000|         1893.000|       130.00|     12304.50|
|     大商所|            c2001|  20190722|  投机|    卖|        7|     1965.000|         1893.000|        70.00|      6625.50|
|     大商所|            c2001|  20190722|  投机|    卖|        8|     1965.000|         1893.000|        80.00|      7572.00|
|     大商所|            c2001|  20190722|  投机|    卖|        6|     1965.000|         1893.000|        60.00|      5679.00|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1893.000|        50.00|      4732.50|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1893.000|        40.00|      3786.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1893.000|        30.00|      2839.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1893.000|        30.00|      2839.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1893.000|        30.00|      2839.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1893.000|        10.00|       946.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1893.000|        10.00|       946.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1893.000|        30.00|      2839.50|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1893.000|        20.00|      1893.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1893.000|        10.00|       946.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1893.000|        10.00|       946.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1893.000|        10.00|       946.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1893.000|        10.00|       946.50|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1893.000|        20.00|      1893.00|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1893.000|        40.00|      3786.00|
|     大商所|            c2001|  20190722|  投机|    卖|       11|     1965.000|         1893.000|       110.00|     10411.50|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1893.000|        50.00|      4732.50|
|     大商所|            c2001|  20190722|  投机|    卖|       28|     1965.000|         1893.000|       280.00|     26502.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1893.000|        10.00|       946.50|
|     大商所|            c2001|  20190722|  投机|    卖|       21|     1965.000|         1893.000|       210.00|     19876.50|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1893.000|        20.00|      1893.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1893.000|        30.00|      2839.50|
|     大商所|            c2001|  20190722|  投机|    卖|       15|     1965.000|         1893.000|       150.00|     14197.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1893.000|        10.00|       946.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1893.000|        10.00|       946.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1893.000|        10.00|       946.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1893.000|        10.00|       946.50|
|     大商所|            c2001|  20190722|  投机|    卖|        6|     1965.000|         1893.000|        60.00|      5679.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1893.000|        10.00|       946.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1893.000|        10.00|       946.50|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1977.000|         1893.000|        50.00|      4732.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1893.000|        10.00|       946.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1893.000|        10.00|       946.50|
|     大商所|            c2001|  20190719|  投机|    卖|       42|     1977.000|         1893.000|       420.00|     39753.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1977.000|         1893.000|       200.00|     18930.00|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1966.000|         1893.000|        40.00|      3786.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1893.000|        10.00|       946.50|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1893.000|        50.00|      4732.50|
|     大商所|            c2001|  20190722|  投机|    卖|       44|     1965.000|         1893.000|       440.00|     41646.00|
|     大商所|            c2001|  20190821|  投机|  买  |        3|     1907.000|         1893.000|       -30.00|      2839.50|
|     大商所|            c2001|  20190821|  投机|  买  |        6|     1907.000|         1893.000|       -60.00|      5679.00|
|     大商所|            c2001|  20190821|  投机|  买  |        1|     1907.000|         1893.000|       -10.00|       946.50|
|     大商所|            c2001|  20190821|  投机|  买  |       10|     1907.000|         1893.000|      -100.00|      9465.00|
|     大商所|            c2001|  20190808|  投机|    卖|       20|     1945.000|         1893.000|       200.00|     18930.00|
|     大商所|            c2001|  20190822|  投机|  买  |       10|     1906.000|         1893.000|      -100.00|      9465.00|
|     大商所|            c2001|  20190808|  投机|    卖|       30|     1943.000|         1893.000|       300.00|     28395.00|
|     大商所|            c2001|  20190808|  投机|    卖|       20|     1943.000|         1893.000|       200.00|     18930.00|
|     大商所|            c2001|  20190808|  投机|    卖|       50|     1940.000|         1893.000|       500.00|     47325.00|
|     大商所|            c2001|  20190808|  投机|    卖|      100|     1937.000|         1893.000|      1000.00|     94650.00|
|     大商所|            c2001|  20190808|  投机|    卖|       50|     1937.000|         1893.000|       500.00|     47325.00|
|     大商所|            c2001|  20190808|  投机|    卖|      100|     1932.000|         1893.000|      1000.00|     94650.00|
|     大商所|            c2001|  20190808|  投机|    卖|        1|     1931.000|         1893.000|        10.00|       946.50|
|     大商所|            c2001|  20190808|  投机|    卖|       99|     1931.000|         1893.000|       990.00|     93703.50|
|     大商所|            c2001|  20190808|  投机|    卖|       97|     1928.000|         1893.000|       970.00|     91810.50|
