                                            结算单 Settlement Statement                                                

账户：0019
日期：20190830
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        15742133.55                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            15963004.16
平仓盈亏 Realized P/L：               9850.00                  保证金占用 Margin Occupied：       1574559.00
持仓盈亏  MTM P/L：                 211200.00                  可用资金 Fund Avail.：            14388445.16
手续费 Commission：                    179.39                  风险度 Risk Degree：                    9.86%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1875.000|      -180.00|       937.50|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1875.000|      -180.00|       937.50|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1875.000|      -180.00|       937.50|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1875.000|      -180.00|       937.50|
|     大商所|            c2001|  20190819|  投机|  买  |        2|     1891.000|         1875.000|      -360.00|      1875.00|
|     大商所|            c2001|  20190819|  投机|  买  |        2|     1891.000|         1875.000|      -360.00|      1875.00|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1875.000|      -180.00|       937.50|
|     大商所|            c2001|  20190819|  投机|  买  |        2|     1891.000|         1875.000|      -360.00|      1875.00|
|     大商所|            c2001|  20190819|  投机|  买  |        2|     1891.000|         1875.000|      -360.00|      1875.00|
|     大商所|            c2001|  20190819|  投机|  买  |        4|     1891.000|         1875.000|      -720.00|      3750.00|
|     大商所|            c2001|  20190819|  投机|  买  |        2|     1891.000|         1875.000|      -360.00|      1875.00|
|     大商所|            c2001|  20190819|  投机|  买  |        1|     1891.000|         1875.000|      -180.00|       937.50|
|     大商所|            c2001|  20190827|  投机|  买  |       10|     1906.000|         1875.000|     -1800.00|      9375.00|
|     大商所|            c2001|  20190823|  投机|  买  |        5|     1913.000|         1875.000|      -900.00|      4687.50|
|     大商所|            c2001|  20190823|  投机|  买  |       10|     1912.000|         1875.000|     -1800.00|      9375.00|
|     大商所|            c2001|  20190823|  投机|  买  |        5|     1910.000|         1875.000|      -900.00|      4687.50|
|     大商所|            c2001|  20190822|  投机|  买  |       20|     1905.000|         1875.000|     -3600.00|     18750.00|
|     大商所|            c2001|  20190822|  投机|  买  |       20|     1905.000|         1875.000|     -3600.00|     18750.00|
|     大商所|            c2001|  20190823|  投机|  买  |       20|     1912.000|         1875.000|     -3600.00|     18750.00|
|     大商所|            c2001|  20190719|  投机|    卖|       28|     1977.000|         1875.000|      5040.00|     26250.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1875.000|       540.00|      2812.50|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1875.000|       900.00|      4687.50|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1875.000|       720.00|      3750.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1875.000|       540.00|      2812.50|
|     大商所|            c2001|  20190722|  投机|    卖|        7|     1965.000|         1875.000|      1260.00|      6562.50|
|     大商所|            c2001|  20190722|  投机|    卖|       13|     1965.000|         1875.000|      2340.00|     12187.50|
|     大商所|            c2001|  20190722|  投机|    卖|        7|     1965.000|         1875.000|      1260.00|      6562.50|
|     大商所|            c2001|  20190722|  投机|    卖|        8|     1965.000|         1875.000|      1440.00|      7500.00|
|     大商所|            c2001|  20190722|  投机|    卖|        6|     1965.000|         1875.000|      1080.00|      5625.00|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1875.000|       900.00|      4687.50|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1875.000|       720.00|      3750.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1875.000|       540.00|      2812.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1875.000|       540.00|      2812.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1875.000|       540.00|      2812.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1875.000|       180.00|       937.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1875.000|       180.00|       937.50|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1875.000|       540.00|      2812.50|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1875.000|       360.00|      1875.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1875.000|       180.00|       937.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1875.000|       180.00|       937.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1875.000|       180.00|       937.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1875.000|       180.00|       937.50|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1875.000|       360.00|      1875.00|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1965.000|         1875.000|       720.00|      3750.00|
|     大商所|            c2001|  20190722|  投机|    卖|       11|     1965.000|         1875.000|      1980.00|     10312.50|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1875.000|       900.00|      4687.50|
|     大商所|            c2001|  20190722|  投机|    卖|       28|     1965.000|         1875.000|      5040.00|     26250.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1875.000|       180.00|       937.50|
|     大商所|            c2001|  20190722|  投机|    卖|       21|     1965.000|         1875.000|      3780.00|     19687.50|
|     大商所|            c2001|  20190722|  投机|    卖|        2|     1965.000|         1875.000|       360.00|      1875.00|
|     大商所|            c2001|  20190722|  投机|    卖|        3|     1965.000|         1875.000|       540.00|      2812.50|
|     大商所|            c2001|  20190722|  投机|    卖|       15|     1965.000|         1875.000|      2700.00|     14062.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1875.000|       180.00|       937.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1875.000|       180.00|       937.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1875.000|       180.00|       937.50|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1875.000|       180.00|       937.50|
|     大商所|            c2001|  20190722|  投机|    卖|        6|     1965.000|         1875.000|      1080.00|      5625.00|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1875.000|       180.00|       937.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1875.000|       180.00|       937.50|
|     大商所|            c2001|  20190719|  投机|    卖|        5|     1977.000|         1875.000|       900.00|      4687.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1875.000|       180.00|       937.50|
|     大商所|            c2001|  20190719|  投机|    卖|        1|     1977.000|         1875.000|       180.00|       937.50|
|     大商所|            c2001|  20190719|  投机|    卖|       42|     1977.000|         1875.000|      7560.00|     39375.00|
|     大商所|            c2001|  20190719|  投机|    卖|       20|     1977.000|         1875.000|      3600.00|     18750.00|
|     大商所|            c2001|  20190722|  投机|    卖|        4|     1966.000|         1875.000|       720.00|      3750.00|
|     大商所|            c2001|  20190722|  投机|    卖|        1|     1965.000|         1875.000|       180.00|       937.50|
|     大商所|            c2001|  20190722|  投机|    卖|        5|     1965.000|         1875.000|       900.00|      4687.50|
|     大商所|            c2001|  20190722|  投机|    卖|       44|     1965.000|         1875.000|      7920.00|     41250.00|
|     大商所|            c2001|  20190821|  投机|  买  |        3|     1907.000|         1875.000|      -540.00|      2812.50|
|     大商所|            c2001|  20190821|  投机|  买  |        6|     1907.000|         1875.000|     -1080.00|      5625.00|
|     大商所|            c2001|  20190821|  投机|  买  |        1|     1907.000|         1875.000|      -180.00|       937.50|
|     大商所|            c2001|  20190821|  投机|  买  |       10|     1907.000|         1875.000|     -1800.00|      9375.00|
|     大商所|            c2001|  20190808|  投机|    卖|       20|     1945.000|         1875.000|      3600.00|     18750.00|
|     大商所|            c2001|  20190822|  投机|  买  |       10|     1906.000|         1875.000|     -1800.00|      9375.00|
|     大商所|            c2001|  20190808|  投机|    卖|       30|     1943.000|         1875.000|      5400.00|     28125.00|
|     大商所|            c2001|  20190808|  投机|    卖|       20|     1943.000|         1875.000|      3600.00|     18750.00|
|     大商所|            c2001|  20190808|  投机|    卖|       50|     1940.000|         1875.000|      9000.00|     46875.00|
|     大商所|            c2001|  20190808|  投机|    卖|      100|     1937.000|         1875.000|     18000.00|     93750.00|
|     大商所|            c2001|  20190808|  投机|    卖|       50|     1937.000|         1875.000|      9000.00|     46875.00|
|     大商所|            c2001|  20190808|  投机|    卖|      100|     1932.000|         1875.000|     18000.00|     93750.00|
|     大商所|            c2001|  20190808|  投机|    卖|        1|     1931.000|         1875.000|       180.00|       937.50|
|     大商所|            c2001|  20190808|  投机|    卖|       99|     1931.000|         1875.000|     17820.00|     92812.50|
|     大商所|            c2001|  20190808|  投机|    卖|       97|     1928.000|         1875.000|     17460.00|     90937.50|
