                                            结算单 Settlement Statement                                                

账户：0019
日期：20191024
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        16172392.32                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            16240774.99
平仓盈亏 Realized P/L：              12660.00                  保证金占用 Margin Occupied：        841607.00
持仓盈亏  MTM P/L：                  55980.00                  可用资金 Fund Avail.：            15399167.99
手续费 Commission：                    257.33                  风险度 Risk Degree：                    5.18%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            CJ912|  20191017|  投机|  买  |        1|    10080.000|        10585.000|      1400.00|      5292.50|
|     郑商所|            CJ912|  20191017|  投机|  买  |        1|    10050.000|        10585.000|      1400.00|      5292.50|
|     郑商所|            CJ912|  20191017|  投机|  买  |        1|     9950.000|        10585.000|      1400.00|      5292.50|
|     郑商所|            CJ912|  20191017|  投机|  买  |        1|     9930.000|        10585.000|      1400.00|      5292.50|
|     郑商所|            CJ912|  20191017|  投机|  买  |        1|     9930.000|        10585.000|      1400.00|      5292.50|
|     郑商所|            CJ912|  20191018|  投机|  买  |        1|    10005.000|        10585.000|      1400.00|      5292.50|
|     大商所|            c2005|  20190930|  投机|    卖|        5|     1892.000|         1906.000|       500.00|      4765.00|
|     大商所|            c2005|  20191022|  投机|    卖|        5|     1926.000|         1906.000|       500.00|      4765.00|
|     大商所|            c2005|  20191016|  投机|    卖|       10|     1917.000|         1906.000|      1000.00|      9530.00|
|     大商所|            c2005|  20191022|  投机|    卖|        5|     1928.000|         1906.000|       500.00|      4765.00|
|     大商所|            c2005|  20190930|  投机|    卖|       20|     1892.000|         1906.000|      2000.00|     19060.00|
|     大商所|            c2005|  20190930|  投机|    卖|        1|     1892.000|         1906.000|       100.00|       953.00|
|     大商所|            c2005|  20190930|  投机|    卖|        1|     1892.000|         1906.000|       100.00|       953.00|
|     大商所|            c2005|  20190930|  投机|    卖|        1|     1892.000|         1906.000|       100.00|       953.00|
|     大商所|            c2005|  20190930|  投机|    卖|       14|     1892.000|         1906.000|      1400.00|     13342.00|
|     大商所|            c2005|  20190930|  投机|    卖|        2|     1892.000|         1906.000|       200.00|      1906.00|
|     大商所|            c2005|  20190930|  投机|    卖|        1|     1892.000|         1906.000|       100.00|       953.00|
|     大商所|            c2005|  20190930|  投机|    卖|       10|     1892.000|         1906.000|      1000.00|      9530.00|
|     大商所|            c2005|  20190930|  投机|    卖|       20|     1893.000|         1906.000|      2000.00|     19060.00|
|     大商所|            c2005|  20190930|  投机|    卖|       30|     1893.000|         1906.000|      3000.00|     28590.00|
|     大商所|            c2005|  20190930|  投机|    卖|       20|     1893.000|         1906.000|      2000.00|     19060.00|
|     大商所|            c2005|  20191008|  投机|  买  |        3|     1893.000|         1906.000|      -300.00|      2859.00|
|     大商所|            c2005|  20190927|  投机|  买  |        2|     1906.000|         1906.000|      -200.00|      1906.00|
|     大商所|            c2005|  20190927|  投机|  买  |        3|     1905.000|         1906.000|      -300.00|      2859.00|
|     大商所|            c2005|  20191008|  投机|  买  |        4|     1892.000|         1906.000|      -400.00|      3812.00|
|     大商所|            c2005|  20191008|  投机|  买  |        1|     1892.000|         1906.000|      -100.00|       953.00|
|     大商所|            c2005|  20191016|  投机|    卖|       10|     1923.000|         1906.000|      1000.00|      9530.00|
|     大商所|            c2005|  20190926|  投机|    卖|       10|     1917.000|         1906.000|      1000.00|      9530.00|
|     大商所|            c2005|  20190926|  投机|    卖|       10|     1917.000|         1906.000|      1000.00|      9530.00|
|     大商所|            c2005|  20190926|  投机|  买  |        1|     1915.000|         1906.000|      -100.00|       953.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1916.000|         1906.000|      -200.00|      1906.00|
|     大商所|            c2005|  20190927|  投机|    卖|       20|     1906.000|         1906.000|      2000.00|     19060.00|
|     大商所|            c2005|  20190927|  投机|    卖|       30|     1907.000|         1906.000|      3000.00|     28590.00|
|     大商所|            c2005|  20190927|  投机|    卖|       30|     1908.000|         1906.000|      3000.00|     28590.00|
|     大商所|            c2005|  20190927|  投机|    卖|       10|     1907.000|         1906.000|      1000.00|      9530.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1906.000|      -200.00|      1906.00|
|     大商所|            c2005|  20190927|  投机|    卖|        3|     1907.000|         1906.000|       300.00|      2859.00|
|     大商所|            c2005|  20190927|  投机|    卖|        2|     1907.000|         1906.000|       200.00|      1906.00|
|     大商所|            c2005|  20190927|  投机|    卖|       10|     1907.000|         1906.000|      1000.00|      9530.00|
|     大商所|            c2005|  20190923|  投机|    卖|       10|     1925.000|         1906.000|      1000.00|      9530.00|
|     大商所|            c2005|  20190923|  投机|    卖|        3|     1925.000|         1906.000|       300.00|      2859.00|
|     大商所|            c2005|  20190923|  投机|    卖|        1|     1925.000|         1906.000|       100.00|       953.00|
|     大商所|            c2005|  20190923|  投机|    卖|        6|     1925.000|         1906.000|       600.00|      5718.00|
|     大商所|            c2005|  20190923|  投机|    卖|       10|     1924.000|         1906.000|      1000.00|      9530.00|
|     大商所|            c2005|  20190923|  投机|    卖|       10|     1924.000|         1906.000|      1000.00|      9530.00|
|     大商所|            c2005|  20190911|  投机|  买  |        2|     1934.000|         1906.000|      -200.00|      1906.00|
|     大商所|            c2005|  20190906|  投机|  买  |       11|     1945.000|         1906.000|     -1100.00|     10483.00|
|     大商所|            c2005|  20190906|  投机|  买  |       20|     1945.000|         1906.000|     -2000.00|     19060.00|
|     大商所|            c2005|  20190906|  投机|  买  |        7|     1945.000|         1906.000|      -700.00|      6671.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1945.000|         1906.000|      -100.00|       953.00|
|     大商所|            c2005|  20190906|  投机|  买  |        8|     1945.000|         1906.000|      -800.00|      7624.00|
|     大商所|            c2005|  20190906|  投机|  买  |       20|     1945.000|         1906.000|     -2000.00|     19060.00|
|     大商所|            c2005|  20190906|  投机|  买  |        5|     1945.000|         1906.000|      -500.00|      4765.00|
|     大商所|            c2005|  20190906|  投机|  买  |        6|     1945.000|         1906.000|      -600.00|      5718.00|
|     大商所|            c2005|  20191023|  投机|    卖|       11|     1909.000|         1906.000|      1100.00|     10483.00|
|     大商所|            c2005|  20191023|  投机|    卖|        9|     1909.000|         1906.000|       900.00|      8577.00|
|     大商所|            c2005|  20191023|  投机|    卖|       15|     1909.000|         1906.000|      1500.00|     14295.00|
|     大商所|            c2005|  20191023|  投机|    卖|       15|     1909.000|         1906.000|      1500.00|     14295.00|
|     大商所|            c2005|  20191014|  投机|    卖|       16|     1907.000|         1906.000|      1600.00|     15248.00|
|     大商所|            c2005|  20191014|  投机|    卖|        4|     1907.000|         1906.000|       400.00|      3812.00|
|     大商所|            c2005|  20191023|  投机|    卖|       50|     1910.000|         1906.000|      5000.00|     47650.00|
|     大商所|            c2005|  20191022|  投机|    卖|       10|     1926.000|         1906.000|      1000.00|      9530.00|
|     大商所|            c2005|  20191014|  投机|    卖|        5|     1908.000|         1906.000|       500.00|      4765.00|
|     大商所|            c2005|  20191014|  投机|    卖|       10|     1908.000|         1906.000|      1000.00|      9530.00|
|     大商所|            c2005|  20191014|  投机|    卖|       20|     1908.000|         1906.000|      2000.00|     19060.00|
|     大商所|            c2005|  20191018|  投机|    卖|        5|     1928.000|         1906.000|       500.00|      4765.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1942.000|         1906.000|      -100.00|       953.00|
|     大商所|            c2005|  20191014|  投机|    卖|        5|     1909.000|         1906.000|       500.00|      4765.00|
|     大商所|            c2005|  20191014|  投机|    卖|        5|     1909.000|         1906.000|       500.00|      4765.00|
|     大商所|            c2005|  20191014|  投机|    卖|       10|     1909.000|         1906.000|      1000.00|      9530.00|
|     大商所|            c2005|  20191014|  投机|    卖|        5|     1909.000|         1906.000|       500.00|      4765.00|
|     大商所|            c2005|  20191014|  投机|    卖|        5|     1909.000|         1906.000|       500.00|      4765.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1942.000|         1906.000|      -100.00|       953.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1941.000|         1906.000|      -100.00|       953.00|
|     大商所|            c2005|  20191021|  投机|    卖|        2|     1923.000|         1906.000|       200.00|      1906.00|
|     大商所|            c2005|  20191021|  投机|    卖|        3|     1923.000|         1906.000|       300.00|      2859.00|
|     大商所|            c2005|  20191021|  投机|    卖|        2|     1923.000|         1906.000|       200.00|      1906.00|
|     大商所|            c2005|  20191021|  投机|    卖|        2|     1923.000|         1906.000|       200.00|      1906.00|
|     大商所|            c2005|  20191021|  投机|    卖|        1|     1923.000|         1906.000|       100.00|       953.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1914.000|         1906.000|      -200.00|      1906.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1914.000|         1906.000|      -200.00|      1906.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1906.000|      -200.00|      1906.00|
