                                            结算单 Settlement Statement                                                

账户：0019
日期：20191211
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        15806330.15                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            15748225.07
平仓盈亏 Realized P/L：              -1700.00                  保证金占用 Margin Occupied：       1667223.55
持仓盈亏  MTM P/L：                 -56140.00                  可用资金 Fund Avail.：            14081001.52
手续费 Commission：                    265.08                  风险度 Risk Degree：                   10.59%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            AP005|  20191121|  投机|    卖|        1|     7900.000|         8157.000|      -460.00|      6525.60|
|     郑商所|            AP005|  20191121|  投机|    卖|        2|     7900.000|         8157.000|      -920.00|     13051.20|
|     郑商所|            AP005|  20191126|  投机|    卖|        1|     7860.000|         8157.000|      -460.00|      6525.60|
|     郑商所|            AP005|  20191127|  投机|    卖|        1|     7753.000|         8157.000|      -460.00|      6525.60|
|     郑商所|            AP005|  20191127|  投机|    卖|        1|     7755.000|         8157.000|      -460.00|      6525.60|
|     郑商所|            AP005|  20191128|  投机|    卖|        1|     7771.000|         8157.000|      -460.00|      6525.60|
|     郑商所|            AP005|  20191129|  投机|    卖|        1|     7820.000|         8157.000|      -460.00|      6525.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7882.000|         8157.000|      -920.00|     13051.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7883.000|         8157.000|      -920.00|     13051.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7883.000|         8157.000|      -460.00|      6525.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7883.000|         8157.000|      -460.00|      6525.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        5|     7886.000|         8157.000|     -2300.00|     32628.00|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7886.000|         8157.000|      -920.00|     13051.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        3|     7886.000|         8157.000|     -1380.00|     19576.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7890.000|         8157.000|      -920.00|     13051.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7892.000|         8157.000|      -920.00|     13051.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7892.000|         8157.000|      -460.00|      6525.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7892.000|         8157.000|      -460.00|      6525.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7882.000|         8157.000|      -920.00|     13051.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7882.000|         8157.000|      -920.00|     13051.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7884.000|         8157.000|      -460.00|      6525.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7884.000|         8157.000|      -460.00|      6525.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7883.000|         8157.000|      -920.00|     13051.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7886.000|         8157.000|      -920.00|     13051.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7888.000|         8157.000|      -920.00|     13051.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7888.000|         8157.000|      -460.00|      6525.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7888.000|         8157.000|      -460.00|      6525.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8157.000|      -460.00|      6525.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        7|     7890.000|         8157.000|     -3220.00|     45679.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8157.000|      -460.00|      6525.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8157.000|      -460.00|      6525.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7888.000|         8157.000|      -460.00|      6525.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7890.000|         8157.000|      -920.00|     13051.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7896.000|         8157.000|      -460.00|      6525.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8157.000|      -460.00|      6525.60|
|     郑商所|            CF005|  20191205|  投机|  买  |        1|    12980.000|        13255.000|       250.00|      3313.75|
|     郑商所|            AP005|  20191209|  投机|    卖|        1|     8066.000|         8157.000|      -460.00|      6525.60|
|     郑商所|            AP005|  20191209|  投机|    卖|        1|     8070.000|         8157.000|      -460.00|      6525.60|
|     郑商所|            AP005|  20191209|  投机|    卖|        1|     8084.000|         8157.000|      -460.00|      6525.60|
|     大商所|            c2005|  20190906|  投机|  买  |       15|     1945.000|         1903.000|       450.00|     14272.50|
|     大商所|            c2005|  20190906|  投机|  买  |        5|     1945.000|         1903.000|       150.00|      4757.50|
|     大商所|            c2005|  20190906|  投机|  买  |        6|     1945.000|         1903.000|       180.00|      5709.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1942.000|         1903.000|        30.00|       951.50|
|     大商所|            c2005|  20191024|  投机|  买  |        3|     1905.000|         1903.000|        90.00|      2854.50|
|     大商所|            c2005|  20191024|  投机|  买  |        1|     1905.000|         1903.000|        30.00|       951.50|
|     大商所|            c2005|  20191024|  投机|  买  |        1|     1905.000|         1903.000|        30.00|       951.50|
|     大商所|            c2005|  20191029|  投机|  买  |       20|     1940.000|         1903.000|       600.00|     19030.00|
|     大商所|            c2005|  20191029|  投机|  买  |       20|     1940.000|         1903.000|       600.00|     19030.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1942.000|         1903.000|        30.00|       951.50|
|     大商所|            c2005|  20191029|  投机|  买  |       15|     1939.000|         1903.000|       450.00|     14272.50|
|     大商所|            c2005|  20191029|  投机|  买  |        5|     1939.000|         1903.000|       150.00|      4757.50|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1903.000|        60.00|      1903.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1941.000|         1903.000|        30.00|       951.50|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1914.000|         1903.000|        60.00|      1903.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1914.000|         1903.000|        60.00|      1903.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1903.000|        60.00|      1903.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1903.000|        60.00|      1903.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1903.000|        60.00|      1903.00|
|     大商所|            c2005|  20191025|  投机|  买  |       10|     1905.000|         1903.000|       300.00|      9515.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1895.000|         1903.000|        60.00|      1903.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1903.000|        60.00|      1903.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1903.000|        60.00|      1903.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1895.000|         1903.000|        60.00|      1903.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1903.000|        60.00|      1903.00|
|   能源中心|           sc2002|  20191210|  投机|  买  |        1|      466.800|          466.700|       600.00|     32669.00|
|   能源中心|           sc2002|  20191209|  投机|  买  |        1|      464.600|          466.700|       600.00|     32669.00|
|   能源中心|           sc2002|  20191209|  投机|  买  |        1|      464.600|          466.700|       600.00|     32669.00|
|     上期所|           cu2002|  20191209|  投机|    卖|        2|    47710.000|        48800.000|     -2200.00|     34160.00|
|     上期所|           cu2002|  20191205|  投机|    卖|        1|    47370.000|        48800.000|     -1100.00|     17080.00|
|     上期所|           cu2002|  20191209|  投机|    卖|        7|    47970.000|        48800.000|     -7700.00|    119560.00|
|     上期所|           cu2002|  20191210|  投机|    卖|        2|    48750.000|        48800.000|     -2200.00|     34160.00|
|     上期所|           cu2002|  20191209|  投机|    卖|        1|    48180.000|        48800.000|     -1100.00|     17080.00|
|     上期所|           cu2002|  20191209|  投机|    卖|        1|    48230.000|        48800.000|     -1100.00|     17080.00|
|     上期所|           cu2002|  20191210|  投机|    卖|        1|    48760.000|        48800.000|     -1100.00|     17080.00|
|     上期所|           cu2002|  20191210|  投机|    卖|        1|    48760.000|        48800.000|     -1100.00|     17080.00|
|     上期所|           cu2002|  20191209|  投机|    卖|        1|    48260.000|        48800.000|     -1100.00|     17080.00|
|     上期所|           cu2002|  20191209|  投机|    卖|        1|    48280.000|        48800.000|     -1100.00|     17080.00|
|     上期所|           cu2002|  20191206|  投机|    卖|        1|    47380.000|        48800.000|     -1100.00|     17080.00|
|     上期所|           cu2002|  20191210|  投机|    卖|        1|    48640.000|        48800.000|     -1100.00|     17080.00|
|     上期所|           cu2002|  20191209|  投机|    卖|        1|    48300.000|        48800.000|     -1100.00|     17080.00|
|     上期所|           cu2002|  20191209|  投机|    卖|        2|    48320.000|        48800.000|     -2200.00|     34160.00|
