                                            结算单 Settlement Statement                                                

账户：0019
日期：20191212
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        15748225.07                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            15659363.55
平仓盈亏 Realized P/L：               -385.00                  保证金占用 Margin Occupied：       1735989.90
持仓盈亏  MTM P/L：                 -88375.00                  可用资金 Fund Avail.：            13923373.65
手续费 Commission：                    101.52                  风险度 Risk Degree：                   11.09%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            AP005|  20191121|  投机|    卖|        1|     7900.000|         8107.000|       500.00|      6485.60|
|     郑商所|            AP005|  20191121|  投机|    卖|        2|     7900.000|         8107.000|      1000.00|     12971.20|
|     郑商所|            AP005|  20191126|  投机|    卖|        1|     7860.000|         8107.000|       500.00|      6485.60|
|     郑商所|            AP005|  20191127|  投机|    卖|        1|     7753.000|         8107.000|       500.00|      6485.60|
|     郑商所|            AP005|  20191127|  投机|    卖|        1|     7755.000|         8107.000|       500.00|      6485.60|
|     郑商所|            AP005|  20191128|  投机|    卖|        1|     7771.000|         8107.000|       500.00|      6485.60|
|     郑商所|            AP005|  20191129|  投机|    卖|        1|     7820.000|         8107.000|       500.00|      6485.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7882.000|         8107.000|      1000.00|     12971.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7883.000|         8107.000|      1000.00|     12971.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7883.000|         8107.000|       500.00|      6485.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7883.000|         8107.000|       500.00|      6485.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        5|     7886.000|         8107.000|      2500.00|     32428.00|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7886.000|         8107.000|      1000.00|     12971.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        3|     7886.000|         8107.000|      1500.00|     19456.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7890.000|         8107.000|      1000.00|     12971.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7892.000|         8107.000|      1000.00|     12971.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7892.000|         8107.000|       500.00|      6485.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7892.000|         8107.000|       500.00|      6485.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7882.000|         8107.000|      1000.00|     12971.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7882.000|         8107.000|      1000.00|     12971.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7884.000|         8107.000|       500.00|      6485.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7884.000|         8107.000|       500.00|      6485.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7883.000|         8107.000|      1000.00|     12971.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7886.000|         8107.000|      1000.00|     12971.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7888.000|         8107.000|      1000.00|     12971.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7888.000|         8107.000|       500.00|      6485.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7888.000|         8107.000|       500.00|      6485.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8107.000|       500.00|      6485.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        7|     7890.000|         8107.000|      3500.00|     45399.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8107.000|       500.00|      6485.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8107.000|       500.00|      6485.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7888.000|         8107.000|       500.00|      6485.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7890.000|         8107.000|      1000.00|     12971.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7896.000|         8107.000|       500.00|      6485.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8107.000|       500.00|      6485.60|
|     郑商所|            CF005|  20191205|  投机|  买  |        1|    12980.000|        13270.000|        75.00|      3317.50|
|     郑商所|            AP005|  20191209|  投机|    卖|        1|     8066.000|         8107.000|       500.00|      6485.60|
|     郑商所|            AP005|  20191209|  投机|    卖|        1|     8070.000|         8107.000|       500.00|      6485.60|
|     郑商所|            AP005|  20191209|  投机|    卖|        1|     8084.000|         8107.000|       500.00|      6485.60|
|     大商所|            c2005|  20190906|  投机|  买  |       12|     1945.000|         1899.000|      -480.00|     11394.00|
|     大商所|            c2005|  20190906|  投机|  买  |        5|     1945.000|         1899.000|      -200.00|      4747.50|
|     大商所|            c2005|  20190906|  投机|  买  |        6|     1945.000|         1899.000|      -240.00|      5697.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1942.000|         1899.000|       -40.00|       949.50|
|     大商所|            c2005|  20191024|  投机|  买  |        3|     1905.000|         1899.000|      -120.00|      2848.50|
|     大商所|            c2005|  20191024|  投机|  买  |        1|     1905.000|         1899.000|       -40.00|       949.50|
|     大商所|            c2005|  20191024|  投机|  买  |        1|     1905.000|         1899.000|       -40.00|       949.50|
|     大商所|            c2005|  20191029|  投机|  买  |       20|     1940.000|         1899.000|      -800.00|     18990.00|
|     大商所|            c2005|  20191029|  投机|  买  |       20|     1940.000|         1899.000|      -800.00|     18990.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1942.000|         1899.000|       -40.00|       949.50|
|     大商所|            c2005|  20191029|  投机|  买  |       15|     1939.000|         1899.000|      -600.00|     14242.50|
|     大商所|            c2005|  20191029|  投机|  买  |        5|     1939.000|         1899.000|      -200.00|      4747.50|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1899.000|       -80.00|      1899.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1941.000|         1899.000|       -40.00|       949.50|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1914.000|         1899.000|       -80.00|      1899.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1914.000|         1899.000|       -80.00|      1899.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1899.000|       -80.00|      1899.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1899.000|       -80.00|      1899.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1899.000|       -80.00|      1899.00|
|     大商所|            c2005|  20191025|  投机|  买  |       10|     1905.000|         1899.000|      -400.00|      9495.00|
|     大商所|            c2005|  20191211|  投机|  买  |        1|     1901.000|         1899.000|       -40.00|       949.50|
|     大商所|            c2005|  20191211|  投机|  买  |        1|     1901.000|         1899.000|       -40.00|       949.50|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1895.000|         1899.000|       -80.00|      1899.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1899.000|       -80.00|      1899.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1899.000|       -80.00|      1899.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1895.000|         1899.000|       -80.00|      1899.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1899.000|       -80.00|      1899.00|
|   能源中心|           sc2002|  20191210|  投机|  买  |        1|      466.800|          464.100|     -2600.00|     32487.00|
|   能源中心|           sc2002|  20191209|  投机|  买  |        1|      464.600|          464.100|     -2600.00|     32487.00|
|   能源中心|           sc2002|  20191209|  投机|  买  |        1|      464.600|          464.100|     -2600.00|     32487.00|
|     上期所|           cu2002|  20191209|  投机|    卖|        2|    47710.000|        49160.000|     -3600.00|     34412.00|
|     上期所|           cu2002|  20191205|  投机|    卖|        1|    47370.000|        49160.000|     -1800.00|     17206.00|
|     上期所|           cu2002|  20191209|  投机|    卖|        7|    47970.000|        49160.000|    -12600.00|    120442.00|
|     上期所|           cu2002|  20191210|  投机|    卖|        2|    48750.000|        49160.000|     -3600.00|     34412.00|
|     上期所|           cu2002|  20191209|  投机|    卖|        1|    48180.000|        49160.000|     -1800.00|     17206.00|
|     上期所|           cu2002|  20191209|  投机|    卖|        1|    48230.000|        49160.000|     -1800.00|     17206.00|
|     上期所|           cu2002|  20191210|  投机|    卖|        1|    48760.000|        49160.000|     -1800.00|     17206.00|
|     上期所|           cu2002|  20191210|  投机|    卖|        1|    48760.000|        49160.000|     -1800.00|     17206.00|
|     上期所|           cu2002|  20191209|  投机|    卖|        1|    48260.000|        49160.000|     -1800.00|     17206.00|
|     上期所|           cu2002|  20191209|  投机|    卖|        1|    48280.000|        49160.000|     -1800.00|     17206.00|
|     上期所|           cu2002|  20191206|  投机|    卖|        1|    47380.000|        49160.000|     -1800.00|     17206.00|
|     上期所|           cu2002|  20191211|  投机|    卖|        1|    48800.000|        49160.000|     -1800.00|     17206.00|
