                                            结算单 Settlement Statement                                                

账户：0019
日期：20191213
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        15659363.55                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            15692414.95
平仓盈亏 Realized P/L：                580.00                  保证金占用 Margin Occupied：       1736822.75
持仓盈亏  MTM P/L：                  32665.00                  可用资金 Fund Avail.：            13955592.20
手续费 Commission：                    193.60                  风险度 Risk Degree：                   11.07%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            AP005|  20191126|  投机|    卖|        1|     7860.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191127|  投机|    卖|        1|     7753.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191127|  投机|    卖|        1|     7755.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191128|  投机|    卖|        1|     7771.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191129|  投机|    卖|        1|     7820.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7882.000|         8118.000|      -220.00|     12988.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7883.000|         8118.000|      -220.00|     12988.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7883.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7883.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        5|     7886.000|         8118.000|      -550.00|     32472.00|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7886.000|         8118.000|      -220.00|     12988.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        3|     7886.000|         8118.000|      -330.00|     19483.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7890.000|         8118.000|      -220.00|     12988.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7892.000|         8118.000|      -220.00|     12988.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7892.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7892.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7882.000|         8118.000|      -220.00|     12988.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7882.000|         8118.000|      -220.00|     12988.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7884.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7884.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7883.000|         8118.000|      -220.00|     12988.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7886.000|         8118.000|      -220.00|     12988.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7888.000|         8118.000|      -220.00|     12988.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7888.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7888.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        7|     7890.000|         8118.000|      -770.00|     45460.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7888.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7890.000|         8118.000|      -220.00|     12988.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7896.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191209|  投机|    卖|        1|     8066.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191209|  投机|    卖|        1|     8070.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191209|  投机|    卖|        1|     8084.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8090.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8085.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8075.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8075.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8077.000|         8118.000|      -110.00|      6494.40|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8078.000|         8118.000|      -110.00|      6494.40|
|     大商所|            c2005|  20190906|  投机|  买  |       10|     1945.000|         1896.000|      -300.00|      9480.00|
|     大商所|            c2005|  20190906|  投机|  买  |        5|     1945.000|         1896.000|      -150.00|      4740.00|
|     大商所|            c2005|  20190906|  投机|  买  |        6|     1945.000|         1896.000|      -180.00|      5688.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1942.000|         1896.000|       -30.00|       948.00|
|     大商所|            c2005|  20191024|  投机|  买  |        3|     1905.000|         1896.000|       -90.00|      2844.00|
|     大商所|            c2005|  20191024|  投机|  买  |        1|     1905.000|         1896.000|       -30.00|       948.00|
|     大商所|            c2005|  20191024|  投机|  买  |        1|     1905.000|         1896.000|       -30.00|       948.00|
|     大商所|            c2005|  20191029|  投机|  买  |       20|     1940.000|         1896.000|      -600.00|     18960.00|
|     大商所|            c2005|  20191029|  投机|  买  |       20|     1940.000|         1896.000|      -600.00|     18960.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1942.000|         1896.000|       -30.00|       948.00|
|     大商所|            c2005|  20191029|  投机|  买  |       15|     1939.000|         1896.000|      -450.00|     14220.00|
|     大商所|            c2005|  20191029|  投机|  买  |        5|     1939.000|         1896.000|      -150.00|      4740.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1896.000|       -60.00|      1896.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1941.000|         1896.000|       -30.00|       948.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1914.000|         1896.000|       -60.00|      1896.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1914.000|         1896.000|       -60.00|      1896.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1896.000|       -60.00|      1896.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1896.000|       -60.00|      1896.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1896.000|       -60.00|      1896.00|
|     大商所|            c2005|  20191025|  投机|  买  |       10|     1905.000|         1896.000|      -300.00|      9480.00|
|     大商所|            c2005|  20191211|  投机|  买  |        1|     1901.000|         1896.000|       -30.00|       948.00|
|     大商所|            c2005|  20191211|  投机|  买  |        1|     1901.000|         1896.000|       -30.00|       948.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1895.000|         1896.000|       -60.00|      1896.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1896.000|       -60.00|      1896.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1896.000|       -60.00|      1896.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1895.000|         1896.000|       -60.00|      1896.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1896.000|       -60.00|      1896.00|
|   能源中心|           sc2002|  20191209|  投机|  买  |        1|      464.600|          466.700|      2600.00|     32669.00|
|   能源中心|           sc2002|  20191209|  投机|  买  |        1|      464.600|          466.700|      2600.00|     32669.00|
|     上期所|           cu2002|  20191209|  投机|    卖|        2|    47710.000|        49040.000|      1200.00|     34328.00|
|     上期所|           cu2002|  20191205|  投机|    卖|        1|    47370.000|        49040.000|       600.00|     17164.00|
|     上期所|           cu2002|  20191209|  投机|    卖|        7|    47970.000|        49040.000|      4200.00|    120148.00|
|     上期所|           cu2002|  20191210|  投机|    卖|        2|    48750.000|        49040.000|      1200.00|     34328.00|
|     上期所|           cu2002|  20191209|  投机|    卖|        1|    48180.000|        49040.000|       600.00|     17164.00|
|     上期所|           cu2002|  20191209|  投机|    卖|        1|    48230.000|        49040.000|       600.00|     17164.00|
|     上期所|           cu2002|  20191210|  投机|    卖|        1|    48760.000|        49040.000|       600.00|     17164.00|
|     上期所|           cu2002|  20191210|  投机|    卖|        1|    48760.000|        49040.000|       600.00|     17164.00|
|     上期所|           cu2002|  20191209|  投机|    卖|        1|    48260.000|        49040.000|       600.00|     17164.00|
|     上期所|           cu2002|  20191209|  投机|    卖|        1|    48280.000|        49040.000|       600.00|     17164.00|
