                                            结算单 Settlement Statement                                                

账户：0019
日期：20191216
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        15692414.95                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            15636196.09
平仓盈亏 Realized P/L：             -40810.00                  保证金占用 Margin Occupied：       1758260.55
持仓盈亏  MTM P/L：                 -15000.00                  可用资金 Fund Avail.：            13877935.54
手续费 Commission：                    408.86                  风险度 Risk Degree：                   11.24%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7892.000|         8243.000|     -2500.00|     13188.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7892.000|         8243.000|     -1250.00|      6594.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7892.000|         8243.000|     -1250.00|      6594.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7882.000|         8243.000|     -2500.00|     13188.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7882.000|         8243.000|     -2500.00|     13188.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7884.000|         8243.000|     -1250.00|      6594.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7884.000|         8243.000|     -1250.00|      6594.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7883.000|         8243.000|     -2500.00|     13188.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7886.000|         8243.000|     -2500.00|     13188.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7888.000|         8243.000|     -2500.00|     13188.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7888.000|         8243.000|     -1250.00|      6594.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7888.000|         8243.000|     -1250.00|      6594.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8243.000|     -1250.00|      6594.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        7|     7890.000|         8243.000|     -8750.00|     46160.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8243.000|     -1250.00|      6594.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8243.000|     -1250.00|      6594.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7888.000|         8243.000|     -1250.00|      6594.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7890.000|         8243.000|     -2500.00|     13188.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7896.000|         8243.000|     -1250.00|      6594.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8243.000|     -1250.00|      6594.40|
|     郑商所|            AP005|  20191209|  投机|    卖|        1|     8066.000|         8243.000|     -1250.00|      6594.40|
|     郑商所|            AP005|  20191209|  投机|    卖|        1|     8070.000|         8243.000|     -1250.00|      6594.40|
|     郑商所|            AP005|  20191209|  投机|    卖|        1|     8084.000|         8243.000|     -1250.00|      6594.40|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8090.000|         8243.000|     -1250.00|      6594.40|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8085.000|         8243.000|     -1250.00|      6594.40|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8075.000|         8243.000|     -1250.00|      6594.40|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8075.000|         8243.000|     -1250.00|      6594.40|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8077.000|         8243.000|     -1250.00|      6594.40|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8078.000|         8243.000|     -1250.00|      6594.40|
|     郑商所|            CF005|  20191213|  投机|  买  |        1|    13370.000|        13305.000|      -250.00|      3326.25|
|     大商所|            c2005|  20191213|  投机|  买  |        1|     1895.000|         1895.000|       -10.00|       947.50|
|     大商所|            c2005|  20191213|  投机|  买  |        2|     1894.000|         1895.000|       -20.00|      1895.00|
|     大商所|            c2005|  20191213|  投机|  买  |        5|     1893.000|         1895.000|       -50.00|      4737.50|
|     大商所|            c2005|  20191213|  投机|  买  |        2|     1891.000|         1895.000|       -20.00|      1895.00|
|     大商所|            c2005|  20191213|  投机|  买  |        2|     1891.000|         1895.000|       -20.00|      1895.00|
|     大商所|            c2005|  20190906|  投机|  买  |       10|     1945.000|         1895.000|      -100.00|      9475.00|
|     大商所|            c2005|  20190906|  投机|  买  |        5|     1945.000|         1895.000|       -50.00|      4737.50|
|     大商所|            c2005|  20190906|  投机|  买  |        6|     1945.000|         1895.000|       -60.00|      5685.00|
|     大商所|            c2005|  20191213|  投机|  买  |        2|     1890.000|         1895.000|       -20.00|      1895.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1942.000|         1895.000|       -10.00|       947.50|
|     大商所|            c2005|  20191024|  投机|  买  |        3|     1905.000|         1895.000|       -30.00|      2842.50|
|     大商所|            c2005|  20191024|  投机|  买  |        1|     1905.000|         1895.000|       -10.00|       947.50|
|     大商所|            c2005|  20191024|  投机|  买  |        1|     1905.000|         1895.000|       -10.00|       947.50|
|     大商所|            c2005|  20191029|  投机|  买  |       20|     1940.000|         1895.000|      -200.00|     18950.00|
|     大商所|            c2005|  20191029|  投机|  买  |       20|     1940.000|         1895.000|      -200.00|     18950.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1942.000|         1895.000|       -10.00|       947.50|
|     大商所|            c2005|  20191029|  投机|  买  |       15|     1939.000|         1895.000|      -150.00|     14212.50|
|     大商所|            c2005|  20191029|  投机|  买  |        5|     1939.000|         1895.000|       -50.00|      4737.50|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1895.000|       -20.00|      1895.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1941.000|         1895.000|       -10.00|       947.50|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1914.000|         1895.000|       -20.00|      1895.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1914.000|         1895.000|       -20.00|      1895.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1895.000|       -20.00|      1895.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1895.000|       -20.00|      1895.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1895.000|       -20.00|      1895.00|
|     大商所|            c2005|  20191213|  投机|  买  |        2|     1890.000|         1895.000|       -20.00|      1895.00|
|     大商所|            c2005|  20191025|  投机|  买  |       10|     1905.000|         1895.000|      -100.00|      9475.00|
|     大商所|            c2005|  20191211|  投机|  买  |        1|     1901.000|         1895.000|       -10.00|       947.50|
|     大商所|            c2005|  20191211|  投机|  买  |        1|     1901.000|         1895.000|       -10.00|       947.50|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1895.000|         1895.000|       -20.00|      1895.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1895.000|       -20.00|      1895.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1895.000|       -20.00|      1895.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1895.000|         1895.000|       -20.00|      1895.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1895.000|       -20.00|      1895.00|
|     大商所|            c2005|  20191213|  投机|  买  |        1|     1893.000|         1895.000|       -10.00|       947.50|
|   能源中心|           sc2002|  20191213|  投机|  买  |        1|      466.300|          470.100|      3400.00|     32907.00|
|   能源中心|           sc2002|  20191209|  投机|  买  |        1|      464.600|          470.100|      3400.00|     32907.00|
|   能源中心|           sc2002|  20191209|  投机|  买  |        1|      464.600|          470.100|      3400.00|     32907.00|
|     上期所|           cu2002|  20191209|  投机|    卖|        7|    47970.000|        48950.000|      3150.00|    119927.50|
|     上期所|           cu2002|  20191210|  投机|    卖|        2|    48750.000|        48950.000|       900.00|     34265.00|
|     上期所|           cu2002|  20191209|  投机|    卖|        1|    48180.000|        48950.000|       450.00|     17132.50|
|     上期所|           cu2002|  20191209|  投机|    卖|        1|    48230.000|        48950.000|       450.00|     17132.50|
|     上期所|           cu2002|  20191210|  投机|    卖|        1|    48760.000|        48950.000|       450.00|     17132.50|
|     上期所|           cu2002|  20191210|  投机|    卖|        1|    48760.000|        48950.000|       450.00|     17132.50|
|     上期所|           cu2002|  20191209|  投机|    卖|        1|    48260.000|        48950.000|       450.00|     17132.50|
|     上期所|           cu2002|  20191209|  投机|    卖|        1|    48280.000|        48950.000|       450.00|     17132.50|
|     上期所|           cu2002|  20191206|  投机|    卖|        1|    47380.000|        48950.000|       450.00|     17132.50|
|     上期所|           cu2002|  20191211|  投机|    卖|        1|    48800.000|        48950.000|       450.00|     17132.50|
|     上期所|           cu2002|  20191210|  投机|    卖|        1|    48640.000|        48950.000|       450.00|     17132.50|
|     上期所|           cu2002|  20191211|  投机|    卖|        1|    48930.000|        48950.000|       450.00|     17132.50|
|     上期所|           cu2002|  20191209|  投机|    卖|        1|    48300.000|        48950.000|       450.00|     17132.50|
