                                            结算单 Settlement Statement                                                

账户：0019
日期：20191218
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        15512797.40                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            15580463.47
平仓盈亏 Realized P/L：               4425.00                  保证金占用 Margin Occupied：       1345784.10
持仓盈亏  MTM P/L：                  63435.00                  可用资金 Fund Avail.：            14234679.37
手续费 Commission：                    193.93                  风险度 Risk Degree：                    8.64%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7882.000|         8186.000|      1200.00|      6548.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7884.000|         8186.000|      1200.00|      6548.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7884.000|         8186.000|      1200.00|      6548.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7883.000|         8186.000|      2400.00|     13097.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7886.000|         8186.000|      2400.00|     13097.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7888.000|         8186.000|      2400.00|     13097.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7888.000|         8186.000|      1200.00|      6548.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7888.000|         8186.000|      1200.00|      6548.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8186.000|      1200.00|      6548.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        7|     7890.000|         8186.000|      8400.00|     45841.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8186.000|      1200.00|      6548.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8186.000|      1200.00|      6548.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7888.000|         8186.000|      1200.00|      6548.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7890.000|         8186.000|      2400.00|     13097.60|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7896.000|         8186.000|      1200.00|      6548.80|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8186.000|      1200.00|      6548.80|
|     郑商所|            AP005|  20191209|  投机|    卖|        1|     8066.000|         8186.000|      1200.00|      6548.80|
|     郑商所|            AP005|  20191209|  投机|    卖|        1|     8070.000|         8186.000|      1200.00|      6548.80|
|     郑商所|            AP005|  20191209|  投机|    卖|        1|     8084.000|         8186.000|      1200.00|      6548.80|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8090.000|         8186.000|      1200.00|      6548.80|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8085.000|         8186.000|      1200.00|      6548.80|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8075.000|         8186.000|      1200.00|      6548.80|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8075.000|         8186.000|      1200.00|      6548.80|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8077.000|         8186.000|      1200.00|      6548.80|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8078.000|         8186.000|      1200.00|      6548.80|
|     郑商所|            AP005|  20191217|  投机|    卖|        2|     8237.000|         8186.000|      2400.00|     13097.60|
|     郑商所|            AP005|  20191217|  投机|    卖|        1|     8245.000|         8186.000|      1200.00|      6548.80|
|     郑商所|            AP005|  20191217|  投机|    卖|        1|     8250.000|         8186.000|      1200.00|      6548.80|
|     大商所|            c2005|  20191213|  投机|  买  |        1|     1893.000|         1888.000|       -40.00|       944.00|
|     大商所|            c2005|  20191213|  投机|  买  |        2|     1891.000|         1888.000|       -80.00|      1888.00|
|     大商所|            c2005|  20191213|  投机|  买  |        2|     1891.000|         1888.000|       -80.00|      1888.00|
|     大商所|            c2005|  20190906|  投机|  买  |       10|     1945.000|         1888.000|      -400.00|      9440.00|
|     大商所|            c2005|  20190906|  投机|  买  |        5|     1945.000|         1888.000|      -200.00|      4720.00|
|     大商所|            c2005|  20190906|  投机|  买  |        6|     1945.000|         1888.000|      -240.00|      5664.00|
|     大商所|            c2005|  20191213|  投机|  买  |        2|     1890.000|         1888.000|       -80.00|      1888.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1942.000|         1888.000|       -40.00|       944.00|
|     大商所|            c2005|  20191024|  投机|  买  |        3|     1905.000|         1888.000|      -120.00|      2832.00|
|     大商所|            c2005|  20191024|  投机|  买  |        1|     1905.000|         1888.000|       -40.00|       944.00|
|     大商所|            c2005|  20191024|  投机|  买  |        1|     1905.000|         1888.000|       -40.00|       944.00|
|     大商所|            c2005|  20191029|  投机|  买  |       20|     1940.000|         1888.000|      -800.00|     18880.00|
|     大商所|            c2005|  20191029|  投机|  买  |       20|     1940.000|         1888.000|      -800.00|     18880.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1942.000|         1888.000|       -40.00|       944.00|
|     大商所|            c2005|  20191029|  投机|  买  |       15|     1939.000|         1888.000|      -600.00|     14160.00|
|     大商所|            c2005|  20191029|  投机|  买  |        5|     1939.000|         1888.000|      -200.00|      4720.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1888.000|       -80.00|      1888.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1941.000|         1888.000|       -40.00|       944.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1892.000|         1888.000|       -40.00|       944.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1914.000|         1888.000|       -80.00|      1888.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1914.000|         1888.000|       -80.00|      1888.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1892.000|         1888.000|       -40.00|       944.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1888.000|       -80.00|      1888.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1888.000|       -80.00|      1888.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1888.000|       -80.00|      1888.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1892.000|         1888.000|       -40.00|       944.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1891.000|         1888.000|       -40.00|       944.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1891.000|         1888.000|       -40.00|       944.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1891.000|         1888.000|       -40.00|       944.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1890.000|         1888.000|       -40.00|       944.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1890.000|         1888.000|       -40.00|       944.00|
|     大商所|            c2005|  20191213|  投机|  买  |        2|     1890.000|         1888.000|       -80.00|      1888.00|
|     大商所|            c2005|  20191025|  投机|  买  |       10|     1905.000|         1888.000|      -400.00|      9440.00|
|     大商所|            c2005|  20191217|  投机|  买  |        2|     1888.000|         1888.000|       -80.00|      1888.00|
|     大商所|            c2005|  20191211|  投机|  买  |        1|     1901.000|         1888.000|       -40.00|       944.00|
|     大商所|            c2005|  20191211|  投机|  买  |        1|     1901.000|         1888.000|       -40.00|       944.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1895.000|         1888.000|       -80.00|      1888.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1888.000|       -80.00|      1888.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1888.000|       -80.00|      1888.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1895.000|         1888.000|       -80.00|      1888.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1888.000|       -80.00|      1888.00|
|     大商所|            c2005|  20191213|  投机|  买  |        1|     1893.000|         1888.000|       -40.00|       944.00|
|   能源中心|           sc2002|  20191216|  投机|  买  |        1|      470.900|          474.800|      2600.00|     33236.00|
|   能源中心|           sc2002|  20191216|  投机|  买  |        1|      470.800|          474.800|      2600.00|     33236.00|
|   能源中心|           sc2002|  20191213|  投机|  买  |        1|      466.300|          474.800|      2600.00|     33236.00|
|   能源中心|           sc2002|  20191216|  投机|  买  |        1|      471.500|          474.800|      2600.00|     33236.00|
|   能源中心|           sc2002|  20191209|  投机|  买  |        1|      464.600|          474.800|      2600.00|     33236.00|
|   能源中心|           sc2002|  20191209|  投机|  买  |        1|      464.600|          474.800|      2600.00|     33236.00|
|     上期所|           cu2002|  20191209|  投机|    卖|        1|    48320.000|        49120.000|       650.00|     17192.00|
|     上期所|           cu2002|  20191211|  投机|    卖|        1|    48990.000|        49120.000|       650.00|     17192.00|
|     上期所|           cu2002|  20191211|  投机|    卖|        1|    48970.000|        49120.000|       650.00|     17192.00|
|     上期所|           cu2002|  20191211|  投机|    卖|        1|    48980.000|        49120.000|       650.00|     17192.00|
|     上期所|           cu2002|  20191211|  投机|    卖|        1|    48990.000|        49120.000|       650.00|     17192.00|
|     上期所|           cu2002|  20191211|  投机|    卖|        1|    49000.000|        49120.000|       650.00|     17192.00|
