                                            结算单 Settlement Statement                                                

账户：0019
日期：20191220
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        15643316.01                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            15647290.45
平仓盈亏 Realized P/L：               4850.00                  保证金占用 Margin Occupied：       1312101.00
持仓盈亏  MTM P/L：                   -595.00                  可用资金 Fund Avail.：            14335189.45
手续费 Commission：                    280.56                  风险度 Risk Degree：                    8.39%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            AP005|  20191202|  投机|    卖|        7|     7890.000|         8094.000|       700.00|     45326.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7888.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7890.000|         8094.000|       200.00|     12950.40|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7896.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191209|  投机|    卖|        1|     8066.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191209|  投机|    卖|        1|     8070.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191209|  投机|    卖|        1|     8084.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8090.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8085.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8075.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8075.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8077.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8078.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191217|  投机|    卖|        2|     8237.000|         8094.000|       200.00|     12950.40|
|     郑商所|            AP005|  20191217|  投机|    卖|        1|     8245.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191217|  投机|    卖|        1|     8250.000|         8094.000|       100.00|      6475.20|
|     郑商所|            CF005|  20191218|  投机|  买  |        1|    13325.000|        13400.000|       275.00|      3350.00|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8123.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8132.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8135.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8112.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8113.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8111.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8118.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8106.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8101.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8101.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8101.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8101.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8096.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8096.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8086.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8086.000|         8094.000|       100.00|      6475.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        2|     8093.000|         8094.000|       200.00|     12950.40|
|     大商所|            c2005|  20191219|  投机|  买  |        7|     1883.000|         1879.000|      -280.00|      6576.50|
|     大商所|            c2005|  20191219|  投机|  买  |        2|     1882.000|         1879.000|       -80.00|      1879.00|
|     大商所|            c2005|  20191219|  投机|  买  |        2|     1881.000|         1879.000|       -80.00|      1879.00|
|     大商所|            c2005|  20190906|  投机|  买  |        5|     1945.000|         1879.000|      -200.00|      4697.50|
|     大商所|            c2005|  20190906|  投机|  买  |        5|     1945.000|         1879.000|      -200.00|      4697.50|
|     大商所|            c2005|  20190906|  投机|  买  |        6|     1945.000|         1879.000|      -240.00|      5637.00|
|     大商所|            c2005|  20191219|  投机|  买  |        2|     1881.000|         1879.000|       -80.00|      1879.00|
|     大商所|            c2005|  20191213|  投机|  买  |        2|     1890.000|         1879.000|       -80.00|      1879.00|
|     大商所|            c2005|  20191219|  投机|  买  |        5|     1880.000|         1879.000|      -200.00|      4697.50|
|     大商所|            c2005|  20191219|  投机|  买  |        2|     1879.000|         1879.000|       -80.00|      1879.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1942.000|         1879.000|       -40.00|       939.50|
|     大商所|            c2005|  20191024|  投机|  买  |        3|     1905.000|         1879.000|      -120.00|      2818.50|
|     大商所|            c2005|  20191024|  投机|  买  |        1|     1905.000|         1879.000|       -40.00|       939.50|
|     大商所|            c2005|  20191024|  投机|  买  |        1|     1905.000|         1879.000|       -40.00|       939.50|
|     大商所|            c2005|  20191029|  投机|  买  |       20|     1940.000|         1879.000|      -800.00|     18790.00|
|     大商所|            c2005|  20191029|  投机|  买  |       20|     1940.000|         1879.000|      -800.00|     18790.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1942.000|         1879.000|       -40.00|       939.50|
|     大商所|            c2005|  20191029|  投机|  买  |       15|     1939.000|         1879.000|      -600.00|     14092.50|
|     大商所|            c2005|  20191029|  投机|  买  |        5|     1939.000|         1879.000|      -200.00|      4697.50|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1879.000|       -80.00|      1879.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1941.000|         1879.000|       -40.00|       939.50|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1892.000|         1879.000|       -40.00|       939.50|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1914.000|         1879.000|       -80.00|      1879.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1914.000|         1879.000|       -80.00|      1879.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1892.000|         1879.000|       -40.00|       939.50|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1879.000|       -80.00|      1879.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1879.000|       -80.00|      1879.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1879.000|       -80.00|      1879.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1892.000|         1879.000|       -40.00|       939.50|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1891.000|         1879.000|       -40.00|       939.50|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1891.000|         1879.000|       -40.00|       939.50|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1891.000|         1879.000|       -40.00|       939.50|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1890.000|         1879.000|       -40.00|       939.50|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1890.000|         1879.000|       -40.00|       939.50|
|     大商所|            c2005|  20191213|  投机|  买  |        2|     1890.000|         1879.000|       -80.00|      1879.00|
|     大商所|            c2005|  20191025|  投机|  买  |       10|     1905.000|         1879.000|      -400.00|      9395.00|
|     大商所|            c2005|  20191217|  投机|  买  |        2|     1888.000|         1879.000|       -80.00|      1879.00|
|     大商所|            c2005|  20191211|  投机|  买  |        1|     1901.000|         1879.000|       -40.00|       939.50|
|     大商所|            c2005|  20191211|  投机|  买  |        1|     1901.000|         1879.000|       -40.00|       939.50|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1895.000|         1879.000|       -80.00|      1879.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1879.000|       -80.00|      1879.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1879.000|       -80.00|      1879.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1895.000|         1879.000|       -80.00|      1879.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1879.000|       -80.00|      1879.00|
|     大商所|            c2005|  20191213|  投机|  买  |        1|     1893.000|         1879.000|       -40.00|       939.50|
