                                            结算单 Settlement Statement                                                

账户：0019
日期：20191223
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        15647290.45                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            15660447.18
平仓盈亏 Realized P/L：             -26070.00                  保证金占用 Margin Occupied：       1050925.00
持仓盈亏  MTM P/L：                  39545.00                  可用资金 Fund Avail.：            14609522.18
手续费 Commission：                    318.27                  风险度 Risk Degree：                    6.71%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            AP005|  20191202|  投机|    卖|        7|     7890.000|         8105.000|      -770.00|     45388.00|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7888.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191202|  投机|    卖|        2|     7890.000|         8105.000|      -220.00|     12968.00|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7896.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191202|  投机|    卖|        1|     7890.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191209|  投机|    卖|        1|     8066.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191209|  投机|    卖|        1|     8070.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191209|  投机|    卖|        1|     8084.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8090.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8085.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8075.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8075.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8077.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8078.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191217|  投机|    卖|        2|     8237.000|         8105.000|      -220.00|     12968.00|
|     郑商所|            AP005|  20191217|  投机|    卖|        1|     8245.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191217|  投机|    卖|        1|     8250.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            CF005|  20191218|  投机|  买  |        1|    13325.000|        13400.000|         0.00|      3350.00|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8123.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8132.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8135.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8112.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8113.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8111.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8118.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8106.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8101.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8101.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8101.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8101.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8096.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8096.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8086.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8086.000|         8105.000|      -110.00|      6484.00|
|     郑商所|            AP005|  20191218|  投机|    卖|        2|     8093.000|         8105.000|      -220.00|     12968.00|
|     大商所|            c2005|  20190906|  投机|  买  |        4|     1945.000|         1890.000|       440.00|      3780.00|
|     大商所|            c2005|  20190906|  投机|  买  |        5|     1945.000|         1890.000|       550.00|      4725.00|
|     大商所|            c2005|  20190906|  投机|  买  |        6|     1945.000|         1890.000|       660.00|      5670.00|
|     大商所|            c2005|  20191219|  投机|  买  |        2|     1881.000|         1890.000|       220.00|      1890.00|
|     大商所|            c2005|  20191213|  投机|  买  |        2|     1890.000|         1890.000|       220.00|      1890.00|
|     大商所|            c2005|  20191219|  投机|  买  |        5|     1880.000|         1890.000|       550.00|      4725.00|
|     大商所|            c2005|  20191219|  投机|  买  |        2|     1879.000|         1890.000|       220.00|      1890.00|
|     大商所|            c2005|  20191220|  投机|  买  |        2|     1875.000|         1890.000|       220.00|      1890.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1942.000|         1890.000|       110.00|       945.00|
|     大商所|            c2005|  20191024|  投机|  买  |        3|     1905.000|         1890.000|       330.00|      2835.00|
|     大商所|            c2005|  20191024|  投机|  买  |        1|     1905.000|         1890.000|       110.00|       945.00|
|     大商所|            c2005|  20191024|  投机|  买  |        1|     1905.000|         1890.000|       110.00|       945.00|
|     大商所|            c2005|  20191029|  投机|  买  |       20|     1940.000|         1890.000|      2200.00|     18900.00|
|     大商所|            c2005|  20191029|  投机|  买  |       20|     1940.000|         1890.000|      2200.00|     18900.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1942.000|         1890.000|       110.00|       945.00|
|     大商所|            c2005|  20191029|  投机|  买  |       15|     1939.000|         1890.000|      1650.00|     14175.00|
|     大商所|            c2005|  20191029|  投机|  买  |        5|     1939.000|         1890.000|       550.00|      4725.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1890.000|       220.00|      1890.00|
|     大商所|            c2005|  20191220|  投机|  买  |        2|     1873.000|         1890.000|       220.00|      1890.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1941.000|         1890.000|       110.00|       945.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1892.000|         1890.000|       110.00|       945.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1914.000|         1890.000|       220.00|      1890.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1914.000|         1890.000|       220.00|      1890.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1892.000|         1890.000|       110.00|       945.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1890.000|       220.00|      1890.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1890.000|       220.00|      1890.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1890.000|       220.00|      1890.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1892.000|         1890.000|       110.00|       945.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1891.000|         1890.000|       110.00|       945.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1891.000|         1890.000|       110.00|       945.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1891.000|         1890.000|       110.00|       945.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1890.000|         1890.000|       110.00|       945.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1890.000|         1890.000|       110.00|       945.00|
|     大商所|            c2005|  20191213|  投机|  买  |        2|     1890.000|         1890.000|       220.00|      1890.00|
|     大商所|            c2005|  20191025|  投机|  买  |       10|     1905.000|         1890.000|      1100.00|      9450.00|
|     大商所|            c2005|  20191217|  投机|  买  |        2|     1888.000|         1890.000|       220.00|      1890.00|
|     大商所|            c2005|  20191211|  投机|  买  |        1|     1901.000|         1890.000|       110.00|       945.00|
|     大商所|            c2005|  20191211|  投机|  买  |        1|     1901.000|         1890.000|       110.00|       945.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1895.000|         1890.000|       220.00|      1890.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1890.000|       220.00|      1890.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1890.000|       220.00|      1890.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1895.000|         1890.000|       220.00|      1890.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1890.000|       220.00|      1890.00|
|     大商所|            c2005|  20191213|  投机|  买  |        1|     1893.000|         1890.000|       110.00|       945.00|
|     上期所|           cu2002|  20191211|  投机|    卖|        1|    48970.000|        49020.000|      1050.00|     17157.00|
