                                            结算单 Settlement Statement                                                

账户：0019
日期：20191230
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        15627733.42                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            15749809.62
平仓盈亏 Realized P/L：               3595.00                  保证金占用 Margin Occupied：       1793619.30
持仓盈亏  MTM P/L：                 119710.00                  可用资金 Fund Avail.：            13956190.32
手续费 Commission：                   1228.80                  风险度 Risk Degree：                   11.39%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8077.000|         7834.000|      2720.00|      6267.20|
|     郑商所|            AP005|  20191212|  投机|    卖|        1|     8078.000|         7834.000|      2720.00|      6267.20|
|     郑商所|            AP005|  20191217|  投机|    卖|        2|     8237.000|         7834.000|      5440.00|     12534.40|
|     郑商所|            AP005|  20191217|  投机|    卖|        1|     8245.000|         7834.000|      2720.00|      6267.20|
|     郑商所|            AP005|  20191217|  投机|    卖|        1|     8250.000|         7834.000|      2720.00|      6267.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8123.000|         7834.000|      2720.00|      6267.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8132.000|         7834.000|      2720.00|      6267.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8135.000|         7834.000|      2720.00|      6267.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8112.000|         7834.000|      2720.00|      6267.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8113.000|         7834.000|      2720.00|      6267.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8111.000|         7834.000|      2720.00|      6267.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8118.000|         7834.000|      2720.00|      6267.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8106.000|         7834.000|      2720.00|      6267.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8101.000|         7834.000|      2720.00|      6267.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8101.000|         7834.000|      2720.00|      6267.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8101.000|         7834.000|      2720.00|      6267.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8101.000|         7834.000|      2720.00|      6267.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8096.000|         7834.000|      2720.00|      6267.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8096.000|         7834.000|      2720.00|      6267.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8086.000|         7834.000|      2720.00|      6267.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        1|     8086.000|         7834.000|      2720.00|      6267.20|
|     郑商所|            AP005|  20191218|  投机|    卖|        2|     8093.000|         7834.000|      5440.00|     12534.40|
|     郑商所|            AP005|  20191227|  投机|    卖|        2|     8020.000|         7834.000|      5440.00|     12534.40|
|     郑商所|            AP005|  20191227|  投机|    卖|        2|     8017.000|         7834.000|      5440.00|     12534.40|
|     郑商所|            AP005|  20191227|  投机|    卖|        1|     8020.000|         7834.000|      2720.00|      6267.20|
|     郑商所|            AP005|  20191227|  投机|    卖|        1|     8020.000|         7834.000|      2720.00|      6267.20|
|     大商所|            p2005|  20191223|  投机|  买  |        1|     6060.000|         6298.000|       700.00|      3149.00|
|     大商所|            p2005|  20191227|  投机|  买  |        5|     6188.000|         6298.000|      3500.00|     15745.00|
|     大商所|            p2005|  20191223|  投机|  买  |        1|     6022.000|         6298.000|       700.00|      3149.00|
|     大商所|            p2005|  20191225|  投机|  买  |        3|     6042.000|         6298.000|      2100.00|      9447.00|
|     大商所|            p2005|  20191227|  投机|  买  |        2|     6220.000|         6298.000|      1400.00|      6298.00|
|     大商所|            p2005|  20191224|  投机|  买  |        1|     5990.000|         6298.000|       700.00|      3149.00|
|     大商所|            p2005|  20191227|  投机|  买  |        5|     6260.000|         6298.000|      3500.00|     15745.00|
|     大商所|            p2005|  20191225|  投机|  买  |        1|     6032.000|         6298.000|       700.00|      3149.00|
|     大商所|            p2005|  20191227|  投机|  买  |        8|     6276.000|         6298.000|      5600.00|     25192.00|
|     大商所|            p2005|  20191223|  投机|  买  |        1|     6028.000|         6298.000|       700.00|      3149.00|
|     大商所|            c2005|  20191029|  投机|  买  |       19|     1940.000|         1913.000|      -570.00|     18173.50|
|     大商所|            c2005|  20191029|  投机|  买  |       20|     1940.000|         1913.000|      -600.00|     19130.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1942.000|         1913.000|       -30.00|       956.50|
|     大商所|            c2005|  20191029|  投机|  买  |       15|     1939.000|         1913.000|      -450.00|     14347.50|
|     大商所|            c2005|  20191029|  投机|  买  |        5|     1939.000|         1913.000|      -150.00|      4782.50|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1913.000|       -60.00|      1913.00|
|     大商所|            c2005|  20191220|  投机|  买  |        2|     1873.000|         1913.000|       -60.00|      1913.00|
|     大商所|            p2005|  20191226|  投机|  买  |        1|     6090.000|         6298.000|       700.00|      3149.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1941.000|         1913.000|       -30.00|       956.50|
|     大商所|            p2005|  20191226|  投机|  买  |        1|     6094.000|         6298.000|       700.00|      3149.00|
|     大商所|            p2005|  20191226|  投机|  买  |        1|     6094.000|         6298.000|       700.00|      3149.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1892.000|         1913.000|       -30.00|       956.50|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1914.000|         1913.000|       -60.00|      1913.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1914.000|         1913.000|       -60.00|      1913.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1892.000|         1913.000|       -30.00|       956.50|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1913.000|       -60.00|      1913.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1913.000|       -60.00|      1913.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1913.000|       -60.00|      1913.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1892.000|         1913.000|       -30.00|       956.50|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1891.000|         1913.000|       -30.00|       956.50|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1891.000|         1913.000|       -30.00|       956.50|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1891.000|         1913.000|       -30.00|       956.50|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1890.000|         1913.000|       -30.00|       956.50|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1890.000|         1913.000|       -30.00|       956.50|
|     大商所|            c2005|  20191213|  投机|  买  |        2|     1890.000|         1913.000|       -60.00|      1913.00|
|     大商所|            c2005|  20191025|  投机|  买  |       10|     1905.000|         1913.000|      -300.00|      9565.00|
|     大商所|            c2005|  20191217|  投机|  买  |        2|     1888.000|         1913.000|       -60.00|      1913.00|
|     大商所|            c2005|  20191227|  投机|  买  |        1|     1912.000|         1913.000|       -30.00|       956.50|
|     大商所|            p2005|  20191227|  投机|  买  |        1|     6292.000|         6298.000|       700.00|      3149.00|
|     大商所|            p2005|  20191227|  投机|  买  |        2|     6292.000|         6298.000|      1400.00|      6298.00|
|     大商所|            p2005|  20191227|  投机|  买  |        1|     6292.000|         6298.000|       700.00|      3149.00|
|     大商所|            p2005|  20191227|  投机|  买  |        1|     6292.000|         6298.000|       700.00|      3149.00|
|     大商所|            p2005|  20191227|  投机|  买  |        5|     6298.000|         6298.000|      3500.00|     15745.00|
|     大商所|            c2005|  20191211|  投机|  买  |        1|     1901.000|         1913.000|       -30.00|       956.50|
|     大商所|            c2005|  20191211|  投机|  买  |        1|     1901.000|         1913.000|       -30.00|       956.50|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1895.000|         1913.000|       -60.00|      1913.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1913.000|       -60.00|      1913.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1913.000|       -60.00|      1913.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1895.000|         1913.000|       -60.00|      1913.00|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1913.000|       -60.00|      1913.00|
|     大商所|            c2005|  20191213|  投机|  买  |        1|     1893.000|         1913.000|       -30.00|       956.50|
|     大商所|            j2005|  20191226|  投机|  买  |        1|     1855.000|         1859.500|      -100.00|     14876.00|
|     大商所|            i2005|  20191227|  投机|    卖|        1|      647.000|          645.000|      -350.00|      5160.00|
|     大商所|            j2005|  20191227|  投机|  买  |        1|     1863.000|         1859.500|      -100.00|     14876.00|
|     上期所|           cu2002|  20191225|  投机|    卖|        1|    49450.000|        49440.000|      1250.00|     17304.00|
|     上期所|           cu2002|  20191216|  投机|    卖|        1|    49060.000|        49440.000|      1250.00|     17304.00|
