                                            结算单 Settlement Statement                                                

账户：0019
日期：20191231
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        15749809.62                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            15819772.21
平仓盈亏 Realized P/L：              91990.00                  保证金占用 Margin Occupied：       1171963.50
持仓盈亏  MTM P/L：                 -21070.00                  可用资金 Fund Avail.：            14647808.71
手续费 Commission：                    957.41                  风险度 Risk Degree：                    7.41%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            p2005|  20191227|  投机|  买  |        3|     6188.000|         6352.000|      1620.00|      9528.00|
|     大商所|            p2005|  20191223|  投机|  买  |        1|     6022.000|         6352.000|       540.00|      3176.00|
|     大商所|            p2005|  20191225|  投机|  买  |        3|     6042.000|         6352.000|      1620.00|      9528.00|
|     大商所|            p2005|  20191227|  投机|  买  |        2|     6220.000|         6352.000|      1080.00|      6352.00|
|     大商所|            p2005|  20191230|  投机|  买  |        1|     6278.000|         6352.000|       540.00|      3176.00|
|     大商所|            p2005|  20191224|  投机|  买  |        1|     5990.000|         6352.000|       540.00|      3176.00|
|     大商所|            p2005|  20191227|  投机|  买  |        5|     6260.000|         6352.000|      2700.00|     15880.00|
|     大商所|            p2005|  20191225|  投机|  买  |        1|     6032.000|         6352.000|       540.00|      3176.00|
|     大商所|            p2005|  20191227|  投机|  买  |        8|     6276.000|         6352.000|      4320.00|     25408.00|
|     大商所|            p2005|  20191223|  投机|  买  |        1|     6028.000|         6352.000|       540.00|      3176.00|
|     大商所|            c2005|  20191029|  投机|  买  |       19|     1940.000|         1911.000|      -380.00|     18154.50|
|     大商所|            c2005|  20191029|  投机|  买  |       20|     1940.000|         1911.000|      -400.00|     19110.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1942.000|         1911.000|       -20.00|       955.50|
|     大商所|            c2005|  20191029|  投机|  买  |       15|     1939.000|         1911.000|      -300.00|     14332.50|
|     大商所|            c2005|  20191029|  投机|  买  |        5|     1939.000|         1911.000|      -100.00|      4777.50|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1911.000|       -40.00|      1911.00|
|     大商所|            c2005|  20191220|  投机|  买  |        2|     1873.000|         1911.000|       -40.00|      1911.00|
|     大商所|            p2005|  20191226|  投机|  买  |        1|     6090.000|         6352.000|       540.00|      3176.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1941.000|         1911.000|       -20.00|       955.50|
|     大商所|            p2005|  20191226|  投机|  买  |        1|     6094.000|         6352.000|       540.00|      3176.00|
|     大商所|            p2005|  20191226|  投机|  买  |        1|     6094.000|         6352.000|       540.00|      3176.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1892.000|         1911.000|       -20.00|       955.50|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1914.000|         1911.000|       -40.00|      1911.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1914.000|         1911.000|       -40.00|      1911.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1892.000|         1911.000|       -20.00|       955.50|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1911.000|       -40.00|      1911.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1911.000|       -40.00|      1911.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1911.000|       -40.00|      1911.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1892.000|         1911.000|       -20.00|       955.50|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1891.000|         1911.000|       -20.00|       955.50|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1891.000|         1911.000|       -20.00|       955.50|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1891.000|         1911.000|       -20.00|       955.50|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1890.000|         1911.000|       -20.00|       955.50|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1890.000|         1911.000|       -20.00|       955.50|
|     大商所|            c2005|  20191213|  投机|  买  |        2|     1890.000|         1911.000|       -40.00|      1911.00|
|     大商所|            c2005|  20191025|  投机|  买  |       10|     1905.000|         1911.000|      -200.00|      9555.00|
|     大商所|            c2009|  20191230|  投机|    卖|       10|     1966.000|         1964.000|       100.00|      9820.00|
|     大商所|            m2009|  20191230|  投机|    卖|        3|     2852.000|         2861.000|      -750.00|      4291.50|
|     大商所|            m2009|  20191230|  投机|    卖|        5|     2853.000|         2861.000|     -1250.00|      7152.50|
|     大商所|            c2009|  20191230|  投机|    卖|        5|     1966.000|         1964.000|        50.00|      4910.00|
|     大商所|            c2009|  20191230|  投机|    卖|        4|     1966.000|         1964.000|        40.00|      3928.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1966.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1966.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1966.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1966.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1966.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1966.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        2|     1966.000|         1964.000|        20.00|      1964.00|
|     大商所|            c2009|  20191230|  投机|    卖|        2|     1966.000|         1964.000|        20.00|      1964.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1966.000|         1964.000|        10.00|       982.00|
|     大商所|            m2009|  20191230|  投机|    卖|        5|     2854.000|         2861.000|     -1250.00|      7152.50|
|     大商所|            c2005|  20191217|  投机|  买  |        2|     1888.000|         1911.000|       -40.00|      1911.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            m2009|  20191230|  投机|    卖|        1|     2853.000|         2861.000|      -250.00|      1430.50|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            m2009|  20191230|  投机|    卖|        1|     2853.000|         2861.000|      -250.00|      1430.50|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1964.000|        10.00|       982.00|
|     大商所|            m2009|  20191230|  投机|    卖|        1|     2853.000|         2861.000|      -250.00|      1430.50|
