                                            结算单 Settlement Statement                                                

账户：0019
日期：20200102
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：        15819772.21                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：            15764044.19
平仓盈亏 Realized P/L：              -9890.00                  保证金占用 Margin Occupied：       1544284.50
持仓盈亏  MTM P/L：                 -45170.00                  可用资金 Fund Avail.：            14219759.69
手续费 Commission：                    668.02                  风险度 Risk Degree：                    9.80%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     大商所|            p2005|  20191227|  投机|  买  |        4|     6260.000|         6316.000|     -1440.00|     12632.00|
|     大商所|            p2005|  20191225|  投机|  买  |        1|     6032.000|         6316.000|      -360.00|      3158.00|
|     大商所|            p2005|  20191227|  投机|  买  |        8|     6276.000|         6316.000|     -2880.00|     25264.00|
|     大商所|            p2005|  20191223|  投机|  买  |        1|     6028.000|         6316.000|      -360.00|      3158.00|
|     大商所|            c2005|  20191029|  投机|  买  |       17|     1940.000|         1915.000|       680.00|     16277.50|
|     大商所|            c2005|  20191029|  投机|  买  |       20|     1940.000|         1915.000|       800.00|     19150.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1942.000|         1915.000|        40.00|       957.50|
|     大商所|            c2005|  20191029|  投机|  买  |       15|     1939.000|         1915.000|       600.00|     14362.50|
|     大商所|            c2005|  20191029|  投机|  买  |        5|     1939.000|         1915.000|       200.00|      4787.50|
|     大商所|            c2005|  20191209|  投机|  买  |        2|     1894.000|         1915.000|        80.00|      1915.00|
|     大商所|            c2005|  20191220|  投机|  买  |        2|     1873.000|         1915.000|        80.00|      1915.00|
|     大商所|            p2005|  20191226|  投机|  买  |        1|     6090.000|         6316.000|      -360.00|      3158.00|
|     大商所|            c2005|  20190906|  投机|  买  |        1|     1941.000|         1915.000|        40.00|       957.50|
|     大商所|            p2005|  20191226|  投机|  买  |        1|     6094.000|         6316.000|      -360.00|      3158.00|
|     大商所|            p2005|  20191226|  投机|  买  |        1|     6094.000|         6316.000|      -360.00|      3158.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1892.000|         1915.000|        40.00|       957.50|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1914.000|         1915.000|        80.00|      1915.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1914.000|         1915.000|        80.00|      1915.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1892.000|         1915.000|        40.00|       957.50|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1915.000|        80.00|      1915.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1915.000|        80.00|      1915.00|
|     大商所|            c2005|  20191023|  投机|  买  |        2|     1913.000|         1915.000|        80.00|      1915.00|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1892.000|         1915.000|        40.00|       957.50|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1891.000|         1915.000|        40.00|       957.50|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1891.000|         1915.000|        40.00|       957.50|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1891.000|         1915.000|        40.00|       957.50|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1890.000|         1915.000|        40.00|       957.50|
|     大商所|            c2005|  20191217|  投机|  买  |        1|     1890.000|         1915.000|        40.00|       957.50|
|     大商所|            c2005|  20191213|  投机|  买  |        2|     1890.000|         1915.000|        80.00|      1915.00|
|     大商所|            c2005|  20191025|  投机|  买  |       10|     1905.000|         1915.000|       400.00|      9575.00|
|     大商所|            m2009|  20191230|  投机|    卖|        2|     2853.000|         2870.000|      -180.00|      2870.00|
|     大商所|            c2009|  20191230|  投机|    卖|        2|     1966.000|         1966.000|       -40.00|      1966.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1966.000|         1966.000|       -20.00|       983.00|
|     大商所|            m2009|  20191230|  投机|    卖|        5|     2854.000|         2870.000|      -450.00|      7175.00|
|     大商所|            c2005|  20191217|  投机|  买  |        2|     1888.000|         1915.000|        80.00|      1915.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            m2009|  20191230|  投机|    卖|        1|     2853.000|         2870.000|       -90.00|      1435.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            m2009|  20191230|  投机|    卖|        1|     2853.000|         2870.000|       -90.00|      1435.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            m2009|  20191230|  投机|    卖|        1|     2853.000|         2870.000|       -90.00|      1435.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            m2009|  20191230|  投机|    卖|        1|     2853.000|         2870.000|       -90.00|      1435.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            m2009|  20191230|  投机|    卖|        1|     2853.000|         2870.000|       -90.00|      1435.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            m2009|  20191230|  投机|    卖|        1|     2853.000|         2870.000|       -90.00|      1435.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
|     大商所|            m2009|  20191230|  投机|    卖|        1|     2853.000|         2870.000|       -90.00|      1435.00|
|     大商所|            c2009|  20191230|  投机|    卖|        1|     1965.000|         1966.000|       -20.00|       983.00|
