                                                结算单

账户：0029
日期：20190410
                                               资金状况                            币种：人民币
-----------------------------------------------------------------------------------------------
上次结算金：        4576639.58                                   交割手续费：              0.00
出 入 金：                0.00                                   期末结存：          4420483.51
平仓盈亏：            -2825.00                                   保证金占用：        2022035.25
持仓盈亏：          -152925.00                                   可用资金：          2398448.26
手续费：                406.07                                   风险度：                45.74%

-----------------------------------------------------------------------------------------------

                                               持仓明细
-----------------------------------------------------------------------------------------------
|交易所  | 合约  | 开仓日期 |投/保|买/卖| 持仓量|  开仓价 |  结算价 |  盯市盈亏 |    保证金   |
-----------------------------------------------------------------------------------------------

|上期所  |rb1910 |20190408  |投机 |买   |     10|  3698.00|  3754.00|    -400.00|     30032.00|
|上期所  |rb1910 |20190408  |投机 |买   |      1|  3698.00|  3754.00|     -40.00|      3003.20|
|上期所  |rb1910 |20190408  |投机 |买   |      2|  3698.00|  3754.00|     -80.00|      6006.40|
|上期所  |rb1910 |20190408  |投机 |买   |      1|  3698.00|  3754.00|     -40.00|      3003.20|
|上期所  |rb1910 |20190408  |投机 |买   |      1|  3698.00|  3754.00|     -40.00|      3003.20|
|上期所  |rb1910 |20190408  |投机 |买   |      4|  3695.00|  3754.00|    -160.00|     12012.80|
|上期所  |rb1910 |20190408  |投机 |买   |      1|  3695.00|  3754.00|     -40.00|      3003.20|
|上期所  |rb1910 |20190408  |投机 |买   |      1|  3695.00|  3754.00|     -40.00|      3003.20|
|上期所  |rb1910 |20190408  |投机 |买   |      1|  3695.00|  3754.00|     -40.00|      3003.20|
|上期所  |rb1910 |20190408  |投机 |买   |      3|  3695.00|  3754.00|    -120.00|      9009.60|
|上期所  |rb1910 |20190408  |投机 |买   |     15|  3710.00|  3754.00|    -600.00|     45048.00|
|上期所  |rb1910 |20190408  |投机 |买   |     25|  3716.00|  3754.00|   -1000.00|     75080.00|
|上期所  |rb1910 |20190408  |投机 |买   |      5|  3719.00|  3754.00|    -200.00|     15016.00|
|上期所  |rb1910 |20190408  |投机 |买   |      3|  3743.00|  3754.00|    -120.00|      9009.60|
|上期所  |rb1910 |20190408  |投机 |买   |      2|  3743.00|  3754.00|     -80.00|      6006.40|
|上期所  |rb1910 |20190408  |投机 |买   |      5|  3745.00|  3754.00|    -200.00|     15016.00|
|上期所  |rb1910 |20190404  |投机 |买   |      5|  3580.00|  3754.00|    -200.00|     15016.00|
|上期所  |rb1910 |20190409  |投机 |买   |      3|  3753.00|  3754.00|    -120.00|      9009.60|
|上期所  |rb1910 |20190409  |投机 |买   |      2|  3753.00|  3754.00|     -80.00|      6006.40|
|上期所  |rb1910 |20190410  |投机 |买   |      5|  3770.00|  3754.00|    -800.00|     15016.00|
|大商所  |y1909  |20190409  |投机 |买   |      6|  5642.00|  5622.00|     960.00|     16866.00|
|大商所  |y1909  |20190409  |投机 |买   |     14|  5642.00|  5622.00|    2240.00|     39354.00|
|大商所  |l1905  |20190408  |投机 |买   |      3|  8650.00|  8610.00|     -75.00|      6457.50|
|大商所  |l1905  |20190408  |投机 |买   |      7|  8650.00|  8610.00|    -175.00|     15067.50|
|大商所  |l1905  |20190408  |投机 |买   |     10|  8640.00|  8610.00|    -250.00|     21525.00|
