                                                结算单

账户：0029
日期：20190411
                                               资金状况                            币种：人民币
-----------------------------------------------------------------------------------------------
上次结算金：        4420483.51                                   交割手续费：              0.00
出 入 金：                0.00                                   期末结存：          4492167.38
平仓盈亏：            23000.00                                   保证金占用：        1868937.50
持仓盈亏：            49200.00                                   可用资金：          2623229.88
手续费：                516.13                                   风险度：                41.60%

-----------------------------------------------------------------------------------------------

                                               持仓明细
-----------------------------------------------------------------------------------------------
|交易所  | 合约  | 开仓日期 |投/保|买/卖| 持仓量|  开仓价 |  结算价 |  盯市盈亏 |    保证金   |
-----------------------------------------------------------------------------------------------

|大商所  |y1909  |20190409  |投机 |买   |     10|  5642.00|  5604.00|   -1800.00|     28020.00|
|大商所  |l1905  |20190408  |投机 |买   |      3|  8650.00|  8615.00|      75.00|      6461.25|
|大商所  |l1905  |20190408  |投机 |买   |      7|  8650.00|  8615.00|     175.00|     15076.25|
|大商所  |l1905  |20190408  |投机 |买   |     10|  8640.00|  8615.00|     250.00|     21537.50|
|大商所  |l1905  |20190408  |投机 |买   |      2|  8615.00|  8615.00|      50.00|      4307.50|
|大商所  |l1905  |20190408  |投机 |买   |      3|  8615.00|  8615.00|      75.00|      6461.25|
|大商所  |l1905  |20190408  |投机 |买   |      2|  8615.00|  8615.00|      50.00|      4307.50|
|大商所  |l1905  |20190408  |投机 |买   |      1|  8615.00|  8615.00|      25.00|      2153.75|
|大商所  |l1905  |20190408  |投机 |买   |      1|  8615.00|  8615.00|      25.00|      2153.75|
|大商所  |l1905  |20190408  |投机 |买   |      1|  8615.00|  8615.00|      25.00|      2153.75|
|大商所  |l1905  |20190408  |投机 |买   |      1|  8615.00|  8615.00|      25.00|      2153.75|
|大商所  |l1905  |20190408  |投机 |买   |      1|  8615.00|  8615.00|      25.00|      2153.75|
|大商所  |l1905  |20190408  |投机 |买   |      1|  8615.00|  8615.00|      25.00|      2153.75|
|大商所  |l1905  |20190408  |投机 |买   |      1|  8615.00|  8615.00|      25.00|      2153.75|
|大商所  |l1905  |20190408  |投机 |买   |      1|  8615.00|  8615.00|      25.00|      2153.75|
|大商所  |pp1909 |20190408  |投机 |买   |      1|  8814.00|  8784.00|      55.00|      2196.00|
|大商所  |pp1909 |20190408  |投机 |买   |      1|  8814.00|  8784.00|      55.00|      2196.00|
|大商所  |pp1909 |20190408  |投机 |买   |     10|  8814.00|  8784.00|     550.00|     21960.00|
|大商所  |pp1909 |20190408  |投机 |买   |      1|  8814.00|  8784.00|      55.00|      2196.00|
|大商所  |pp1909 |20190408  |投机 |买   |      2|  8814.00|  8784.00|     110.00|      4392.00|
|大商所  |i1905  |20190408  |投机 |买   |      2|   701.00|   704.00|     600.00|     11264.00|
|大商所  |i1905  |20190408  |投机 |买   |      5|   702.00|   704.00|    1500.00|     28160.00|
|大商所  |i1905  |20190408  |投机 |买   |     13|   702.50|   704.00|    3900.00|     73216.00|
|大商所  |i1905  |20190404  |投机 |买   |      1|   682.00|   704.00|     300.00|      5632.00|
|大商所  |i1905  |20190404  |投机 |买   |      2|   682.00|   704.00|     600.00|     11264.00|
|大商所  |i1905  |20190404  |投机 |买   |      1|   682.00|   704.00|     300.00|      5632.00|
