                                                结算单

账户：0029
日期：20190412
                                               资金状况                            币种：人民币
-----------------------------------------------------------------------------------------------
上次结算金：        4492167.38                                   交割手续费：              0.00
出 入 金：                0.00                                   期末结存：          4591074.21
平仓盈亏：             4000.00                                   保证金占用：        2066587.50
持仓盈亏：            95150.00                                   可用资金：          2524486.71
手续费：                243.17                                   风险度：                45.01%

-----------------------------------------------------------------------------------------------

                                               持仓明细
-----------------------------------------------------------------------------------------------
|交易所  | 合约  | 开仓日期 |投/保|买/卖| 持仓量|  开仓价 |  结算价 |  盯市盈亏 |    保证金   |
-----------------------------------------------------------------------------------------------

|大商所  |y1909  |20190409  |投机 |买   |     10|  5642.00|  5588.00|   -1600.00|     27940.00|
|大商所  |l1905  |20190408  |投机 |买   |      3|  8650.00|  8610.00|     -75.00|      6457.50|
|大商所  |l1905  |20190408  |投机 |买   |      7|  8650.00|  8610.00|    -175.00|     15067.50|
|大商所  |l1905  |20190408  |投机 |买   |     10|  8640.00|  8610.00|    -250.00|     21525.00|
|大商所  |l1905  |20190408  |投机 |买   |      2|  8615.00|  8610.00|     -50.00|      4305.00|
|大商所  |l1905  |20190408  |投机 |买   |      3|  8615.00|  8610.00|     -75.00|      6457.50|
|大商所  |l1905  |20190408  |投机 |买   |      2|  8615.00|  8610.00|     -50.00|      4305.00|
|大商所  |l1905  |20190408  |投机 |买   |      1|  8615.00|  8610.00|     -25.00|      2152.50|
|大商所  |l1905  |20190408  |投机 |买   |      1|  8615.00|  8610.00|     -25.00|      2152.50|
|大商所  |l1905  |20190408  |投机 |买   |      1|  8615.00|  8610.00|     -25.00|      2152.50|
|大商所  |l1905  |20190408  |投机 |买   |      1|  8615.00|  8610.00|     -25.00|      2152.50|
|大商所  |l1905  |20190408  |投机 |买   |      1|  8615.00|  8610.00|     -25.00|      2152.50|
|大商所  |l1905  |20190408  |投机 |买   |      1|  8615.00|  8610.00|     -25.00|      2152.50|
|大商所  |l1905  |20190408  |投机 |买   |      1|  8615.00|  8610.00|     -25.00|      2152.50|
|大商所  |l1905  |20190408  |投机 |买   |      1|  8615.00|  8610.00|     -25.00|      2152.50|
|大商所  |pp1909 |20190408  |投机 |买   |      1|  8814.00|  8766.00|     -90.00|      2191.50|
|大商所  |pp1909 |20190408  |投机 |买   |      1|  8814.00|  8766.00|     -90.00|      2191.50|
|大商所  |pp1909 |20190408  |投机 |买   |     10|  8814.00|  8766.00|    -900.00|     21915.00|
|大商所  |pp1909 |20190408  |投机 |买   |      1|  8814.00|  8766.00|     -90.00|      2191.50|
|大商所  |pp1909 |20190408  |投机 |买   |      2|  8814.00|  8766.00|    -180.00|      4383.00|
|大商所  |i1905  |20190408  |投机 |买   |      2|   701.00|   710.50|    1300.00|     11368.00|
|大商所  |i1905  |20190408  |投机 |买   |      5|   702.00|   710.50|    3250.00|     28420.00|
|大商所  |i1905  |20190408  |投机 |买   |     13|   702.50|   710.50|    8450.00|     73892.00|
|大商所  |i1905  |20190404  |投机 |买   |      1|   682.00|   710.50|     650.00|      5684.00|
|大商所  |i1905  |20190404  |投机 |买   |      2|   682.00|   710.50|    1300.00|     11368.00|
