                                            结算单 Settlement Statement                                                

账户：0029
日期：20190802
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         5264326.77                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             5121187.72
平仓盈亏 Realized P/L：               1300.00                  保证金占用 Margin Occupied：       1569713.60
持仓盈亏  MTM P/L：                -143980.00                  可用资金 Fund Avail.：             3551474.12
手续费 Commission：                    459.05                  风险度 Risk Degree：                   30.65%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            TA909|  20190723|  投机|    卖|        2|     5540.000|         5298.000|       780.00|      3178.80|
|     郑商所|            TA909|  20190724|  投机|    卖|        3|     5396.000|         5298.000|      1170.00|      4768.20|
|     郑商所|            TA909|  20190724|  投机|    卖|        5|     5402.000|         5298.000|      1950.00|      7947.00|
|     郑商所|            TA909|  20190724|  投机|    卖|        5|     5404.000|         5298.000|      1950.00|      7947.00|
|     郑商所|            TA909|  20190725|  投机|    卖|        5|     5360.000|         5298.000|      1950.00|      7947.00|
|     郑商所|            TA909|  20190725|  投机|    卖|        3|     5340.000|         5298.000|      1170.00|      4768.20|
|     郑商所|            TA909|  20190725|  投机|    卖|        2|     5340.000|         5298.000|       780.00|      3178.80|
|     郑商所|            TA909|  20190729|  投机|    卖|        5|     5280.000|         5298.000|      1950.00|      7947.00|
|     郑商所|            TA909|  20190729|  投机|    卖|        5|     5276.000|         5298.000|      1950.00|      7947.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5194.000|         5186.000|       170.00|      1555.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        2|     5190.000|         5186.000|       340.00|      3111.60|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5186.000|       170.00|      1555.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        2|     5190.000|         5186.000|       340.00|      3111.60|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5186.000|       170.00|      1555.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5186.000|       170.00|      1555.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5186.000|       170.00|      1555.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5186.000|       170.00|      1555.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5186.000|       170.00|      1555.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        2|     5190.000|         5186.000|       340.00|      3111.60|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5186.000|       170.00|      1555.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        7|     5190.000|         5186.000|      1190.00|     10890.60|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5186.000|       170.00|      1555.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5186.000|       170.00|      1555.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        2|     5190.000|         5186.000|       340.00|      3111.60|
|     郑商所|            TA001|  20190730|  投机|    卖|       10|     5190.000|         5186.000|      1700.00|     15558.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5186.000|       170.00|      1555.80|
|     郑商所|            TA001|  20190730|  投机|    卖|       13|     5190.000|         5186.000|      2210.00|     20225.40|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5186.000|       170.00|      1555.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5186.000|       170.00|      1555.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5186.000|       170.00|      1555.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5186.000|       170.00|      1555.80|
|     郑商所|            TA001|  20190730|  投机|    卖|       20|     5190.000|         5186.000|      3400.00|     31116.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5186.000|       170.00|      1555.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5186.000|       170.00|      1555.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5186.000|       170.00|      1555.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5186.000|       170.00|      1555.80|
|     郑商所|            TA001|  20190730|  投机|    卖|       50|     5190.000|         5186.000|      8500.00|     77790.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5186.000|       170.00|      1555.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        2|     5190.000|         5186.000|       340.00|      3111.60|
|     郑商所|            TA001|  20190730|  投机|    卖|       30|     5190.000|         5186.000|      5100.00|     46674.00|
|     郑商所|            TA001|  20190730|  投机|    卖|       10|     5190.000|         5186.000|      1700.00|     15558.00|
|     郑商所|            MA001|  20190801|  投机|  买  |        5|     2220.000|         2237.000|       150.00|      7829.50|
|     大商所|            y1909|  20190729|  投机|  买  |        1|     5570.000|         5546.000|       180.00|      2773.00|
|     大商所|            y1909|  20190729|  投机|  买  |        1|     5570.000|         5546.000|       180.00|      2773.00|
|     大商所|            y1909|  20190729|  投机|  买  |        2|     5570.000|         5546.000|       360.00|      5546.00|
|     大商所|            y1909|  20190729|  投机|  买  |        1|     5570.000|         5546.000|       180.00|      2773.00|
|     大商所|            y1909|  20190724|  投机|  买  |        2|     5484.000|         5546.000|       360.00|      5546.00|
|     大商所|            y1909|  20190724|  投机|  买  |        3|     5484.000|         5546.000|       540.00|      8319.00|
|     大商所|           eg2001|  20190730|  投机|  买  |        3|     4500.000|         4389.000|      -930.00|      7900.20|
|     大商所|           eg2001|  20190730|  投机|  买  |        2|     4500.000|         4389.000|      -620.00|      5266.80|
|     上期所|           bu1912|  20190730|  投机|  买  |       29|     3340.000|         3230.000|    -29580.00|     84303.00|
|     上期所|           bu1912|  20190730|  投机|  买  |       46|     3340.000|         3230.000|    -46920.00|    133722.00|
|     上期所|           ni1910|  20190801|  投机|  买  |        2|   113870.000|       113870.000|      1580.00|     18219.20|
|     上期所|           ni1910|  20190801|  投机|  买  |        1|   113870.000|       113870.000|       790.00|      9109.60|
|     上期所|           bu1912|  20190801|  投机|  买  |       20|     3350.000|         3230.000|    -20400.00|     58140.00|
|     上期所|           zn1910|  20190719|  投机|  买  |        1|    19370.000|        19170.000|      -600.00|      6709.50|
|     上期所|           bu1912|  20190801|  投机|  买  |       20|     3320.000|         3230.000|    -20400.00|     58140.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        3|    11475.000|        11280.000|     -6900.00|     30456.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11280.000|     -2300.00|     10152.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11280.000|     -2300.00|     10152.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        2|    11475.000|        11280.000|     -4600.00|     20304.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11280.000|     -2300.00|     10152.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11280.000|     -2300.00|     10152.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11280.000|     -2300.00|     10152.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        7|    11475.000|        11280.000|    -16100.00|     71064.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11280.000|     -2300.00|     10152.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11280.000|     -2300.00|     10152.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11280.000|     -2300.00|     10152.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11280.000|     -2300.00|     10152.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        2|    11475.000|        11280.000|     -4600.00|     20304.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11545.000|      2250.00|     10390.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11545.000|      2250.00|     10390.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        4|    11745.000|        11545.000|      9000.00|     41562.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        3|    11745.000|        11545.000|      6750.00|     31171.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11545.000|      2250.00|     10390.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11545.000|      2250.00|     10390.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11545.000|      2250.00|     10390.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11545.000|      2250.00|     10390.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11545.000|      2250.00|     10390.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11545.000|      2250.00|     10390.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        3|    11745.000|        11545.000|      6750.00|     31171.50|
