                                            结算单 Settlement Statement                                                

账户：0029
日期：20190807
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         4887210.68                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             4914864.40
平仓盈亏 Realized P/L：             -12550.00                  保证金占用 Margin Occupied：       2268310.45
持仓盈亏  MTM P/L：                  40465.00                  可用资金 Fund Avail.：             2646553.95
手续费 Commission：                    261.28                  风险度 Risk Degree：                   46.15%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            TA909|  20190723|  投机|    卖|        2|     5540.000|         5144.000|        20.00|      3086.40|
|     郑商所|            TA909|  20190724|  投机|    卖|        3|     5396.000|         5144.000|        30.00|      4629.60|
|     郑商所|            TA909|  20190724|  投机|    卖|        5|     5402.000|         5144.000|        50.00|      7716.00|
|     郑商所|            TA909|  20190724|  投机|    卖|        5|     5404.000|         5144.000|        50.00|      7716.00|
|     郑商所|            TA909|  20190725|  投机|    卖|        5|     5360.000|         5144.000|        50.00|      7716.00|
|     郑商所|            TA909|  20190725|  投机|    卖|        3|     5340.000|         5144.000|        30.00|      4629.60|
|     郑商所|            TA909|  20190725|  投机|    卖|        2|     5340.000|         5144.000|        20.00|      3086.40|
|     郑商所|            TA909|  20190729|  投机|    卖|        5|     5280.000|         5144.000|        50.00|      7716.00|
|     郑商所|            TA909|  20190729|  投机|    卖|        5|     5276.000|         5144.000|        50.00|      7716.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        6|     5190.000|         5160.000|      -840.00|      9288.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5160.000|      -140.00|      1548.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5160.000|      -140.00|      1548.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        2|     5190.000|         5160.000|      -280.00|      3096.00|
|     郑商所|            TA001|  20190730|  投机|    卖|       10|     5190.000|         5160.000|     -1400.00|     15480.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5160.000|      -140.00|      1548.00|
|     郑商所|            TA001|  20190730|  投机|    卖|       13|     5190.000|         5160.000|     -1820.00|     20124.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5160.000|      -140.00|      1548.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5160.000|      -140.00|      1548.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5160.000|      -140.00|      1548.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5160.000|      -140.00|      1548.00|
|     郑商所|            TA001|  20190730|  投机|    卖|       20|     5190.000|         5160.000|     -2800.00|     30960.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5160.000|      -140.00|      1548.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5160.000|      -140.00|      1548.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5160.000|      -140.00|      1548.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5160.000|      -140.00|      1548.00|
|     郑商所|            TA001|  20190730|  投机|    卖|       50|     5190.000|         5160.000|     -7000.00|     77400.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5160.000|      -140.00|      1548.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        2|     5190.000|         5160.000|      -280.00|      3096.00|
|     郑商所|            TA001|  20190730|  投机|    卖|       30|     5190.000|         5160.000|     -4200.00|     46440.00|
|     郑商所|            TA001|  20190730|  投机|    卖|       10|     5190.000|         5160.000|     -1400.00|     15480.00|
|     郑商所|            MA001|  20190801|  投机|  买  |        5|     2220.000|         2213.000|       950.00|      7745.50|
|     郑商所|            TA001|  20190802|  投机|    卖|       10|     5160.000|         5160.000|     -1400.00|     15480.00|
|     郑商所|            MA001|  20190802|  投机|  买  |        3|     2240.000|         2213.000|       570.00|      4647.30|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5160.000|      -140.00|      1548.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        2|     5152.000|         5160.000|      -280.00|      3096.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5160.000|      -140.00|      1548.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5160.000|      -140.00|      1548.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5160.000|      -140.00|      1548.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5160.000|      -140.00|      1548.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5160.000|      -140.00|      1548.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5160.000|      -140.00|      1548.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5160.000|      -140.00|      1548.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        3|     5152.000|         5160.000|      -420.00|      4644.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        2|     5152.000|         5160.000|      -280.00|      3096.00|
|     郑商所|            TA909|  20190805|  投机|    卖|       10|     5162.000|         5144.000|       100.00|     15432.00|
|     郑商所|            MA001|  20190805|  投机|  买  |       10|     2200.000|         2213.000|      1900.00|     15491.00|
|     郑商所|            TA001|  20190805|  投机|    卖|        2|     5140.000|         5160.000|      -280.00|      3096.00|
|     郑商所|            TA001|  20190805|  投机|    卖|        6|     5140.000|         5160.000|      -840.00|      9288.00|
|     郑商所|            TA001|  20190805|  投机|    卖|        2|     5140.000|         5160.000|      -280.00|      3096.00|
|     郑商所|            TA001|  20190805|  投机|    卖|       10|     5114.000|         5160.000|     -1400.00|     15480.00|
|     郑商所|            TA001|  20190806|  投机|    卖|       10|     5130.000|         5160.000|     -1400.00|     15480.00|
|     郑商所|            MA001|  20190806|  投机|    卖|        5|     2200.000|         2213.000|      -950.00|      7745.50|
|     郑商所|            MA001|  20190806|  投机|    卖|        8|     2200.000|         2213.000|     -1520.00|     12392.80|
|     郑商所|            TA909|  20190806|  投机|    卖|       15|     5146.000|         5144.000|       150.00|     23148.00|
|     郑商所|            MA001|  20190806|  投机|    卖|        2|     2204.000|         2213.000|      -380.00|      3098.20|
|     大商所|            y1909|  20190729|  投机|  买  |        1|     5570.000|         5706.000|       140.00|      2853.00|
|     大商所|            y1909|  20190729|  投机|  买  |        1|     5570.000|         5706.000|       140.00|      2853.00|
|     大商所|            y1909|  20190729|  投机|  买  |        2|     5570.000|         5706.000|       280.00|      5706.00|
|     大商所|            y1909|  20190729|  投机|  买  |        1|     5570.000|         5706.000|       140.00|      2853.00|
|     大商所|            y1909|  20190806|  投机|  买  |        5|     5710.000|         5706.000|       700.00|     14265.00|
|     大商所|            y1909|  20190805|  投机|  买  |        3|     5640.000|         5706.000|       420.00|      8559.00|
|     大商所|            y1909|  20190805|  投机|  买  |        5|     5640.000|         5706.000|       700.00|     14265.00|
|     大商所|            y1909|  20190805|  投机|  买  |        5|     5670.000|         5706.000|       700.00|     14265.00|
|     大商所|            y1909|  20190724|  投机|  买  |        2|     5484.000|         5706.000|       280.00|      5706.00|
|     大商所|            y1909|  20190724|  投机|  买  |        3|     5484.000|         5706.000|       420.00|      8559.00|
|     大商所|            y1909|  20190806|  投机|  买  |        5|     5716.000|         5706.000|       700.00|     14265.00|
|     大商所|            y1909|  20190805|  投机|  买  |        2|     5676.000|         5706.000|       280.00|      5706.00|
|     大商所|           eg2001|  20190806|  投机|    卖|        4|     4343.000|         4344.000|      -680.00|     10425.60|
|     大商所|           eg2001|  20190806|  投机|    卖|        1|     4343.000|         4344.000|      -170.00|      2606.40|
|     上期所|           au1912|  20190806|  投机|  买  |        1|      337.250|          339.700|      2650.00|     16985.00|
|     上期所|           bu1912|  20190730|  投机|  买  |       29|     3340.000|         3114.000|      3480.00|     81275.40|
|     上期所|           bu1912|  20190730|  投机|  买  |       46|     3340.000|         3114.000|      5520.00|    128919.60|
|     上期所|           bu1912|  20190801|  投机|  买  |       20|     3350.000|         3114.000|      2400.00|     56052.00|
|     上期所|           zn1910|  20190719|  投机|  买  |        1|    19370.000|        18925.000|     -1100.00|      6623.75|
|     上期所|           bu1912|  20190801|  投机|  买  |       20|     3320.000|         3114.000|      2400.00|     56052.00|
|     上期所|           bu1912|  20190802|  投机|  买  |       50|     3260.000|         3114.000|      6000.00|    140130.00|
|     上期所|           bu1912|  20190802|  投机|  买  |       20|     3230.000|         3114.000|      2400.00|     56052.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11505.000|      1000.00|     10354.50|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11505.000|      1000.00|     10354.50|
|     上期所|           ru2001|  20190731|  投机|  买  |        2|    11475.000|        11505.000|      2000.00|     20709.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11505.000|      1000.00|     10354.50|
