                                            结算单 Settlement Statement                                                

账户：0029
日期：20190808
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         4914864.40                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             4890729.21
平仓盈亏 Realized P/L：             -18685.00                  保证金占用 Margin Occupied：       3153865.80
持仓盈亏  MTM P/L：                  -4270.00                  可用资金 Fund Avail.：             1736863.41
手续费 Commission：                   1180.19                  风险度 Risk Degree：                   64.49%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            TA909|  20190724|  投机|    卖|        5|     5402.000|         5160.000|      -400.00|      7740.00|
|     郑商所|            TA909|  20190724|  投机|    卖|        5|     5404.000|         5160.000|      -400.00|      7740.00|
|     郑商所|            TA909|  20190725|  投机|    卖|        5|     5360.000|         5160.000|      -400.00|      7740.00|
|     郑商所|            TA909|  20190725|  投机|    卖|        3|     5340.000|         5160.000|      -240.00|      4644.00|
|     郑商所|            TA909|  20190725|  投机|    卖|        2|     5340.000|         5160.000|      -160.00|      3096.00|
|     郑商所|            TA909|  20190729|  投机|    卖|        5|     5280.000|         5160.000|      -400.00|      7740.00|
|     郑商所|            TA909|  20190729|  投机|    卖|        5|     5276.000|         5160.000|      -400.00|      7740.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        5|     5190.000|         5136.000|       600.00|      7704.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5136.000|       120.00|      1540.80|
|     郑商所|            TA001|  20190730|  投机|    卖|       13|     5190.000|         5136.000|      1560.00|     20030.40|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5136.000|       120.00|      1540.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5136.000|       120.00|      1540.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5136.000|       120.00|      1540.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5136.000|       120.00|      1540.80|
|     郑商所|            TA001|  20190730|  投机|    卖|       20|     5190.000|         5136.000|      2400.00|     30816.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5136.000|       120.00|      1540.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5136.000|       120.00|      1540.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5136.000|       120.00|      1540.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5136.000|       120.00|      1540.80|
|     郑商所|            TA001|  20190730|  投机|    卖|       50|     5190.000|         5136.000|      6000.00|     77040.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5136.000|       120.00|      1540.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        2|     5190.000|         5136.000|       240.00|      3081.60|
|     郑商所|            TA001|  20190730|  投机|    卖|       30|     5190.000|         5136.000|      3600.00|     46224.00|
|     郑商所|            TA001|  20190730|  投机|    卖|       10|     5190.000|         5136.000|      1200.00|     15408.00|
|     郑商所|            TA001|  20190802|  投机|    卖|       10|     5160.000|         5136.000|      1200.00|     15408.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5136.000|       120.00|      1540.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        2|     5152.000|         5136.000|       240.00|      3081.60|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5136.000|       120.00|      1540.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5136.000|       120.00|      1540.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5136.000|       120.00|      1540.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5136.000|       120.00|      1540.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5136.000|       120.00|      1540.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5136.000|       120.00|      1540.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5136.000|       120.00|      1540.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        3|     5152.000|         5136.000|       360.00|      4622.40|
|     郑商所|            TA001|  20190802|  投机|    卖|        2|     5152.000|         5136.000|       240.00|      3081.60|
|     郑商所|            TA909|  20190805|  投机|    卖|       10|     5162.000|         5160.000|      -800.00|     15480.00|
|     郑商所|            MA001|  20190805|  投机|  买  |        8|     2200.000|         2238.000|      2000.00|     12532.80|
|     郑商所|            TA001|  20190805|  投机|    卖|        2|     5140.000|         5136.000|       240.00|      3081.60|
|     郑商所|            TA001|  20190805|  投机|    卖|        6|     5140.000|         5136.000|       720.00|      9244.80|
|     郑商所|            TA001|  20190805|  投机|    卖|        2|     5140.000|         5136.000|       240.00|      3081.60|
|     郑商所|            TA001|  20190805|  投机|    卖|       10|     5114.000|         5136.000|      1200.00|     15408.00|
|     郑商所|            TA001|  20190806|  投机|    卖|       10|     5130.000|         5136.000|      1200.00|     15408.00|
|     郑商所|            MA001|  20190806|  投机|    卖|        5|     2200.000|         2238.000|     -1250.00|      7833.00|
|     郑商所|            MA001|  20190806|  投机|    卖|        8|     2200.000|         2238.000|     -2000.00|     12532.80|
|     郑商所|            TA909|  20190806|  投机|    卖|       15|     5146.000|         5160.000|     -1200.00|     23220.00|
|     郑商所|            MA001|  20190806|  投机|    卖|        2|     2204.000|         2238.000|      -500.00|      3133.20|
|     郑商所|            MA001|  20190807|  投机|    卖|       15|     2227.000|         2238.000|     -3750.00|     23499.00|
|     郑商所|            MA001|  20190807|  投机|    卖|        2|     2227.000|         2238.000|      -500.00|      3133.20|
|     郑商所|            MA001|  20190807|  投机|    卖|        5|     2227.000|         2238.000|     -1250.00|      7833.00|
|     郑商所|            MA001|  20190807|  投机|    卖|        3|     2227.000|         2238.000|      -750.00|      4699.80|
|     郑商所|            TA001|  20190807|  投机|    卖|        8|     5134.000|         5136.000|       960.00|     12326.40|
|     郑商所|            TA001|  20190807|  投机|    卖|        1|     5134.000|         5136.000|       120.00|      1540.80|
|     郑商所|            TA001|  20190807|  投机|    卖|        1|     5134.000|         5136.000|       120.00|      1540.80|
|     大商所|            y1909|  20190729|  投机|  买  |        1|     5570.000|         5778.000|       720.00|      2889.00|
|     大商所|            y1909|  20190729|  投机|  买  |        1|     5570.000|         5778.000|       720.00|      2889.00|
|     大商所|            y1909|  20190729|  投机|  买  |        2|     5570.000|         5778.000|      1440.00|      5778.00|
|     大商所|            y1909|  20190729|  投机|  买  |        1|     5570.000|         5778.000|       720.00|      2889.00|
|     大商所|            y1909|  20190806|  投机|  买  |        5|     5710.000|         5778.000|      3600.00|     14445.00|
|     大商所|            y1909|  20190805|  投机|  买  |        3|     5640.000|         5778.000|      2160.00|      8667.00|
|     大商所|            y1909|  20190805|  投机|  买  |        5|     5640.000|         5778.000|      3600.00|     14445.00|
|     大商所|            y1909|  20190805|  投机|  买  |        5|     5670.000|         5778.000|      3600.00|     14445.00|
|     大商所|            y1909|  20190807|  投机|  买  |        5|     5738.000|         5778.000|      3600.00|     14445.00|
|     大商所|            y1909|  20190724|  投机|  买  |        2|     5484.000|         5778.000|      1440.00|      5778.00|
|     大商所|            y1909|  20190724|  投机|  买  |        3|     5484.000|         5778.000|      2160.00|      8667.00|
|     大商所|            y1909|  20190806|  投机|  买  |        5|     5716.000|         5778.000|      3600.00|     14445.00|
|     大商所|            y1909|  20190805|  投机|  买  |        2|     5676.000|         5778.000|      1440.00|      5778.00|
|     大商所|           eg2001|  20190806|  投机|    卖|        3|     4343.000|         4354.000|      -300.00|      7837.20|
|     大商所|           eg2001|  20190806|  投机|    卖|        1|     4343.000|         4354.000|      -100.00|      2612.40|
|     上期所|           au1912|  20190806|  投机|  买  |        1|      337.250|          346.250|      6550.00|     17312.50|
|     上期所|           bu1912|  20190730|  投机|  买  |       25|     3340.000|         3050.000|    -16000.00|     68625.00|
|     上期所|           au1912|  20190807|  投机|  买  |        1|      337.000|          346.250|      6550.00|     17312.50|
|     上期所|           ag1912|  20190807|  投机|  买  |        5|     4060.000|         4212.000|      8325.00|     18954.00|
|     上期所|           bu1912|  20190801|  投机|  买  |       20|     3350.000|         3050.000|    -12800.00|     54900.00|
|     上期所|           zn1910|  20190719|  投机|  买  |        1|    19370.000|        18710.000|     -1075.00|      6548.50|
|     上期所|           bu1912|  20190801|  投机|  买  |       20|     3320.000|         3050.000|    -12800.00|     54900.00|
|     上期所|           bu1912|  20190802|  投机|  买  |       50|     3260.000|         3050.000|    -32000.00|    137250.00|
|     上期所|           bu1912|  20190802|  投机|  买  |       20|     3230.000|         3050.000|    -12800.00|     54900.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11520.000|       150.00|     10368.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11520.000|       150.00|     10368.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        2|    11475.000|        11520.000|       300.00|     20736.00|
