                                            结算单 Settlement Statement                                                

账户：0029
日期：20190812
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         5067608.11                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             5319009.77
平仓盈亏 Realized P/L：             -12500.00                  保证金占用 Margin Occupied：       2891160.20
持仓盈亏  MTM P/L：                 264265.00                  可用资金 Fund Avail.：             2427849.57
手续费 Commission：                    363.34                  风险度 Risk Degree：                   54.36%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            TA909|  20190724|  投机|    卖|        5|     5402.000|         5196.000|      -250.00|      7794.00|
|     郑商所|            TA909|  20190724|  投机|    卖|        5|     5404.000|         5196.000|      -250.00|      7794.00|
|     郑商所|            TA909|  20190725|  投机|    卖|        5|     5360.000|         5196.000|      -250.00|      7794.00|
|     郑商所|            TA909|  20190725|  投机|    卖|        3|     5340.000|         5196.000|      -150.00|      4676.40|
|     郑商所|            TA909|  20190725|  投机|    卖|        2|     5340.000|         5196.000|      -100.00|      3117.60|
|     郑商所|            TA909|  20190729|  投机|    卖|        5|     5280.000|         5196.000|      -250.00|      7794.00|
|     郑商所|            TA909|  20190729|  投机|    卖|        5|     5276.000|         5196.000|      -250.00|      7794.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5150.000|        30.00|      1545.00|
|     郑商所|            TA001|  20190730|  投机|    卖|       13|     5190.000|         5150.000|       390.00|     20085.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5150.000|        30.00|      1545.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5150.000|        30.00|      1545.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5150.000|        30.00|      1545.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5150.000|        30.00|      1545.00|
|     郑商所|            TA001|  20190730|  投机|    卖|       20|     5190.000|         5150.000|       600.00|     30900.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5150.000|        30.00|      1545.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5150.000|        30.00|      1545.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5150.000|        30.00|      1545.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5150.000|        30.00|      1545.00|
|     郑商所|            TA001|  20190730|  投机|    卖|       50|     5190.000|         5150.000|      1500.00|     77250.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5150.000|        30.00|      1545.00|
|     郑商所|            TA001|  20190730|  投机|    卖|        2|     5190.000|         5150.000|        60.00|      3090.00|
|     郑商所|            TA001|  20190730|  投机|    卖|       30|     5190.000|         5150.000|       900.00|     46350.00|
|     郑商所|            TA001|  20190730|  投机|    卖|       10|     5190.000|         5150.000|       300.00|     15450.00|
|     郑商所|            TA001|  20190802|  投机|    卖|       10|     5160.000|         5150.000|       300.00|     15450.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5150.000|        30.00|      1545.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        2|     5152.000|         5150.000|        60.00|      3090.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5150.000|        30.00|      1545.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5150.000|        30.00|      1545.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5150.000|        30.00|      1545.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5150.000|        30.00|      1545.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5150.000|        30.00|      1545.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5150.000|        30.00|      1545.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5150.000|        30.00|      1545.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        3|     5152.000|         5150.000|        90.00|      4635.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        2|     5152.000|         5150.000|        60.00|      3090.00|
|     郑商所|            TA909|  20190805|  投机|    卖|       10|     5162.000|         5196.000|      -500.00|     15588.00|
|     郑商所|            MA001|  20190805|  投机|  买  |        8|     2200.000|         2262.000|       640.00|     12667.20|
|     郑商所|            TA001|  20190805|  投机|    卖|        2|     5140.000|         5150.000|        60.00|      3090.00|
|     郑商所|            TA001|  20190805|  投机|    卖|        6|     5140.000|         5150.000|       180.00|      9270.00|
|     郑商所|            TA001|  20190805|  投机|    卖|        2|     5140.000|         5150.000|        60.00|      3090.00|
|     郑商所|            TA001|  20190805|  投机|    卖|       10|     5114.000|         5150.000|       300.00|     15450.00|
|     郑商所|            TA001|  20190806|  投机|    卖|       10|     5130.000|         5150.000|       300.00|     15450.00|
|     郑商所|            MA001|  20190806|  投机|    卖|        3|     2200.000|         2262.000|      -240.00|      4750.20|
|     郑商所|            TA909|  20190806|  投机|    卖|       15|     5146.000|         5196.000|      -750.00|     23382.00|
|     郑商所|            MA001|  20190806|  投机|    卖|        2|     2204.000|         2262.000|      -160.00|      3166.80|
|     郑商所|            MA001|  20190807|  投机|    卖|       15|     2227.000|         2262.000|     -1200.00|     23751.00|
|     郑商所|            MA001|  20190807|  投机|    卖|        2|     2227.000|         2262.000|      -160.00|      3166.80|
|     郑商所|            MA001|  20190807|  投机|    卖|        5|     2227.000|         2262.000|      -400.00|      7917.00|
|     郑商所|            MA001|  20190807|  投机|    卖|        3|     2227.000|         2262.000|      -240.00|      4750.20|
|     郑商所|            TA001|  20190807|  投机|    卖|        8|     5134.000|         5150.000|       240.00|     12360.00|
|     郑商所|            TA001|  20190807|  投机|    卖|        1|     5134.000|         5150.000|        30.00|      1545.00|
|     郑商所|            TA001|  20190807|  投机|    卖|        1|     5134.000|         5150.000|        30.00|      1545.00|
|     郑商所|            TA001|  20190808|  投机|    卖|       15|     5090.000|         5150.000|       450.00|     23175.00|
|     郑商所|            TA909|  20190808|  投机|    卖|        8|     5100.000|         5196.000|      -400.00|     12470.40|
|     郑商所|            TA909|  20190808|  投机|    卖|        1|     5100.000|         5196.000|       -50.00|      1558.80|
|     郑商所|            TA909|  20190808|  投机|    卖|        1|     5100.000|         5196.000|       -50.00|      1558.80|
|     郑商所|            MA001|  20190808|  投机|    卖|        1|     2260.000|         2262.000|       -80.00|      1583.40|
|     郑商所|            MA001|  20190808|  投机|    卖|        1|     2260.000|         2262.000|       -80.00|      1583.40|
|     郑商所|            MA001|  20190808|  投机|    卖|        2|     2260.000|         2262.000|      -160.00|      3166.80|
|     郑商所|            MA001|  20190808|  投机|    卖|        7|     2260.000|         2262.000|      -560.00|     11083.80|
|     郑商所|            MA001|  20190808|  投机|    卖|       14|     2260.000|         2262.000|     -1120.00|     22167.60|
|     郑商所|            MA001|  20190808|  投机|    卖|        7|     2255.000|         2262.000|      -560.00|     11083.80|
|     郑商所|            MA001|  20190808|  投机|    卖|        1|     2255.000|         2262.000|       -80.00|      1583.40|
|     郑商所|            MA001|  20190808|  投机|    卖|        1|     2255.000|         2262.000|       -80.00|      1583.40|
|     郑商所|            MA001|  20190808|  投机|    卖|        1|     2255.000|         2262.000|       -80.00|      1583.40|
|     郑商所|            MA001|  20190809|  投机|    卖|       15|     2267.000|         2262.000|     -1200.00|     23751.00|
|     大商所|            y1909|  20190729|  投机|  买  |        1|     5570.000|         6044.000|      1180.00|      5439.60|
|     大商所|            y1909|  20190729|  投机|  买  |        1|     5570.000|         6044.000|      1180.00|      5439.60|
|     大商所|            y1909|  20190729|  投机|  买  |        2|     5570.000|         6044.000|      2360.00|     10879.20|
|     大商所|            y1909|  20190729|  投机|  买  |        1|     5570.000|         6044.000|      1180.00|      5439.60|
|     大商所|            y1909|  20190808|  投机|  买  |        4|     5760.000|         6044.000|      4720.00|     21758.40|
|     大商所|            y1909|  20190808|  投机|  买  |        1|     5780.000|         6044.000|      1180.00|      5439.60|
|     大商所|            y1909|  20190808|  投机|  买  |        1|     5780.000|         6044.000|      1180.00|      5439.60|
|     大商所|            y1909|  20190806|  投机|  买  |        5|     5710.000|         6044.000|      5900.00|     27198.00|
|     大商所|            y1909|  20190805|  投机|  买  |        3|     5640.000|         6044.000|      3540.00|     16318.80|
|     大商所|            y1909|  20190805|  投机|  买  |        5|     5640.000|         6044.000|      5900.00|     27198.00|
|     大商所|            y1909|  20190805|  投机|  买  |        5|     5670.000|         6044.000|      5900.00|     27198.00|
|     大商所|            y1909|  20190807|  投机|  买  |        5|     5738.000|         6044.000|      5900.00|     27198.00|
|     大商所|            y1909|  20190724|  投机|  买  |        2|     5484.000|         6044.000|      2360.00|     10879.20|
|     大商所|            y1909|  20190724|  投机|  买  |        3|     5484.000|         6044.000|      3540.00|     16318.80|
|     大商所|            y1909|  20190806|  投机|  买  |        5|     5716.000|         6044.000|      5900.00|     27198.00|
