                                            结算单 Settlement Statement                                                

账户：0029
日期：20190815
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         5072304.03                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             4930542.15
平仓盈亏 Realized P/L：              22450.00                  保证金占用 Margin Occupied：       2721222.00
持仓盈亏  MTM P/L：                -163685.00                  可用资金 Fund Avail.：             2209320.15
手续费 Commission：                    526.88                  风险度 Risk Degree：                   55.19%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            TA909|  20190729|  投机|    卖|        5|     5280.000|         5312.000|       800.00|      7968.00|
|     郑商所|            TA909|  20190729|  投机|    卖|        5|     5276.000|         5312.000|       800.00|      7968.00|
|     郑商所|            TA001|  20190730|  投机|    卖|       42|     5190.000|         5198.000|     10080.00|     65494.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5198.000|       240.00|      1559.40|
|     郑商所|            TA001|  20190730|  投机|    卖|        2|     5190.000|         5198.000|       480.00|      3118.80|
|     郑商所|            TA001|  20190730|  投机|    卖|       30|     5190.000|         5198.000|      7200.00|     46782.00|
|     郑商所|            TA001|  20190730|  投机|    卖|       10|     5190.000|         5198.000|      2400.00|     15594.00|
|     郑商所|            TA001|  20190802|  投机|    卖|       10|     5160.000|         5198.000|      2400.00|     15594.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5198.000|       240.00|      1559.40|
|     郑商所|            TA001|  20190802|  投机|    卖|        2|     5152.000|         5198.000|       480.00|      3118.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5198.000|       240.00|      1559.40|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5198.000|       240.00|      1559.40|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5198.000|       240.00|      1559.40|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5198.000|       240.00|      1559.40|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5198.000|       240.00|      1559.40|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5198.000|       240.00|      1559.40|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5198.000|       240.00|      1559.40|
|     郑商所|            TA001|  20190802|  投机|    卖|        3|     5152.000|         5198.000|       720.00|      4678.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        2|     5152.000|         5198.000|       480.00|      3118.80|
|     郑商所|            TA909|  20190805|  投机|    卖|       10|     5162.000|         5312.000|      1600.00|     15936.00|
|     郑商所|            TA001|  20190805|  投机|    卖|        2|     5140.000|         5198.000|       480.00|      3118.80|
|     郑商所|            TA001|  20190805|  投机|    卖|        6|     5140.000|         5198.000|      1440.00|      9356.40|
|     郑商所|            TA001|  20190805|  投机|    卖|        2|     5140.000|         5198.000|       480.00|      3118.80|
|     郑商所|            TA001|  20190805|  投机|    卖|       10|     5114.000|         5198.000|      2400.00|     15594.00|
|     郑商所|            TA001|  20190806|  投机|    卖|       10|     5130.000|         5198.000|      2400.00|     15594.00|
|     郑商所|            TA909|  20190806|  投机|    卖|       15|     5146.000|         5312.000|      2400.00|     23904.00|
|     郑商所|            TA001|  20190807|  投机|    卖|        8|     5134.000|         5198.000|      1920.00|     12475.20|
|     郑商所|            TA001|  20190807|  投机|    卖|        1|     5134.000|         5198.000|       240.00|      1559.40|
|     郑商所|            TA001|  20190807|  投机|    卖|        1|     5134.000|         5198.000|       240.00|      1559.40|
|     郑商所|            TA001|  20190808|  投机|    卖|       15|     5090.000|         5198.000|      3600.00|     23391.00|
|     郑商所|            TA909|  20190808|  投机|    卖|        8|     5100.000|         5312.000|      1280.00|     12748.80|
|     郑商所|            TA909|  20190808|  投机|    卖|        1|     5100.000|         5312.000|       160.00|      1593.60|
|     郑商所|            TA909|  20190808|  投机|    卖|        1|     5100.000|         5312.000|       160.00|      1593.60|
|     郑商所|            MA001|  20190808|  投机|    卖|        1|     2260.000|         2236.000|       480.00|      1565.20|
|     郑商所|            MA001|  20190808|  投机|    卖|       14|     2260.000|         2236.000|      6720.00|     21912.80|
|     郑商所|            MA001|  20190808|  投机|    卖|        7|     2255.000|         2236.000|      3360.00|     10956.40|
|     郑商所|            MA001|  20190808|  投机|    卖|        1|     2255.000|         2236.000|       480.00|      1565.20|
|     郑商所|            MA001|  20190808|  投机|    卖|        1|     2255.000|         2236.000|       480.00|      1565.20|
|     郑商所|            MA001|  20190808|  投机|    卖|        1|     2255.000|         2236.000|       480.00|      1565.20|
|     郑商所|            MA001|  20190809|  投机|    卖|       15|     2267.000|         2236.000|      7200.00|     23478.00|
|     郑商所|            MA001|  20190813|  投机|    卖|       11|     2275.000|         2236.000|      5280.00|     17217.20|
|     郑商所|            MA001|  20190813|  投机|    卖|        1|     2275.000|         2236.000|       480.00|      1565.20|
|     郑商所|            MA001|  20190813|  投机|    卖|        8|     2275.000|         2236.000|      3840.00|     12521.60|
|     郑商所|            MA001|  20190814|  投机|  买  |        4|     2260.000|         2236.000|     -1920.00|      6260.80|
|     郑商所|            MA001|  20190814|  投机|  买  |        2|     2253.000|         2236.000|      -960.00|      3130.40|
|     郑商所|            MA001|  20190814|  投机|  买  |        4|     2253.000|         2236.000|     -1920.00|      6260.80|
|     大商所|           eg2001|  20190814|  投机|  买  |        2|     4500.000|         4474.000|      -240.00|      5368.80|
|     大商所|           eg2001|  20190814|  投机|    卖|       33|     4508.000|         4474.000|      3960.00|     88585.20|
|     大商所|           eg2001|  20190814|  投机|    卖|        4|     4508.000|         4474.000|       480.00|     10737.60|
|     大商所|           eg2001|  20190814|  投机|    卖|        3|     4508.000|         4474.000|       360.00|      8053.20|
|     大商所|            l2001|  20190813|  投机|    卖|       40|     7590.000|         7490.000|     17000.00|     74900.00|
|     大商所|            l2001|  20190814|  投机|    卖|        5|     7520.000|         7490.000|      2125.00|      9362.50|
|     上期所|           bu1912|  20190730|  投机|  买  |       15|     3340.000|         3078.000|    -15600.00|     41553.00|
|     上期所|           bu1912|  20190801|  投机|  买  |       20|     3350.000|         3078.000|    -20800.00|     55404.00|
|     上期所|           zn1910|  20190719|  投机|  买  |        1|    19370.000|        18610.000|      -950.00|      6513.50|
|     上期所|           bu1912|  20190801|  投机|  买  |       20|     3320.000|         3078.000|    -20800.00|     55404.00|
|     上期所|           bu1912|  20190802|  投机|  买  |       50|     3260.000|         3078.000|    -52000.00|    138510.00|
|     上期所|           bu1912|  20190802|  投机|  买  |       20|     3230.000|         3078.000|    -20800.00|     55404.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        2|    11475.000|        11420.000|     -1000.00|     20556.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11420.000|      -500.00|     10278.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11420.000|      -500.00|     10278.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11420.000|      -500.00|     10278.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        7|    11475.000|        11420.000|     -3500.00|     71946.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11420.000|      -500.00|     10278.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11420.000|      -500.00|     10278.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11420.000|      -500.00|     10278.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11420.000|      -500.00|     10278.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        2|    11475.000|        11420.000|     -1000.00|     20556.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11665.000|       350.00|     10498.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        3|    11745.000|        11665.000|      1050.00|     31495.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11665.000|       350.00|     10498.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11665.000|       350.00|     10498.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11665.000|       350.00|     10498.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11665.000|       350.00|     10498.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11665.000|       350.00|     10498.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11665.000|       350.00|     10498.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        3|    11745.000|        11665.000|      1050.00|     31495.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11665.000|       350.00|     10498.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11665.000|       350.00|     10498.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11665.000|       350.00|     10498.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11665.000|       350.00|     10498.50|
