                                            结算单 Settlement Statement                                                

账户：0029
日期：20190816
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         4930542.15                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             5048578.60
平仓盈亏 Realized P/L：              46825.00                  保证金占用 Margin Occupied：       2312488.95
持仓盈亏  MTM P/L：                  72270.00                  可用资金 Fund Avail.：             2736089.65
手续费 Commission：                   1058.55                  风险度 Risk Degree：                   45.80%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            TA001|  20190730|  投机|    卖|       42|     5190.000|         5186.000|      2520.00|     65343.60|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5186.000|        60.00|      1555.80|
|     郑商所|            TA001|  20190730|  投机|    卖|        2|     5190.000|         5186.000|       120.00|      3111.60|
|     郑商所|            TA001|  20190730|  投机|    卖|       30|     5190.000|         5186.000|      1800.00|     46674.00|
|     郑商所|            TA001|  20190730|  投机|    卖|       10|     5190.000|         5186.000|       600.00|     15558.00|
|     郑商所|            TA001|  20190802|  投机|    卖|       10|     5160.000|         5186.000|       600.00|     15558.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5186.000|        60.00|      1555.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        2|     5152.000|         5186.000|       120.00|      3111.60|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5186.000|        60.00|      1555.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5186.000|        60.00|      1555.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5186.000|        60.00|      1555.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5186.000|        60.00|      1555.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5186.000|        60.00|      1555.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5186.000|        60.00|      1555.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5186.000|        60.00|      1555.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        3|     5152.000|         5186.000|       180.00|      4667.40|
|     郑商所|            TA001|  20190802|  投机|    卖|        2|     5152.000|         5186.000|       120.00|      3111.60|
|     郑商所|            TA001|  20190805|  投机|    卖|        2|     5140.000|         5186.000|       120.00|      3111.60|
|     郑商所|            TA001|  20190805|  投机|    卖|        6|     5140.000|         5186.000|       360.00|      9334.80|
|     郑商所|            TA001|  20190805|  投机|    卖|        2|     5140.000|         5186.000|       120.00|      3111.60|
|     郑商所|            TA001|  20190805|  投机|    卖|       10|     5114.000|         5186.000|       600.00|     15558.00|
|     郑商所|            TA001|  20190806|  投机|    卖|       10|     5130.000|         5186.000|       600.00|     15558.00|
|     郑商所|            TA001|  20190807|  投机|    卖|        8|     5134.000|         5186.000|       480.00|     12446.40|
|     郑商所|            TA001|  20190807|  投机|    卖|        1|     5134.000|         5186.000|        60.00|      1555.80|
|     郑商所|            TA001|  20190807|  投机|    卖|        1|     5134.000|         5186.000|        60.00|      1555.80|
|     郑商所|            TA001|  20190808|  投机|    卖|       15|     5090.000|         5186.000|       900.00|     23337.00|
|     郑商所|            MA001|  20190813|  投机|    卖|        6|     2275.000|         2210.000|      1560.00|      9282.00|
|     郑商所|            MA001|  20190813|  投机|    卖|        1|     2275.000|         2210.000|       260.00|      1547.00|
|     郑商所|            MA001|  20190813|  投机|    卖|        8|     2275.000|         2210.000|      2080.00|     12376.00|
|     郑商所|            MA001|  20190814|  投机|  买  |        4|     2260.000|         2210.000|     -1040.00|      6188.00|
|     郑商所|            MA001|  20190814|  投机|  买  |        2|     2253.000|         2210.000|      -520.00|      3094.00|
|     郑商所|            MA001|  20190814|  投机|  买  |        4|     2253.000|         2210.000|     -1040.00|      6188.00|
|     郑商所|            TA001|  20190815|  投机|    卖|       15|     5170.000|         5186.000|       900.00|     23337.00|
|     郑商所|            TA001|  20190815|  投机|    卖|       10|     5180.000|         5186.000|       600.00|     15558.00|
|     大商所|           eg2001|  20190814|  投机|  买  |        2|     4500.000|         4537.000|      1260.00|      5444.40|
|     大商所|           eg2001|  20190814|  投机|    卖|       33|     4508.000|         4537.000|    -20790.00|     89832.60|
|     大商所|           eg2001|  20190814|  投机|    卖|        4|     4508.000|         4537.000|     -2520.00|     10888.80|
|     大商所|           eg2001|  20190814|  投机|    卖|        3|     4508.000|         4537.000|     -1890.00|      8166.60|
|     大商所|            l2001|  20190813|  投机|    卖|       40|     7590.000|         7465.000|      5000.00|     74650.00|
|     大商所|           eg2001|  20190815|  投机|    卖|       10|     4500.000|         4537.000|     -6300.00|     27222.00|
|     大商所|            l2001|  20190814|  投机|    卖|        5|     7520.000|         7465.000|       625.00|      9331.25|
|     上期所|           zn1910|  20190719|  投机|  买  |        1|    19370.000|        18650.000|       200.00|      6527.50|
|     上期所|           ag1912|  20190815|  投机|  买  |        4|     4250.000|         4238.000|      -180.00|     15256.80|
|     上期所|           ag1912|  20190815|  投机|  买  |        1|     4250.000|         4238.000|       -45.00|      3814.20|
|     上期所|           ru2001|  20190731|  投机|  买  |        2|    11475.000|        11385.000|      -700.00|     20493.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11385.000|      -350.00|     10246.50|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11385.000|      -350.00|     10246.50|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11385.000|      -350.00|     10246.50|
|     上期所|           ru2001|  20190731|  投机|  买  |        7|    11475.000|        11385.000|     -2450.00|     71725.50|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11385.000|      -350.00|     10246.50|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11385.000|      -350.00|     10246.50|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11385.000|      -350.00|     10246.50|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11385.000|      -350.00|     10246.50|
|     上期所|           ru2001|  20190731|  投机|  买  |        2|    11475.000|        11385.000|      -700.00|     20493.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11630.000|       350.00|     10467.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        3|    11745.000|        11630.000|      1050.00|     31401.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11630.000|       350.00|     10467.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11630.000|       350.00|     10467.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11630.000|       350.00|     10467.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11630.000|       350.00|     10467.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11630.000|       350.00|     10467.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11630.000|       350.00|     10467.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        3|    11745.000|        11630.000|      1050.00|     31401.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11630.000|       350.00|     10467.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11630.000|       350.00|     10467.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11630.000|       350.00|     10467.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11630.000|       350.00|     10467.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11630.000|       350.00|     10467.00|
|     上期所|           ni1910|  20190808|  投机|  买  |        1|   117340.000|       125840.000|      2670.00|     10067.20|
|     上期所|           ni1910|  20190808|  投机|  买  |        2|   118180.000|       125840.000|      5340.00|     20134.40|
|     上期所|           ni1910|  20190805|  投机|  买  |        1|   116500.000|       125840.000|      2670.00|     10067.20|
|     上期所|           ag1912|  20190815|  投机|  买  |       10|     4265.000|         4238.000|      -450.00|     38142.00|
|     上期所|           bu1912|  20190718|  投机|  买  |       15|     3268.000|         3074.000|      -600.00|     41499.00|
|     上期所|           bu1912|  20190731|  投机|  买  |       20|     3376.000|         3074.000|      -800.00|     55332.00|
|     上期所|           bu1912|  20190718|  投机|  买  |        5|     3256.000|         3074.000|      -200.00|     13833.00|
|     上期所|           ag1912|  20190813|  投机|  买  |        2|     4300.000|         4238.000|       -90.00|      7628.40|
|     上期所|           ag1912|  20190813|  投机|  买  |        2|     4300.000|         4238.000|       -90.00|      7628.40|
|     上期所|           ag1912|  20190813|  投机|  买  |        1|     4300.000|         4238.000|       -45.00|      3814.20|
|     上期所|           ag1912|  20190805|  投机|  买  |        2|     4080.000|         4238.000|       -90.00|      7628.40|
|     上期所|           ag1912|  20190805|  投机|  买  |       10|     4080.000|         4238.000|      -450.00|     38142.00|
|     上期所|           ag1912|  20190805|  投机|  买  |        1|     4080.000|         4238.000|       -45.00|      3814.20|
