                                            结算单 Settlement Statement                                                

账户：0029
日期：20190819
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         5048578.60                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             5022256.50
平仓盈亏 Realized P/L：             -21385.00                  保证金占用 Margin Occupied：       2333556.70
持仓盈亏  MTM P/L：                  -4380.00                  可用资金 Fund Avail.：             2688699.80
手续费 Commission：                    557.10                  风险度 Risk Degree：                   46.46%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            TA001|  20190730|  投机|    卖|       12|     5190.000|         5234.000|     -2880.00|     18842.40|
|     郑商所|            TA001|  20190730|  投机|    卖|        1|     5190.000|         5234.000|      -240.00|      1570.20|
|     郑商所|            TA001|  20190730|  投机|    卖|        2|     5190.000|         5234.000|      -480.00|      3140.40|
|     郑商所|            TA001|  20190730|  投机|    卖|       30|     5190.000|         5234.000|     -7200.00|     47106.00|
|     郑商所|            TA001|  20190730|  投机|    卖|       10|     5190.000|         5234.000|     -2400.00|     15702.00|
|     郑商所|            TA001|  20190802|  投机|    卖|       10|     5160.000|         5234.000|     -2400.00|     15702.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5234.000|      -240.00|      1570.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        2|     5152.000|         5234.000|      -480.00|      3140.40|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5234.000|      -240.00|      1570.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5234.000|      -240.00|      1570.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5234.000|      -240.00|      1570.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5234.000|      -240.00|      1570.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5234.000|      -240.00|      1570.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5234.000|      -240.00|      1570.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5234.000|      -240.00|      1570.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        3|     5152.000|         5234.000|      -720.00|      4710.60|
|     郑商所|            TA001|  20190802|  投机|    卖|        2|     5152.000|         5234.000|      -480.00|      3140.40|
|     郑商所|            TA001|  20190805|  投机|    卖|        2|     5140.000|         5234.000|      -480.00|      3140.40|
|     郑商所|            TA001|  20190805|  投机|    卖|        6|     5140.000|         5234.000|     -1440.00|      9421.20|
|     郑商所|            TA001|  20190805|  投机|    卖|        2|     5140.000|         5234.000|      -480.00|      3140.40|
|     郑商所|            TA001|  20190805|  投机|    卖|       10|     5114.000|         5234.000|     -2400.00|     15702.00|
|     郑商所|            TA001|  20190806|  投机|    卖|       10|     5130.000|         5234.000|     -2400.00|     15702.00|
|     郑商所|            TA001|  20190807|  投机|    卖|        8|     5134.000|         5234.000|     -1920.00|     12561.60|
|     郑商所|            TA001|  20190807|  投机|    卖|        1|     5134.000|         5234.000|      -240.00|      1570.20|
|     郑商所|            TA001|  20190807|  投机|    卖|        1|     5134.000|         5234.000|      -240.00|      1570.20|
|     郑商所|            TA001|  20190808|  投机|    卖|       15|     5090.000|         5234.000|     -3600.00|     23553.00|
|     郑商所|            MA001|  20190813|  投机|    卖|        6|     2275.000|         2204.000|       360.00|      9256.80|
|     郑商所|            MA001|  20190813|  投机|    卖|        1|     2275.000|         2204.000|        60.00|      1542.80|
|     郑商所|            MA001|  20190813|  投机|    卖|        8|     2275.000|         2204.000|       480.00|     12342.40|
|     郑商所|            MA001|  20190814|  投机|  买  |        4|     2260.000|         2204.000|      -240.00|      6171.20|
|     郑商所|            MA001|  20190814|  投机|  买  |        2|     2253.000|         2204.000|      -120.00|      3085.60|
|     郑商所|            MA001|  20190814|  投机|  买  |        4|     2253.000|         2204.000|      -240.00|      6171.20|
|     郑商所|            TA001|  20190815|  投机|    卖|       15|     5170.000|         5234.000|     -3600.00|     23553.00|
|     郑商所|            TA001|  20190815|  投机|    卖|       10|     5180.000|         5234.000|     -2400.00|     15702.00|
|     郑商所|            MA001|  20190816|  投机|  买  |       77|     2200.000|         2204.000|     -4620.00|    118795.60|
|     郑商所|            MA001|  20190816|  投机|  买  |        1|     2200.000|         2204.000|       -60.00|      1542.80|
|     郑商所|            MA001|  20190816|  投机|  买  |        5|     2200.000|         2204.000|      -300.00|      7714.00|
|     郑商所|            MA001|  20190816|  投机|  买  |        1|     2200.000|         2204.000|       -60.00|      1542.80|
|     郑商所|            MA001|  20190816|  投机|  买  |       14|     2200.000|         2204.000|      -840.00|     21599.20|
|     郑商所|            MA001|  20190816|  投机|  买  |        1|     2200.000|         2204.000|       -60.00|      1542.80|
|     郑商所|            MA001|  20190816|  投机|  买  |        4|     2200.000|         2204.000|      -240.00|      6171.20|
|     郑商所|            MA001|  20190816|  投机|  买  |        7|     2205.000|         2204.000|      -420.00|     10799.60|
|     大商所|           eg2001|  20190814|  投机|  买  |        1|     4500.000|         4559.000|       220.00|      2735.40|
|     大商所|           eg2001|  20190814|  投机|    卖|       28|     4508.000|         4559.000|     -6160.00|     76591.20|
|     大商所|           eg2001|  20190814|  投机|    卖|        4|     4508.000|         4559.000|      -880.00|     10941.60|
|     大商所|           eg2001|  20190814|  投机|    卖|        3|     4508.000|         4559.000|      -660.00|      8206.20|
|     大商所|           eg2001|  20190816|  投机|    卖|       10|     4570.000|         4559.000|     -2200.00|     27354.00|
|     大商所|           eg2001|  20190816|  投机|    卖|        5|     4570.000|         4559.000|     -1100.00|     13677.00|
|     大商所|           eg2001|  20190815|  投机|    卖|       10|     4500.000|         4559.000|     -2200.00|     27354.00|
|     上期所|           ni1910|  20190816|  投机|  买  |        1|   125480.000|       125890.000|        50.00|     10071.20|
|     上期所|           ni1910|  20190816|  投机|  买  |        1|   125480.000|       125890.000|        50.00|     10071.20|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11550.000|      1650.00|     10395.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11550.000|      1650.00|     10395.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        7|    11475.000|        11550.000|     11550.00|     72765.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11550.000|      1650.00|     10395.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11550.000|      1650.00|     10395.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11550.000|      1650.00|     10395.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11550.000|      1650.00|     10395.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        2|    11475.000|        11550.000|      3300.00|     20790.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11755.000|     -1250.00|     10579.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11755.000|     -1250.00|     10579.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11755.000|     -1250.00|     10579.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11755.000|     -1250.00|     10579.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11755.000|     -1250.00|     10579.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11755.000|     -1250.00|     10579.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11755.000|     -1250.00|     10579.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        3|    11745.000|        11755.000|     -3750.00|     31738.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11755.000|     -1250.00|     10579.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11755.000|     -1250.00|     10579.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11755.000|     -1250.00|     10579.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11755.000|     -1250.00|     10579.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11755.000|     -1250.00|     10579.50|
|     上期所|           ni1910|  20190808|  投机|  买  |        1|   117340.000|       125890.000|        50.00|     10071.20|
|     上期所|           ni1910|  20190808|  投机|  买  |        2|   118180.000|       125890.000|       100.00|     20142.40|
|     上期所|           ni1910|  20190805|  投机|  买  |        1|   116500.000|       125890.000|        50.00|     10071.20|
|     上期所|           bu1912|  20190718|  投机|  买  |        5|     3268.000|         3120.000|      2300.00|     14040.00|
|     上期所|           bu1912|  20190731|  投机|  买  |       20|     3376.000|         3120.000|      9200.00|     56160.00|
|     上期所|           bu1912|  20190718|  投机|  买  |        5|     3256.000|         3120.000|      2300.00|     14040.00|
|     上期所|           ag1912|  20190805|  投机|  买  |        2|     4080.000|         4204.000|     -1020.00|      7567.20|
|     上期所|           ag1912|  20190805|  投机|  买  |        1|     4080.000|         4204.000|      -510.00|      3783.60|
