                                            结算单 Settlement Statement                                                

账户：0029
日期：20190821
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         4996981.28                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             5066653.82
平仓盈亏 Realized P/L：              23525.00                  保证金占用 Margin Occupied：       1928746.50
持仓盈亏  MTM P/L：                  46640.00                  可用资金 Fund Avail.：             3137907.32
手续费 Commission：                    492.46                  风险度 Risk Degree：                   38.07%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            TA001|  20190730|  投机|    卖|       30|     5190.000|         5164.000|     10500.00|     46476.00|
|     郑商所|            TA001|  20190730|  投机|    卖|       10|     5190.000|         5164.000|      3500.00|     15492.00|
|     郑商所|            TA001|  20190802|  投机|    卖|       10|     5160.000|         5164.000|      3500.00|     15492.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5164.000|       350.00|      1549.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        2|     5152.000|         5164.000|       700.00|      3098.40|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5164.000|       350.00|      1549.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5164.000|       350.00|      1549.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5164.000|       350.00|      1549.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5164.000|       350.00|      1549.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5164.000|       350.00|      1549.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5164.000|       350.00|      1549.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5164.000|       350.00|      1549.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        3|     5152.000|         5164.000|      1050.00|      4647.60|
|     郑商所|            TA001|  20190802|  投机|    卖|        2|     5152.000|         5164.000|       700.00|      3098.40|
|     郑商所|            TA001|  20190805|  投机|    卖|        2|     5140.000|         5164.000|       700.00|      3098.40|
|     郑商所|            TA001|  20190805|  投机|    卖|        6|     5140.000|         5164.000|      2100.00|      9295.20|
|     郑商所|            TA001|  20190805|  投机|    卖|        2|     5140.000|         5164.000|       700.00|      3098.40|
|     郑商所|            TA001|  20190805|  投机|    卖|       10|     5114.000|         5164.000|      3500.00|     15492.00|
|     郑商所|            TA001|  20190806|  投机|    卖|       10|     5130.000|         5164.000|      3500.00|     15492.00|
|     郑商所|            TA001|  20190807|  投机|    卖|        8|     5134.000|         5164.000|      2800.00|     12393.60|
|     郑商所|            TA001|  20190807|  投机|    卖|        1|     5134.000|         5164.000|       350.00|      1549.20|
|     郑商所|            TA001|  20190807|  投机|    卖|        1|     5134.000|         5164.000|       350.00|      1549.20|
|     郑商所|            TA001|  20190808|  投机|    卖|       15|     5090.000|         5164.000|      5250.00|     23238.00|
|     郑商所|            MA001|  20190814|  投机|  买  |        4|     2260.000|         2148.000|     -2080.00|      6014.40|
|     郑商所|            MA001|  20190814|  投机|  买  |        2|     2253.000|         2148.000|     -1040.00|      3007.20|
|     郑商所|            MA001|  20190814|  投机|  买  |        4|     2253.000|         2148.000|     -2080.00|      6014.40|
|     郑商所|            TA001|  20190815|  投机|    卖|       15|     5170.000|         5164.000|      5250.00|     23238.00|
|     郑商所|            TA001|  20190815|  投机|    卖|       10|     5180.000|         5164.000|      3500.00|     15492.00|
|     郑商所|            MA001|  20190816|  投机|  买  |       77|     2200.000|         2148.000|    -40040.00|    115777.20|
|     郑商所|            MA001|  20190816|  投机|  买  |        1|     2200.000|         2148.000|      -520.00|      1503.60|
|     郑商所|            MA001|  20190816|  投机|  买  |        5|     2200.000|         2148.000|     -2600.00|      7518.00|
|     郑商所|            MA001|  20190816|  投机|  买  |        1|     2200.000|         2148.000|      -520.00|      1503.60|
|     郑商所|            MA001|  20190816|  投机|  买  |       14|     2200.000|         2148.000|     -7280.00|     21050.40|
|     郑商所|            MA001|  20190816|  投机|  买  |        1|     2200.000|         2148.000|      -520.00|      1503.60|
|     郑商所|            MA001|  20190816|  投机|  买  |        4|     2200.000|         2148.000|     -2080.00|      6014.40|
|     郑商所|            MA001|  20190816|  投机|  买  |        7|     2205.000|         2148.000|     -3640.00|     10525.20|
|     郑商所|            MA001|  20190819|  投机|  买  |        5|     2210.000|         2148.000|     -2600.00|      7518.00|
|     郑商所|            TA001|  20190820|  投机|    卖|        5|     5214.000|         5164.000|      1750.00|      7746.00|
|     郑商所|            MA001|  20190820|  投机|  买  |        2|     2190.000|         2148.000|     -1040.00|      3007.20|
|     郑商所|            MA001|  20190820|  投机|  买  |        1|     2190.000|         2148.000|      -520.00|      1503.60|
|     郑商所|            MA001|  20190820|  投机|  买  |        1|     2190.000|         2148.000|      -520.00|      1503.60|
|     郑商所|            MA001|  20190820|  投机|  买  |        1|     2190.000|         2148.000|      -520.00|      1503.60|
|     郑商所|            MA001|  20190820|  投机|  买  |        5|     2190.000|         2148.000|     -2600.00|      7518.00|
|     大商所|           eg2001|  20190814|  投机|    卖|       28|     4508.000|         4530.000|      6720.00|     76104.00|
|     大商所|           eg2001|  20190814|  投机|    卖|        4|     4508.000|         4530.000|       960.00|     10872.00|
|     大商所|           eg2001|  20190814|  投机|    卖|        3|     4508.000|         4530.000|       720.00|      8154.00|
|     大商所|           eg2001|  20190820|  投机|    卖|        3|     4565.000|         4530.000|       720.00|      8154.00|
|     大商所|           eg2001|  20190820|  投机|    卖|        2|     4565.000|         4530.000|       480.00|      5436.00|
|     大商所|           eg2001|  20190816|  投机|    卖|       10|     4570.000|         4530.000|      2400.00|     27180.00|
|     大商所|           eg2001|  20190816|  投机|    卖|        5|     4570.000|         4530.000|      1200.00|     13590.00|
|     大商所|           eg2001|  20190815|  投机|    卖|       10|     4500.000|         4530.000|      2400.00|     27180.00|
|     上期所|           ni1910|  20190816|  投机|  买  |        1|   125480.000|       123900.000|      -290.00|      9912.00|
|     上期所|           ni1910|  20190816|  投机|  买  |        1|   125480.000|       123900.000|      -290.00|      9912.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11435.000|     -1550.00|     10291.50|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11435.000|     -1550.00|     10291.50|
|     上期所|           ru2001|  20190731|  投机|  买  |        7|    11475.000|        11435.000|    -10850.00|     72040.50|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11435.000|     -1550.00|     10291.50|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11435.000|     -1550.00|     10291.50|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11435.000|     -1550.00|     10291.50|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11435.000|     -1550.00|     10291.50|
|     上期所|           ru2001|  20190731|  投机|  买  |        2|    11475.000|        11435.000|     -3100.00|     20583.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11655.000|      1250.00|     10489.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11655.000|      1250.00|     10489.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11655.000|      1250.00|     10489.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11655.000|      1250.00|     10489.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11655.000|      1250.00|     10489.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11655.000|      1250.00|     10489.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11655.000|      1250.00|     10489.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        3|    11745.000|        11655.000|      3750.00|     31468.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11655.000|      1250.00|     10489.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11655.000|      1250.00|     10489.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11655.000|      1250.00|     10489.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11655.000|      1250.00|     10489.50|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11655.000|      1250.00|     10489.50|
|     上期所|           ni1910|  20190808|  投机|  买  |        1|   117340.000|       123900.000|      -290.00|      9912.00|
|     上期所|           ni1910|  20190808|  投机|  买  |        2|   118180.000|       123900.000|      -580.00|     19824.00|
|     上期所|           ni1910|  20190805|  投机|  买  |        1|   116500.000|       123900.000|      -290.00|      9912.00|
|     上期所|           bu1912|  20190718|  投机|  买  |        5|     3256.000|         3162.000|       700.00|     14229.00|
|     上期所|           ag1912|  20190805|  投机|  买  |        2|     4080.000|         4212.000|      1170.00|      7581.60|
|     上期所|           ag1912|  20190805|  投机|  买  |        2|     4080.000|         4212.000|      1170.00|      7581.60|
