                                            结算单 Settlement Statement                                                

账户：0029
日期：20190822
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         5066653.82                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             5161618.08
平仓盈亏 Realized P/L：               -300.00                  保证金占用 Margin Occupied：       2081914.80
持仓盈亏  MTM P/L：                  95560.00                  可用资金 Fund Avail.：             3079703.28
手续费 Commission：                    295.74                  风险度 Risk Degree：                   40.33%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            TA001|  20190730|  投机|    卖|       30|     5190.000|         5100.000|      9600.00|     45900.00|
|     郑商所|            TA001|  20190730|  投机|    卖|       10|     5190.000|         5100.000|      3200.00|     15300.00|
|     郑商所|            TA001|  20190802|  投机|    卖|       10|     5160.000|         5100.000|      3200.00|     15300.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5100.000|       320.00|      1530.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        2|     5152.000|         5100.000|       640.00|      3060.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5100.000|       320.00|      1530.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5100.000|       320.00|      1530.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5100.000|       320.00|      1530.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5100.000|       320.00|      1530.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5100.000|       320.00|      1530.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5100.000|       320.00|      1530.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5100.000|       320.00|      1530.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        3|     5152.000|         5100.000|       960.00|      4590.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        2|     5152.000|         5100.000|       640.00|      3060.00|
|     郑商所|            TA001|  20190805|  投机|    卖|        2|     5140.000|         5100.000|       640.00|      3060.00|
|     郑商所|            TA001|  20190805|  投机|    卖|        6|     5140.000|         5100.000|      1920.00|      9180.00|
|     郑商所|            TA001|  20190805|  投机|    卖|        2|     5140.000|         5100.000|       640.00|      3060.00|
|     郑商所|            TA001|  20190805|  投机|    卖|       10|     5114.000|         5100.000|      3200.00|     15300.00|
|     郑商所|            TA001|  20190806|  投机|    卖|       10|     5130.000|         5100.000|      3200.00|     15300.00|
|     郑商所|            TA001|  20190807|  投机|    卖|        8|     5134.000|         5100.000|      2560.00|     12240.00|
|     郑商所|            TA001|  20190807|  投机|    卖|        1|     5134.000|         5100.000|       320.00|      1530.00|
|     郑商所|            TA001|  20190807|  投机|    卖|        1|     5134.000|         5100.000|       320.00|      1530.00|
|     郑商所|            TA001|  20190808|  投机|    卖|       15|     5090.000|         5100.000|      4800.00|     22950.00|
|     郑商所|            TA001|  20190815|  投机|    卖|       15|     5170.000|         5100.000|      4800.00|     22950.00|
|     郑商所|            TA001|  20190815|  投机|    卖|       10|     5180.000|         5100.000|      3200.00|     15300.00|
|     郑商所|            MA001|  20190816|  投机|  买  |       77|     2200.000|         2139.000|     -6930.00|    115292.10|
|     郑商所|            MA001|  20190816|  投机|  买  |        1|     2200.000|         2139.000|       -90.00|      1497.30|
|     郑商所|            MA001|  20190816|  投机|  买  |        5|     2200.000|         2139.000|      -450.00|      7486.50|
|     郑商所|            MA001|  20190816|  投机|  买  |        1|     2200.000|         2139.000|       -90.00|      1497.30|
|     郑商所|            MA001|  20190816|  投机|  买  |       14|     2200.000|         2139.000|     -1260.00|     20962.20|
|     郑商所|            MA001|  20190816|  投机|  买  |        1|     2200.000|         2139.000|       -90.00|      1497.30|
|     郑商所|            MA001|  20190816|  投机|  买  |        4|     2200.000|         2139.000|      -360.00|      5989.20|
|     郑商所|            MA001|  20190816|  投机|  买  |        7|     2205.000|         2139.000|      -630.00|     10481.10|
|     郑商所|            MA001|  20190819|  投机|  买  |        5|     2210.000|         2139.000|      -450.00|      7486.50|
|     郑商所|            TA001|  20190820|  投机|    卖|        5|     5214.000|         5100.000|      1600.00|      7650.00|
|     郑商所|            MA001|  20190820|  投机|  买  |        2|     2190.000|         2139.000|      -180.00|      2994.60|
|     郑商所|            MA001|  20190820|  投机|  买  |        1|     2190.000|         2139.000|       -90.00|      1497.30|
|     郑商所|            MA001|  20190820|  投机|  买  |        1|     2190.000|         2139.000|       -90.00|      1497.30|
|     郑商所|            MA001|  20190820|  投机|  买  |        1|     2190.000|         2139.000|       -90.00|      1497.30|
|     郑商所|            MA001|  20190820|  投机|  买  |        5|     2190.000|         2139.000|      -450.00|      7486.50|
|     郑商所|            TA001|  20190821|  投机|    卖|       20|     5170.000|         5100.000|      6400.00|     30600.00|
|     郑商所|            TA001|  20190821|  投机|    卖|       20|     5144.000|         5100.000|      6400.00|     30600.00|
|     郑商所|            MA001|  20190821|  投机|  买  |        1|     2136.000|         2139.000|       -90.00|      1497.30|
|     郑商所|            MA001|  20190821|  投机|  买  |        1|     2136.000|         2139.000|       -90.00|      1497.30|
|     郑商所|            MA001|  20190821|  投机|  买  |        1|     2136.000|         2139.000|       -90.00|      1497.30|
|     郑商所|            MA001|  20190821|  投机|  买  |        1|     2136.000|         2139.000|       -90.00|      1497.30|
|     郑商所|            MA001|  20190821|  投机|  买  |        1|     2136.000|         2139.000|       -90.00|      1497.30|
|     郑商所|            MA001|  20190821|  投机|  买  |       90|     2135.000|         2139.000|     -8100.00|    134757.00|
|     郑商所|            TA001|  20190821|  投机|    卖|       10|     5160.000|         5100.000|      3200.00|     15300.00|
|     大商所|           eg2001|  20190814|  投机|    卖|       28|     4508.000|         4559.000|     -8120.00|     76591.20|
|     大商所|           eg2001|  20190814|  投机|    卖|        4|     4508.000|         4559.000|     -1160.00|     10941.60|
|     大商所|           eg2001|  20190814|  投机|    卖|        3|     4508.000|         4559.000|      -870.00|      8206.20|
|     大商所|           eg2001|  20190820|  投机|    卖|        3|     4565.000|         4559.000|      -870.00|      8206.20|
|     大商所|           eg2001|  20190820|  投机|    卖|        2|     4565.000|         4559.000|      -580.00|      5470.80|
|     大商所|           eg2001|  20190816|  投机|    卖|       10|     4570.000|         4559.000|     -2900.00|     27354.00|
|     大商所|           eg2001|  20190816|  投机|    卖|        5|     4570.000|         4559.000|     -1450.00|     13677.00|
|     大商所|           eg2001|  20190815|  投机|    卖|       10|     4500.000|         4559.000|     -2900.00|     27354.00|
|     上期所|           ni1910|  20190816|  投机|  买  |        1|   125480.000|       123240.000|      -660.00|      9859.20|
|     上期所|           ni1910|  20190816|  投机|  买  |        1|   125480.000|       123240.000|      -660.00|      9859.20|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11400.000|      -350.00|     10260.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11400.000|      -350.00|     10260.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        7|    11475.000|        11400.000|     -2450.00|     71820.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11400.000|      -350.00|     10260.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11400.000|      -350.00|     10260.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11400.000|      -350.00|     10260.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        11400.000|      -350.00|     10260.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        2|    11475.000|        11400.000|      -700.00|     20520.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11620.000|       350.00|     10458.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11620.000|       350.00|     10458.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11620.000|       350.00|     10458.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11620.000|       350.00|     10458.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11620.000|       350.00|     10458.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11620.000|       350.00|     10458.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11620.000|       350.00|     10458.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        3|    11745.000|        11620.000|      1050.00|     31374.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11620.000|       350.00|     10458.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11620.000|       350.00|     10458.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11620.000|       350.00|     10458.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11620.000|       350.00|     10458.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        11620.000|       350.00|     10458.00|
|     上期所|           ni1910|  20190808|  投机|  买  |        1|   117340.000|       123240.000|      -660.00|      9859.20|
