                                            结算单 Settlement Statement                                                

账户：0029
日期：20190826
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         5163198.32                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             4994309.63
平仓盈亏 Realized P/L：                300.00                  保证金占用 Margin Occupied：       2643304.00
持仓盈亏  MTM P/L：                -168230.00                  可用资金 Fund Avail.：             2351005.63
手续费 Commission：                    958.69                  风险度 Risk Degree：                   52.93%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            TA001|  20190730|  投机|    卖|       15|     5190.000|         5096.000|      1200.00|     22932.00|
|     郑商所|            TA001|  20190730|  投机|    卖|       10|     5190.000|         5096.000|       800.00|     15288.00|
|     郑商所|            TA001|  20190802|  投机|    卖|       10|     5160.000|         5096.000|       800.00|     15288.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        2|     5152.000|         5096.000|       160.00|      3057.60|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        3|     5152.000|         5096.000|       240.00|      4586.40|
|     郑商所|            TA001|  20190802|  投机|    卖|        2|     5152.000|         5096.000|       160.00|      3057.60|
|     郑商所|            TA001|  20190805|  投机|    卖|        2|     5140.000|         5096.000|       160.00|      3057.60|
|     郑商所|            TA001|  20190805|  投机|    卖|        6|     5140.000|         5096.000|       480.00|      9172.80|
|     郑商所|            TA001|  20190805|  投机|    卖|        2|     5140.000|         5096.000|       160.00|      3057.60|
|     郑商所|            TA001|  20190805|  投机|    卖|       10|     5114.000|         5096.000|       800.00|     15288.00|
|     郑商所|            TA001|  20190806|  投机|    卖|       10|     5130.000|         5096.000|       800.00|     15288.00|
|     郑商所|            TA001|  20190807|  投机|    卖|        8|     5134.000|         5096.000|       640.00|     12230.40|
|     郑商所|            TA001|  20190807|  投机|    卖|        1|     5134.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190807|  投机|    卖|        1|     5134.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190808|  投机|    卖|       15|     5090.000|         5096.000|      1200.00|     22932.00|
|     郑商所|            TA001|  20190815|  投机|    卖|       15|     5170.000|         5096.000|      1200.00|     22932.00|
|     郑商所|            TA001|  20190815|  投机|    卖|       10|     5180.000|         5096.000|       800.00|     15288.00|
|     郑商所|            MA001|  20190816|  投机|  买  |       52|     2200.000|         2162.000|      6760.00|     78696.80|
|     郑商所|            MA001|  20190816|  投机|  买  |        1|     2200.000|         2162.000|       130.00|      1513.40|
|     郑商所|            MA001|  20190816|  投机|  买  |        5|     2200.000|         2162.000|       650.00|      7567.00|
|     郑商所|            MA001|  20190816|  投机|  买  |        1|     2200.000|         2162.000|       130.00|      1513.40|
|     郑商所|            MA001|  20190816|  投机|  买  |       14|     2200.000|         2162.000|      1820.00|     21187.60|
|     郑商所|            MA001|  20190816|  投机|  买  |        1|     2200.000|         2162.000|       130.00|      1513.40|
|     郑商所|            MA001|  20190816|  投机|  买  |        4|     2200.000|         2162.000|       520.00|      6053.60|
|     郑商所|            MA001|  20190816|  投机|  买  |        7|     2205.000|         2162.000|       910.00|     10593.80|
|     郑商所|            MA001|  20190819|  投机|  买  |        5|     2210.000|         2162.000|       650.00|      7567.00|
|     郑商所|            TA001|  20190820|  投机|    卖|        5|     5214.000|         5096.000|       400.00|      7644.00|
|     郑商所|            MA001|  20190820|  投机|  买  |        2|     2190.000|         2162.000|       260.00|      3026.80|
|     郑商所|            MA001|  20190820|  投机|  买  |        1|     2190.000|         2162.000|       130.00|      1513.40|
|     郑商所|            MA001|  20190820|  投机|  买  |        1|     2190.000|         2162.000|       130.00|      1513.40|
|     郑商所|            MA001|  20190820|  投机|  买  |        1|     2190.000|         2162.000|       130.00|      1513.40|
|     郑商所|            MA001|  20190820|  投机|  买  |        5|     2190.000|         2162.000|       650.00|      7567.00|
|     郑商所|            TA001|  20190821|  投机|    卖|       20|     5170.000|         5096.000|      1600.00|     30576.00|
|     郑商所|            TA001|  20190821|  投机|    卖|       20|     5144.000|         5096.000|      1600.00|     30576.00|
|     郑商所|            MA001|  20190821|  投机|  买  |        1|     2136.000|         2162.000|       130.00|      1513.40|
|     郑商所|            MA001|  20190821|  投机|  买  |        1|     2136.000|         2162.000|       130.00|      1513.40|
|     郑商所|            MA001|  20190821|  投机|  买  |        1|     2136.000|         2162.000|       130.00|      1513.40|
|     郑商所|            MA001|  20190821|  投机|  买  |        1|     2136.000|         2162.000|       130.00|      1513.40|
|     郑商所|            MA001|  20190821|  投机|  买  |        1|     2136.000|         2162.000|       130.00|      1513.40|
|     郑商所|            MA001|  20190821|  投机|  买  |       90|     2135.000|         2162.000|     11700.00|    136206.00|
|     郑商所|            TA001|  20190821|  投机|    卖|       10|     5160.000|         5096.000|       800.00|     15288.00|
|     郑商所|            TA001|  20190822|  投机|    卖|        5|     5140.000|         5096.000|       400.00|      7644.00|
|     郑商所|            TA001|  20190822|  投机|    卖|        3|     5080.000|         5096.000|       240.00|      4586.40|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5080.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5080.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190822|  投机|    卖|        5|     5090.000|         5096.000|       400.00|      7644.00|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190822|  投机|    卖|        6|     5030.000|         5096.000|       480.00|      9172.80|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190822|  投机|    卖|        4|     5030.000|         5096.000|       320.00|      6115.20|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190822|  投机|    卖|        2|     5030.000|         5096.000|       160.00|      3057.60|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190822|  投机|    卖|        2|     5030.000|         5096.000|       160.00|      3057.60|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5096.000|        80.00|      1528.80|
|     郑商所|            TA001|  20190822|  投机|    卖|        6|     5030.000|         5096.000|       480.00|      9172.80|
|     郑商所|            TA001|  20190822|  投机|    卖|       10|     5040.000|         5096.000|       800.00|     15288.00|
|     郑商所|            TA001|  20190822|  投机|    卖|       10|     5060.000|         5096.000|       800.00|     15288.00|
|     郑商所|            MA001|  20190823|  投机|  买  |        5|     2160.000|         2162.000|       650.00|      7567.00|
|     大商所|           eg2001|  20190814|  投机|    卖|       28|     4508.000|         4589.000|    -12320.00|     77095.20|
|     大商所|           eg2001|  20190814|  投机|    卖|        4|     4508.000|         4589.000|     -1760.00|     11013.60|
|     大商所|           eg2001|  20190814|  投机|    卖|        3|     4508.000|         4589.000|     -1320.00|      8260.20|
|     大商所|           eg2001|  20190820|  投机|    卖|        3|     4565.000|         4589.000|     -1320.00|      8260.20|
