                                            结算单 Settlement Statement                                                

账户：0029
日期：20190827
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         4994309.63                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             5065057.51
平仓盈亏 Realized P/L：             186200.00                  保证金占用 Margin Occupied：       1806495.00
持仓盈亏  MTM P/L：                -114600.00                  可用资金 Fund Avail.：             3258562.51
手续费 Commission：                    852.12                  风险度 Risk Degree：                   35.67%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            TA001|  20190730|  投机|    卖|       15|     5190.000|         5102.000|      -450.00|     22959.00|
|     郑商所|            TA001|  20190730|  投机|    卖|       10|     5190.000|         5102.000|      -300.00|     15306.00|
|     郑商所|            TA001|  20190802|  投机|    卖|       10|     5160.000|         5102.000|      -300.00|     15306.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190802|  投机|    卖|        2|     5152.000|         5102.000|       -60.00|      3061.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190802|  投机|    卖|        3|     5152.000|         5102.000|       -90.00|      4591.80|
|     郑商所|            TA001|  20190802|  投机|    卖|        2|     5152.000|         5102.000|       -60.00|      3061.20|
|     郑商所|            TA001|  20190805|  投机|    卖|        2|     5140.000|         5102.000|       -60.00|      3061.20|
|     郑商所|            TA001|  20190805|  投机|    卖|        6|     5140.000|         5102.000|      -180.00|      9183.60|
|     郑商所|            TA001|  20190805|  投机|    卖|        2|     5140.000|         5102.000|       -60.00|      3061.20|
|     郑商所|            TA001|  20190805|  投机|    卖|       10|     5114.000|         5102.000|      -300.00|     15306.00|
|     郑商所|            TA001|  20190806|  投机|    卖|       10|     5130.000|         5102.000|      -300.00|     15306.00|
|     郑商所|            TA001|  20190807|  投机|    卖|        8|     5134.000|         5102.000|      -240.00|     12244.80|
|     郑商所|            TA001|  20190807|  投机|    卖|        1|     5134.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190807|  投机|    卖|        1|     5134.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190808|  投机|    卖|       15|     5090.000|         5102.000|      -450.00|     22959.00|
|     郑商所|            TA001|  20190815|  投机|    卖|       15|     5170.000|         5102.000|      -450.00|     22959.00|
|     郑商所|            TA001|  20190815|  投机|    卖|       10|     5180.000|         5102.000|      -300.00|     15306.00|
|     郑商所|            MA001|  20190816|  投机|  买  |       52|     2200.000|         2136.000|    -13520.00|     77750.40|
|     郑商所|            MA001|  20190816|  投机|  买  |        1|     2200.000|         2136.000|      -260.00|      1495.20|
|     郑商所|            MA001|  20190816|  投机|  买  |        5|     2200.000|         2136.000|     -1300.00|      7476.00|
|     郑商所|            MA001|  20190816|  投机|  买  |        1|     2200.000|         2136.000|      -260.00|      1495.20|
|     郑商所|            MA001|  20190816|  投机|  买  |       14|     2200.000|         2136.000|     -3640.00|     20932.80|
|     郑商所|            MA001|  20190816|  投机|  买  |        1|     2200.000|         2136.000|      -260.00|      1495.20|
|     郑商所|            MA001|  20190816|  投机|  买  |        4|     2200.000|         2136.000|     -1040.00|      5980.80|
|     郑商所|            MA001|  20190816|  投机|  买  |        7|     2205.000|         2136.000|     -1820.00|     10466.40|
|     郑商所|            MA001|  20190819|  投机|  买  |        5|     2210.000|         2136.000|     -1300.00|      7476.00|
|     郑商所|            TA001|  20190820|  投机|    卖|        5|     5214.000|         5102.000|      -150.00|      7653.00|
|     郑商所|            MA001|  20190820|  投机|  买  |        2|     2190.000|         2136.000|      -520.00|      2990.40|
|     郑商所|            MA001|  20190820|  投机|  买  |        1|     2190.000|         2136.000|      -260.00|      1495.20|
|     郑商所|            MA001|  20190820|  投机|  买  |        1|     2190.000|         2136.000|      -260.00|      1495.20|
|     郑商所|            MA001|  20190820|  投机|  买  |        1|     2190.000|         2136.000|      -260.00|      1495.20|
|     郑商所|            MA001|  20190820|  投机|  买  |        5|     2190.000|         2136.000|     -1300.00|      7476.00|
|     郑商所|            TA001|  20190821|  投机|    卖|       20|     5170.000|         5102.000|      -600.00|     30612.00|
|     郑商所|            TA001|  20190821|  投机|    卖|       20|     5144.000|         5102.000|      -600.00|     30612.00|
|     郑商所|            MA001|  20190821|  投机|  买  |        1|     2136.000|         2136.000|      -260.00|      1495.20|
|     郑商所|            MA001|  20190821|  投机|  买  |        1|     2136.000|         2136.000|      -260.00|      1495.20|
|     郑商所|            MA001|  20190821|  投机|  买  |        1|     2136.000|         2136.000|      -260.00|      1495.20|
|     郑商所|            MA001|  20190821|  投机|  买  |        1|     2136.000|         2136.000|      -260.00|      1495.20|
|     郑商所|            MA001|  20190821|  投机|  买  |        1|     2136.000|         2136.000|      -260.00|      1495.20|
|     郑商所|            MA001|  20190821|  投机|  买  |       90|     2135.000|         2136.000|    -23400.00|    134568.00|
|     郑商所|            TA001|  20190821|  投机|    卖|       10|     5160.000|         5102.000|      -300.00|     15306.00|
|     郑商所|            TA001|  20190822|  投机|    卖|        5|     5140.000|         5102.000|      -150.00|      7653.00|
|     郑商所|            TA001|  20190822|  投机|    卖|        3|     5080.000|         5102.000|       -90.00|      4591.80|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5080.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5080.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190822|  投机|    卖|        5|     5090.000|         5102.000|      -150.00|      7653.00|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190822|  投机|    卖|        6|     5030.000|         5102.000|      -180.00|      9183.60|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190822|  投机|    卖|        4|     5030.000|         5102.000|      -120.00|      6122.40|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190822|  投机|    卖|        2|     5030.000|         5102.000|       -60.00|      3061.20|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190822|  投机|    卖|        2|     5030.000|         5102.000|       -60.00|      3061.20|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5102.000|       -30.00|      1530.60|
|     郑商所|            TA001|  20190822|  投机|    卖|        6|     5030.000|         5102.000|      -180.00|      9183.60|
|     郑商所|            TA001|  20190822|  投机|    卖|       10|     5040.000|         5102.000|      -300.00|     15306.00|
|     郑商所|            TA001|  20190822|  投机|    卖|       10|     5060.000|         5102.000|      -300.00|     15306.00|
|     郑商所|            MA001|  20190823|  投机|  买  |        5|     2160.000|         2136.000|     -1300.00|      7476.00|
|     郑商所|            TA001|  20190826|  投机|    卖|       26|     5088.000|         5102.000|      -780.00|     39795.60|
|     郑商所|            TA001|  20190826|  投机|    卖|       10|     5088.000|         5102.000|      -300.00|     15306.00|
|     郑商所|            TA001|  20190826|  投机|    卖|        1|     5088.000|         5102.000|       -30.00|      1530.60|
