                                            结算单 Settlement Statement                                                

账户：0029
日期：20190828
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         5065057.51                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             5092954.32
平仓盈亏 Realized P/L：              19800.00                  保证金占用 Margin Occupied：       1740269.50
持仓盈亏  MTM P/L：                   8400.00                  可用资金 Fund Avail.：             3352684.82
手续费 Commission：                    303.19                  风险度 Risk Degree：                   34.17%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            TA001|  20190730|  投机|    卖|       15|     5190.000|         5114.000|      -900.00|     23013.00|
|     郑商所|            TA001|  20190730|  投机|    卖|       10|     5190.000|         5114.000|      -600.00|     15342.00|
|     郑商所|            TA001|  20190802|  投机|    卖|       10|     5160.000|         5114.000|      -600.00|     15342.00|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        2|     5152.000|         5114.000|      -120.00|      3068.40|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        1|     5152.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190802|  投机|    卖|        3|     5152.000|         5114.000|      -180.00|      4602.60|
|     郑商所|            TA001|  20190802|  投机|    卖|        2|     5152.000|         5114.000|      -120.00|      3068.40|
|     郑商所|            TA001|  20190805|  投机|    卖|        2|     5140.000|         5114.000|      -120.00|      3068.40|
|     郑商所|            TA001|  20190805|  投机|    卖|        6|     5140.000|         5114.000|      -360.00|      9205.20|
|     郑商所|            TA001|  20190805|  投机|    卖|        2|     5140.000|         5114.000|      -120.00|      3068.40|
|     郑商所|            TA001|  20190805|  投机|    卖|       10|     5114.000|         5114.000|      -600.00|     15342.00|
|     郑商所|            TA001|  20190806|  投机|    卖|       10|     5130.000|         5114.000|      -600.00|     15342.00|
|     郑商所|            TA001|  20190807|  投机|    卖|        8|     5134.000|         5114.000|      -480.00|     12273.60|
|     郑商所|            TA001|  20190807|  投机|    卖|        1|     5134.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190807|  投机|    卖|        1|     5134.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190808|  投机|    卖|       15|     5090.000|         5114.000|      -900.00|     23013.00|
|     郑商所|            TA001|  20190815|  投机|    卖|       15|     5170.000|         5114.000|      -900.00|     23013.00|
|     郑商所|            TA001|  20190815|  投机|    卖|       10|     5180.000|         5114.000|      -600.00|     15342.00|
|     郑商所|            MA001|  20190816|  投机|  买  |        5|     2205.000|         2143.000|       350.00|      7500.50|
|     郑商所|            MA001|  20190819|  投机|  买  |        5|     2210.000|         2143.000|       350.00|      7500.50|
|     郑商所|            TA001|  20190820|  投机|    卖|        5|     5214.000|         5114.000|      -300.00|      7671.00|
|     郑商所|            MA001|  20190820|  投机|  买  |        2|     2190.000|         2143.000|       140.00|      3000.20|
|     郑商所|            MA001|  20190820|  投机|  买  |        1|     2190.000|         2143.000|        70.00|      1500.10|
|     郑商所|            MA001|  20190820|  投机|  买  |        1|     2190.000|         2143.000|        70.00|      1500.10|
|     郑商所|            MA001|  20190820|  投机|  买  |        1|     2190.000|         2143.000|        70.00|      1500.10|
|     郑商所|            MA001|  20190820|  投机|  买  |        5|     2190.000|         2143.000|       350.00|      7500.50|
|     郑商所|            TA001|  20190821|  投机|    卖|       20|     5170.000|         5114.000|     -1200.00|     30684.00|
|     郑商所|            TA001|  20190821|  投机|    卖|       20|     5144.000|         5114.000|     -1200.00|     30684.00|
|     郑商所|            MA001|  20190821|  投机|  买  |        1|     2136.000|         2143.000|        70.00|      1500.10|
|     郑商所|            MA001|  20190821|  投机|  买  |        1|     2136.000|         2143.000|        70.00|      1500.10|
|     郑商所|            MA001|  20190821|  投机|  买  |        1|     2136.000|         2143.000|        70.00|      1500.10|
|     郑商所|            MA001|  20190821|  投机|  买  |        1|     2136.000|         2143.000|        70.00|      1500.10|
|     郑商所|            MA001|  20190821|  投机|  买  |        1|     2136.000|         2143.000|        70.00|      1500.10|
|     郑商所|            MA001|  20190821|  投机|  买  |       90|     2135.000|         2143.000|      6300.00|    135009.00|
|     郑商所|            TA001|  20190821|  投机|    卖|       10|     5160.000|         5114.000|      -600.00|     15342.00|
|     郑商所|            TA001|  20190822|  投机|    卖|        5|     5140.000|         5114.000|      -300.00|      7671.00|
|     郑商所|            TA001|  20190822|  投机|    卖|        3|     5080.000|         5114.000|      -180.00|      4602.60|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5080.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5080.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190822|  投机|    卖|        5|     5090.000|         5114.000|      -300.00|      7671.00|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190822|  投机|    卖|        6|     5030.000|         5114.000|      -360.00|      9205.20|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190822|  投机|    卖|        4|     5030.000|         5114.000|      -240.00|      6136.80|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190822|  投机|    卖|        2|     5030.000|         5114.000|      -120.00|      3068.40|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190822|  投机|    卖|        2|     5030.000|         5114.000|      -120.00|      3068.40|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190822|  投机|    卖|        1|     5030.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190822|  投机|    卖|        6|     5030.000|         5114.000|      -360.00|      9205.20|
|     郑商所|            TA001|  20190822|  投机|    卖|       10|     5040.000|         5114.000|      -600.00|     15342.00|
|     郑商所|            TA001|  20190822|  投机|    卖|       10|     5060.000|         5114.000|      -600.00|     15342.00|
|     郑商所|            MA001|  20190823|  投机|  买  |        5|     2160.000|         2143.000|       350.00|      7500.50|
|     郑商所|            TA001|  20190826|  投机|    卖|       26|     5088.000|         5114.000|     -1560.00|     39889.20|
|     郑商所|            TA001|  20190826|  投机|    卖|       10|     5088.000|         5114.000|      -600.00|     15342.00|
|     郑商所|            TA001|  20190826|  投机|    卖|        1|     5088.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190826|  投机|    卖|        1|     5086.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190826|  投机|    卖|        1|     5086.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190826|  投机|    卖|        1|     5086.000|         5114.000|       -60.00|      1534.20|
|     郑商所|            TA001|  20190826|  投机|    卖|        2|     5080.000|         5114.000|      -120.00|      3068.40|
|     郑商所|            TA001|  20190826|  投机|    卖|        3|     5080.000|         5114.000|      -180.00|      4602.60|
|     郑商所|            MA001|  20190826|  投机|  买  |       45|     2140.000|         2143.000|      3150.00|     67504.50|
|     郑商所|            TA001|  20190827|  投机|    卖|        1|     5094.000|         5114.000|       -60.00|      1534.20|
