                                            结算单 Settlement Statement                                                

账户：0029
日期：20190916
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         5037310.36                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             5299881.97
平仓盈亏 Realized P/L：               8900.00                  保证金占用 Margin Occupied：       1177590.00
持仓盈亏  MTM P/L：                 254410.00                  可用资金 Fund Avail.：             4122291.97
手续费 Commission：                    738.39                  风险度 Risk Degree：                   22.22%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            MA001|  20190830|  投机|  买  |        3|     2130.000|         2326.000|      2460.00|      4884.60|
|     郑商所|            MA001|  20190830|  投机|  买  |        5|     2140.000|         2326.000|      4100.00|      8141.00|
|     郑商所|            MA001|  20190905|  投机|  买  |       10|     2220.000|         2326.000|      8200.00|     16282.00|
|     郑商所|            MA001|  20190905|  投机|  买  |        2|     2198.000|         2326.000|      1640.00|      3256.40|
|     郑商所|            MA001|  20190905|  投机|  买  |        3|     2198.000|         2326.000|      2460.00|      4884.60|
|     郑商所|            MA001|  20190905|  投机|  买  |        5|     2195.000|         2326.000|      4100.00|      8141.00|
|     郑商所|            MA001|  20190905|  投机|  买  |        5|     2190.000|         2326.000|      4100.00|      8141.00|
|     郑商所|            MA001|  20190905|  投机|  买  |       15|     2190.000|         2326.000|     12300.00|     24423.00|
|     郑商所|            MA001|  20190905|  投机|  买  |       10|     2189.000|         2326.000|      8200.00|     16282.00|
|     郑商所|            MA001|  20190905|  投机|  买  |       10|     2185.000|         2326.000|      8200.00|     16282.00|
|     郑商所|            MA001|  20190905|  投机|  买  |        2|     2190.000|         2326.000|      1640.00|      3256.40|
|     郑商所|            MA001|  20190905|  投机|  买  |        8|     2190.000|         2326.000|      6560.00|     13025.60|
|     郑商所|            MA001|  20190905|  投机|  买  |       10|     2188.000|         2326.000|      8200.00|     16282.00|
|     郑商所|            MA001|  20190905|  投机|  买  |       10|     2186.000|         2326.000|      8200.00|     16282.00|
|     郑商所|            MA001|  20190905|  投机|  买  |       10|     2186.000|         2326.000|      8200.00|     16282.00|
|     郑商所|            MA001|  20190905|  投机|  买  |        3|     2187.000|         2326.000|      2460.00|      4884.60|
|     郑商所|            MA001|  20190905|  投机|  买  |        7|     2187.000|         2326.000|      5740.00|     11397.40|
|     郑商所|            MA001|  20190905|  投机|  买  |       10|     2185.000|         2326.000|      8200.00|     16282.00|
|     郑商所|            MA001|  20190905|  投机|  买  |       10|     2182.000|         2326.000|      8200.00|     16282.00|
|     郑商所|            MA001|  20190906|  投机|  买  |        5|     2200.000|         2326.000|      4100.00|      8141.00|
|     郑商所|            MA001|  20190906|  投机|  买  |        1|     2200.000|         2326.000|       820.00|      1628.20|
|     郑商所|            MA001|  20190906|  投机|  买  |        1|     2200.000|         2326.000|       820.00|      1628.20|
|     郑商所|            MA001|  20190906|  投机|  买  |        3|     2200.000|         2326.000|      2460.00|      4884.60|
|     郑商所|            MA001|  20190906|  投机|  买  |        5|     2201.000|         2326.000|      4100.00|      8141.00|
|     郑商所|            MA001|  20190909|  投机|  买  |        3|     2220.000|         2326.000|      2460.00|      4884.60|
|     郑商所|            MA001|  20190909|  投机|  买  |        2|     2220.000|         2326.000|      1640.00|      3256.40|
|     郑商所|            MA001|  20190909|  投机|  买  |        5|     2235.000|         2326.000|      4100.00|      8141.00|
|     郑商所|            MA001|  20190909|  投机|  买  |        5|     2260.000|         2326.000|      4100.00|      8141.00|
|     郑商所|            MA001|  20190909|  投机|  买  |        5|     2255.000|         2326.000|      4100.00|      8141.00|
|     郑商所|            MA001|  20190909|  投机|  买  |        1|     2258.000|         2326.000|       820.00|      1628.20|
|     郑商所|            MA001|  20190909|  投机|  买  |        2|     2258.000|         2326.000|      1640.00|      3256.40|
|     郑商所|            MA001|  20190909|  投机|  买  |        1|     2258.000|         2326.000|       820.00|      1628.20|
|     郑商所|            MA001|  20190909|  投机|  买  |        1|     2258.000|         2326.000|       820.00|      1628.20|
|     郑商所|            MA001|  20190909|  投机|  买  |        1|     2258.000|         2326.000|       820.00|      1628.20|
|     郑商所|            MA001|  20190909|  投机|  买  |        1|     2258.000|         2326.000|       820.00|      1628.20|
|     郑商所|            MA001|  20190909|  投机|  买  |        2|     2258.000|         2326.000|      1640.00|      3256.40|
|     郑商所|            MA001|  20190909|  投机|  买  |        1|     2258.000|         2326.000|       820.00|      1628.20|
|     郑商所|            TA001|  20190910|  投机|  买  |        2|     5210.000|         5256.000|      1520.00|      3153.60|
|     郑商所|            TA001|  20190910|  投机|  买  |        1|     5210.000|         5256.000|       760.00|      1576.80|
|     郑商所|            TA001|  20190910|  投机|  买  |        2|     5210.000|         5256.000|      1520.00|      3153.60|
|     郑商所|            TA001|  20190910|  投机|  买  |        1|     5210.000|         5256.000|       760.00|      1576.80|
|     郑商所|            MA001|  20190910|  投机|  买  |        2|     2245.000|         2326.000|      1640.00|      3256.40|
|     郑商所|            MA001|  20190910|  投机|  买  |        3|     2240.000|         2326.000|      2460.00|      4884.60|
|     郑商所|            MA001|  20190910|  投机|  买  |        2|     2245.000|         2326.000|      1640.00|      3256.40|
|     郑商所|            MA001|  20190910|  投机|  买  |        3|     2250.000|         2326.000|      2460.00|      4884.60|
|     郑商所|            MA001|  20190911|  投机|  买  |        1|     2250.000|         2326.000|       820.00|      1628.20|
|     郑商所|            MA001|  20190911|  投机|  买  |        4|     2250.000|         2326.000|      3280.00|      6512.80|
|     郑商所|            TA001|  20190911|  投机|  买  |        1|     5114.000|         5256.000|       760.00|      1576.80|
|     郑商所|            TA001|  20190911|  投机|  买  |        2|     5104.000|         5256.000|      1520.00|      3153.60|
|     郑商所|            TA001|  20190911|  投机|  买  |        1|     5110.000|         5256.000|       760.00|      1576.80|
|     郑商所|            TA001|  20190911|  投机|  买  |        1|     5110.000|         5256.000|       760.00|      1576.80|
|     郑商所|            TA001|  20190911|  投机|  买  |        1|     5110.000|         5256.000|       760.00|      1576.80|
|     郑商所|            TA001|  20190911|  投机|  买  |        1|     5110.000|         5256.000|       760.00|      1576.80|
|     郑商所|            TA001|  20190911|  投机|  买  |        1|     5100.000|         5256.000|       760.00|      1576.80|
|     郑商所|            TA001|  20190911|  投机|  买  |        1|     5110.000|         5256.000|       760.00|      1576.80|
|     郑商所|            TA001|  20190911|  投机|  买  |        3|     5122.000|         5256.000|      2280.00|      4730.40|
|     郑商所|            TA001|  20190911|  投机|  买  |        2|     5122.000|         5256.000|      1520.00|      3153.60|
|     郑商所|            TA001|  20190911|  投机|  买  |        5|     5122.000|         5256.000|      3800.00|      7884.00|
|     大商所|           eg2001|  20190912|  投机|  买  |        4|     4770.000|         4968.000|      8480.00|     11923.20|
|     大商所|           eg2001|  20190912|  投机|  买  |        1|     4770.000|         4968.000|      2120.00|      2980.80|
|     大商所|           eg2001|  20190912|  投机|  买  |        1|     4770.000|         4968.000|      2120.00|      2980.80|
|     大商所|           eg2001|  20190912|  投机|  买  |        1|     4770.000|         4968.000|      2120.00|      2980.80|
|     大商所|           eg2001|  20190912|  投机|  买  |        1|     4770.000|         4968.000|      2120.00|      2980.80|
|     大商所|           eg2001|  20190912|  投机|  买  |        1|     4770.000|         4968.000|      2120.00|      2980.80|
|     大商所|           eg2001|  20190912|  投机|  买  |       13|     4770.000|         4968.000|     27560.00|     38750.40|
|     大商所|           eg2001|  20190912|  投机|  买  |        1|     4770.000|         4968.000|      2120.00|      2980.80|
|     大商所|           eg2001|  20190912|  投机|  买  |       10|     4770.000|         4968.000|     21200.00|     29808.00|
|     大商所|           eg2001|  20190912|  投机|  买  |        1|     4770.000|         4968.000|      2120.00|      2980.80|
|     大商所|           eg2001|  20190912|  投机|  买  |        1|     4770.000|         4968.000|      2120.00|      2980.80|
|     大商所|           eg2001|  20190912|  投机|  买  |        4|     4770.000|         4968.000|      8480.00|     11923.20|
|     大商所|           eg2001|  20190912|  投机|  买  |        3|     4770.000|         4968.000|      6360.00|      8942.40|
|     大商所|           eg2001|  20190912|  投机|  买  |        6|     4770.000|         4968.000|     12720.00|     17884.80|
|     大商所|           eg2001|  20190912|  投机|  买  |        2|     4770.000|         4968.000|      4240.00|      5961.60|
|     大商所|           eg2001|  20190911|  投机|  买  |        2|     4778.000|         4968.000|      4240.00|      5961.60|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        12050.000|      1050.00|     10845.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        12050.000|      1050.00|     10845.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        12050.000|      1050.00|     10845.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        1|    11475.000|        12050.000|      1050.00|     10845.00|
|     上期所|           ru2001|  20190731|  投机|  买  |        2|    11475.000|        12050.000|      2100.00|     21690.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        12220.000|      -950.00|     10998.00|
|     上期所|           ru2005|  20190731|  投机|    卖|        1|    11745.000|        12220.000|      -950.00|     10998.00|
