                                            结算单 Settlement Statement                                                

账户：0029
日期：20190924
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         6606383.05                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             6646694.16
平仓盈亏 Realized P/L：                -20.00                  保证金占用 Margin Occupied：        871074.00
持仓盈亏  MTM P/L：                  40435.00                  可用资金 Fund Avail.：             5775620.16
手续费 Commission：                    103.89                  风险度 Risk Degree：                   13.11%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            MA001|  20190906|  投机|  买  |        1|     2200.000|         2369.000|       120.00|      1658.30|
|     郑商所|            MA001|  20190906|  投机|  买  |        3|     2200.000|         2369.000|       360.00|      4974.90|
|     郑商所|            MA001|  20190906|  投机|  买  |        5|     2201.000|         2369.000|       600.00|      8291.50|
|     郑商所|            MA001|  20190909|  投机|  买  |        3|     2220.000|         2369.000|       360.00|      4974.90|
|     郑商所|            MA001|  20190909|  投机|  买  |        2|     2220.000|         2369.000|       240.00|      3316.60|
|     郑商所|            MA001|  20190909|  投机|  买  |        5|     2235.000|         2369.000|       600.00|      8291.50|
|     郑商所|            MA001|  20190909|  投机|  买  |        5|     2260.000|         2369.000|       600.00|      8291.50|
|     郑商所|            MA001|  20190909|  投机|  买  |        5|     2255.000|         2369.000|       600.00|      8291.50|
|     郑商所|            MA001|  20190909|  投机|  买  |        1|     2258.000|         2369.000|       120.00|      1658.30|
|     郑商所|            MA001|  20190909|  投机|  买  |        2|     2258.000|         2369.000|       240.00|      3316.60|
|     郑商所|            MA001|  20190909|  投机|  买  |        1|     2258.000|         2369.000|       120.00|      1658.30|
|     郑商所|            MA001|  20190909|  投机|  买  |        1|     2258.000|         2369.000|       120.00|      1658.30|
|     郑商所|            MA001|  20190909|  投机|  买  |        1|     2258.000|         2369.000|       120.00|      1658.30|
|     郑商所|            MA001|  20190909|  投机|  买  |        1|     2258.000|         2369.000|       120.00|      1658.30|
|     郑商所|            MA001|  20190909|  投机|  买  |        2|     2258.000|         2369.000|       240.00|      3316.60|
|     郑商所|            MA001|  20190909|  投机|  买  |        1|     2258.000|         2369.000|       120.00|      1658.30|
|     郑商所|            MA001|  20190910|  投机|  买  |        2|     2245.000|         2369.000|       240.00|      3316.60|
|     郑商所|            MA001|  20190910|  投机|  买  |        3|     2240.000|         2369.000|       360.00|      4974.90|
|     郑商所|            MA001|  20190910|  投机|  买  |        2|     2245.000|         2369.000|       240.00|      3316.60|
|     郑商所|            MA001|  20190910|  投机|  买  |        3|     2250.000|         2369.000|       360.00|      4974.90|
|     郑商所|            MA001|  20190911|  投机|  买  |        1|     2250.000|         2369.000|       120.00|      1658.30|
|     郑商所|            MA001|  20190911|  投机|  买  |        4|     2250.000|         2369.000|       480.00|      6633.20|
|     郑商所|            MA001|  20190916|  投机|  买  |        2|     2340.000|         2369.000|       240.00|      3316.60|
|     郑商所|            MA001|  20190916|  投机|  买  |        1|     2330.000|         2369.000|       120.00|      1658.30|
|     郑商所|            MA001|  20190916|  投机|  买  |        1|     2330.000|         2369.000|       120.00|      1658.30|
|     郑商所|            MA001|  20190916|  投机|  买  |        3|     2335.000|         2369.000|       360.00|      4974.90|
|     郑商所|            MA001|  20190916|  投机|  买  |        5|     2335.000|         2369.000|       600.00|      8291.50|
|     郑商所|            MA001|  20190916|  投机|  买  |       10|     2335.000|         2369.000|      1200.00|     16583.00|
|     郑商所|            MA001|  20190916|  投机|  买  |       10|     2352.000|         2369.000|      1200.00|     16583.00|
|     郑商所|            MA001|  20190916|  投机|  买  |       10|     2350.000|         2369.000|      1200.00|     16583.00|
|     郑商所|            MA001|  20190916|  投机|  买  |        3|     2345.000|         2369.000|       360.00|      4974.90|
|     郑商所|            MA001|  20190916|  投机|  买  |        1|     2345.000|         2369.000|       120.00|      1658.30|
|     郑商所|            MA001|  20190916|  投机|  买  |        5|     2345.000|         2369.000|       600.00|      8291.50|
|     郑商所|            MA001|  20190916|  投机|  买  |        1|     2345.000|         2369.000|       120.00|      1658.30|
|     郑商所|            MA001|  20190916|  投机|  买  |       10|     2350.000|         2369.000|      1200.00|     16583.00|
|     郑商所|            MA001|  20190916|  投机|  买  |        5|     2344.000|         2369.000|       600.00|      8291.50|
|     郑商所|            MA001|  20190916|  投机|  买  |        4|     2344.000|         2369.000|       480.00|      6633.20|
|     郑商所|            MA001|  20190916|  投机|  买  |        1|     2344.000|         2369.000|       120.00|      1658.30|
|     郑商所|            MA001|  20190916|  投机|  买  |       10|     2347.000|         2369.000|      1200.00|     16583.00|
|     郑商所|            MA001|  20190916|  投机|  买  |        7|     2346.000|         2369.000|       840.00|     11608.10|
|     郑商所|            MA001|  20190916|  投机|  买  |        3|     2346.000|         2369.000|       360.00|      4974.90|
|     郑商所|            MA001|  20190916|  投机|  买  |       10|     2345.000|         2369.000|      1200.00|     16583.00|
|     郑商所|            MA001|  20190917|  投机|  买  |        9|     2380.000|         2369.000|      1080.00|     14924.70|
|     郑商所|            MA001|  20190917|  投机|  买  |        1|     2380.000|         2369.000|       120.00|      1658.30|
|     郑商所|            MA001|  20190917|  投机|  买  |        4|     2380.000|         2369.000|       480.00|      6633.20|
|     郑商所|            MA001|  20190917|  投机|  买  |        1|     2380.000|         2369.000|       120.00|      1658.30|
|     郑商所|            MA001|  20190917|  投机|  买  |        2|     2380.000|         2369.000|       240.00|      3316.60|
|     郑商所|            MA001|  20190917|  投机|  买  |       10|     2380.000|         2369.000|      1200.00|     16583.00|
|     郑商所|            MA001|  20190917|  投机|  买  |        1|     2380.000|         2369.000|       120.00|      1658.30|
|     郑商所|            MA001|  20190917|  投机|  买  |        1|     2380.000|         2369.000|       120.00|      1658.30|
|     郑商所|            MA001|  20190917|  投机|  买  |        1|     2380.000|         2369.000|       120.00|      1658.30|
|     郑商所|            MA001|  20190917|  投机|  买  |       14|     2400.000|         2369.000|      1680.00|     23216.20|
|     郑商所|            MA001|  20190917|  投机|  买  |        6|     2400.000|         2369.000|       720.00|      9949.80|
|     郑商所|            MA001|  20190917|  投机|  买  |       10|     2430.000|         2369.000|      1200.00|     16583.00|
|     郑商所|            MA001|  20190917|  投机|  买  |       10|     2418.000|         2369.000|      1200.00|     16583.00|
|     郑商所|            TA001|  20190918|  投机|  买  |        6|     5238.000|         5158.000|       180.00|      9284.40|
|     郑商所|            TA001|  20190918|  投机|  买  |        4|     5238.000|         5158.000|       120.00|      6189.60|
|     郑商所|            TA001|  20190918|  投机|  买  |        1|     5238.000|         5158.000|        30.00|      1547.40|
|     郑商所|            TA001|  20190918|  投机|  买  |        1|     5238.000|         5158.000|        30.00|      1547.40|
|     郑商所|            TA001|  20190918|  投机|  买  |        1|     5238.000|         5158.000|        30.00|      1547.40|
|     郑商所|            TA001|  20190918|  投机|  买  |        1|     5238.000|         5158.000|        30.00|      1547.40|
|     郑商所|            TA001|  20190918|  投机|  买  |        1|     5238.000|         5158.000|        30.00|      1547.40|
|     郑商所|            TA001|  20190918|  投机|  买  |        1|     5238.000|         5158.000|        30.00|      1547.40|
|     郑商所|            MA001|  20190919|  投机|  买  |        3|     2300.000|         2369.000|       360.00|      4974.90|
|     郑商所|            MA001|  20190919|  投机|  买  |        2|     2300.000|         2369.000|       240.00|      3316.60|
|     郑商所|            MA001|  20190919|  投机|  买  |        5|     2300.000|         2369.000|       600.00|      8291.50|
|     郑商所|            TA001|  20190919|  投机|  买  |       11|     5128.000|         5158.000|       330.00|     17021.40|
|     郑商所|            TA001|  20190919|  投机|  买  |        4|     5128.000|         5158.000|       120.00|      6189.60|
|     郑商所|            TA001|  20190919|  投机|  买  |        4|     5128.000|         5158.000|       120.00|      6189.60|
|     郑商所|            TA001|  20190919|  投机|  买  |        1|     5128.000|         5158.000|        30.00|      1547.40|
|     郑商所|            MA001|  20190919|  投机|  买  |       10|     2300.000|         2369.000|      1200.00|     16583.00|
|     郑商所|            MA001|  20190920|  投机|  买  |        5|     2319.000|         2369.000|       600.00|      8291.50|
|     郑商所|            MA001|  20190923|  投机|  买  |        5|     2340.000|         2369.000|       600.00|      8291.50|
|     郑商所|            MA001|  20190923|  投机|  买  |       28|     2350.000|         2369.000|      3360.00|     46432.40|
|     郑商所|            MA001|  20190923|  投机|  买  |        1|     2350.000|         2369.000|       120.00|      1658.30|
|     郑商所|            MA001|  20190923|  投机|  买  |        1|     2350.000|         2369.000|       120.00|      1658.30|
|     郑商所|            MA001|  20190923|  投机|  买  |        5|     2348.000|         2369.000|       600.00|      8291.50|
|     郑商所|            MA001|  20190923|  投机|  买  |        4|     2380.000|         2369.000|       480.00|      6633.20|
|     郑商所|            MA001|  20190923|  投机|  买  |        1|     2380.000|         2369.000|       120.00|      1658.30|
|     郑商所|            MA001|  20190923|  投机|  买  |        5|     2370.000|         2369.000|       600.00|      8291.50|
|     郑商所|            MA001|  20190923|  投机|  买  |        2|     2365.000|         2369.000|       240.00|      3316.60|
