                                            结算单 Settlement Statement                                                

账户：0029
日期：20190925
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         6646694.16                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             6682591.55
平仓盈亏 Realized P/L：              -3550.00                  保证金占用 Margin Occupied：        903856.50
持仓盈亏  MTM P/L：                  39700.00                  可用资金 Fund Avail.：             5778735.05
手续费 Commission：                    252.61                  风险度 Risk Degree：                   13.53%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            MA001|  20190906|  投机|  买  |        1|     2200.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190906|  投机|  买  |        3|     2200.000|         2382.000|       390.00|      5002.20|
|     郑商所|            MA001|  20190906|  投机|  买  |        5|     2201.000|         2382.000|       650.00|      8337.00|
|     郑商所|            MA001|  20190909|  投机|  买  |        3|     2220.000|         2382.000|       390.00|      5002.20|
|     郑商所|            MA001|  20190909|  投机|  买  |        2|     2220.000|         2382.000|       260.00|      3334.80|
|     郑商所|            MA001|  20190909|  投机|  买  |        5|     2235.000|         2382.000|       650.00|      8337.00|
|     郑商所|            MA001|  20190909|  投机|  买  |        5|     2260.000|         2382.000|       650.00|      8337.00|
|     郑商所|            MA001|  20190909|  投机|  买  |        5|     2255.000|         2382.000|       650.00|      8337.00|
|     郑商所|            MA001|  20190909|  投机|  买  |        1|     2258.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190909|  投机|  买  |        2|     2258.000|         2382.000|       260.00|      3334.80|
|     郑商所|            MA001|  20190909|  投机|  买  |        1|     2258.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190909|  投机|  买  |        1|     2258.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190909|  投机|  买  |        1|     2258.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190909|  投机|  买  |        1|     2258.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190909|  投机|  买  |        2|     2258.000|         2382.000|       260.00|      3334.80|
|     郑商所|            MA001|  20190909|  投机|  买  |        1|     2258.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190910|  投机|  买  |        2|     2245.000|         2382.000|       260.00|      3334.80|
|     郑商所|            MA001|  20190910|  投机|  买  |        3|     2240.000|         2382.000|       390.00|      5002.20|
|     郑商所|            MA001|  20190910|  投机|  买  |        2|     2245.000|         2382.000|       260.00|      3334.80|
|     郑商所|            MA001|  20190910|  投机|  买  |        3|     2250.000|         2382.000|       390.00|      5002.20|
|     郑商所|            MA001|  20190911|  投机|  买  |        1|     2250.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190911|  投机|  买  |        4|     2250.000|         2382.000|       520.00|      6669.60|
|     郑商所|            MA001|  20190916|  投机|  买  |        2|     2340.000|         2382.000|       260.00|      3334.80|
|     郑商所|            MA001|  20190916|  投机|  买  |        1|     2330.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190916|  投机|  买  |        1|     2330.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190916|  投机|  买  |        3|     2335.000|         2382.000|       390.00|      5002.20|
|     郑商所|            MA001|  20190916|  投机|  买  |        5|     2335.000|         2382.000|       650.00|      8337.00|
|     郑商所|            MA001|  20190916|  投机|  买  |       10|     2335.000|         2382.000|      1300.00|     16674.00|
|     郑商所|            MA001|  20190916|  投机|  买  |       10|     2352.000|         2382.000|      1300.00|     16674.00|
|     郑商所|            MA001|  20190916|  投机|  买  |       10|     2350.000|         2382.000|      1300.00|     16674.00|
|     郑商所|            MA001|  20190916|  投机|  买  |        3|     2345.000|         2382.000|       390.00|      5002.20|
|     郑商所|            MA001|  20190916|  投机|  买  |        1|     2345.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190916|  投机|  买  |        5|     2345.000|         2382.000|       650.00|      8337.00|
|     郑商所|            MA001|  20190916|  投机|  买  |        1|     2345.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190916|  投机|  买  |       10|     2350.000|         2382.000|      1300.00|     16674.00|
|     郑商所|            MA001|  20190916|  投机|  买  |        5|     2344.000|         2382.000|       650.00|      8337.00|
|     郑商所|            MA001|  20190916|  投机|  买  |        4|     2344.000|         2382.000|       520.00|      6669.60|
|     郑商所|            MA001|  20190916|  投机|  买  |        1|     2344.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190916|  投机|  买  |       10|     2347.000|         2382.000|      1300.00|     16674.00|
|     郑商所|            MA001|  20190916|  投机|  买  |        7|     2346.000|         2382.000|       910.00|     11671.80|
|     郑商所|            MA001|  20190916|  投机|  买  |        3|     2346.000|         2382.000|       390.00|      5002.20|
|     郑商所|            MA001|  20190916|  投机|  买  |       10|     2345.000|         2382.000|      1300.00|     16674.00|
|     郑商所|            MA001|  20190917|  投机|  买  |        9|     2380.000|         2382.000|      1170.00|     15006.60|
|     郑商所|            MA001|  20190917|  投机|  买  |        1|     2380.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190917|  投机|  买  |        4|     2380.000|         2382.000|       520.00|      6669.60|
|     郑商所|            MA001|  20190917|  投机|  买  |        1|     2380.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190917|  投机|  买  |        2|     2380.000|         2382.000|       260.00|      3334.80|
|     郑商所|            MA001|  20190917|  投机|  买  |       10|     2380.000|         2382.000|      1300.00|     16674.00|
|     郑商所|            MA001|  20190917|  投机|  买  |        1|     2380.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190917|  投机|  买  |        1|     2380.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190917|  投机|  买  |        1|     2380.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190917|  投机|  买  |       14|     2400.000|         2382.000|      1820.00|     23343.60|
|     郑商所|            MA001|  20190917|  投机|  买  |        6|     2400.000|         2382.000|       780.00|     10004.40|
|     郑商所|            MA001|  20190917|  投机|  买  |       10|     2430.000|         2382.000|      1300.00|     16674.00|
|     郑商所|            MA001|  20190917|  投机|  买  |       10|     2418.000|         2382.000|      1300.00|     16674.00|
|     郑商所|            MA001|  20190919|  投机|  买  |        3|     2300.000|         2382.000|       390.00|      5002.20|
|     郑商所|            MA001|  20190919|  投机|  买  |        2|     2300.000|         2382.000|       260.00|      3334.80|
|     郑商所|            MA001|  20190919|  投机|  买  |        5|     2300.000|         2382.000|       650.00|      8337.00|
|     郑商所|            MA001|  20190919|  投机|  买  |       10|     2300.000|         2382.000|      1300.00|     16674.00|
|     郑商所|            MA001|  20190920|  投机|  买  |        5|     2319.000|         2382.000|       650.00|      8337.00|
|     郑商所|            MA001|  20190923|  投机|  买  |        5|     2340.000|         2382.000|       650.00|      8337.00|
|     郑商所|            MA001|  20190923|  投机|  买  |       28|     2350.000|         2382.000|      3640.00|     46687.20|
|     郑商所|            MA001|  20190923|  投机|  买  |        1|     2350.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190923|  投机|  买  |        1|     2350.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190923|  投机|  买  |        5|     2348.000|         2382.000|       650.00|      8337.00|
|     郑商所|            MA001|  20190923|  投机|  买  |        4|     2380.000|         2382.000|       520.00|      6669.60|
|     郑商所|            MA001|  20190923|  投机|  买  |        1|     2380.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190923|  投机|  买  |        5|     2370.000|         2382.000|       650.00|      8337.00|
|     郑商所|            MA001|  20190923|  投机|  买  |        2|     2365.000|         2382.000|       260.00|      3334.80|
|     郑商所|            MA001|  20190923|  投机|  买  |        1|     2365.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190923|  投机|  买  |        1|     2365.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190923|  投机|  买  |        1|     2365.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190923|  投机|  买  |        5|     2375.000|         2382.000|       650.00|      8337.00|
|     郑商所|            MA001|  20190923|  投机|  买  |        5|     2370.000|         2382.000|       650.00|      8337.00|
|     郑商所|            MA001|  20190923|  投机|  买  |        3|     2374.000|         2382.000|       390.00|      5002.20|
|     郑商所|            MA001|  20190923|  投机|  买  |        1|     2374.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190923|  投机|  买  |        1|     2374.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190923|  投机|  买  |        5|     2374.000|         2382.000|       650.00|      8337.00|
|     郑商所|            MA001|  20190923|  投机|  买  |        5|     2375.000|         2382.000|       650.00|      8337.00|
|     郑商所|            MA001|  20190923|  投机|  买  |        1|     2377.000|         2382.000|       130.00|      1667.40|
|     郑商所|            MA001|  20190923|  投机|  买  |        3|     2377.000|         2382.000|       390.00|      5002.20|
