                                            结算单 Settlement Statement                                                

账户：0029
日期：20191112
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         6367294.87                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             6373450.59
平仓盈亏 Realized P/L：               3275.00                  保证金占用 Margin Occupied：        989064.50
持仓盈亏  MTM P/L：                   3200.00                  可用资金 Fund Avail.：             5384386.09
手续费 Commission：                    319.28                  风险度 Risk Degree：                   15.52%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            TA001|  20191106|  投机|    卖|       37|     4860.000|         4684.000|       740.00|     51992.40|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4684.000|        20.00|      1405.20|
|     郑商所|            TA001|  20191106|  投机|    卖|        2|     4860.000|         4684.000|        40.00|      2810.40|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4684.000|        20.00|      1405.20|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4684.000|        20.00|      1405.20|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4684.000|        20.00|      1405.20|
|     郑商所|            TA001|  20191106|  投机|    卖|        2|     4860.000|         4684.000|        40.00|      2810.40|
|     郑商所|            TA001|  20191107|  投机|    卖|       45|     4800.000|         4684.000|       900.00|     63234.00|
|     郑商所|            TA001|  20191107|  投机|    卖|        5|     4760.000|         4684.000|       100.00|      7026.00|
|     郑商所|            TA001|  20191108|  投机|    卖|        5|     4718.000|         4684.000|       100.00|      7026.00|
|     郑商所|            TA001|  20191111|  投机|    卖|        5|     4660.000|         4684.000|       100.00|      7026.00|
|     大商所|           eg2005|  20191022|  投机|    卖|        1|     4480.000|         4420.000|      -120.00|      2652.00|
|     大商所|           eg2005|  20191022|  投机|    卖|        7|     4480.000|         4420.000|      -840.00|     18564.00|
|     大商所|           eg2005|  20191022|  投机|    卖|        9|     4480.000|         4420.000|     -1080.00|     23868.00|
|     大商所|           eg2001|  20191105|  投机|  买  |        1|     4555.000|         4473.000|       230.00|      2683.80|
|     大商所|           eg2001|  20191105|  投机|  买  |        4|     4555.000|         4473.000|       920.00|     10735.20|
|     大商所|           eg2005|  20191024|  投机|    卖|        3|     4497.000|         4420.000|      -360.00|      7956.00|
|     大商所|            l2001|  20191111|  投机|    卖|       10|     7160.000|         7160.000|       250.00|     17900.00|
|   能源中心|           nr2002|  20191108|  投机|  买  |        1|    10110.000|        10190.000|       350.00|      9171.00|
|   能源中心|           nr2002|  20191105|  投机|  买  |        9|    10225.000|        10190.000|      3150.00|     82539.00|
|   能源中心|           nr2002|  20191111|  投机|  买  |        1|    10165.000|        10190.000|       350.00|      9171.00|
|   能源中心|           nr2002|  20191111|  投机|  买  |        1|    10165.000|        10190.000|       350.00|      9171.00|
|   能源中心|           nr2002|  20191111|  投机|  买  |        1|    10165.000|        10190.000|       350.00|      9171.00|
|     上期所|           ru2005|  20191016|  投机|  买  |        1|    11770.000|        12155.000|      -200.00|     10939.50|
|     上期所|           ru2005|  20191016|  投机|  买  |       10|    11770.000|        12155.000|     -2000.00|    109395.00|
|     上期所|           ru2005|  20191016|  投机|  买  |        1|    11770.000|        12155.000|      -200.00|     10939.50|
|     上期所|           ru2005|  20191101|  投机|    卖|        1|    12075.000|        12155.000|       200.00|     10939.50|
|     上期所|           ru2001|  20191101|  投机|  买  |        4|    11905.000|        11965.000|     -1400.00|     43074.00|
|     上期所|           ru2005|  20191021|  投机|    卖|        2|    11875.000|        12155.000|       400.00|     21879.00|
|     上期所|           ru2005|  20191031|  投机|    卖|        1|    12115.000|        12155.000|       200.00|     10939.50|
|     上期所|           ru2005|  20191031|  投机|    卖|        2|    12115.000|        12155.000|       400.00|     21879.00|
|     上期所|           ru2005|  20191105|  投机|    卖|        1|    12355.000|        12155.000|       200.00|     10939.50|
|     上期所|           ru2005|  20191105|  投机|    卖|        1|    12355.000|        12155.000|       200.00|     10939.50|
|     上期所|           ru2005|  20191105|  投机|    卖|        1|    12355.000|        12155.000|       200.00|     10939.50|
|     上期所|           ru2005|  20191105|  投机|    卖|        1|    12355.000|        12155.000|       200.00|     10939.50|
|     上期所|           ru2005|  20191105|  投机|    卖|        1|    12355.000|        12155.000|       200.00|     10939.50|
|     上期所|           ru2005|  20191105|  投机|    卖|        1|    12355.000|        12155.000|       200.00|     10939.50|
|     上期所|           ru2005|  20191105|  投机|    卖|        1|    12355.000|        12155.000|       200.00|     10939.50|
|     上期所|           ru2005|  20191105|  投机|    卖|        1|    12355.000|        12155.000|       200.00|     10939.50|
|     上期所|           sp2001|  20191105|  投机|    卖|        5|     4654.000|         4566.000|      1100.00|     15981.00|
|     上期所|           sp2001|  20191029|  投机|    卖|        2|     4644.000|         4566.000|       440.00|      6392.40|
|     上期所|           sp2001|  20191029|  投机|    卖|        1|     4644.000|         4566.000|       220.00|      3196.20|
|     上期所|           sp2001|  20191029|  投机|    卖|        7|     4644.000|         4566.000|      1540.00|     22373.40|
|     上期所|           ru2005|  20191017|  投机|  买  |       18|    11735.000|        12155.000|     -3600.00|    196911.00|
|     上期所|           ru2005|  20191111|  投机|    卖|        1|    12200.000|        12155.000|       200.00|     10939.50|
|     上期所|           ru2005|  20191111|  投机|    卖|        2|    12200.000|        12155.000|       400.00|     21879.00|
|     上期所|           zn2001|  20191111|  投机|  买  |        1|    18545.000|        18690.000|       475.00|      6541.50|
|     上期所|           zn2001|  20191111|  投机|  买  |        1|    18545.000|        18690.000|       475.00|      6541.50|
|     上期所|           ru2001|  20190925|  投机|  买  |        1|    11790.000|        11965.000|      -350.00|     10768.50|
|     上期所|           ru2005|  20190925|  投机|    卖|        1|    11935.000|        12155.000|       200.00|     10939.50|
|     上期所|           ru2001|  20190821|  投机|  买  |        2|    11390.000|        11965.000|      -700.00|     21537.00|
|     上期所|           ru2005|  20190821|  投机|    卖|        2|    11610.000|        12155.000|       400.00|     21879.00|
|     上期所|           ru2005|  20190829|  投机|    卖|        1|    11850.000|        12155.000|       200.00|     10939.50|
|     上期所|           ru2005|  20190829|  投机|    卖|        1|    11850.000|        12155.000|       200.00|     10939.50|
|     上期所|           ru2001|  20190829|  投机|  买  |        2|    11650.000|        11965.000|      -700.00|     21537.00|
|     郑商所|            MA001|  20191112|  投机|  买  |        5|     1949.000|         1959.000|       500.00|      6856.50|
|     上期所|           al2003|  20191112|  投机|    卖|        1|    13775.000|        13795.000|      -100.00|      4828.25|
|     上期所|           al2004|  20191112|  投机|  买  |        1|    13800.000|        13805.000|        25.00|      4831.75|
|     上期所|           al2004|  20191112|  投机|  买  |        1|    13800.000|        13805.000|        25.00|      4831.75|
|     上期所|           al2003|  20191112|  投机|    卖|        1|    13775.000|        13795.000|      -100.00|      4828.25|
|     上期所|           al2004|  20191112|  投机|  买  |        1|    13810.000|        13805.000|       -25.00|      4831.75|
|     上期所|           al2003|  20191112|  投机|    卖|        1|    13785.000|        13795.000|       -50.00|      4828.25|
|     上期所|           al2004|  20191112|  投机|  买  |        1|    13810.000|        13805.000|       -25.00|      4831.75|
|     上期所|           al2003|  20191112|  投机|    卖|        1|    13785.000|        13795.000|       -50.00|      4828.25|
|     上期所|           al2004|  20191112|  投机|  买  |        1|    13805.000|        13805.000|         0.00|      4831.75|
|     上期所|           al2003|  20191112|  投机|    卖|        1|    13780.000|        13795.000|       -75.00|      4828.25|
|     上期所|           al2004|  20191112|  投机|  买  |        1|    13805.000|        13805.000|         0.00|      4831.75|
|     上期所|           al2003|  20191112|  投机|    卖|        1|    13780.000|        13795.000|       -75.00|      4828.25|
|     上期所|           al2004|  20191112|  投机|  买  |        1|    13805.000|        13805.000|         0.00|      4831.75|
|     上期所|           al2003|  20191112|  投机|    卖|        1|    13780.000|        13795.000|       -75.00|      4828.25|
|     上期所|           al2004|  20191112|  投机|  买  |        1|    13805.000|        13805.000|         0.00|      4831.75|
|     上期所|           al2003|  20191112|  投机|    卖|        1|    13780.000|        13795.000|       -75.00|      4828.25|
|     上期所|           al2004|  20191112|  投机|  买  |        1|    13805.000|        13805.000|         0.00|      4831.75|
|     上期所|           al2003|  20191112|  投机|    卖|        1|    13780.000|        13795.000|       -75.00|      4828.25|
|     上期所|           al2004|  20191112|  投机|  买  |        1|    13810.000|        13805.000|       -25.00|      4831.75|
|     上期所|           al2003|  20191112|  投机|    卖|        1|    13785.000|        13795.000|       -50.00|      4828.25|
|     上期所|           al2004|  20191112|  投机|  买  |        1|    13820.000|        13805.000|       -75.00|      4831.75|
|     上期所|           al2003|  20191112|  投机|    卖|        1|    13790.000|        13795.000|       -25.00|      4828.25|
|     上期所|           al2004|  20191112|  投机|  买  |        1|    13820.000|        13805.000|       -75.00|      4831.75|
|     上期所|           al2003|  20191112|  投机|    卖|        1|    13790.000|        13795.000|       -25.00|      4828.25|
|     上期所|           al2004|  20191112|  投机|  买  |        1|    13820.000|        13805.000|       -75.00|      4831.75|
