                                            结算单 Settlement Statement                                                

账户：0029
日期：20191115
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         6391143.63                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             6364404.43
平仓盈亏 Realized P/L：               1550.00                  保证金占用 Margin Occupied：       1535905.75
持仓盈亏  MTM P/L：                 -27920.00                  可用资金 Fund Avail.：             4828498.68
手续费 Commission：                    369.20                  风险度 Risk Degree：                   24.13%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            TA001|  20191106|  投机|    卖|       27|     4860.000|         4722.000|     -2160.00|     38248.20|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4722.000|       -80.00|      1416.60|
|     郑商所|            TA001|  20191106|  投机|    卖|        2|     4860.000|         4722.000|      -160.00|      2833.20|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4722.000|       -80.00|      1416.60|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4722.000|       -80.00|      1416.60|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4722.000|       -80.00|      1416.60|
|     郑商所|            TA001|  20191106|  投机|    卖|        2|     4860.000|         4722.000|      -160.00|      2833.20|
|     郑商所|            TA001|  20191107|  投机|    卖|       45|     4800.000|         4722.000|     -3600.00|     63747.00|
|     郑商所|            TA001|  20191107|  投机|    卖|        5|     4760.000|         4722.000|      -400.00|      7083.00|
|     郑商所|            TA001|  20191108|  投机|    卖|        5|     4718.000|         4722.000|      -400.00|      7083.00|
|     郑商所|            TA001|  20191111|  投机|    卖|        5|     4660.000|         4722.000|      -400.00|      7083.00|
|     郑商所|            MA001|  20191112|  投机|  买  |        5|     1949.000|         1956.000|       700.00|      6846.00|
|     郑商所|            TA001|  20191114|  投机|    卖|        2|     4704.000|         4722.000|      -160.00|      2833.20|
|     郑商所|            TA001|  20191114|  投机|    卖|       10|     4704.000|         4722.000|      -800.00|     14166.00|
|     郑商所|            TA001|  20191114|  投机|    卖|        1|     4704.000|         4722.000|       -80.00|      1416.60|
|     郑商所|            TA001|  20191114|  投机|    卖|        1|     4704.000|         4722.000|       -80.00|      1416.60|
|     郑商所|            TA001|  20191114|  投机|    卖|        1|     4704.000|         4722.000|       -80.00|      1416.60|
|     大商所|           eg2005|  20191022|  投机|    卖|        1|     4480.000|         4470.000|      -200.00|      2682.00|
|     大商所|           eg2005|  20191022|  投机|    卖|        7|     4480.000|         4470.000|     -1400.00|     18774.00|
|     大商所|           eg2005|  20191022|  投机|    卖|        9|     4480.000|         4470.000|     -1800.00|     24138.00|
|     大商所|           eg2001|  20191105|  投机|  买  |        1|     4555.000|         4597.000|       400.00|      2758.20|
|     大商所|           eg2001|  20191105|  投机|  买  |        4|     4555.000|         4597.000|      1600.00|     11032.80|
|     大商所|           eg2005|  20191024|  投机|    卖|        3|     4497.000|         4470.000|      -600.00|      8046.00|
|     大商所|            l2001|  20191113|  投机|  买  |        1|     7135.000|         7085.000|        50.00|      1771.25|
|     大商所|            l2001|  20191113|  投机|  买  |        4|     7135.000|         7085.000|       200.00|      7085.00|
|     大商所|            l2001|  20191114|  投机|  买  |        6|     7080.000|         7085.000|       300.00|     10627.50|
|     大商所|            l2001|  20191114|  投机|  买  |        3|     7080.000|         7085.000|       150.00|      5313.75|
|     大商所|            l2001|  20191114|  投机|  买  |        1|     7080.000|         7085.000|        50.00|      1771.25|
|     大商所|            l2001|  20191114|  投机|  买  |        3|     7080.000|         7085.000|       150.00|      5313.75|
|     大商所|            l2001|  20191114|  投机|  买  |        7|     7080.000|         7085.000|       350.00|     12398.75|
|   能源中心|           nr2002|  20191105|  投机|  买  |        4|    10225.000|        10240.000|     -3000.00|     36864.00|
|   能源中心|           nr2002|  20191111|  投机|  买  |        1|    10165.000|        10240.000|      -750.00|      9216.00|
|   能源中心|           nr2002|  20191111|  投机|  买  |        1|    10165.000|        10240.000|      -750.00|      9216.00|
|   能源中心|           nr2002|  20191111|  投机|  买  |        1|    10165.000|        10240.000|      -750.00|      9216.00|
|     上期所|           ru2005|  20191016|  投机|  买  |        1|    11770.000|        12235.000|      -450.00|     11011.50|
|     上期所|           ru2005|  20191016|  投机|  买  |       10|    11770.000|        12235.000|     -4500.00|    110115.00|
|     上期所|           ru2005|  20191016|  投机|  买  |        1|    11770.000|        12235.000|      -450.00|     11011.50|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13705.000|       200.00|      4796.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13725.000|      -200.00|      4803.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13705.000|       200.00|      4796.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13725.000|      -200.00|      4803.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13705.000|       200.00|      4796.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13725.000|      -200.00|      4803.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13705.000|       200.00|      4796.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13725.000|      -200.00|      4803.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        13705.000|       200.00|      4796.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13725.000|      -200.00|      4803.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13705.000|       200.00|      4796.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13725.000|      -200.00|      4803.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13705.000|       200.00|      4796.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13725.000|      -200.00|      4803.75|
|     上期所|           ru2001|  20191101|  投机|  买  |        4|    11905.000|        12055.000|     -2000.00|     43398.00|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13705.000|       200.00|      4796.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13725.000|      -200.00|      4803.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13705.000|       200.00|      4796.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13725.000|      -200.00|      4803.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13725.000|      -200.00|      4803.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        13705.000|       200.00|      4796.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        13705.000|       200.00|      4796.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13785.000|        13725.000|      -200.00|      4803.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        13705.000|       200.00|      4796.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13785.000|        13725.000|      -200.00|      4803.75|
|     上期所|           ru2005|  20191105|  投机|    卖|        1|    12355.000|        12235.000|       450.00|     11011.50|
|     上期所|           ru2005|  20191105|  投机|    卖|        1|    12355.000|        12235.000|       450.00|     11011.50|
|     上期所|           ru2005|  20191105|  投机|    卖|        1|    12355.000|        12235.000|       450.00|     11011.50|
|     上期所|           ru2005|  20191105|  投机|    卖|        1|    12355.000|        12235.000|       450.00|     11011.50|
|     上期所|           ru2005|  20191105|  投机|    卖|        1|    12355.000|        12235.000|       450.00|     11011.50|
|     上期所|           ru2005|  20191105|  投机|    卖|        1|    12355.000|        12235.000|       450.00|     11011.50|
|     上期所|           ru2005|  20191105|  投机|    卖|        1|    12355.000|        12235.000|       450.00|     11011.50|
|     上期所|           ru2005|  20191105|  投机|    卖|        1|    12355.000|        12235.000|       450.00|     11011.50|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        13705.000|       200.00|      4796.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13785.000|        13725.000|      -200.00|      4803.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        13705.000|       200.00|      4796.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13785.000|        13725.000|      -200.00|      4803.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        13705.000|       200.00|      4796.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13785.000|        13725.000|      -200.00|      4803.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        13705.000|       200.00|      4796.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13725.000|      -200.00|      4803.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        13705.000|       200.00|      4796.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13725.000|      -200.00|      4803.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        13705.000|       200.00|      4796.75|
