                                            结算单 Settlement Statement                                                

账户：0029
日期：20191119
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         6358814.71                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             6368102.24
平仓盈亏 Realized P/L：               7600.00                  保证金占用 Margin Occupied：       2137505.05
持仓盈亏  MTM P/L：                   2085.00                  可用资金 Fund Avail.：             4230597.19
手续费 Commission：                    397.47                  风险度 Risk Degree：                   33.57%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            TA001|  20191106|  投机|    卖|       27|     4860.000|         4740.000|     -2430.00|     38394.00|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4740.000|       -90.00|      1422.00|
|     郑商所|            TA001|  20191106|  投机|    卖|        2|     4860.000|         4740.000|      -180.00|      2844.00|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4740.000|       -90.00|      1422.00|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4740.000|       -90.00|      1422.00|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4740.000|       -90.00|      1422.00|
|     郑商所|            TA001|  20191106|  投机|    卖|        2|     4860.000|         4740.000|      -180.00|      2844.00|
|     郑商所|            TA001|  20191107|  投机|    卖|       45|     4800.000|         4740.000|     -4050.00|     63990.00|
|     郑商所|            TA001|  20191107|  投机|    卖|        5|     4760.000|         4740.000|      -450.00|      7110.00|
|     郑商所|            TA001|  20191108|  投机|    卖|        5|     4718.000|         4740.000|      -450.00|      7110.00|
|     郑商所|            TA001|  20191111|  投机|    卖|        5|     4660.000|         4740.000|      -450.00|      7110.00|
|     郑商所|            MA001|  20191112|  投机|  买  |        5|     1949.000|         1927.000|     -1700.00|      6744.50|
|     郑商所|            TA001|  20191114|  投机|    卖|        2|     4704.000|         4740.000|      -180.00|      2844.00|
|     郑商所|            TA001|  20191114|  投机|    卖|       10|     4704.000|         4740.000|      -900.00|     14220.00|
|     郑商所|            TA001|  20191114|  投机|    卖|        1|     4704.000|         4740.000|       -90.00|      1422.00|
|     郑商所|            TA001|  20191114|  投机|    卖|        1|     4704.000|         4740.000|       -90.00|      1422.00|
|     郑商所|            TA001|  20191114|  投机|    卖|        1|     4704.000|         4740.000|       -90.00|      1422.00|
|     郑商所|            TA001|  20191118|  投机|    卖|       10|     4740.000|         4740.000|      -900.00|     14220.00|
|     郑商所|            TA001|  20191118|  投机|    卖|       10|     4740.000|         4740.000|      -900.00|     14220.00|
|     大商所|           eg2005|  20191022|  投机|    卖|        1|     4480.000|         4462.000|        20.00|      2677.20|
|     大商所|           eg2005|  20191022|  投机|    卖|        7|     4480.000|         4462.000|       140.00|     18740.40|
|     大商所|           eg2005|  20191022|  投机|    卖|        9|     4480.000|         4462.000|       180.00|     24094.80|
|     大商所|           eg2001|  20191105|  投机|  买  |        1|     4555.000|         4582.000|        90.00|      2749.20|
|     大商所|           eg2001|  20191105|  投机|  买  |        4|     4555.000|         4582.000|       360.00|     10996.80|
|     大商所|           eg2005|  20191024|  投机|    卖|        3|     4497.000|         4462.000|        60.00|      8031.60|
|     大商所|            l2001|  20191113|  投机|  买  |        1|     7135.000|         7095.000|        50.00|      1773.75|
|     大商所|            l2001|  20191113|  投机|  买  |        4|     7135.000|         7095.000|       200.00|      7095.00|
|     大商所|            l2001|  20191114|  投机|  买  |        6|     7080.000|         7095.000|       300.00|     10642.50|
|     大商所|            l2001|  20191114|  投机|  买  |        3|     7080.000|         7095.000|       150.00|      5321.25|
|     大商所|            l2001|  20191114|  投机|  买  |        1|     7080.000|         7095.000|        50.00|      1773.75|
|     大商所|            l2001|  20191114|  投机|  买  |        3|     7080.000|         7095.000|       150.00|      5321.25|
|     大商所|            l2001|  20191114|  投机|  买  |        7|     7080.000|         7095.000|       350.00|     12416.25|
|   能源中心|           nr2002|  20191105|  投机|  买  |        2|    10225.000|        10245.000|       800.00|     18441.00|
|   能源中心|           nr2002|  20191111|  投机|  买  |        1|    10165.000|        10245.000|       400.00|      9220.50|
|   能源中心|           nr2002|  20191111|  投机|  买  |        1|    10165.000|        10245.000|       400.00|      9220.50|
|   能源中心|           nr2002|  20191111|  投机|  买  |        1|    10165.000|        10245.000|       400.00|      9220.50|
|     上期所|           ru2005|  20191118|  投机|  买  |        4|    12105.000|        12265.000|      3800.00|     44154.00|
|     上期所|           ru2005|  20191118|  投机|  买  |        6|    12105.000|        12265.000|      5700.00|     66231.00|
|     上期所|           ru2005|  20191118|  投机|  买  |        1|    12105.000|        12265.000|       950.00|     11038.50|
|     上期所|           ru2005|  20191118|  投机|  买  |        2|    12105.000|        12265.000|      1900.00|     22077.00|
|     上期所|           ru2005|  20191118|  投机|  买  |        3|    12105.000|        12265.000|      2850.00|     33115.50|
|     上期所|           ru2005|  20191118|  投机|  买  |        1|    12105.000|        12265.000|       950.00|     11038.50|
|     上期所|           ru2005|  20191118|  投机|  买  |        5|    12105.000|        12265.000|      4750.00|     55192.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13755.000|      -200.00|      4814.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13765.000|       125.00|      4817.75|
|     上期所|           ru2005|  20191016|  投机|  买  |        4|    11770.000|        12265.000|      3800.00|     44154.00|
|     上期所|           ru2005|  20191016|  投机|  买  |        1|    11770.000|        12265.000|       950.00|     11038.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13755.000|      -200.00|      4814.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13765.000|       125.00|      4817.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13755.000|      -200.00|      4814.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13765.000|       125.00|      4817.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13755.000|      -200.00|      4814.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13720.000|        13765.000|       125.00|      4817.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13755.000|      -200.00|      4814.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13765.000|       125.00|      4817.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13755.000|      -200.00|      4814.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13765.000|       125.00|      4817.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13755.000|      -200.00|      4814.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13765.000|       125.00|      4817.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13755.000|      -200.00|      4814.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13765.000|       125.00|      4817.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13765.000|       125.00|      4817.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13755.000|      -200.00|      4814.25|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13755.000|      -200.00|      4814.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13765.000|       125.00|      4817.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13755.000|      -200.00|      4814.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13765.000|       125.00|      4817.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13755.000|      -200.00|      4814.25|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13765.000|       125.00|      4817.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13755.000|      -200.00|      4814.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13735.000|        13765.000|       125.00|      4817.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13755.000|      -200.00|      4814.25|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13765.000|       125.00|      4817.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13755.000|      -200.00|      4814.25|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13765.000|       125.00|      4817.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13755.000|      -200.00|      4814.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13765.000|       125.00|      4817.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13755.000|      -200.00|      4814.25|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13765.000|       125.00|      4817.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        13755.000|      -200.00|      4814.25|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13765.000|       125.00|      4817.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13755.000|      -200.00|      4814.25|
