                                            结算单 Settlement Statement                                                

账户：0029
日期：20191120
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         6368102.24                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             6518413.66
平仓盈亏 Realized P/L：              50375.00                  保证金占用 Margin Occupied：       2061290.50
持仓盈亏  MTM P/L：                 100105.00                  可用资金 Fund Avail.：             4457123.16
手续费 Commission：                    168.58                  风险度 Risk Degree：                   31.62%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            TA001|  20191106|  投机|    卖|       17|     4860.000|         4722.000|      1530.00|     24082.20|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4722.000|        90.00|      1416.60|
|     郑商所|            TA001|  20191106|  投机|    卖|        2|     4860.000|         4722.000|       180.00|      2833.20|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4722.000|        90.00|      1416.60|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4722.000|        90.00|      1416.60|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4722.000|        90.00|      1416.60|
|     郑商所|            TA001|  20191106|  投机|    卖|        2|     4860.000|         4722.000|       180.00|      2833.20|
|     郑商所|            TA001|  20191107|  投机|    卖|       45|     4800.000|         4722.000|      4050.00|     63747.00|
|     郑商所|            TA001|  20191107|  投机|    卖|        5|     4760.000|         4722.000|       450.00|      7083.00|
|     郑商所|            TA001|  20191108|  投机|    卖|        5|     4718.000|         4722.000|       450.00|      7083.00|
|     郑商所|            TA001|  20191111|  投机|    卖|        5|     4660.000|         4722.000|       450.00|      7083.00|
|     郑商所|            MA001|  20191112|  投机|  买  |        5|     1949.000|         1912.000|      -750.00|      6692.00|
|     郑商所|            TA001|  20191114|  投机|    卖|        2|     4704.000|         4722.000|       180.00|      2833.20|
|     郑商所|            TA001|  20191114|  投机|    卖|       10|     4704.000|         4722.000|       900.00|     14166.00|
|     郑商所|            TA001|  20191114|  投机|    卖|        1|     4704.000|         4722.000|        90.00|      1416.60|
|     郑商所|            TA001|  20191114|  投机|    卖|        1|     4704.000|         4722.000|        90.00|      1416.60|
|     郑商所|            TA001|  20191114|  投机|    卖|        1|     4704.000|         4722.000|        90.00|      1416.60|
|     郑商所|            TA001|  20191118|  投机|    卖|       10|     4740.000|         4722.000|       900.00|     14166.00|
|     郑商所|            TA001|  20191118|  投机|    卖|       10|     4740.000|         4722.000|       900.00|     14166.00|
|     郑商所|            MA001|  20191119|  投机|  买  |        2|     1916.000|         1912.000|      -300.00|      2676.80|
|     大商所|           eg2005|  20191022|  投机|    卖|        1|     4480.000|         4451.000|       110.00|      2670.60|
|     大商所|           eg2005|  20191022|  投机|    卖|        7|     4480.000|         4451.000|       770.00|     18694.20|
|     大商所|           eg2005|  20191022|  投机|    卖|        9|     4480.000|         4451.000|       990.00|     24035.40|
|     大商所|           eg2001|  20191105|  投机|  买  |        1|     4555.000|         4573.000|       -90.00|      2743.80|
|     大商所|           eg2001|  20191105|  投机|  买  |        4|     4555.000|         4573.000|      -360.00|     10975.20|
|     大商所|           eg2005|  20191024|  投机|    卖|        3|     4497.000|         4451.000|       330.00|      8011.80|
|     大商所|            l2001|  20191113|  投机|  买  |        1|     7135.000|         7080.000|       -75.00|      1770.00|
|     大商所|            l2001|  20191113|  投机|  买  |        4|     7135.000|         7080.000|      -300.00|      7080.00|
|     大商所|            l2001|  20191114|  投机|  买  |        6|     7080.000|         7080.000|      -450.00|     10620.00|
|     大商所|            l2001|  20191114|  投机|  买  |        3|     7080.000|         7080.000|      -225.00|      5310.00|
|     大商所|            l2001|  20191114|  投机|  买  |        1|     7080.000|         7080.000|       -75.00|      1770.00|
|     大商所|            l2001|  20191114|  投机|  买  |        3|     7080.000|         7080.000|      -225.00|      5310.00|
|     大商所|            l2001|  20191114|  投机|  买  |        7|     7080.000|         7080.000|      -525.00|     12390.00|
|   能源中心|           nr2002|  20191105|  投机|  买  |        2|    10225.000|        10530.000|      5700.00|     18954.00|
|   能源中心|           nr2002|  20191111|  投机|  买  |        1|    10165.000|        10530.000|      2850.00|      9477.00|
|   能源中心|           nr2002|  20191111|  投机|  买  |        1|    10165.000|        10530.000|      2850.00|      9477.00|
|   能源中心|           nr2002|  20191111|  投机|  买  |        1|    10165.000|        10530.000|      2850.00|      9477.00|
|   能源中心|           nr2002|  20191119|  投机|  买  |        1|    10265.000|        10530.000|      2850.00|      9477.00|
|   能源中心|           nr2002|  20191119|  投机|  买  |        1|    10265.000|        10530.000|      2850.00|      9477.00|
|   能源中心|           nr2002|  20191119|  投机|  买  |        1|    10265.000|        10530.000|      2850.00|      9477.00|
|   能源中心|           nr2002|  20191119|  投机|  买  |        1|    10265.000|        10530.000|      2850.00|      9477.00|
|   能源中心|           nr2002|  20191119|  投机|  买  |        1|    10265.000|        10530.000|      2850.00|      9477.00|
|   能源中心|           nr2002|  20191119|  投机|  买  |        1|    10265.000|        10530.000|      2850.00|      9477.00|
|   能源中心|           nr2002|  20191119|  投机|  买  |        1|    10265.000|        10530.000|      2850.00|      9477.00|
|     上期所|           ru2005|  20191118|  投机|  买  |        1|    12105.000|        12575.000|      3100.00|     11317.50|
|     上期所|           ru2005|  20191118|  投机|  买  |        2|    12105.000|        12575.000|      6200.00|     22635.00|
|     上期所|           ru2005|  20191118|  投机|  买  |        3|    12105.000|        12575.000|      9300.00|     33952.50|
|     上期所|           ru2005|  20191118|  投机|  买  |        1|    12105.000|        12575.000|      3100.00|     11317.50|
|     上期所|           ru2005|  20191118|  投机|  买  |        5|    12105.000|        12575.000|     15500.00|     56587.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13755.000|         0.00|      4814.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13765.000|         0.00|      4817.75|
|     上期所|           ru2005|  20191016|  投机|  买  |        4|    11770.000|        12575.000|     12400.00|     45270.00|
|     上期所|           ru2005|  20191016|  投机|  买  |        1|    11770.000|        12575.000|      3100.00|     11317.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13755.000|         0.00|      4814.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13765.000|         0.00|      4817.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13755.000|         0.00|      4814.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13765.000|         0.00|      4817.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13755.000|         0.00|      4814.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13720.000|        13765.000|         0.00|      4817.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13755.000|         0.00|      4814.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13765.000|         0.00|      4817.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13755.000|         0.00|      4814.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13765.000|         0.00|      4817.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13755.000|         0.00|      4814.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13765.000|         0.00|      4817.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13755.000|         0.00|      4814.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13765.000|         0.00|      4817.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13765.000|         0.00|      4817.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13755.000|         0.00|      4814.25|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13755.000|         0.00|      4814.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13765.000|         0.00|      4817.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13755.000|         0.00|      4814.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13765.000|         0.00|      4817.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13755.000|         0.00|      4814.25|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13765.000|         0.00|      4817.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13755.000|         0.00|      4814.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13735.000|        13765.000|         0.00|      4817.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13755.000|         0.00|      4814.25|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13765.000|         0.00|      4817.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13755.000|         0.00|      4814.25|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13765.000|         0.00|      4817.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13755.000|         0.00|      4814.25|
