                                            结算单 Settlement Statement                                                

账户：0029
日期：20191121
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         6518413.66                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             6517462.02
平仓盈亏 Realized P/L：              12300.00                  保证金占用 Margin Occupied：       2141376.50
持仓盈亏  MTM P/L：                 -12920.00                  可用资金 Fund Avail.：             4376085.52
手续费 Commission：                    331.64                  风险度 Risk Degree：                   32.86%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            TA001|  20191106|  投机|    卖|       17|     4860.000|         4778.000|     -4760.00|     24367.80|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4778.000|      -280.00|      1433.40|
|     郑商所|            TA001|  20191106|  投机|    卖|        2|     4860.000|         4778.000|      -560.00|      2866.80|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4778.000|      -280.00|      1433.40|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4778.000|      -280.00|      1433.40|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4778.000|      -280.00|      1433.40|
|     郑商所|            TA001|  20191106|  投机|    卖|        2|     4860.000|         4778.000|      -560.00|      2866.80|
|     郑商所|            TA001|  20191107|  投机|    卖|       45|     4800.000|         4778.000|    -12600.00|     64503.00|
|     郑商所|            TA001|  20191107|  投机|    卖|        5|     4760.000|         4778.000|     -1400.00|      7167.00|
|     郑商所|            TA001|  20191108|  投机|    卖|        5|     4718.000|         4778.000|     -1400.00|      7167.00|
|     郑商所|            TA001|  20191111|  投机|    卖|        5|     4660.000|         4778.000|     -1400.00|      7167.00|
|     郑商所|            TA001|  20191114|  投机|    卖|        2|     4704.000|         4778.000|      -560.00|      2866.80|
|     郑商所|            TA001|  20191114|  投机|    卖|       10|     4704.000|         4778.000|     -2800.00|     14334.00|
|     郑商所|            TA001|  20191114|  投机|    卖|        1|     4704.000|         4778.000|      -280.00|      1433.40|
|     郑商所|            TA001|  20191114|  投机|    卖|        1|     4704.000|         4778.000|      -280.00|      1433.40|
|     郑商所|            TA001|  20191114|  投机|    卖|        1|     4704.000|         4778.000|      -280.00|      1433.40|
|     郑商所|            TA001|  20191118|  投机|    卖|       10|     4740.000|         4778.000|     -2800.00|     14334.00|
|     郑商所|            TA001|  20191118|  投机|    卖|       10|     4740.000|         4778.000|     -2800.00|     14334.00|
|     郑商所|            MA001|  20191119|  投机|  买  |        2|     1916.000|         1929.000|       340.00|      2700.60|
|     郑商所|            MA001|  20191120|  投机|  买  |        3|     1896.000|         1929.000|       510.00|      4050.90|
|     大商所|           eg2005|  20191022|  投机|    卖|        1|     4480.000|         4457.000|       -60.00|      2674.20|
|     大商所|           eg2005|  20191022|  投机|    卖|        7|     4480.000|         4457.000|      -420.00|     18719.40|
|     大商所|           eg2005|  20191022|  投机|    卖|        9|     4480.000|         4457.000|      -540.00|     24067.80|
|     大商所|           eg2005|  20191024|  投机|    卖|        3|     4497.000|         4457.000|      -180.00|      8022.60|
|   能源中心|           nr2002|  20191105|  投机|  买  |        2|    10225.000|        10655.000|      2500.00|     19179.00|
|   能源中心|           nr2002|  20191111|  投机|  买  |        1|    10165.000|        10655.000|      1250.00|      9589.50|
|   能源中心|           nr2002|  20191111|  投机|  买  |        1|    10165.000|        10655.000|      1250.00|      9589.50|
|   能源中心|           nr2002|  20191111|  投机|  买  |        1|    10165.000|        10655.000|      1250.00|      9589.50|
|   能源中心|           nr2002|  20191119|  投机|  买  |        1|    10265.000|        10655.000|      1250.00|      9589.50|
|   能源中心|           nr2002|  20191119|  投机|  买  |        1|    10265.000|        10655.000|      1250.00|      9589.50|
|   能源中心|           nr2002|  20191119|  投机|  买  |        1|    10265.000|        10655.000|      1250.00|      9589.50|
|   能源中心|           nr2002|  20191119|  投机|  买  |        1|    10265.000|        10655.000|      1250.00|      9589.50|
|   能源中心|           nr2002|  20191119|  投机|  买  |        1|    10265.000|        10655.000|      1250.00|      9589.50|
|   能源中心|           nr2002|  20191119|  投机|  买  |        1|    10265.000|        10655.000|      1250.00|      9589.50|
|   能源中心|           nr2002|  20191119|  投机|  买  |        1|    10265.000|        10655.000|      1250.00|      9589.50|
|     上期所|           ru2005|  20191118|  投机|  买  |        1|    12105.000|        12720.000|      1450.00|     11448.00|
|     上期所|           ru2005|  20191118|  投机|  买  |        2|    12105.000|        12720.000|      2900.00|     22896.00|
|     上期所|           ru2005|  20191118|  投机|  买  |        3|    12105.000|        12720.000|      4350.00|     34344.00|
|     上期所|           ru2005|  20191118|  投机|  买  |        1|    12105.000|        12720.000|      1450.00|     11448.00|
|     上期所|           ru2005|  20191118|  投机|  买  |        5|    12105.000|        12720.000|      7250.00|     57240.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13820.000|      -325.00|      4837.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13820.000|       275.00|      4837.00|
|     上期所|           ru2005|  20191016|  投机|  买  |        4|    11770.000|        12720.000|      5800.00|     45792.00|
|     上期所|           ru2005|  20191016|  投机|  买  |        1|    11770.000|        12720.000|      1450.00|     11448.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13820.000|      -325.00|      4837.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13820.000|       275.00|      4837.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13820.000|      -325.00|      4837.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13820.000|       275.00|      4837.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13820.000|      -325.00|      4837.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13720.000|        13820.000|       275.00|      4837.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13820.000|      -325.00|      4837.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13820.000|       275.00|      4837.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13820.000|      -325.00|      4837.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13820.000|       275.00|      4837.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13820.000|      -325.00|      4837.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13820.000|       275.00|      4837.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13820.000|      -325.00|      4837.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13820.000|       275.00|      4837.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13820.000|       275.00|      4837.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13820.000|      -325.00|      4837.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13820.000|      -325.00|      4837.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13820.000|       275.00|      4837.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13820.000|      -325.00|      4837.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13820.000|       275.00|      4837.00|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13820.000|      -325.00|      4837.00|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13820.000|       275.00|      4837.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13820.000|      -325.00|      4837.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13735.000|        13820.000|       275.00|      4837.00|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13820.000|      -325.00|      4837.00|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13820.000|       275.00|      4837.00|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13820.000|      -325.00|      4837.00|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13820.000|       275.00|      4837.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13820.000|      -325.00|      4837.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13820.000|       275.00|      4837.00|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13820.000|      -325.00|      4837.00|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13820.000|       275.00|      4837.00|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        13820.000|      -325.00|      4837.00|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13820.000|       275.00|      4837.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13820.000|      -325.00|      4837.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13820.000|       275.00|      4837.00|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13820.000|      -325.00|      4837.00|
