                                            结算单 Settlement Statement                                                

账户：0029
日期：20191122
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         6517462.02                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             6557230.29
平仓盈亏 Realized P/L：               6300.00                  保证金占用 Margin Occupied：       2397221.50
持仓盈亏  MTM P/L：                  34350.00                  可用资金 Fund Avail.：             4160008.79
手续费 Commission：                    881.73                  风险度 Risk Degree：                   36.56%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            TA001|  20191106|  投机|    卖|       17|     4860.000|         4792.000|     -1190.00|     24439.20|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4792.000|       -70.00|      1437.60|
|     郑商所|            TA001|  20191106|  投机|    卖|        2|     4860.000|         4792.000|      -140.00|      2875.20|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4792.000|       -70.00|      1437.60|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4792.000|       -70.00|      1437.60|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4792.000|       -70.00|      1437.60|
|     郑商所|            TA001|  20191106|  投机|    卖|        2|     4860.000|         4792.000|      -140.00|      2875.20|
|     郑商所|            TA001|  20191107|  投机|    卖|       45|     4800.000|         4792.000|     -3150.00|     64692.00|
|     郑商所|            TA001|  20191107|  投机|    卖|        5|     4760.000|         4792.000|      -350.00|      7188.00|
|     郑商所|            TA001|  20191108|  投机|    卖|        5|     4718.000|         4792.000|      -350.00|      7188.00|
|     郑商所|            TA001|  20191111|  投机|    卖|        5|     4660.000|         4792.000|      -350.00|      7188.00|
|     郑商所|            TA001|  20191114|  投机|    卖|        2|     4704.000|         4792.000|      -140.00|      2875.20|
|     郑商所|            TA001|  20191114|  投机|    卖|       10|     4704.000|         4792.000|      -700.00|     14376.00|
|     郑商所|            TA001|  20191114|  投机|    卖|        1|     4704.000|         4792.000|       -70.00|      1437.60|
|     郑商所|            TA001|  20191114|  投机|    卖|        1|     4704.000|         4792.000|       -70.00|      1437.60|
|     郑商所|            TA001|  20191114|  投机|    卖|        1|     4704.000|         4792.000|       -70.00|      1437.60|
|     郑商所|            TA001|  20191118|  投机|    卖|       10|     4740.000|         4792.000|      -700.00|     14376.00|
|     郑商所|            TA001|  20191118|  投机|    卖|       10|     4740.000|         4792.000|      -700.00|     14376.00|
|     郑商所|            MA001|  20191119|  投机|  买  |        2|     1916.000|         1957.000|       560.00|      2739.80|
|     郑商所|            MA001|  20191120|  投机|  买  |        3|     1896.000|         1957.000|       840.00|      4109.70|
|     郑商所|            TA001|  20191121|  投机|    卖|        2|     4772.000|         4792.000|      -140.00|      2875.20|
|     郑商所|            TA001|  20191121|  投机|    卖|        6|     4772.000|         4792.000|      -420.00|      8625.60|
|     郑商所|            TA001|  20191121|  投机|    卖|        1|     4772.000|         4792.000|       -70.00|      1437.60|
|     郑商所|            TA001|  20191121|  投机|    卖|        2|     4772.000|         4792.000|      -140.00|      2875.20|
|     郑商所|            TA001|  20191121|  投机|    卖|        2|     4772.000|         4792.000|      -140.00|      2875.20|
|     郑商所|            TA001|  20191121|  投机|    卖|        1|     4772.000|         4792.000|       -70.00|      1437.60|
|     郑商所|            TA001|  20191121|  投机|    卖|        6|     4772.000|         4792.000|      -420.00|      8625.60|
|     郑商所|            TA001|  20191121|  投机|    卖|        1|     4772.000|         4792.000|       -70.00|      1437.60|
|     郑商所|            TA001|  20191121|  投机|    卖|        1|     4772.000|         4792.000|       -70.00|      1437.60|
|     郑商所|            TA001|  20191121|  投机|    卖|        8|     4772.000|         4792.000|      -560.00|     11500.80|
|     大商所|           eg2005|  20191022|  投机|    卖|        2|     4480.000|         4428.000|       580.00|      5313.60|
|     大商所|           eg2005|  20191024|  投机|    卖|        3|     4497.000|         4428.000|       870.00|      7970.40|
|     上期所|           bu2006|  20191121|  投机|    卖|        1|     2830.000|         2860.000|      -260.00|      2574.00|
|     上期所|           ru2005|  20191118|  投机|  买  |        1|    12105.000|        12830.000|      1100.00|     11547.00|
|     上期所|           ru2005|  20191118|  投机|  买  |        2|    12105.000|        12830.000|      2200.00|     23094.00|
|     上期所|           ru2005|  20191118|  投机|  买  |        3|    12105.000|        12830.000|      3300.00|     34641.00|
|     上期所|           ru2005|  20191118|  投机|  买  |        1|    12105.000|        12830.000|      1100.00|     11547.00|
|     上期所|           ru2005|  20191118|  投机|  买  |        5|    12105.000|        12830.000|      5500.00|     57735.00|
|     上期所|           bu2006|  20191121|  投机|    卖|        1|     2840.000|         2860.000|      -260.00|      2574.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13810.000|        50.00|      4833.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13820.000|         0.00|      4837.00|
|     上期所|           ru2005|  20191016|  投机|  买  |        4|    11770.000|        12830.000|      4400.00|     46188.00|
|     上期所|           ru2005|  20191016|  投机|  买  |        1|    11770.000|        12830.000|      1100.00|     11547.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13810.000|        50.00|      4833.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13820.000|         0.00|      4837.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13810.000|        50.00|      4833.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13820.000|         0.00|      4837.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13810.000|        50.00|      4833.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13720.000|        13820.000|         0.00|      4837.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13810.000|        50.00|      4833.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13820.000|         0.00|      4837.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13810.000|        50.00|      4833.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13820.000|         0.00|      4837.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13810.000|        50.00|      4833.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13820.000|         0.00|      4837.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13810.000|        50.00|      4833.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13820.000|         0.00|      4837.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13820.000|         0.00|      4837.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13810.000|        50.00|      4833.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13810.000|        50.00|      4833.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13820.000|         0.00|      4837.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13810.000|        50.00|      4833.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13820.000|         0.00|      4837.00|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13810.000|        50.00|      4833.50|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13820.000|         0.00|      4837.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13810.000|        50.00|      4833.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13735.000|        13820.000|         0.00|      4837.00|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13810.000|        50.00|      4833.50|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13820.000|         0.00|      4837.00|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13810.000|        50.00|      4833.50|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13820.000|         0.00|      4837.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13810.000|        50.00|      4833.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13820.000|         0.00|      4837.00|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13810.000|        50.00|      4833.50|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13820.000|         0.00|      4837.00|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        13810.000|        50.00|      4833.50|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13820.000|         0.00|      4837.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13810.000|        50.00|      4833.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13820.000|         0.00|      4837.00|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13810.000|        50.00|      4833.50|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13820.000|         0.00|      4837.00|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13810.000|        50.00|      4833.50|
