                                            结算单 Settlement Statement                                                

账户：0029
日期：20191127
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         6544656.53                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             6518397.38
平仓盈亏 Realized P/L：                300.00                  保证金占用 Margin Occupied：       2793774.50
持仓盈亏  MTM P/L：                 -25860.00                  可用资金 Fund Avail.：             3724622.88
手续费 Commission：                    699.15                  风险度 Risk Degree：                   42.86%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4770.000|        80.00|      1431.00|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4770.000|        80.00|      1431.00|
|     郑商所|            TA001|  20191106|  投机|    卖|        1|     4860.000|         4770.000|        80.00|      1431.00|
|     郑商所|            TA001|  20191106|  投机|    卖|        2|     4860.000|         4770.000|       160.00|      2862.00|
|     郑商所|            TA001|  20191107|  投机|    卖|       45|     4800.000|         4770.000|      3600.00|     64395.00|
|     郑商所|            TA001|  20191107|  投机|    卖|        5|     4760.000|         4770.000|       400.00|      7155.00|
|     郑商所|            TA001|  20191108|  投机|    卖|        5|     4718.000|         4770.000|       400.00|      7155.00|
|     郑商所|            TA001|  20191111|  投机|    卖|        5|     4660.000|         4770.000|       400.00|      7155.00|
|     郑商所|            TA001|  20191114|  投机|    卖|        2|     4704.000|         4770.000|       160.00|      2862.00|
|     郑商所|            TA001|  20191114|  投机|    卖|       10|     4704.000|         4770.000|       800.00|     14310.00|
|     郑商所|            TA001|  20191114|  投机|    卖|        1|     4704.000|         4770.000|        80.00|      1431.00|
|     郑商所|            TA001|  20191114|  投机|    卖|        1|     4704.000|         4770.000|        80.00|      1431.00|
|     郑商所|            TA001|  20191114|  投机|    卖|        1|     4704.000|         4770.000|        80.00|      1431.00|
|     郑商所|            TA001|  20191118|  投机|    卖|       10|     4740.000|         4770.000|       800.00|     14310.00|
|     郑商所|            TA001|  20191118|  投机|    卖|       10|     4740.000|         4770.000|       800.00|     14310.00|
|     郑商所|            TA001|  20191121|  投机|    卖|        2|     4772.000|         4770.000|       160.00|      2862.00|
|     郑商所|            TA001|  20191121|  投机|    卖|        6|     4772.000|         4770.000|       480.00|      8586.00|
|     郑商所|            TA001|  20191121|  投机|    卖|        1|     4772.000|         4770.000|        80.00|      1431.00|
|     郑商所|            TA001|  20191121|  投机|    卖|        2|     4772.000|         4770.000|       160.00|      2862.00|
|     郑商所|            TA001|  20191121|  投机|    卖|        2|     4772.000|         4770.000|       160.00|      2862.00|
|     郑商所|            TA001|  20191121|  投机|    卖|        1|     4772.000|         4770.000|        80.00|      1431.00|
|     郑商所|            TA001|  20191121|  投机|    卖|        6|     4772.000|         4770.000|       480.00|      8586.00|
|     郑商所|            TA001|  20191121|  投机|    卖|        1|     4772.000|         4770.000|        80.00|      1431.00|
|     郑商所|            TA001|  20191121|  投机|    卖|        1|     4772.000|         4770.000|        80.00|      1431.00|
|     郑商所|            TA001|  20191121|  投机|    卖|        8|     4772.000|         4770.000|       640.00|     11448.00|
|     郑商所|            TA001|  20191125|  投机|    卖|        2|     4808.000|         4770.000|       160.00|      2862.00|
|     郑商所|            TA001|  20191125|  投机|    卖|        1|     4808.000|         4770.000|        80.00|      1431.00|
|     郑商所|            TA001|  20191125|  投机|    卖|        1|     4808.000|         4770.000|        80.00|      1431.00|
|     郑商所|            TA001|  20191125|  投机|    卖|        1|     4808.000|         4770.000|        80.00|      1431.00|
|     郑商所|            TA001|  20191125|  投机|    卖|        5|     4808.000|         4770.000|       400.00|      7155.00|
|     郑商所|            TA001|  20191125|  投机|    卖|       10|     4810.000|         4770.000|       800.00|     14310.00|
|     郑商所|            TA001|  20191125|  投机|    卖|       30|     4808.000|         4770.000|      2400.00|     42930.00|
|     大商所|           eg2001|  20191122|  投机|    卖|        5|     4480.000|         4542.000|     -1050.00|     13626.00|
|     大商所|           eg2001|  20191122|  投机|    卖|        5|     4505.000|         4542.000|     -1050.00|     13626.00|
|     大商所|           eg2001|  20191122|  投机|    卖|        4|     4505.000|         4542.000|      -840.00|     10900.80|
|     大商所|           eg2001|  20191122|  投机|    卖|        3|     4505.000|         4542.000|      -630.00|      8175.60|
|     大商所|           eg2001|  20191122|  投机|    卖|        3|     4505.000|         4542.000|      -630.00|      8175.60|
|     大商所|            l2001|  20191125|  投机|    卖|       28|     7230.000|         7220.000|         0.00|     50540.00|
|     大商所|            l2001|  20191125|  投机|    卖|       40|     7230.000|         7220.000|         0.00|     72200.00|
|     大商所|            l2001|  20191125|  投机|    卖|        2|     7230.000|         7220.000|         0.00|      3610.00|
|     大商所|           eg2001|  20191126|  投机|    卖|        4|     4488.000|         4542.000|      -840.00|     10900.80|
|     大商所|           eg2001|  20191126|  投机|    卖|        6|     4488.000|         4542.000|     -1260.00|     16351.20|
|     上期所|           ru2005|  20191118|  投机|  买  |        1|    12105.000|        12715.000|      -600.00|     11443.50|
|     上期所|           ru2005|  20191118|  投机|  买  |        1|    12105.000|        12715.000|      -600.00|     11443.50|
|     上期所|           ru2005|  20191118|  投机|  买  |        5|    12105.000|        12715.000|     -3000.00|     57217.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13700.000|       150.00|      4795.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13715.000|      -150.00|      4800.25|
|     上期所|           ru2005|  20191016|  投机|  买  |        4|    11770.000|        12715.000|     -2400.00|     45774.00|
|     上期所|           ru2005|  20191016|  投机|  买  |        1|    11770.000|        12715.000|      -600.00|     11443.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13700.000|       150.00|      4795.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13715.000|      -150.00|      4800.25|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13700.000|       150.00|      4795.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13715.000|      -150.00|      4800.25|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13700.000|       150.00|      4795.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13720.000|        13715.000|      -150.00|      4800.25|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13700.000|       150.00|      4795.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13715.000|      -150.00|      4800.25|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13700.000|       150.00|      4795.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13715.000|      -150.00|      4800.25|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13700.000|       150.00|      4795.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13715.000|      -150.00|      4800.25|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13700.000|       150.00|      4795.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13715.000|      -150.00|      4800.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13715.000|      -150.00|      4800.25|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13700.000|       150.00|      4795.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13700.000|       150.00|      4795.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13715.000|      -150.00|      4800.25|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13700.000|       150.00|      4795.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13715.000|      -150.00|      4800.25|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13700.000|       150.00|      4795.00|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13715.000|      -150.00|      4800.25|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13700.000|       150.00|      4795.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13735.000|        13715.000|      -150.00|      4800.25|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13700.000|       150.00|      4795.00|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13715.000|      -150.00|      4800.25|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13700.000|       150.00|      4795.00|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13715.000|      -150.00|      4800.25|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13700.000|       150.00|      4795.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13715.000|      -150.00|      4800.25|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13700.000|       150.00|      4795.00|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13715.000|      -150.00|      4800.25|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        13700.000|       150.00|      4795.00|
