                                            结算单 Settlement Statement                                                

账户：0029
日期：20191204
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         6271763.18                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             6323200.00
平仓盈亏 Realized P/L：              -1400.00                  保证金占用 Margin Occupied：       3483331.00
持仓盈亏  MTM P/L：                  53400.00                  可用资金 Fund Avail.：             2839869.00
手续费 Commission：                    563.18                  风险度 Risk Degree：                   55.09%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            TA001|  20191125|  投机|    卖|        2|     4808.000|         4734.000|       320.00|      2840.40|
|     郑商所|            TA001|  20191125|  投机|    卖|        1|     4808.000|         4734.000|       160.00|      1420.20|
|     郑商所|            TA001|  20191125|  投机|    卖|        1|     4808.000|         4734.000|       160.00|      1420.20|
|     郑商所|            TA001|  20191125|  投机|    卖|        1|     4808.000|         4734.000|       160.00|      1420.20|
|     郑商所|            TA001|  20191125|  投机|    卖|        5|     4808.000|         4734.000|       800.00|      7101.00|
|     郑商所|            TA001|  20191125|  投机|    卖|       10|     4810.000|         4734.000|      1600.00|     14202.00|
|     郑商所|            TA001|  20191125|  投机|    卖|       30|     4808.000|         4734.000|      4800.00|     42606.00|
|     郑商所|            TA001|  20191127|  投机|    卖|       10|     4750.000|         4734.000|      1600.00|     14202.00|
|     郑商所|            TA001|  20191128|  投机|    卖|        3|     4720.000|         4734.000|       480.00|      4260.60|
|     郑商所|            TA001|  20191128|  投机|    卖|        2|     4720.000|         4734.000|       320.00|      2840.40|
|     郑商所|            TA001|  20191128|  投机|    卖|        1|     4720.000|         4734.000|       160.00|      1420.20|
|     郑商所|            TA001|  20191128|  投机|    卖|        1|     4720.000|         4734.000|       160.00|      1420.20|
|     郑商所|            TA001|  20191128|  投机|    卖|        6|     4720.000|         4734.000|       960.00|      8521.20|
|     郑商所|            TA001|  20191128|  投机|    卖|        7|     4720.000|         4734.000|      1120.00|      9941.40|
|     郑商所|            TA001|  20191128|  投机|    卖|       20|     4720.000|         4734.000|      3200.00|     28404.00|
|     郑商所|            TA001|  20191129|  投机|    卖|        5|     4732.000|         4734.000|       800.00|      7101.00|
|     郑商所|            TA001|  20191129|  投机|    卖|        5|     4730.000|         4734.000|       800.00|      7101.00|
|     郑商所|            TA001|  20191129|  投机|    卖|        5|     4740.000|         4734.000|       800.00|      7101.00|
|     郑商所|            TA001|  20191129|  投机|    卖|       10|     4780.000|         4734.000|      1600.00|     14202.00|
|     郑商所|            TA001|  20191129|  投机|    卖|        9|     4790.000|         4734.000|      1440.00|     12781.80|
|     郑商所|            TA001|  20191129|  投机|    卖|        1|     4790.000|         4734.000|       160.00|      1420.20|
|     郑商所|            TA001|  20191129|  投机|    卖|       10|     4774.000|         4734.000|      1600.00|     14202.00|
|     郑商所|            TA001|  20191129|  投机|    卖|       10|     4770.000|         4734.000|      1600.00|     14202.00|
|     郑商所|            TA001|  20191129|  投机|    卖|        5|     4760.000|         4734.000|       800.00|      7101.00|
|     郑商所|            TA001|  20191129|  投机|    卖|       15|     4760.000|         4734.000|      2400.00|     21303.00|
|     郑商所|            MA005|  20191202|  投机|    卖|        1|     2020.000|         2066.000|      -220.00|      1446.20|
|     郑商所|            MA005|  20191202|  投机|    卖|        3|     2020.000|         2066.000|      -660.00|      4338.60|
|     郑商所|            MA005|  20191202|  投机|    卖|        1|     2020.000|         2066.000|      -220.00|      1446.20|
|     郑商所|            MA005|  20191202|  投机|    卖|        1|     2020.000|         2066.000|      -220.00|      1446.20|
|     郑商所|            MA005|  20191202|  投机|    卖|        1|     2020.000|         2066.000|      -220.00|      1446.20|
|     郑商所|            MA005|  20191202|  投机|    卖|        2|     2020.000|         2066.000|      -440.00|      2892.40|
|     郑商所|            MA005|  20191202|  投机|    卖|        1|     2020.000|         2066.000|      -220.00|      1446.20|
|     郑商所|            TA001|  20191202|  投机|    卖|        5|     4760.000|         4734.000|       800.00|      7101.00|
|     郑商所|            MA005|  20191202|  投机|    卖|        5|     2015.000|         2066.000|     -1100.00|      7231.00|
|     郑商所|            TA001|  20191203|  投机|    卖|        1|     4750.000|         4734.000|       160.00|      1420.20|
|     郑商所|            TA001|  20191203|  投机|    卖|        4|     4750.000|         4734.000|       640.00|      5680.80|
|     郑商所|            TA001|  20191203|  投机|    卖|        1|     4750.000|         4734.000|       160.00|      1420.20|
|     郑商所|            TA001|  20191203|  投机|    卖|        1|     4750.000|         4734.000|       160.00|      1420.20|
|     郑商所|            TA001|  20191203|  投机|    卖|        1|     4750.000|         4734.000|       160.00|      1420.20|
|     郑商所|            TA001|  20191203|  投机|    卖|        1|     4750.000|         4734.000|       160.00|      1420.20|
|     郑商所|            TA001|  20191203|  投机|    卖|        1|     4750.000|         4734.000|       160.00|      1420.20|
|     郑商所|            TA001|  20191203|  投机|    卖|        5|     4760.000|         4734.000|       800.00|      7101.00|
|     郑商所|            TA001|  20191203|  投机|    卖|        5|     4750.000|         4734.000|       800.00|      7101.00|
|     大商所|            l2001|  20191202|  投机|    卖|        3|     7310.000|         7260.000|       900.00|      5445.00|
|     大商所|            l2001|  20191129|  投机|    卖|        5|     7260.000|         7260.000|      1500.00|      9075.00|
|     大商所|            l2001|  20191203|  投机|    卖|        5|     7310.000|         7260.000|      1500.00|      9075.00|
|     大商所|            l2001|  20191202|  投机|    卖|        5|     7300.000|         7260.000|      1500.00|      9075.00|
|     大商所|            l2001|  20191129|  投机|    卖|        5|     7270.000|         7260.000|      1500.00|      9075.00|
|     大商所|            v2005|  20191127|  投机|  买  |        5|     6465.000|         6470.000|     -1125.00|      8087.50|
|     大商所|            l2001|  20191128|  投机|    卖|       20|     7200.000|         7260.000|      6000.00|     36300.00|
|     大商所|            l2001|  20191203|  投机|    卖|        2|     7310.000|         7260.000|       600.00|      3630.00|
|     大商所|            l2001|  20191203|  投机|    卖|        3|     7310.000|         7260.000|       900.00|      5445.00|
|     大商所|            v2005|  20191127|  投机|  买  |        5|     6465.000|         6470.000|     -1125.00|      8087.50|
|     大商所|            v2005|  20191127|  投机|  买  |        1|     6465.000|         6470.000|      -225.00|      1617.50|
|     大商所|            v2005|  20191127|  投机|  买  |        1|     6465.000|         6470.000|      -225.00|      1617.50|
|     大商所|            v2005|  20191127|  投机|  买  |        1|     6465.000|         6470.000|      -225.00|      1617.50|
|     大商所|            v2005|  20191127|  投机|  买  |        2|     6465.000|         6470.000|      -450.00|      3235.00|
|     大商所|            v2005|  20191127|  投机|  买  |        6|     6465.000|         6470.000|     -1350.00|      9705.00|
|     大商所|            v2005|  20191127|  投机|  买  |        1|     6465.000|         6470.000|      -225.00|      1617.50|
|     大商所|            v2005|  20191127|  投机|  买  |        3|     6465.000|         6470.000|      -675.00|      4852.50|
|     大商所|            v2005|  20191127|  投机|  买  |       10|     6465.000|         6470.000|     -2250.00|     16175.00|
|     大商所|            v2005|  20191127|  投机|  买  |        1|     6465.000|         6470.000|      -225.00|      1617.50|
|     大商所|            v2005|  20191127|  投机|  买  |        4|     6465.000|         6470.000|      -900.00|      6470.00|
|     大商所|            v2005|  20191128|  投机|  买  |       19|     6550.000|         6470.000|     -4275.00|     30732.50|
|     大商所|            v2005|  20191128|  投机|  买  |        1|     6550.000|         6470.000|      -225.00|      1617.50|
|     大商所|            l2001|  20191202|  投机|    卖|        1|     7310.000|         7260.000|       300.00|      1815.00|
|     大商所|            l2001|  20191202|  投机|    卖|        4|     7310.000|         7260.000|      1200.00|      7260.00|
|     大商所|            l2001|  20191129|  投机|    卖|        2|     7300.000|         7260.000|       600.00|      3630.00|
|     大商所|            l2001|  20191129|  投机|    卖|       25|     7300.000|         7260.000|      7500.00|     45375.00|
|     大商所|            l2001|  20191128|  投机|    卖|       27|     7210.000|         7260.000|      8100.00|     49005.00|
|     大商所|            l2001|  20191128|  投机|    卖|        3|     7210.000|         7260.000|       900.00|      5445.00|
|     大商所|            l2001|  20191128|  投机|    卖|       30|     7220.000|         7260.000|      9000.00|     54450.00|
|     大商所|            l2001|  20191202|  投机|    卖|        5|     7325.000|         7260.000|      1500.00|      9075.00|
|     上期所|           ru2005|  20191118|  投机|  买  |        2|    12105.000|        12745.000|      1500.00|     22941.00|
|     上期所|           sp2001|  20191203|  投机|  买  |        5|     4410.000|         4398.000|      -400.00|     21990.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13825.000|       150.00|      4838.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13820.000|      -225.00|      4837.00|
|     上期所|           ru2005|  20191016|  投机|  买  |        4|    11770.000|        12745.000|      3000.00|     45882.00|
|     上期所|           ru2005|  20191016|  投机|  买  |        1|    11770.000|        12745.000|       750.00|     11470.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13825.000|       150.00|      4838.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13820.000|      -225.00|      4837.00|
