                                            结算单 Settlement Statement                                                

账户：0029
日期：20191211
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         6409995.70                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             6410519.62
平仓盈亏 Realized P/L：               5270.00                  保证金占用 Margin Occupied：       3139163.50
持仓盈亏  MTM P/L：                  -4150.00                  可用资金 Fund Avail.：             3271356.12
手续费 Commission：                    596.08                  风险度 Risk Degree：                   48.97%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            TA005|  20191204|  投机|  买  |       10|     4830.000|         4854.000|     -1300.00|     14562.00|
|     郑商所|            TA005|  20191205|  投机|  买  |       20|     4860.000|         4854.000|     -2600.00|     29124.00|
|     郑商所|            TA001|  20191205|  投机|    卖|       20|     4810.000|         4772.000|      2800.00|     28632.00|
|     郑商所|            TA005|  20191205|  投机|  买  |        5|     4866.000|         4854.000|      -650.00|      7281.00|
|     郑商所|            TA005|  20191205|  投机|  买  |        1|     4866.000|         4854.000|      -130.00|      1456.20|
|     郑商所|            TA005|  20191205|  投机|  买  |        3|     4866.000|         4854.000|      -390.00|      4368.60|
|     郑商所|            TA005|  20191205|  投机|  买  |        1|     4866.000|         4854.000|      -130.00|      1456.20|
|     郑商所|            TA005|  20191205|  投机|  买  |       10|     4876.000|         4854.000|     -1300.00|     14562.00|
|     郑商所|            TA001|  20191206|  投机|    卖|        5|     4800.000|         4772.000|       700.00|      7158.00|
|     郑商所|            TA001|  20191206|  投机|    卖|       10|     4800.000|         4772.000|      1400.00|     14316.00|
|     郑商所|            TA001|  20191209|  投机|    卖|        5|     4800.000|         4772.000|       700.00|      7158.00|
|     郑商所|            TA001|  20191209|  投机|    卖|        1|     4810.000|         4772.000|       140.00|      1431.60|
|     郑商所|            TA001|  20191209|  投机|    卖|        2|     4810.000|         4772.000|       280.00|      2863.20|
|     郑商所|            TA001|  20191209|  投机|    卖|        2|     4810.000|         4772.000|       280.00|      2863.20|
|     郑商所|            TA001|  20191209|  投机|    卖|       10|     4820.000|         4772.000|      1400.00|     14316.00|
|     郑商所|            TA005|  20191209|  投机|  买  |        4|     4910.000|         4854.000|      -520.00|      5824.80|
|     郑商所|            TA005|  20191209|  投机|  买  |       10|     4910.000|         4854.000|     -1300.00|     14562.00|
|     郑商所|            TA005|  20191209|  投机|  买  |        2|     4910.000|         4854.000|      -260.00|      2912.40|
|     郑商所|            TA005|  20191209|  投机|  买  |        2|     4910.000|         4854.000|      -260.00|      2912.40|
|     郑商所|            TA005|  20191209|  投机|  买  |        1|     4910.000|         4854.000|      -130.00|      1456.20|
|     郑商所|            TA005|  20191209|  投机|  买  |        1|     4910.000|         4854.000|      -130.00|      1456.20|
|     郑商所|            TA001|  20191209|  投机|    卖|       20|     4850.000|         4772.000|      2800.00|     28632.00|
|     郑商所|            TA001|  20191209|  投机|    卖|       10|     4810.000|         4772.000|      1400.00|     14316.00|
|     郑商所|            MA005|  20191209|  投机|  买  |        6|     2130.000|         2086.000|     -1860.00|      8761.20|
|     郑商所|            MA005|  20191209|  投机|  买  |        4|     2130.000|         2086.000|     -1240.00|      5840.80|
|     郑商所|            TA001|  20191209|  投机|    卖|        5|     4810.000|         4772.000|       700.00|      7158.00|
|     郑商所|            TA001|  20191209|  投机|    卖|        4|     4810.000|         4772.000|       560.00|      5726.40|
|     郑商所|            TA001|  20191209|  投机|    卖|        1|     4810.000|         4772.000|       140.00|      1431.60|
|     郑商所|            TA001|  20191209|  投机|    卖|       10|     4820.000|         4772.000|      1400.00|     14316.00|
|     郑商所|            TA005|  20191209|  投机|  买  |       10|     4900.000|         4854.000|     -1300.00|     14562.00|
|     郑商所|            TA001|  20191209|  投机|    卖|       30|     4812.000|         4772.000|      4200.00|     42948.00|
|     郑商所|            TA001|  20191210|  投机|    卖|        5|     4830.000|         4772.000|       700.00|      7158.00|
|     大商所|            v2005|  20191209|  投机|  买  |       10|     6520.000|         6595.000|       750.00|     16487.50|
|     大商所|            v2005|  20191127|  投机|  买  |        5|     6465.000|         6595.000|       375.00|      8243.75|
|     大商所|            v2005|  20191127|  投机|  买  |        5|     6465.000|         6595.000|       375.00|      8243.75|
|     大商所|            v2005|  20191127|  投机|  买  |        1|     6465.000|         6595.000|        75.00|      1648.75|
|     大商所|            v2005|  20191127|  投机|  买  |        1|     6465.000|         6595.000|        75.00|      1648.75|
|     大商所|            v2005|  20191127|  投机|  买  |        1|     6465.000|         6595.000|        75.00|      1648.75|
|     大商所|            v2005|  20191127|  投机|  买  |        2|     6465.000|         6595.000|       150.00|      3297.50|
|     大商所|            v2005|  20191127|  投机|  买  |        6|     6465.000|         6595.000|       450.00|      9892.50|
|     大商所|            v2005|  20191127|  投机|  买  |        1|     6465.000|         6595.000|        75.00|      1648.75|
|     大商所|            v2005|  20191127|  投机|  买  |        3|     6465.000|         6595.000|       225.00|      4946.25|
|     大商所|            v2005|  20191127|  投机|  买  |       10|     6465.000|         6595.000|       750.00|     16487.50|
|     大商所|            v2005|  20191127|  投机|  买  |        1|     6465.000|         6595.000|        75.00|      1648.75|
|     大商所|            v2005|  20191127|  投机|  买  |        4|     6465.000|         6595.000|       300.00|      6595.00|
|     大商所|            v2005|  20191128|  投机|  买  |       19|     6550.000|         6595.000|      1425.00|     31326.25|
|     大商所|            v2005|  20191128|  投机|  买  |        1|     6550.000|         6595.000|        75.00|      1648.75|
|     大商所|            v2005|  20191210|  投机|  买  |       10|     6590.000|         6595.000|       750.00|     16487.50|
|     大商所|            v2005|  20191209|  投机|  买  |       10|     6545.000|         6595.000|       750.00|     16487.50|
|     大商所|            v2005|  20191209|  投机|  买  |        2|     6570.000|         6595.000|       150.00|      3297.50|
|     大商所|            v2005|  20191209|  投机|  买  |        1|     6570.000|         6595.000|        75.00|      1648.75|
|     大商所|            v2005|  20191209|  投机|  买  |        1|     6570.000|         6595.000|        75.00|      1648.75|
|     大商所|            v2005|  20191209|  投机|  买  |        6|     6570.000|         6595.000|       450.00|      9892.50|
|     大商所|            v2005|  20191209|  投机|  买  |       10|     6580.000|         6595.000|       750.00|     16487.50|
|   能源中心|           sc2002|  20191209|  投机|  买  |        1|      464.900|          466.700|       600.00|     32669.00|
|   能源中心|           sc2002|  20191210|  投机|  买  |        1|      467.000|          466.700|       600.00|     32669.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13885.000|      -250.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13880.000|       250.00|      4858.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13885.000|      -250.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13880.000|       250.00|      4858.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13885.000|      -250.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13880.000|       250.00|      4858.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13885.000|      -250.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13720.000|        13880.000|       250.00|      4858.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13885.000|      -250.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13880.000|       250.00|      4858.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13885.000|      -250.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13880.000|       250.00|      4858.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13885.000|      -250.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13880.000|       250.00|      4858.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13885.000|      -250.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13880.000|       250.00|      4858.00|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13880.000|       250.00|      4858.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13885.000|      -250.00|      4859.75|
|     上期所|           bu2006|  20191206|  投机|    卖|        1|     2880.000|         3024.000|        20.00|      2721.60|
|     上期所|           bu2006|  20191206|  投机|    卖|        2|     2880.000|         3024.000|        40.00|      5443.20|
|     上期所|           bu2006|  20191206|  投机|    卖|        2|     2880.000|         3024.000|        40.00|      5443.20|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13885.000|      -250.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13880.000|       250.00|      4858.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13885.000|      -250.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13880.000|       250.00|      4858.00|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13885.000|      -250.00|      4859.75|
