                                            结算单 Settlement Statement                                                

账户：0029
日期：20191212
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         6410519.62                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             6387871.70
平仓盈亏 Realized P/L：              -4025.00                  保证金占用 Margin Occupied：       3092576.00
持仓盈亏  MTM P/L：                 -17200.00                  可用资金 Fund Avail.：             3295295.70
手续费 Commission：                   1422.92                  风险度 Risk Degree：                   48.41%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            TA005|  20191204|  投机|  买  |       10|     4830.000|         4912.000|      2900.00|     14736.00|
|     郑商所|            TA005|  20191205|  投机|  买  |       20|     4860.000|         4912.000|      5800.00|     29472.00|
|     郑商所|            TA005|  20191205|  投机|  买  |        5|     4866.000|         4912.000|      1450.00|      7368.00|
|     郑商所|            TA005|  20191205|  投机|  买  |        1|     4866.000|         4912.000|       290.00|      1473.60|
|     郑商所|            TA005|  20191205|  投机|  买  |        3|     4866.000|         4912.000|       870.00|      4420.80|
|     郑商所|            TA005|  20191205|  投机|  买  |        1|     4866.000|         4912.000|       290.00|      1473.60|
|     郑商所|            TA005|  20191205|  投机|  买  |       10|     4876.000|         4912.000|      2900.00|     14736.00|
|     郑商所|            TA005|  20191209|  投机|  买  |        4|     4910.000|         4912.000|      1160.00|      5894.40|
|     郑商所|            TA005|  20191209|  投机|  买  |       10|     4910.000|         4912.000|      2900.00|     14736.00|
|     郑商所|            TA005|  20191209|  投机|  买  |        2|     4910.000|         4912.000|       580.00|      2947.20|
|     郑商所|            TA005|  20191209|  投机|  买  |        2|     4910.000|         4912.000|       580.00|      2947.20|
|     郑商所|            TA005|  20191209|  投机|  买  |        1|     4910.000|         4912.000|       290.00|      1473.60|
|     郑商所|            TA005|  20191209|  投机|  买  |        1|     4910.000|         4912.000|       290.00|      1473.60|
|     郑商所|            MA005|  20191209|  投机|  买  |        6|     2130.000|         2104.000|      1080.00|      8836.80|
|     郑商所|            MA005|  20191209|  投机|  买  |        4|     2130.000|         2104.000|       720.00|      5891.20|
|     郑商所|            TA005|  20191209|  投机|  买  |       10|     4900.000|         4912.000|      2900.00|     14736.00|
|     大商所|            v2005|  20191127|  投机|  买  |        1|     6465.000|         6555.000|      -200.00|      1638.75|
|     大商所|            v2005|  20191127|  投机|  买  |        1|     6465.000|         6555.000|      -200.00|      1638.75|
|     大商所|            v2005|  20191127|  投机|  买  |        3|     6465.000|         6555.000|      -600.00|      4916.25|
|     大商所|            v2005|  20191127|  投机|  买  |       10|     6465.000|         6555.000|     -2000.00|     16387.50|
|     大商所|            v2005|  20191127|  投机|  买  |        1|     6465.000|         6555.000|      -200.00|      1638.75|
|     大商所|            v2005|  20191127|  投机|  买  |        4|     6465.000|         6555.000|      -800.00|      6555.00|
|     大商所|            v2005|  20191128|  投机|  买  |       19|     6550.000|         6555.000|     -3800.00|     31136.25|
|     大商所|            v2005|  20191128|  投机|  买  |        1|     6550.000|         6555.000|      -200.00|      1638.75|
|     大商所|            v2005|  20191211|  投机|  买  |       10|     6630.000|         6555.000|     -2000.00|     16387.50|
|     大商所|            v2005|  20191210|  投机|  买  |       10|     6590.000|         6555.000|     -2000.00|     16387.50|
|     大商所|            v2005|  20191209|  投机|  买  |       10|     6545.000|         6555.000|     -2000.00|     16387.50|
|     大商所|            v2005|  20191209|  投机|  买  |        2|     6570.000|         6555.000|      -400.00|      3277.50|
|     大商所|            v2005|  20191209|  投机|  买  |        1|     6570.000|         6555.000|      -200.00|      1638.75|
|     大商所|            v2005|  20191209|  投机|  买  |        1|     6570.000|         6555.000|      -200.00|      1638.75|
|     大商所|            v2005|  20191209|  投机|  买  |        6|     6570.000|         6555.000|     -1200.00|      9832.50|
|     大商所|            v2005|  20191209|  投机|  买  |       10|     6580.000|         6555.000|     -2000.00|     16387.50|
|   能源中心|           sc2002|  20191209|  投机|  买  |        1|      464.900|          464.100|     -2600.00|     32487.00|
|   能源中心|           sc2002|  20191210|  投机|  买  |        1|      467.000|          464.100|     -2600.00|     32487.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13720.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13735.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13870.000|       -50.00|      4854.50|
