                                            结算单 Settlement Statement                                                

账户：0029
日期：20191218
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         6414788.40                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             6344884.09
平仓盈亏 Realized P/L：              -5300.00                  保证金占用 Margin Occupied：       3257108.50
持仓盈亏  MTM P/L：                 -64450.00                  可用资金 Fund Avail.：             3087775.59
手续费 Commission：                    154.31                  风险度 Risk Degree：                   51.33%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     郑商所|            TA005|  20191204|  投机|  买  |       10|     4830.000|         4962.000|      -400.00|     14886.00|
|     郑商所|            TA005|  20191205|  投机|  买  |       20|     4860.000|         4962.000|      -800.00|     29772.00|
|     郑商所|            TA005|  20191205|  投机|  买  |        5|     4866.000|         4962.000|      -200.00|      7443.00|
|     郑商所|            TA005|  20191205|  投机|  买  |        1|     4866.000|         4962.000|       -40.00|      1488.60|
|     郑商所|            TA005|  20191205|  投机|  买  |        3|     4866.000|         4962.000|      -120.00|      4465.80|
|     郑商所|            TA005|  20191205|  投机|  买  |        1|     4866.000|         4962.000|       -40.00|      1488.60|
|     郑商所|            TA005|  20191205|  投机|  买  |       10|     4876.000|         4962.000|      -400.00|     14886.00|
|     郑商所|            TA005|  20191209|  投机|  买  |        4|     4910.000|         4962.000|      -160.00|      5954.40|
|     郑商所|            TA005|  20191209|  投机|  买  |       10|     4910.000|         4962.000|      -400.00|     14886.00|
|     郑商所|            TA005|  20191209|  投机|  买  |        2|     4910.000|         4962.000|       -80.00|      2977.20|
|     郑商所|            TA005|  20191209|  投机|  买  |        2|     4910.000|         4962.000|       -80.00|      2977.20|
|     郑商所|            TA005|  20191209|  投机|  买  |        1|     4910.000|         4962.000|       -40.00|      1488.60|
|     郑商所|            TA005|  20191209|  投机|  买  |        1|     4910.000|         4962.000|       -40.00|      1488.60|
|     郑商所|            TA005|  20191209|  投机|  买  |       10|     4900.000|         4962.000|      -400.00|     14886.00|
|     郑商所|            TA005|  20191212|  投机|  买  |        8|     4900.000|         4962.000|      -320.00|     11908.80|
|     郑商所|            TA005|  20191212|  投机|  买  |        2|     4900.000|         4962.000|       -80.00|      2977.20|
|     郑商所|            TA005|  20191212|  投机|  买  |        5|     4940.000|         4962.000|      -200.00|      7443.00|
|     郑商所|            TA005|  20191212|  投机|  买  |        5|     4930.000|         4962.000|      -200.00|      7443.00|
|     郑商所|            MA005|  20191212|  投机|  买  |        5|     2110.000|         2136.000|      -400.00|      7476.00|
|     郑商所|            TA005|  20191212|  投机|  买  |       10|     4920.000|         4962.000|      -400.00|     14886.00|
|     郑商所|            TA005|  20191216|  投机|  买  |        4|     4960.000|         4962.000|      -160.00|      5954.40|
|     郑商所|            TA005|  20191216|  投机|  买  |        2|     4960.000|         4962.000|       -80.00|      2977.20|
|     郑商所|            TA005|  20191216|  投机|  买  |       10|     4960.000|         4962.000|      -400.00|     14886.00|
|     郑商所|            TA005|  20191216|  投机|  买  |        1|     4960.000|         4962.000|       -40.00|      1488.60|
|     郑商所|            TA005|  20191216|  投机|  买  |        3|     4960.000|         4962.000|      -120.00|      4465.80|
|     郑商所|            TA005|  20191216|  投机|  买  |        1|     4980.000|         4962.000|       -40.00|      1488.60|
|     郑商所|            TA005|  20191216|  投机|  买  |        1|     4980.000|         4962.000|       -40.00|      1488.60|
|     郑商所|            TA005|  20191216|  投机|  买  |        1|     4980.000|         4962.000|       -40.00|      1488.60|
|     郑商所|            TA005|  20191216|  投机|  买  |        1|     4980.000|         4962.000|       -40.00|      1488.60|
|     郑商所|            TA005|  20191216|  投机|  买  |        4|     4980.000|         4962.000|      -160.00|      5954.40|
|     郑商所|            TA005|  20191216|  投机|  买  |        1|     4980.000|         4962.000|       -40.00|      1488.60|
|     郑商所|            TA005|  20191216|  投机|  买  |        1|     4980.000|         4962.000|       -40.00|      1488.60|
|     郑商所|            TA005|  20191216|  投机|  买  |       10|     4980.000|         4962.000|      -400.00|     14886.00|
|     郑商所|            MA005|  20191217|  投机|  买  |       20|     2150.000|         2136.000|     -1600.00|     29904.00|
|     郑商所|            TA005|  20191217|  投机|  买  |        5|     4950.000|         4962.000|      -200.00|      7443.00|
|     郑商所|            MA005|  20191217|  投机|  买  |       20|     2157.000|         2136.000|     -1600.00|     29904.00|
|     大商所|            v2005|  20191128|  投机|  买  |       14|     6550.000|         6560.000|      -700.00|     22960.00|
|     大商所|            v2005|  20191128|  投机|  买  |        1|     6550.000|         6560.000|       -50.00|      1640.00|
|     大商所|            v2005|  20191211|  投机|  买  |       10|     6630.000|         6560.000|      -500.00|     16400.00|
|     大商所|            v2005|  20191210|  投机|  买  |       10|     6590.000|         6560.000|      -500.00|     16400.00|
|     大商所|            v2005|  20191209|  投机|  买  |       10|     6545.000|         6560.000|      -500.00|     16400.00|
|     大商所|            v2005|  20191209|  投机|  买  |        2|     6570.000|         6560.000|      -100.00|      3280.00|
|     大商所|            v2005|  20191209|  投机|  买  |        1|     6570.000|         6560.000|       -50.00|      1640.00|
|     大商所|            v2005|  20191209|  投机|  买  |        1|     6570.000|         6560.000|       -50.00|      1640.00|
|     大商所|            v2005|  20191209|  投机|  买  |        6|     6570.000|         6560.000|      -300.00|      9840.00|
|     大商所|            v2005|  20191209|  投机|  买  |       10|     6580.000|         6560.000|      -500.00|     16400.00|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13995.000|      -275.00|      4898.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13955.000|        75.00|      4884.25|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13995.000|      -275.00|      4898.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13955.000|        75.00|      4884.25|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13995.000|      -275.00|      4898.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13955.000|        75.00|      4884.25|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13995.000|      -275.00|      4898.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13720.000|        13955.000|        75.00|      4884.25|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13995.000|      -275.00|      4898.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13955.000|        75.00|      4884.25|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13995.000|      -275.00|      4898.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13955.000|        75.00|      4884.25|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13995.000|      -275.00|      4898.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13725.000|        13955.000|        75.00|      4884.25|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13995.000|      -275.00|      4898.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13955.000|        75.00|      4884.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13955.000|        75.00|      4884.25|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13995.000|      -275.00|      4898.25|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13995.000|      -275.00|      4898.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13955.000|        75.00|      4884.25|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13700.000|        13995.000|      -275.00|      4898.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13955.000|        75.00|      4884.25|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13995.000|      -275.00|      4898.25|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13955.000|        75.00|      4884.25|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13995.000|      -275.00|      4898.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13735.000|        13955.000|        75.00|      4884.25|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13995.000|      -275.00|      4898.25|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13955.000|        75.00|      4884.25|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13995.000|      -275.00|      4898.25|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13955.000|        75.00|      4884.25|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13995.000|      -275.00|      4898.25|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13955.000|        75.00|      4884.25|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13750.000|        13995.000|      -275.00|      4898.25|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13955.000|        75.00|      4884.25|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        13995.000|      -275.00|      4898.25|
